星期,營運日,總 運 量 (單位：人次)
四,2015-01-01,1796950.0
五,2015-01-02,1830184.0
六,2015-01-03,1802037.0
日,2015-01-04,1585463.0
一,2015-01-05,1915326.0
二,2015-01-06,1945591.0
三,2015-01-07,1965860.0
四,2015-01-08,1987913.0
五,2015-01-09,2163929.0
六,2015-01-10,1897089.0
日,2015-01-11,1551238.0
一,2015-01-12,1935793.0
二,2015-01-13,1954358.0
三,2015-01-14,1969032.0
四,2015-01-15,2003565.0
五,2015-01-16,2212934.0
六,2015-01-17,1884434.0
日,2015-01-18,1631624.0
一,2015-01-19,1913736.0
二,2015-01-20,2012293.0
三,2015-01-21,1976113.0
四,2015-01-22,1992942.0
五,2015-01-23,2142013.0
六,2015-01-24,1901482.0
日,2015-01-25,1596872.0
一,2015-01-26,1904495.0
二,2015-01-27,2055511.0
三,2015-01-28,2022619.0
四,2015-01-29,2041400.0
五,2015-01-30,2148037.0
六,2015-01-31,1951006.0
日,2015-02-01,1674182.0
一,2015-02-02,1964993.0
二,2015-02-03,2043308.0
三,2015-02-04,2037181.0
四,2015-02-05,2070304.0
五,2015-02-06,2217979.0
六,2015-02-07,1971770.0
日,2015-02-08,1677919.0
一,2015-02-09,2023553.0
二,2015-02-10,2152075.0
三,2015-02-11,2174660.0
四,2015-02-12,2191011.0
五,2015-02-13,2310343.0
六,2015-02-14,1972064.0
日,2015-02-15,1636321.0
一,2015-02-16,2007257.0
二,2015-02-17,1761184.0
三,2015-02-18,751526.0
四,2015-02-19,1342552.0
五,2015-02-20,1356261.0
六,2015-02-21,1678593.0
日,2015-02-22,1653840.0
一,2015-02-23,1578871.0
二,2015-02-24,1980871.0
三,2015-02-25,2037969.0
四,2015-02-26,2152779.0
五,2015-02-27,2031991.0
六,2015-02-28,2081276.0
日,2015-03-01,1715067.0
一,2015-03-02,1994187.0
二,2015-03-03,2054679.0
三,2015-03-04,2074934.0
四,2015-03-05,2081005.0
五,2015-03-06,2303705.0
六,2015-03-07,2165069.0
日,2015-03-08,1856581.0
一,2015-03-09,1976908.0
二,2015-03-10,2043045.0
三,2015-03-11,2074794.0
四,2015-03-12,2089203.0
五,2015-03-13,2277913.0
六,2015-03-14,2130819.0
日,2015-03-15,1752420.0
一,2015-03-16,1986568.0
二,2015-03-17,2023027.0
三,2015-03-18,2074299.0
四,2015-03-19,2074453.0
五,2015-03-20,2261770.0
六,2015-03-21,1996906.0
日,2015-03-22,1642602.0
一,2015-03-23,1955818.0
二,2015-03-24,2027070.0
三,2015-03-25,2075806.0
四,2015-03-26,2102538.0
五,2015-03-27,2306849.0
六,2015-03-28,2042943.0
日,2015-03-29,1723325.0
一,2015-03-30,1962335.0
二,2015-03-31,2001689.0
三,2015-04-01,2048305.0
四,2015-04-02,2158720.0
五,2015-04-03,1769724.0
六,2015-04-04,1674820.0
日,2015-04-05,1510349.0
一,2015-04-06,1579297.0
二,2015-04-07,1983465.0
三,2015-04-08,2028915.0
四,2015-04-09,2061803.0
五,2015-04-10,2275422.0
六,2015-04-11,1966373.0
日,2015-04-12,1656018.0
一,2015-04-13,1968264.0
二,2015-04-14,2003426.0
三,2015-04-15,2025021.0
四,2015-04-16,2014753.0
五,2015-04-17,2188779.0
六,2015-04-18,1958707.0
日,2015-04-19,1618031.0
一,2015-04-20,1929198.0
二,2015-04-21,1954680.0
三,2015-04-22,1997117.0
四,2015-04-23,2000629.0
五,2015-04-24,2201347.0
六,2015-04-25,2016736.0
日,2015-04-26,1693935.0
一,2015-04-27,1941963.0
二,2015-04-28,1984661.0
三,2015-04-29,2019740.0
四,2015-04-30,2102457.0
五,2015-05-01,2017620.0
六,2015-05-02,1985334.0
日,2015-05-03,1708675.0
一,2015-05-04,2021378.0
二,2015-05-05,2036682.0
三,2015-05-06,2022455.0
四,2015-05-07,2032029.0
五,2015-05-08,2224602.0
六,2015-05-09,1850816.0
日,2015-05-10,1514055.0
一,2015-05-11,1936196.0
二,2015-05-12,1979123.0
三,2015-05-13,1991817.0
四,2015-05-14,2000535.0
五,2015-05-15,2247198.0
六,2015-05-16,1997653.0
日,2015-05-17,1716639.0
一,2015-05-18,1930446.0
二,2015-05-19,1965127.0
三,2015-05-20,1990712.0
四,2015-05-21,2021880.0
五,2015-05-22,2201210.0
六,2015-05-23,1979735.0
日,2015-05-24,1635157.0
一,2015-05-25,2005654.0
二,2015-05-26,1986520.0
三,2015-05-27,2006424.0
四,2015-05-28,2011965.0
五,2015-05-29,2183427.0
六,2015-05-30,1941473.0
日,2015-05-31,1619120.0
一,2015-06-01,1924451.0
二,2015-06-02,1972450.0
三,2015-06-03,2021093.0
四,2015-06-04,2030356.0
五,2015-06-05,2232110.0
六,2015-06-06,1951840.0
日,2015-06-07,1602443.0
一,2015-06-08,1923407.0
二,2015-06-09,1957916.0
三,2015-06-10,1996798.0
四,2015-06-11,2007356.0
五,2015-06-12,2188828.0
六,2015-06-13,2001983.0
日,2015-06-14,1625054.0
一,2015-06-15,1949529.0
二,2015-06-16,2006125.0
三,2015-06-17,2021431.0
四,2015-06-18,2112406.0
五,2015-06-19,1548038.0
六,2015-06-20,1365272.0
日,2015-06-21,1406174.0
一,2015-06-22,1921572.0
二,2015-06-23,1963001.0
三,2015-06-24,2004488.0
四,2015-06-25,2055584.0
五,2015-06-26,2212425.0
六,2015-06-27,1933774.0
日,2015-06-28,1570847.0
一,2015-06-29,1962023.0
二,2015-06-30,2099628.0
三,2015-07-01,2019721.0
四,2015-07-02,2018111.0
五,2015-07-03,2140847.0
六,2015-07-04,1875436.0
日,2015-07-05,1633331.0
一,2015-07-06,2037252.0
二,2015-07-07,2014158.0
三,2015-07-08,2012914.0
四,2015-07-09,2010901.0
五,2015-07-10,742323.0
六,2015-07-11,1818059.0
日,2015-07-12,1656037.0
一,2015-07-13,2040895.0
二,2015-07-14,2053764.0
三,2015-07-15,2076546.0
四,2015-07-16,2065867.0
五,2015-07-17,2193097.0
六,2015-07-18,1967738.0
日,2015-07-19,1657381.0
一,2015-07-20,1981520.0
二,2015-07-21,2006147.0
三,2015-07-22,2031714.0
四,2015-07-23,1993977.0
五,2015-07-24,2165129.0
六,2015-07-25,1919578.0
日,2015-07-26,1653013.0
一,2015-07-27,1944393.0
二,2015-07-28,2014723.0
三,2015-07-29,2051719.0
四,2015-07-30,2029663.0
五,2015-07-31,2168777.0
六,2015-08-01,1889055.0
日,2015-08-02,1619236.0
一,2015-08-03,1974161.0
二,2015-08-04,2019424.0
三,2015-08-05,2075561.0
四,2015-08-06,2098273.0
五,2015-08-07,1723750.0
六,2015-08-08,418145.0
日,2015-08-09,1599329.0
一,2015-08-10,2051206.0
二,2015-08-11,2102735.0
三,2015-08-12,2116807.0
四,2015-08-13,2076236.0
五,2015-08-14,2225728.0
六,2015-08-15,2020878.0
日,2015-08-16,1697682.0
一,2015-08-17,2001124.0
