code_name,latitude,longitude,qua_cl,qua_cntu,qua_id,qua_ph,update_date,update_time
雙溪淨水場,25.114194,121.569433,0.63,0.01,CS00        ,7.3,2018-11-20,17:00:00  
衛理女中,25.101757,121.55231,0.52,0.02,CS01        ,7.2,2018-11-20,17:00:00  
雙溪國小                ,25.106069,121.563886,0.46,0.09,CS02        ,7.4,2018-11-20,17:00:00  
華興加壓站,25.099517,121.544384,0.59,0.1,CS03        ,7.2,2018-11-20,17:00:00  
長興淨水場,25.014511,121.547873,0.6,0.02,CX00        ,7.3,2018-11-20,17:00:00  
市政大樓,25.037531,121.563997,0.49,0.06,CX02        ,7.4,2018-11-20,17:00:00  
市議會,25.038063,121.561975,0.51,0.1,CX03        ,7.4,2018-11-20,17:00:00  
捷運忠孝復興站,25.041477,121.54342,0.45,0.05,CX04        ,7.5,2018-11-20,17:00:00  
南港高工,25.05623,121.607462,0.4,0.05,CX05        ,7.0,2018-11-20,17:00:00  
南港加壓站,25.048584,121.616217,0.45,0.02,CX06        ,7.0,2018-11-20,17:00:00  
挹翠加壓站,25.021817,121.57391,0.41,0.06,CX07        ,7.5,2018-11-20,17:00:00  
敦化國中                ,25.051571,121.546714,0.52,0.03,CX08        ,7.3,2018-11-20,17:00:00  
信義運動中心,25.031839,121.566774,0.48,0.03,CX09        ,7.3,2018-11-20,17:00:00  
信義區公所,25.03332,121.566847,0.49,0.03,CX10        ,7.3,2018-11-20,17:00:00  
大安運動中心,25.020576,121.545733,0.53,0.03,CX11        ,7.4,2018-11-20,17:00:00  
南港運動中心,25.048938,121.58184,0.49,0.04,CX12        ,7.3,2018-11-20,17:00:00  
公館淨水場,25.013286,121.530253,0.61,0.04,GG00        ,7.3,2018-11-20,17:00:00  
捷運台北車站,25.046309,121.517878,0.5,0.05,GG01        ,7.0,2018-11-20,17:00:00  
捷運中正紀念堂站,25.032422,121.518269,0.56,0.05,GG02        ,7.3,2018-11-20,17:00:00  
萬華國中,25.029107,121.498835,0.54,0.04,GG03        ,7.0,2018-11-20,17:00:00  
華江社區配水池,25.034988,121.493406,0.43,0.07,GG04        ,7.2,2018-11-20,17:00:00  
忠孝國小,25.042927,121.531533,0.57,0.04,GG06        ,7.1,2018-11-20,17:00:00  
螢橋國小,25.025075,121.514332,0.57,0.06,GG07        ,7.2,2018-11-20,17:00:00  
中正運動中心,25.038243,121.519379,0.48,0.02,GG08        ,7.9,2018-11-20,17:00:00  
萬華運動中心,25.047349,121.507085,0.52,0.03,GG09        ,7.2,2018-11-20,17:00:00  
直潭淨水場               ,24.941926,121.528706,0.59,0.07,JT00        ,7.0,2018-11-20,17:00:00  
伸仗板配水池,24.930234,121.543443,0.58,0.03,JT02        ,7.2,2018-11-20,17:00:00  
中和加壓站,24.989242,121.520562,0.53,0.03,JT10        ,7.0,2018-11-20,17:00:00  
安康加壓站,24.961604,121.509409,0.57,0.05,JT11        ,7.0,2018-11-20,17:00:00  
頂溪站,25.012836,121.51542,0.52,0.02,JT12        ,7.1,2018-11-20,17:00:00  
中和國小,24.999939,121.501594,0.53,0.04,JT13        ,7.0,2018-11-20,17:00:00  
積穗國小,24.99916,121.481461,0.49,0.05,JT14        ,7.1,2018-11-20,17:00:00  
捷運大坪林站,24.9831,121.5418,0.48,0.03,JT15        ,7.0,2018-11-20,17:00:00  
