年別,居住地,細分,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他
2012,亞洲地區,香港.澳門 HongKong. Macao,"1,016,356","61,431","612,826","29,976","5,281","3,012",220,147,"303,463"
2012,亞洲地區,大陸 Mainland China,"2,586,428","49,185","2,019,757","58,052","3,707","3,366","3,392","55,740","393,229"
2012,亞洲地區,日本 Japan,"1,432,315","304,336","1,037,067","42,297","10,502","5,963","1,054",126,"30,970"
2012,亞洲地區,"韓國 Korea,Republic of","259,089","57,921","158,205","13,533","5,451","4,169","1,546",39,"18,225"
2012,亞洲地區,印度 India,"23,251","11,989","1,346","2,405","1,850",678,398,14,"4,571"
2012,亞洲地區,中東 Middle East,"13,032","7,949","1,538",848,789,329,412,22,"1,145"
2012,亞洲地區,東南亞地區 馬來西亞 Malaysia,"341,032","23,522","262,935","20,582","4,397","14,803","1,364",355,"13,074"
2012,亞洲地區,東南亞地區 新加坡 Singapore,"327,253","45,163","243,034","14,803","3,940","1,484",804,83,"17,942"
2012,亞洲地區,東南亞地區 印尼 Indonesia,"163,598","19,367","34,669","10,446","1,672","3,830",797,490,"92,327"
2012,亞洲地區,東南亞地區 菲律賓 Philippines,"105,130","21,340","23,011","7,974","2,785",913,467,431,"48,209"
2012,亞洲地區,東南亞地區 泰國 Thailand,"97,712","24,881","27,525","9,861","2,191","2,021",828,80,"30,325"
2012,亞洲地區,東南亞地區 越南 Vietnam,"89,354","12,797","6,775","25,396","1,118","4,554",126,162,"38,426"
2012,亞洲地區,東南亞地區 東南亞其他地區 Others,"8,513",647,"2,334","1,658",171,248,29,153,"3,273"
2012,亞洲地區,東南亞地區 東南亞小計 Sub-Total,"1,132,592","147,717","600,283","90,720","16,274","27,853","4,415","1,754","243,576"
2012,亞洲地區,亞洲其他地區 Others,"10,621","2,438","1,395","1,981",592,"1,186",181,94,"2,754"
2012,亞洲地區,亞洲合計 Total,"6,473,684","642,966","4,432,417","239,812","44,446","46,556","11,618","57,936","997,933"
2012,美洲地區,加拿大 Canada,"70,614","11,629","35,877","17,379","1,023",677,163,55,"3,811"
2012,美洲地區,美國 United States of America,"411,416","122,290","106,843","142,526","6,720","4,745",593,274,"27,425"
2012,美洲地區,墨西哥 Mexico,"2,323",954,461,255,149,155,89,0,260
2012,美洲地區,巴西 Brazil,"4,097","1,638",964,612,164,128,100,1,490
2012,美洲地區,阿根廷 Argentina,"1,045",302,188,198,53,31,38,0,235
2012,美洲地區,美洲其他地區 Others,"8,102","1,953","1,187","1,233",531,"1,806",144,5,"1,243"
2012,美洲地區,美洲合計 Total,"497,597","138,766","145,520","162,203","8,640","7,542","1,127",335,"33,464"
2012,歐洲地區,比利時 Belgium,"4,781","2,194","1,294",553,170,158,42,0,370
2012,歐洲地區,法國 France,"31,452","11,685","8,057","5,592",860,"1,913",289,7,"3,049"
2012,歐洲地區,德國 Germany,"45,054","23,238","11,420","4,333","1,168","1,223",261,13,"3,398"
2012,歐洲地區,義大利 Italy,"12,932","7,351","1,972","1,056",532,350,232,3,"1,436"
2012,歐洲地區,荷蘭 Netherlands,"15,797","6,689","4,923","1,611",287,399,57,7,"1,824"
2012,歐洲地區,瑞士 Switzerland,"7,569","3,538","2,073",999,200,177,40,0,542
2012,歐洲地區,西班牙 Spain,"6,163","2,435","1,512",784,246,349,121,1,715
2012,歐洲地區,英國 United Kingdom,"42,776","17,202","15,820","5,532","1,205",354,275,17,"2,371"
2012,歐洲地區,奧地利 Austria,"5,609","2,135","1,779",869,144,180,36,1,465
2012,歐洲地區,希臘 Greece,"1,192",508,135,61,85,7,18,0,378
2012,歐洲地區,瑞典 Sweden,"7,128","3,263","1,848",873,186,369,46,3,540
2012,歐洲地區,俄羅斯 Russian Federation,"7,066","3,143",854,435,408,435,371,8,"1,412"
