concept,color,concept_type,description,description_long,domain,drill_up,indicator_url,name,name_catalog,name_short,scales,source,source_long,source_url,tags
adults_with_hiv_percent_age_15_49,,measure,"The estimated percentage of adults aged 15 to 49 years that are infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection",,,,,"Adults with HIV (%, age 15-49)","Adults with HIV (%, age 15-49)",Adults with HIV,"[""log"", ""linear""]",,,http://www.gapminder.org/gapminder-world/documentation/gd006,hiv
age_at_1st_marriage_women,,measure,"The mean age, in years, of first marriage for women. Women who never married are excluded. Cohabitation is excluded. The data are based on multple sources and definitions might vary.",,,,,首次結婚年齡（女性）,首次結婚年齡（女性）（ 1905 ~,首次結婚年齡,"[""linear"", ""log""]",,,http://spreadsheets.google.com/pub?key=t4eF8H_jq_xyKCUHAX6VT1g&gid=1,population
aged_15_24_employment_rate_percent,,measure,"Percentage of total population, age group 15-24, that has been employed during the given year.",,,,,15-24 歲就業率（％）,15-24 歲（ 1991 ~,就業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm02.xlsx,employment_rate
aged_15_24_unemployment_rate_percent,,measure,"Percentage of total population, age group 15-24, that has been registered as unemployed during the given year.",,,,,15-24 歲失業率（％）,15-24 歲（ 1978 ~,失業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm11.xlsx,unemployment
aged_15_64_labour_force_participation_rate_percent,,measure,"For age group 15-64, percentage of all labour to total population.",,,,,15-64 歲勞動參與率（%）,15-64 歲（ 1990 ~,勞動參與率（%）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm01.xlsx,labour_force_participation
aged_15plus_employment_rate_percent,,measure,"Percentage of total population, age group 15+, that has been employed during the given year.",,,,,15 歲以上就業率（％）,15 歲以上（ 1991 ~,就業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm02.xlsx,employment_rate
aged_15plus_labour_force_participation_rate_percent,,measure,"For age group 15+, percentage of all labour to total population.",,,,,15 歲以上勞動參與率（%）,15 歲以上（ 1990 ~,勞動參與率（%）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm01.xlsx,labour_force_participation
aged_15plus_unemployment_rate_percent,,measure,"Percentage of total population, age group above 15, that has been registered as unemployed during the given year.",,,,,15 歲以上失業率（％）,15 歲以上（ 1978 ~,失業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm11.xlsx,unemployment
aged_25_54_labour_force_participation_rate_percent,,measure,"For age group 25-54, percentage of all labour to total population.",,,,,25-54 歲勞動參與率（%）,25-54 歲（ 1990 ~,勞動參與率（%）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm01.xlsx,labour_force_participation
aged_25_54_unemployment_rate_percent,,measure,"Percentage of total population, age group 25-54, that has been registered as unemployed during the given year.",,,,,25-54 歲失業率（％）,25-54 歲（ 1978 ~,失業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm11.xlsx,unemployment
aged_55_64_unemployment_rate_percent,,measure,"Percentage of total population, age group 55-64, that has been registered as unemployed during the given year.",,,,,55-64 歲失業率（％）,55-64 歲（ 1978 ~,失業率（％）,"[""linear"", ""log""]",,,http://ilo.org/legacy/english/global-reports/kilm2015/kilm11.xlsx,unemployment
