tag,name,parent
achievement,Achievement,education
advanced,進階用途,
advanced_debt_trade,Advanced debt & trade,advanced
aid_given,援助（提供）,economy
aid_received,援助（獲得）,economy
alternative_child_mortality_data,Alternative child mortality data,advanced
alternative_demography_indicators,Alternative demography indicators,advanced
alternative_energy,Alternative energy,advanced
alternative_gdp_data,Alternative GDP data,advanced
alternative_health_data,Alternative health data,advanced
alternative_other_data,Alternative other data,advanced
alternative_poverty_measures,Alternative poverty measures,advanced
both_sexes_by_age,各年齡層人數比例 (%),population
both_sexes_by_age_total,各年齡層人數總和,population
cancer_female,癌症（女性）,health
cancer_male,癌症（男性）,health
categorizations,Categorizations,
causes_of_child_deaths,兒童死亡原因,health
causes_of_newborn_deaths,新生兒死亡原因,health
coal,煤,energy
communication,通訊,infrastructure
data_quality_use_as_color,Data quality (use as color),advanced
debt_trade,債務 & 貿易,economy
disasters,災難,environment
economic_growth,經濟成長,advanced
economic_situation,經濟狀況,economy
economy,經濟,
education,教育,
electricity,電力,energy
emissions,排放量,environment
employment_by_sector,就業（行業別）,work
employment_by_status,就業（雇用狀態別）,work
employment_rate,就業率,work
energy,能源,
environment,環境,
environment_water,水資源,environment
families,家庭,advanced
female_by_age,各年齡層女性人數佔全體女性比例 (%),population
forestry,森林 / 林業,environment
gender_equality,性別平等,education
geography,地理,environment
geography_infrastructure,Geography and infrastructure,advanced
health,健康,
health_economics,健康 & 經濟,health
hiv,愛滋,health
hydro,水力發電,energy
incomes_growth,所得與成長,economy
infrastructure,公共建設,
infrastructure_water,水資源,infrastructure
injuries_and_accidents,事故 & 受傷,health
injury_deaths_by_gender_age_road_user,"Injury deaths by gender, age, road user",advanced
labour_force_participation,勞動力參與,work
literacy,讀寫能力,education
malaria,瘧疾,health
male_by_age,各年齡層男性人數佔全體男性比例 (%),population
maternal_health,孕產婦健康,health
mean_years_in_school,平均在校年數,education
mental_health,精神健康,health
natural_gas,天然氣,energy
newborn_infants,新生兒與嬰幼兒,health
nuclear,核能,energy
nutrition,營養,health
oil,石油,energy
population,人口,
population_growth,人口成長,population
poverty_inequality,貧困與不平等,economy
projections,預測,advanced
risk_factors,危險因子,health
sanitation,公共衛生,infrastructure
school_enrolment,入學,education
schooling_cost,學校教育支出,education
sectors,行業,economy
sex_ratio,性別比率,population
society,社會,
tb_tuberculosis,結核病,health
teeth,牙齒,health
total,能源產生 / 使用量,energy
traffic,交通,infrastructure
unemployment,失業,work
urbanization,都市化,population
vaccine,疫苗,health
war_peace,戰爭 & 和平,society
work,工作,
years_use_as_color,Years (use as color),advanced
