country,alt_5,alternative_1,alternative_2,alternative_3,alternative_4_cdiac,arb1,arb2,arb3,arb4,arb5,arb6,gapminder_list,god_id,gwid,iso3166_1_alpha2,iso3166_1_alpha3,iso3166_1_numeric,iso3166_2,name,pandg,unicode_region_subtag,upper_case_name
abkh,,,,,,,,,,,,,,,,,,,,,,
abw,,,,,,,,,,,,,,,,,,,阿魯巴,,,
afg,,,,,,,,,,,,,,,,,,,阿富汗,,,
ago,,,,,,,,,,,,,,,,,,,安哥拉,,,
aia,,,,,,,,,,,,,,,,,,,安圭拉,,,
akr_a_dhe,,,,,,,,,,,,,,,,,,,,,,
ala,,,,,,,,,,,,,,,,,,,奧蘭,,,
alb,,,,,,,,,,,,,,,,,,,阿爾巴尼亞,,,
and,,,,,,,,,,,,,,,,,,,安道爾,,,
ant,,,,,,,,,,,,,,,,,,,,,,
are,,,,,,,,,,,,,,,,,,,阿聯,,,
arg,,,,,,,,,,,,,,,,,,,阿根廷,,,
arm,,,,,,,,,,,,,,,,,,,亞美尼亞,,,
asm,,,,,,,,,,,,,,,,,,,美屬薩摩亞,,,
ata,,,,,,,,,,,,,,,,,,,南極洲,,,
atg,,,,,,,,,,,,,,,,,,,安地卡及巴布達,,,
aus,,,,,,,,,,,,,,,,,,,澳大利亞,,,
aut,,,,,,,,,,,,,,,,,,,奧地利,,,
aze,,,,,,,,,,,,,,,,,,,亞塞拜然,,,
bdi,,,,,,,,,,,,,,,,,,,蒲隆地,,,
bel,,,,,,,,,,,,,,,,,,,比利時,,,
ben,,,,,,,,,,,,,,,,,,,貝南,,,
bfa,,,,,,,,,,,,,,,,,,,布吉納法索,,,
bgd,,,,,,,,,,,,,,,,,,,孟加拉國,,,
bgr,,,,,,,,,,,,,,,,,,,保加利亞,,,
bhr,,,,,,,,,,,,,,,,,,,巴林,,,
bhs,,,,,,,,,,,,,,,,,,,巴哈馬,,,
bih,,,,,,,,,,,,,,,,,,,波士尼亞與赫塞哥維納,,,
blr,,,,,,,,,,,,,,,,,,,白俄羅斯,,,
blz,,,,,,,,,,,,,,,,,,,貝里斯,,,
bmu,,,,,,,,,,,,,,,,,,,百慕達,,,
bol,,,,,,,,,,,,,,,,,,,玻利維亞,,,
bouisl,,,,,,,,,,,,,,,,,,,,,,
bra,,,,,,,,,,,,,,,,,,,巴西,,,
brb,,,,,,,,,,,,,,,,,,,巴貝多,,,
brn,,,,,,,,,,,,,,,,,,,汶萊,,,
btn,,,,,,,,,,,,,,,,,,,不丹,,,
bwa,,,,,,,,,,,,,,,,,,,波札那,,,
caf,,,,,,,,,,,,,,,,,,,中非,,,
can,,,,,,,,,,,,,,,,,,,加拿大,,,
cck,,,,,,,,,,,,,,,,,,,科科斯（基林）群島,,,
chanisl,,,,,,,,,,,,,,,,,,,,,,
che,,,,,,,,,,,,,,,,,,,瑞士,,,
cheslo,,,,,,,,,,,,,,,,,,,,,,
chl,,,,,,,,,,,,,,,,,,,智利,,,
chn,,,,,,,,,,,,,,,,,,,中國,,,
civ,,,,,,,,,,,,,,,,,,,象牙海岸,,,
cmr,,,,,,,,,,,,,,,,,,,喀麥隆,,,
cod,,,,,,,,,,,,,,,,,,,剛果民主共和國,,,
cog,,,,,,,,,,,,,,,,,,,剛果共和國,,,
cok,,,,,,,,,,,,,,,,,,,庫克群島,,,
col,,,,,,,,,,,,,,,,,,,哥倫比亞,,,
com,,,,,,,,,,,,,,,,,,,葛摩,,,
cpv,,,,,,,,,,,,,,,,,,,維德角,,,
cri,,,,,,,,,,,,,,,,,,,哥斯大黎加,,,
cub,,,,,,,,,,,,,,,,,,,古巴,,,
cxr,,,,,,,,,,,,,,,,,,,聖誕島,,,
cym,,,,,,,,,,,,,,,,,,,開曼群島,,,
cyp,,,,,,,,,,,,,,,,,,,賽普勒斯,,,
cyp_nor,,,,,,,,,,,,,,,,,,,,,,
cze,,,,,,,,,,,,,,,,,,,捷克,,,
deu,,,,,,,,,,,,,,,,,,,德國,,,
deu_east,,,,,,,,,,,,,,,,,,,,,,
deu_west,,,,,,,,,,,,,,,,,,,,,,
dji,,,,,,,,,,,,,,,,,,,吉布地,,,
dma,,,,,,,,,,,,,,,,,,,多米尼克,,,
dnk,,,,,,,,,,,,,,,,,,,丹麥,,,
dom,,,,,,,,,,,,,,,,,,,多明尼加,,,
dza,,,,,,,,,,,,,,,,,,,阿爾及利亞,,,
ecu,,,,,,,,,,,,,,,,,,,厄瓜多,,,
egy,,,,,,,,,,,,,,,,,,,埃及,,,
eri,,,,,,,,,,,,,,,,,,,厄利垂亞,,,
eri_a_eth,,,,,,,,,,,,,,,,,,,,,,
esh,,,,,,,,,,,,,,,,,,,西撒哈拉,,,
esp,,,,,,,,,,,,,,,,,,,西班牙,,,
est,,,,,,,,,,,,,,,,,,,愛沙尼亞,,,
eth,,,,,,,,,,,,,,,,,,,衣索比亞,,,
fin,,,,,,,,,,,,,,,,,,,芬蘭,,,
fji,,,,,,,,,,,,,,,,,,,斐濟,,,
flk,,,,,,,,,,,,,,,,,,,福克蘭群島,,,
fra,,,,,,,,,,,,,,,,,,,法國,,,
fra_antarc,,,,,,,,,,,,,,,,,,,,,,
fra_clipperton,,,,,,,,,,,,,,,,,,,,,,
fro,,,,,,,,,,,,,,,,,,,法羅群島,,,
fsm,,,,,,,,,,,,,,,,,,,密克羅尼西亞聯邦,,,
gab,,,,,,,,,,,,,,,,,,,加彭,,,
gbg,,,,,,,,,,,,,,,,,,,,,,
gbm,,,,,,,,,,,,,,,,,,,,,,
gbr,,,,,,,,,,,,,,,,,,,英國,,,
geo,,,,,,,,,,,,,,,,,,,喬治亞,,,
gha,,,,,,,,,,,,,,,,,,,加納,,,
gib,,,,,,,,,,,,,,,,,,,直布羅陀,,,
gin,,,,,,,,,,,,,,,,,,,幾內亞,,,
glp,,,,,,,,,,,,,,,,,,,瓜德羅普,,,
gmb,,,,,,,,,,,,,,,,,,,甘比亞,,,
gnb,,,,,,,,,,,,,,,,,,,幾內亞比索,,,
gnq,,,,,,,,,,,,,,,,,,,赤道幾內亞,,,
grc,,,,,,,,,,,,,,,,,,,希臘,,,
grd,,,,,,,,,,,,,,,,,,,格瑞那達,,,
grl,,,,,,,,,,,,,,,,,,,格陵蘭,,,
gtm,,,,,,,,,,,,,,,,,,,瓜地馬拉,,,
guf,,,,,,,,,,,,,,,,,,,法屬圭亞那,,,
gum,,,,,,,,,,,,,,,,,,,關島,,,
guy,,,,,,,,,,,,,,,,,,,蓋亞那,,,
heard_a_mcd,,,,,,,,,,,,,,,,,,,,,,
hkg,,,,,,,,,,,,,,,,,,,香港,,,
hnd,,,,,,,,,,,,,,,,,,,宏都拉斯,,,
hos,,,,,,,,,,,,,,,,,,,,,,
hrv,,,,,,,,,,,,,,,,,,,克羅埃西亞,,,
hti,,,,,,,,,,,,,,,,,,,海地,,,
hun,,,,,,,,,,,,,,,,,,,匈牙利,,,
idn,,,,,,,,,,,,,,,,,,,印尼,,,
ind,,,,,,,,,,,,,,,,,,,印度,,,
iot,,,,,,,,,,,,,,,,,,,英屬印度洋領地,,,
irl,,,,,,,,,,,,,,,,,,,愛爾蘭,,,
irn,,,,,,,,,,,,,,,,,,,伊朗,,,
irq,,,,,,,,,,,,,,,,,,,伊拉克,,,
isl,,,,,,,,,,,,,,,,,,,冰島,,,
isr,,,,,,,,,,,,,,,,,,,以色列,,,
ita,,,,,,,,,,,,,,,,,,,義大利,,,
jam,,,,,,,,,,,,,,,,,,,牙買加,,,
jey,,,,,,,,,,,,,,,,,,,澤西,,,
jor,,,,,,,,,,,,,,,,,,,約旦,,,
jpn,,,,,,,,,,,,,,,,,,,日本,,,
kaz,,,,,,,,,,,,,,,,,,,哈薩克,,,
ken,,,,,,,,,,,,,,,,,,,肯亞,,,
kgz,,,,,,,,,,,,,,,,,,,吉爾吉斯,,,
khm,,,,,,,,,,,,,,,,,,,柬埔寨,,,
kir,,,,,,,,,,,,,,,,,,,吉里巴斯,,,
kna,,,,,,,,,,,,,,,,,,,聖克里斯多福及尼維斯,,,
kor,,,,,,,,,,,,,,,,,,,韓國,,,
korea_union,,,,,,,,,,,,,,,,,,,,,,
kos,,,,,,,,,,,,,,,,,,,,,,
kwt,,,,,,,,,,,,,,,,,,,科威特,,,
lao,,,,,,,,,,,,,,,,,,,寮國,,,
lbn,,,,,,,,,,,,,,,,,,,黎巴嫩,,,
lbr,,,,,,,,,,,,,,,,,,,賴比瑞亞,,,
lby,,,,,,,,,,,,,,,,,,,利比亞,,,
lca,,,,,,,,,,,,,,,,,,,聖露西亞,,,
lie,,,,,,,,,,,,,,,,,,,列支敦斯登,,,
lka,,,,,,,,,,,,,,,,,,,斯里蘭卡,,,
lso,,,,,,,,,,,,,,,,,,,賴索托,,,
ltu,,,,,,,,,,,,,,,,,,,立陶宛,,,
lux,,,,,,,,,,,,,,,,,,,盧森堡,,,
lva,,,,,,,,,,,,,,,,,,,拉脫維亞,,,
mac,,,,,,,,,,,,,,,,,,,澳門,,,
maf,,,,,,,,,,,,,,,,,,,法屬聖馬丁,,,
mar,,,,,,,,,,,,,,,,,,,摩洛哥,,,
mco,,,,,,,,,,,,,,,,,,,摩納哥,,,
mda,,,,,,,,,,,,,,,,,,,摩爾多瓦,,,
mdg,,,,,,,,,,,,,,,,,,,馬達加斯加,,,
mdv,,,,,,,,,,,,,,,,,,,馬爾地夫,,,
mex,,,,,,,,,,,,,,,,,,,墨西哥,,,
mhl,,,,,,,,,,,,,,,,,,,馬紹爾群島,,,
mkd,,,,,,,,,,,,,,,,,,,馬其頓,,,
mli,,,,,,,,,,,,,,,,,,,馬利,,,
mlt,,,,,,,,,,,,,,,,,,,馬爾他,,,
mmr,,,,,,,,,,,,,,,,,,,緬甸,,,
mne,,,,,,,,,,,,,,,,,,,蒙特內哥羅,,,
