geo;indicator;1616;1666;1685;1710;1716;1735;1760;1766;1775;1780;1785;1791;1800;1810;1815;1825;1835;1840;1845;1855;1860;1865;1866;1870;1875;1879;1880;1885;1887;1890;1895;1897;1900;1901;1903;1905;1906;1907;1910;1911;1915;1920;1921;1925;1928;1930;1931;1935;1937;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005
afg;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.84;;;;;;;;;;;;;;;;;;;;;;;;;;17.84
ago;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alb;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.52;;;;;;;;;21.0;;;;;;;;;;;;;;;21.5;;;;;;;;;;;;;;;;;;;22.47;;;;;;;;;;;;;;;;23.33
ant;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.23
are;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.09
arg;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.26
arm;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.99
aus;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.5;24.4;;24.5;;24.5;;24.5;;;24.2;;;;;23.3;;;;;22.6;;;;;22.1;;;;;21.6;;;;;21.2;;;;;21.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.93
aut;age_at_1st_marriage_women;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.9;;;25.3;;;;;;;;;;24.01;;;;;;;;;;22.88;;;;;;;;;;23.15;;;;;;;;;;24.9;;;;;;;;;;;;;;;28.94
