geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;aged_15_64_labour_force_participation_rate_percent;52.661;52.803000000000004;52.957;53.068000000000005;53.133;53.185;53.103;53.004;52.93;52.902;52.918;53.193999999999996;53.525;53.848;54.115;54.309;53.971000000000004;53.611999999999995;53.288000000000004;53.06399999999999;52.975;53.29;53.731;54.25899999999999;54.82;55.376000000000005;55.732;55.742;55.75;55.758;55.768;55.788000000000004;55.808;55.831;55.864;55.908;55.963;56.028999999999996;56.098;56.16;56.21
ago;aged_15_64_labour_force_participation_rate_percent;78.819;78.832;78.762;78.669;78.517;78.359;78.355;78.333;78.291;78.233;78.16199999999999;78.192;78.205;78.179;78.143;78.098;78.164;78.196;78.22399999999999;78.265;78.28699999999999;78.367;78.4;78.39;78.347;78.266;78.184;78.148;78.104;78.055;78.005;77.954;77.903;77.86;77.836;77.837;77.85600000000001;77.896;77.952;78.018;78.09100000000001
alb;aged_15_64_labour_force_participation_rate_percent;68.10600000000001;69.0;69.027;68.656;68.22399999999999;67.601;67.508;68.086;68.03699999999999;67.795;67.67699999999999;67.298;66.998;66.068;65.122;64.197;63.503;62.903;62.371;62.195;62.17100000000001;63.531000000000006;64.889;61.114;62.317;65.078;65.11;65.173;65.315;65.513;65.748;66.055;66.41199999999999;66.78;67.10300000000001;67.346;67.535;67.62899999999999;67.641;67.613;67.571
are;aged_15_64_labour_force_participation_rate_percent;74.204;74.298;74.63;75.14699999999999;75.613;76.042;75.592;75.459;75.682;76.184;76.798;76.249;76.245;76.77;77.775;79.079;79.2;79.902;80.874;81.747;82.76899999999999;82.59200000000001;82.368;82.165;82.054;82.03299999999999;81.171;80.48100000000001;80.01100000000001;79.732;79.569;78.68;77.941;77.399;77.069;76.905;76.187;75.617;75.232;75.041;75.002
arg;aged_15_64_labour_force_participation_rate_percent;66.081;66.523;66.985;67.212;67.49;67.37899999999999;67.73;68.268;68.645;68.699;68.88;68.896;68.543;69.148;69.752;69.163;69.533;68.92;68.29899999999999;68.68;67.141;68.362;68.441;68.164;67.417;67.646;67.70100000000001;67.685;67.65899999999999;67.635;67.62100000000001;67.609;67.605;67.60600000000001;67.605;67.59899999999999;67.583;67.563;67.541;67.51899999999999;67.498
arm;aged_15_64_labour_force_participation_rate_percent;62.135;62.338;62.489;62.57899999999999;62.588;62.507;62.302;62.038000000000004;61.744;61.456;61.2;61.11600000000001;61.077;61.082;61.126000000000005;61.205;61.335;61.486999999999995;61.592;61.952;64.76100000000001;66.002;65.848;66.382;66.17399999999999;65.464;65.675;66.07;66.419;66.73100000000001;67.013;67.27;67.486;67.675;67.858;68.053;68.266;68.493;68.733;68.986;69.25399999999999
aus;aged_15_64_labour_force_participation_rate_percent;73.617;73.04899999999999;72.87100000000001;72.645;73.275;74.04;74.122;73.714;73.65;73.487;73.95100000000001;74.21300000000001;74.298;74.613;74.472;75.483;75.84100000000001;76.221;76.515;76.361;76.434;76.63;76.38600000000001;76.382;76.337;77.005;77.014;77.123;77.222;77.316;77.406;77.482;77.548;77.611;77.683;77.771;77.865;77.97399999999999;78.093;78.208;78.315
aut;aged_15_64_labour_force_participation_rate_percent;67.66;68.19800000000001;69.17699999999999;69.50399999999999;70.883;71.545;71.07;70.758;71.064;71.286;71.132;70.547;71.76;71.843;69.67;71.301;71.933;73.044;73.602;74.171;74.418;74.768;75.32;75.641;75.42;75.507;76.192;76.19800000000001;76.164;76.122;76.09;76.053;76.023;76.008;76.014;76.047;76.092;76.163;76.267;76.413;76.605
aze;aged_15_64_labour_force_participation_rate_percent;64.703;64.932;65.859;66.736;67.39;67.762;67.87899999999999;67.887;67.8;67.741;68.025;68.288;68.527;68.729;68.882;68.992;69.08;69.163;69.062;68.956;68.84100000000001;68.69;68.962;69.293;69.90899999999999;70.307;71.195;71.227;71.242;71.248;71.249;71.245;71.229;71.195;71.139;71.058;70.95100000000001;70.806;70.653;70.538;70.494
bdi;aged_15_64_labour_force_participation_rate_percent;91.542;91.109;90.59;89.98700000000001;89.311;88.56700000000001;87.852;87.064;86.194;85.479;84.71799999999999;84.10600000000001;83.522;82.976;82.475;82.021;81.583;81.172;80.789;80.441;80.135;79.801;79.506;79.234;78.962;79.313;79.626;79.715;79.773;79.78;79.725;79.60600000000001;79.432;79.222;79.0;78.782;78.562;78.348;78.148;77.97;77.819
bel;aged_15_64_labour_force_participation_rate_percent;58.809;60.081;60.528;60.81;61.713;62.17100000000001;62.272;62.638999999999996;63.208;64.562;65.221;63.538999999999994;63.934;64.046;65.066;66.66;66.53699999999999;67.21;67.20100000000001;66.939;67.648;66.623;66.792;67.438;67.71600000000001;67.67699999999999;67.73;67.82300000000001;67.9;67.96300000000001;68.016;68.031;68.02199999999999;68.006;68.009;68.044;68.095;68.179;68.292;68.42;68.557
ben;aged_15_64_labour_force_participation_rate_percent;73.477;73.508;73.507;73.579;73.622;73.63600000000001;73.59899999999999;73.52600000000001;73.419;73.279;73.10600000000001;72.905;72.67399999999999;72.735;72.744;72.705;72.61399999999999;72.479;72.308;72.112;71.899;71.717;71.709;71.689;71.667;71.653;71.65899999999999;71.756;71.858;71.962;72.065;72.167;72.26899999999999;72.373;72.48100000000001;72.594;72.71;72.83;72.957;73.093;73.241
bfa;aged_15_64_labour_force_participation_rate_percent;85.04299999999999;85.094;84.51299999999999;83.90700000000001;83.279;82.62799999999999;81.965;81.28399999999999;80.584;79.867;79.14;78.40899999999999;77.665;76.905;76.13;75.335;74.533;73.87;73.165;72.418;71.624;70.79899999999999;69.925;68.999;68.02199999999999;67.99600000000001;67.97800000000001;67.812;67.641;67.464;67.281;67.10600000000001;66.92699999999999;66.748;66.574;66.408;66.259;66.117;65.98100000000001;65.84899999999999;65.721
bgd;aged_15_64_labour_force_participation_rate_percent;57.543;57.536;57.57;57.648;57.776;57.95399999999999;58.06399999999999;58.23;58.427;58.621;58.788000000000004;58.863;58.928999999999995;58.977;59.005;59.018;58.894;58.825;58.753;58.681000000000004;58.608999999999995;58.571000000000005;58.54;58.508;58.47;58.42;58.361999999999995;58.435;58.505;58.58;58.663000000000004;58.758;58.863;58.973;59.083999999999996;59.19;59.294;59.395;59.493;59.589;59.683
bgr;aged_15_64_labour_force_participation_rate_percent;68.628;68.817;68.98899999999999;68.173;67.317;66.432;65.578;64.697;63.743;62.648999999999994;61.38;63.787;63.15;61.812;63.02;62.405;64.884;66.72399999999999;68.317;67.567;66.72399999999999;65.986;67.066;68.372;69.023;69.398;68.801;69.14699999999999;69.421;69.628;69.77199999999999;69.851;69.85600000000001;69.813;69.768;69.75;69.76100000000001;69.812;69.89;69.967;70.02600000000001
bhr;aged_15_64_labour_force_participation_rate_percent;66.367;66.056;66.185;66.446;66.796;67.157;66.90100000000001;66.708;66.70100000000001;66.947;67.425;67.42399999999999;67.64699999999999;68.248;69.10300000000001;70.059;70.42699999999999;71.06;71.865;72.72399999999999;73.517;72.726;72.844;72.904;72.991;73.085;73.306;73.64399999999999;74.085;74.559;75.027;74.593;74.316;74.186;74.187;74.27199999999999;73.861;73.56;73.385;73.345;73.40899999999999
bhs;aged_15_64_labour_force_participation_rate_percent;75.253;76.248;77.22800000000001;78.167;78.991;79.193;79.322;79.38600000000001;79.45100000000001;79.53399999999999;79.592;79.874;80.15;80.315;80.45;80.62;80.778;80.944;81.071;81.179;81.36;81.432;81.608;81.807;82.01799999999999;82.221;82.44;82.851;83.265;83.625;83.896;84.056;84.12200000000001;84.12899999999999;84.132;84.164;84.193;84.242;84.311;84.39299999999999;84.48100000000001
bih;aged_15_64_labour_force_participation_rate_percent;56.595;56.636;56.636;56.602;56.55;56.483999999999995;56.495;56.512;56.537;56.58;56.641999999999996;56.776;56.948;57.121;57.254;57.422;57.361000000000004;57.246;57.11;56.946000000000005;56.813;56.681000000000004;56.505;56.339;56.176;56.243;56.515;56.665;56.861999999999995;57.04600000000001;57.181000000000004;57.278999999999996;57.321999999999996;57.327;57.332;57.36;57.413000000000004;57.482;57.547;57.574;57.544
blr;aged_15_64_labour_force_participation_rate_percent;69.015;69.032;69.134;69.289;69.47800000000001;69.65100000000001;69.727;69.702;69.7;69.77199999999999;70.271;70.865;71.515;72.173;72.775;73.286;73.688;74.03699999999999;74.363;74.705;75.077;75.505;75.96;76.418;76.839;77.191;77.483;77.514;77.485;77.437;77.393;77.35300000000001;77.307;77.258;77.208;77.161;77.127;77.108;77.102;77.11;77.131
blz;aged_15_64_labour_force_participation_rate_percent;60.648999999999994;60.858000000000004;61.044;61.113;61.06100000000001;61.306999999999995;61.513999999999996;61.888999999999996;62.312;62.806999999999995;63.367;63.891999999999996;64.45100000000001;65.016;65.561;66.063;66.847;67.586;68.29899999999999;69.0;69.691;70.517;71.2;70.476;69.732;68.958;69.07300000000001;69.40100000000001;69.74600000000001;70.116;70.512;70.902;71.315;71.733;72.133;72.502;72.828;73.13;73.413;73.686;73.954
bol;aged_15_64_labour_force_participation_rate_percent;69.96300000000001;70.263;70.298;70.538;70.82;71.118;71.406;71.76100000000001;71.827;71.88;71.913;72.40100000000001;72.885;73.366;73.836;74.289;74.73899999999999;73.006;73.727;73.942;73.982;73.939;70.96;71.095;73.28399999999999;68.89;69.221;69.324;69.436;69.555;69.679;69.81;69.94800000000001;70.09;70.237;70.388;70.542;70.70100000000001;70.86;71.013;71.156
bra;aged_15_64_labour_force_participation_rate_percent;65.39;65.74;66.085;66.422;66.75;67.069;67.381;67.682;67.98100000000001;68.292;68.622;68.97399999999999;69.937;70.09899999999999;71.04899999999999;71.324;71.59100000000001;71.35;71.578;71.793;70.77600000000001;69.742;69.53699999999999;69.587;69.48899999999999;69.822;69.765;69.819;69.882;69.947;70.008;70.074;70.137;70.197;70.249;70.293;70.331;70.357;70.374;70.38600000000001;70.395
brb;aged_15_64_labour_force_participation_rate_percent;78.41199999999999;76.75399999999999;77.852;78.827;79.633;80.598;80.117;80.156;80.023;79.867;79.71600000000001;79.65899999999999;79.62100000000001;79.582;80.309;80.122;79.885;79.601;79.285;78.965;78.626;78.658;77.66;78.236;76.682;77.229;77.859;77.721;77.57300000000001;77.436;77.319;77.226;77.155;77.102;77.054;77.008;76.975;76.955;76.941;76.922;76.891
brn;aged_15_64_labour_force_participation_rate_percent;66.96;67.11399999999999;67.368;67.686;68.074;68.517;68.67;68.906;69.249;69.667;70.102;69.98;69.782;69.744;69.86;70.066;69.965;69.898;69.92699999999999;70.058;70.248;70.455;70.604;70.723;70.84899999999999;70.571;70.26899999999999;70.335;70.407;70.497;70.611;70.74600000000001;70.91;71.079;71.209;71.275;71.281;71.227;71.135;71.043;70.973
btn;aged_15_64_labour_force_participation_rate_percent;65.865;65.46;65.135;64.847;64.533;64.19800000000001;64.461;64.793;65.21;65.76100000000001;66.46600000000001;67.74;69.089;70.39399999999999;71.544;72.472;72.984;73.345;73.571;73.70100000000001;71.657;69.64399999999999;67.494;67.964;66.016;68.793;68.77600000000001;69.109;69.419;69.689;69.91199999999999;70.087;70.21600000000001;70.318;70.417;70.529;70.645;70.771;70.899;71.012;71.1
bwa;aged_15_64_labour_force_participation_rate_percent;63.896;63.736999999999995;63.576;63.412;63.236999999999995;63.047;62.824;62.575;62.365;61.278;60.123999999999995;60.88399999999999;61.70399999999999;62.559;63.415;64.248;65.096;65.043;64.992;64.94800000000001;61.933;66.35;70.075;73.252;73.389;73.562;73.733;74.09899999999999;74.449;74.774;75.066;75.317;75.543;75.741;75.908;76.045;76.142;76.212;76.275;76.35600000000001;76.469
caf;aged_15_64_labour_force_participation_rate_percent;73.275;73.211;73.132;73.03;72.913;72.786;72.72800000000001;72.641;72.542;72.434;72.328;72.332;72.301;72.259;72.196;72.142;72.247;72.322;72.363;72.357;72.298;72.499;72.61399999999999;72.67399999999999;72.60600000000001;72.462;72.281;72.263;72.248;72.243;72.253;72.348;72.471;72.61399999999999;72.771;72.936;73.118;73.303;73.49;73.682;73.878
can;aged_15_64_labour_force_participation_rate_percent;76.725;76.278;75.396;75.157;74.97;74.708;74.602;74.89699999999999;75.267;75.859;76.191;76.36;77.42399999999999;78.196;78.165;77.771;77.748;78.32300000000001;78.447;78.014;77.895;77.82600000000001;77.818;78.021;77.741;77.946;78.09100000000001;78.19800000000001;78.30199999999999;78.4;78.491;78.563;78.618;78.671;78.747;78.85600000000001;78.987;79.148;79.329;79.506;79.666
chanisl;aged_15_64_labour_force_participation_rate_percent;68.816;68.96600000000001;69.107;69.456;69.923;69.928;69.83800000000001;69.908;70.259;70.628;70.706;70.805;71.012;71.045;70.858;71.038;71.16199999999999;71.211;71.126;71.079;71.03699999999999;70.563;70.623;70.709;70.986;71.229;71.395;71.39699999999999;71.405;71.40899999999999;71.404;71.352;71.285;71.221;71.182;71.18;71.176;71.205;71.262;71.343;71.443
