geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;aged_15plus_employment_rate_percent;45.331;46.178000000000004;45.381;45.467;47.369;46.037;45.97;45.958;45.909;45.867;45.906000000000006;47.708;47.913000000000004;47.543;48.522;47.901;48.229;47.434;48.285;47.614;47.673;48.206;48.388999999999996;48.736000000000004;49.129;49.43899999999999;49.445;49.464;49.488;49.523;49.565;49.611000000000004
ago;aged_15plus_employment_rate_percent;59.766000000000005;59.726000000000006;59.68;59.471000000000004;59.233999999999995;59.2;59.233000000000004;59.238;59.251999999999995;59.235;59.263999999999996;59.231;59.339;59.303000000000004;61.038000000000004;62.847;64.63600000000001;66.447;68.321;70.112;72.133;72.175;72.18;72.158;72.1;71.676;71.29;70.946;70.615;70.304;70.01100000000001;69.735
alb;aged_15plus_employment_rate_percent;50.818000000000005;50.628;48.721000000000004;48.373999999999995;48.15;48.235;48.861000000000004;48.795;48.288999999999994;48.45;48.035;48.413000000000004;48.215;47.994;47.791000000000004;47.742;48.373000000000005;47.871;47.03;46.56399999999999;47.926;49.723;45.261;44.851000000000006;46.809;47.713;48.295;47.428999999999995;47.302;47.233000000000004;47.156000000000006;47.086000000000006
are;aged_15plus_employment_rate_percent;71.888;72.243;72.788;73.322;73.795;73.267;73.053;73.167;73.605;74.167;73.483;73.393;73.848;74.755;75.945;76.032;76.656;77.07300000000001;77.824;79.2;79.311;79.317;79.358;79.48100000000001;79.708;79.062;78.322;77.793;77.447;77.206;76.23100000000001;75.392
arg;aged_15plus_employment_rate_percent;56.483999999999995;56.303999999999995;54.228;53.443000000000005;49.086999999999996;50.347;52.131;53.733999999999995;52.887;52.42100000000001;50.973;49.286;52.332;53.935;54.908;56.053000000000004;56.376999999999995;56.086999999999996;55.93899999999999;55.114;56.47;56.31;56.114;55.50899999999999;55.708999999999996;54.748999999999995;54.751000000000005;54.849;54.871;54.513000000000005;54.18899999999999;53.905
arm;aged_15plus_employment_rate_percent;57.958999999999996;57.931000000000004;55.656000000000006;54.625;54.255;52.428000000000004;51.256;51.755;50.424;49.698;49.077;48.357;47.776;47.277;46.902;46.595;46.403999999999996;46.218;46.403999999999996;48.248000000000005;49.438;49.924;50.938;49.916000000000004;48.88399999999999;49.095;49.174;49.294;49.318000000000005;49.288000000000004;49.183;49.03
aus;aged_15plus_employment_rate_percent;57.208;56.211000000000006;55.771;56.945;58.278999999999996;58.243;58.00899999999999;58.348;58.661;59.381;59.263000000000005;59.553000000000004;60.005;60.203;61.293;61.787;62.474;62.84;61.885;62.119;62.223;61.843;61.328;60.835;61.107;61.181000000000004;61.183;61.175;61.041000000000004;60.977;60.879;60.762
aut;aged_15plus_employment_rate_percent;54.248999999999995;54.843999999999994;54.708;56.47;56.483999999999995;55.441;55.198;55.254;55.872;55.771;55.629;55.982;55.943999999999996;53.498999999999995;54.833;55.431000000000004;56.495;57.19;56.798;57.068000000000005;57.285;57.358999999999995;57.213;56.778999999999996;56.663000000000004;56.79600000000001;57.015;56.958999999999996;56.794;56.605;56.358999999999995;56.088
aze;aged_15plus_employment_rate_percent;55.31399999999999;56.92;57.7;57.943999999999996;58.317;56.332;55.91;55.823;55.47;55.842;56.42100000000001;56.989;57.465;58.288000000000004;58.813;59.354;59.574;59.985;60.275;60.405;60.486999999999995;60.938;61.339;61.858000000000004;62.265;62.935;62.78;62.59;62.368;62.103;61.778;61.42
bdi;aged_15plus_employment_rate_percent;88.679;88.148;87.538;86.85700000000001;86.11200000000001;85.37200000000001;84.56299999999999;83.678;82.98299999999999;82.251;81.679;81.138;80.63600000000001;80.178;79.767;79.367;78.993;78.645;78.34100000000001;78.075;77.775;77.513;77.27199999999999;76.937;77.279;77.557;77.649;77.708;77.715;77.66;77.538;77.36399999999999
bel;aged_15plus_employment_rate_percent;45.691;46.08;45.498999999999995;45.283;45.693999999999996;45.552;45.895;45.963;47.361000000000004;48.76;47.586999999999996;47.422;47.133;47.951;48.684;48.631;49.577;49.858999999999995;49.16;49.495;49.283;49.132;48.983000000000004;48.986999999999995;48.913000000000004;49.06399999999999;49.385;49.641000000000005;49.549;49.364;49.111999999999995;48.846000000000004
ben;aged_15plus_employment_rate_percent;71.376;71.389;71.542;71.663;71.757;71.797;71.803;71.775;71.715;71.623;71.499;71.324;71.339;71.305;71.22800000000001;71.093;70.919;70.714;70.488;70.306;68.986;68.979;68.96;68.939;68.928;68.98899999999999;69.13600000000001;69.28399999999999;69.42699999999999;69.566;69.696;69.822
bfa;aged_15plus_employment_rate_percent;80.97;80.468;79.93;79.382;78.82300000000001;78.24;77.655;77.04899999999999;76.36399999999999;75.682;74.973;74.264;73.517;72.37;71.185;71.68;70.297;69.266;68.209;67.105;65.98;64.817;63.617;62.351000000000006;62.34;62.391000000000005;62.29600000000001;62.19;62.071999999999996;61.946000000000005;61.813;61.67100000000001
bgd;aged_15plus_employment_rate_percent;55.207;55.157;55.136;55.172;55.26;55.403999999999996;55.431999999999995;55.477;55.536;55.596000000000004;55.576;55.537;55.126000000000005;55.108000000000004;55.163999999999994;55.419;55.113;54.802;54.248999999999995;55.06100000000001;54.808;54.567;54.19;54.108999999999995;54.027;53.98;54.032;54.083;54.13399999999999;54.183;54.223;54.263000000000005
bgr;aged_15plus_employment_rate_percent;45.566;45.358999999999995;44.676;44.608000000000004;46.173;46.544;45.754;45.693000000000005;43.81100000000001;41.788999999999994;41.358999999999995;41.898999999999994;43.373999999999995;44.926;45.3;47.643;50.093;52.037;50.625;47.918;46.618;46.56;46.891999999999996;47.967;49.228;49.407;50.15;50.785;50.997;51.156000000000006;51.196000000000005;51.198
bhr;aged_15plus_employment_rate_percent;63.691;63.786;64.015;64.337;64.688;64.416;64.206;64.19800000000001;64.445;64.92399999999999;64.964;65.236;65.874;66.75399999999999;67.73899999999999;68.167;68.854;69.70100000000001;70.586;71.404;70.539;70.638;70.656;70.706;70.775;70.992;71.33;71.752;72.178;72.568;72.038;71.634
bhs;aged_15plus_employment_rate_percent;63.957;62.724;64.92699999999999;64.661;67.035;66.59;67.843;69.406;69.54;69.694;70.075;68.57300000000001;67.273;67.78699999999999;67.836;69.852;69.7;69.506;64.932;64.96300000000001;64.743;65.127;63.497;65.29899999999999;66.639;66.082;66.26;66.513;67.247;67.462;67.437;67.304
bih;aged_15plus_employment_rate_percent;42.729;41.988;40.738;38.476;37.054;37.069;36.879;36.67;36.228;36.559;36.247;35.478;35.104;34.384;34.178000000000004;33.556999999999995;34.52;37.173;36.741;35.099000000000004;34.729;34.292;34.326;34.03;33.799;35.016999999999996;34.685;34.371;34.091;33.817;33.533;33.251999999999995
blr;aged_15plus_employment_rate_percent;59.013000000000005;58.966;58.81100000000001;58.75;58.746;58.466;58.302;58.226000000000006;58.205;58.532;58.836000000000006;59.146;59.492;59.868;60.306000000000004;60.665;61.086999999999996;61.556000000000004;62.013999999999996;62.282;62.91;63.25;63.58;63.797;63.942;63.935;63.699;63.406000000000006;63.076;62.723;62.255;61.775
blz;aged_15plus_employment_rate_percent;56.269;54.645;52.91;52.055;51.41;50.861999999999995;51.917;51.356;52.701;54.355;56.00899999999999;55.93899999999999;56.326;56.699;56.886;58.577;59.766000000000005;60.573;59.995;59.51;59.233999999999995;58.935;60.048;59.443999999999996;59.808;61.512;60.816;61.13399999999999;61.398;61.705;61.996;62.301
bol;aged_15plus_employment_rate_percent;64.627;64.921;64.822;67.06;66.969;66.168;68.712;68.079;67.415;67.223;66.986;67.40100000000001;68.206;69.003;68.819;69.641;68.189;70.194;69.998;70.14699999999999;70.225;67.501;67.648;69.857;64.988;65.297;65.294;65.329;65.368;65.418;65.497;65.589
bra;aged_15plus_employment_rate_percent;58.946000000000005;58.733999999999995;59.248999999999995;59.479;59.848;59.568000000000005;59.228;58.687;58.477;58.615;59.163999999999994;60.045;59.681000000000004;60.888999999999996;60.79600000000001;61.602;61.412;61.815;61.451;61.059;60.323;59.724;59.739;59.684;58.68899999999999;56.424;55.191;55.858999999999995;55.989;55.955;55.888000000000005;55.795
brb;aged_15plus_employment_rate_percent;52.099;52.75;52.13399999999999;53.601000000000006;56.471000000000004;59.294;59.312;60.687;61.733999999999995;62.398;62.086999999999996;61.808;61.39;62.828;63.217;63.271;63.928000000000004;63.236000000000004;61.601000000000006;60.736000000000004;60.302;59.008;59.595;57.308;58.216;59.86;59.531000000000006;59.258;58.938;58.626000000000005;58.373999999999995;58.12
brn;aged_15plus_employment_rate_percent;62.111000000000004;62.196999999999996;62.418;62.643;62.931999999999995;63.008;63.196000000000005;63.441;63.756;64.156;63.858000000000004;63.56399999999999;63.43899999999999;63.473;63.571000000000005;63.338;63.244;63.224;63.291000000000004;63.385;63.583999999999996;63.763999999999996;63.9;63.208999999999996;62.957;62.528999999999996;62.341;62.222;62.317;62.601000000000006;62.861999999999995;63.025
btn;aged_15plus_employment_rate_percent;63.18899999999999;62.881;62.632;62.353;62.09;62.343;62.656000000000006;63.056000000000004;63.581;64.039;65.101;66.361;67.60300000000001;68.158;68.54;68.954;68.835;68.932;68.86399999999999;67.508;65.78;64.21600000000001;64.20100000000001;62.692;64.97399999999999;64.905;65.161;65.391;65.561;65.671;65.741;65.765
bwa;aged_15plus_employment_rate_percent;53.67;52.385;51.107;48.681000000000004;48.405;48.101000000000006;48.111000000000004;48.153999999999996;48.907;49.592;48.592;47.617;46.628;48.159;49.698;52.222;52.379;52.537;52.958;49.508;53.174;56.242;58.641999999999996;58.989;59.333;59.348;59.409;59.435;59.513000000000005;59.571999999999996;59.602;59.61600000000001
caf;aged_15plus_employment_rate_percent;67.77199999999999;67.714;67.624;67.508;67.405;67.37;67.267;67.181;67.087;67.01100000000001;67.001;66.967;66.946;66.874;66.832;66.915;66.977;67.017;67.015;66.964;67.132;67.219;67.334;67.238;67.07600000000001;67.078;67.218;67.347;67.473;67.601;67.794;68.003
can;aged_15plus_employment_rate_percent;59.416000000000004;58.03;57.593999999999994;58.044;58.29600000000001;58.043;58.556000000000004;59.325;60.143;60.813;60.652;61.247;61.983000000000004;62.184;62.159;62.365;62.997;63.081;61.184;61.214;61.387;61.379;61.49;61.16;61.015;60.813;61.06399999999999;61.178999999999995;60.961000000000006;60.722;60.463;60.184
chanisl;aged_15plus_employment_rate_percent;51.195;51.675;52.486000000000004;53.214;52.925;52.86600000000001;53.107;53.451;53.826;54.006;53.728;53.753;54.0;53.532;53.68899999999999;53.552;53.45399999999999;52.589;52.231;52.967;52.32;52.19;52.213;52.458999999999996;52.244;52.242;52.008;51.781000000000006;51.57899999999999;51.394;51.196000000000005;50.982
che;aged_15plus_employment_rate_percent;67.17699999999999;66.342;65.66199999999999;64.679;64.828;65.046;64.561;65.459;65.744;65.585;66.072;65.733;65.008;64.357;64.03399999999999;64.702;65.236;65.945;65.454;63.726000000000006;64.48;64.498;64.351;64.681;64.938;65.191;65.13600000000001;65.009;64.919;64.759;64.531;64.263
chl;aged_15plus_employment_rate_percent;50.99100000000001;52.576;53.716;52.886;52.56100000000001;51.507;51.92;52.181000000000004;50.275;49.486000000000004;49.483000000000004;49.251999999999995;49.738;50.905;50.903;51.711999999999996;53.398;53.839;52.417;55.641999999999996;57.42;57.773999999999994;58.14;58.055;58.211999999999996;57.953;57.968;58.07;58.129;58.178999999999995;58.208999999999996;58.231
chn;aged_15plus_employment_rate_percent;75.182;75.516;75.50399999999999;75.41;75.109;74.895;74.657;74.27600000000001;73.968;73.719;73.02600000000001;72.34899999999999;71.633;70.881;70.34100000000001;69.875;69.583;68.74600000000001;68.387;67.992;67.67399999999999;67.375;67.109;66.822;66.521;66.141;65.709;65.199;64.655;64.10300000000001;63.542;62.971000000000004
civ;aged_15plus_employment_rate_percent;63.089;62.895;63.117;63.331;63.935;63.813;63.727;63.638000000000005;63.291000000000004;62.946999999999996;62.592;62.224;61.836999999999996;61.428999999999995;61.004;60.57899999999999;60.141999999999996;59.69;59.222;58.742;58.254;57.758;57.269;56.793;56.338;55.876999999999995;55.825;55.79;55.768;55.858000000000004;55.946000000000005;56.04600000000001
cmr;aged_15plus_employment_rate_percent;71.631;71.59899999999999;71.558;71.454;71.227;71.07300000000001;70.995;70.903;70.809;70.712;70.649;71.092;71.53699999999999;71.973;72.515;73.093;73.666;73.445;73.24;72.815;72.85300000000001;72.89;72.911;72.90899999999999;72.92;72.942;72.979;73.001;73.01899999999999;73.033;73.041;73.042
cod;aged_15plus_employment_rate_percent;69.245;69.37899999999999;69.512;69.55;69.503;69.57600000000001;69.626;69.609;69.593;69.598;69.645;69.654;69.649;69.633;69.616;69.673;69.697;69.706;69.726;69.726;69.78399999999999;69.819;69.82600000000001;69.8;69.748;69.748;69.74600000000001;69.73899999999999;69.727;69.71300000000001;69.696;69.68
cog;aged_15plus_employment_rate_percent;54.293;54.174;54.114;54.111999999999995;54.047;54.01;54.071999999999996;54.108000000000004;54.263999999999996;54.318000000000005;54.446000000000005;54.56399999999999;54.746;54.911;55.06100000000001;55.85;56.74;57.543;58.213;59.378;60.599;62.843999999999994;62.885;62.856;62.788999999999994;62.474;62.045;61.755;61.49;61.192;60.952;60.718999999999994
col;aged_15plus_employment_rate_percent;48.363;49.082;50.211000000000006;50.757;51.288000000000004;50.328;50.911;50.001000000000005;47.731;48.163999999999994;52.254;52.659;54.338;55.409;57.37;57.581;59.31399999999999;59.99;60.148;61.483000000000004;62.678999999999995;63.751000000000005;64.025;64.363;64.767;64.399;64.14399999999999;64.095;64.048;64.013;63.99100000000001;63.974
