geo;indicator;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.08;;;6.45;;;7.45;;;6.92;6.9;;;;;;5.71;;;10.6;8.9;;;;;;
afg;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4945;;;;1.6919;;;;;
ago;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.2;14.9;18.9;;;;;;;;;;;;;;;;;;23.6427;;;;;;;7.3622;;;;;;
aia;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.95;;;;;;;;;;26.18;;;;;;;;;;;;;;;;;6.56;7.8;;;;;;;;;;;;;;;
alb;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;5.1;3.6;4.4;5.7;6.7;6.4;6.1;7.0;7.3;9.5;9.1;26.5;22.3;18.4;12.9;12.3;14.9;17.7;18.4;16.8;16.4;15.8;15.0;14.4;14.1;13.8;15.9663;13.0599;13.6739;14.085999999999999;13.4809;13.3759;15.8659;17.4878;17.08;15.2218;13.7453
ant;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.72;12.5;22.98;;24.28;20.93;17.24;14.51;13.9;13.6;12.8;13.14;13.97;15.27;16.22;;14.04;;15.59;15.1;16.09;18.16;14.65;12.39;10.55;9.62;;9.78;;13.03;;;;
are;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.96;;;;;;;;;;1.15;;;;;;;;;;1.8;;;;;2.25;;;;;3.12;;;4.01;4.16625;;;;;;;1.6355;2.463
arg;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;4.8;6.0;6.6;5.6;3.4;2.3;4.5;2.8;2.8;2.0;2.3;4.5;4.73;4.17;3.54;5.3;4.4;5.3;6.0;7.3;7.06;6.32;6.36;10.1;11.76;18.8;17.11;14.82;12.65;14.05;15.0;17.32;19.59;15.36;13.5221;11.5059;10.0775;8.47;7.8374;8.6453;7.3813;7.051;7.336;6.6147;7.0239;;;8.3474
arm;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;5.3;6.6;6.7;9.3;10.8;9.4;11.2;;;;;;;;28.34;16.3675;18.74;19.008;21.63;17.3091;16.1789;17.4985;18.261;17.6172;17.8271
asm;aged_15plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.99;17.24;19.08;14.87;13.79;14.35;12.41;12.61;12.78;12.96;13.11;13.29;13.38;;;;5.11;;;;;;;;;;5.05;;;;;9.98;;;;;9.2;;;;;;;
