geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.69;;;;;;;;;;;;;;;;3.12;;;7.97;;;;;;;
afg;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.4831;;;;1.9086;;;;;
ago;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0429;;;;;;;0.6836;;;;;;
aia;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.81;;;;;;;;;;;;;;;;
alb;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5574;8.292;7.6507;8.1173;10.0527;7.4325;9.6013;11.93;10.95068;;
ant;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5.32;5.62;;;;;;;;;8.92;6.76;10.62;10.13;;10.63;;;;8.9;11.71;9.15;6.08;4.93;5.69;;5.69;;;;;;
are;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.46;;;1.73;;;;;;;;1.27;0.8909
arg;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.58;;;;;;;;;;;;;10.2246;8.62;7.2477;;4.6458;5.0816;5.0187;4.447;4.0571;3.1887;2.9585;;;4.2893
arm;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.32;;11.12;13.4773;15.9206;12.19;11.6997;11.8222;13.0051;13.2668;
asm;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.64;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.75;;;;;;;;;;;;;;;;
aus;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2066;2.8743;3.1554;3.5547;5.9153;5.5877;6.1641;5.4511;5.8393;5.8917;5.2936;5.4636;7.9499;9.5074;11.0132;9.6771;7.63;7.5844;6.7731;6.2929;5.4905;4.5349;4.5784;4.2968;3.7739;3.5522;3.3732;3.2273;2.7339;2.608;3.3425;3.2498;3.3286;3.4541;3.8277;4.0871;4.2528;4.253;4.0703
aut;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.97;2.38;2.66;3.06;2.74;2.86;3.01;2.52;4.71;8.24;5.8;7.28;3.415;3.885;4.599;5.1638;6.3617;4.7506;6.7429;5.5532;5.7459;6.0719;5.0678;3.969;4.0209;3.4454;2.2458;2.7182;2.471;3.5942;3.4374;3.775;3.8151;4.7194;4.9695;4.2404
aze;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.12;;;;;;;;;7.96;1.53;3.5;2.8;2.7;2.28;2.13;2.38;2.61;2.7
bdi;aged_55_64_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26;;;;;;;;;;;;;;;;;;;;;;;;0.32;;;8.0
