geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;aged_65plus_labour_force_participation_rate_percent;22.865;23.073;23.316;23.583000000000002;23.835;24.044;24.124000000000002;24.105;24.01;23.881;23.752;23.755;23.709;23.618000000000002;23.476;23.271;23.27;23.226999999999997;23.16;23.095;23.055999999999997;23.066999999999997;23.035999999999998;22.967;22.86;22.706999999999997;22.647;22.651999999999997;22.66;22.658;22.644000000000002;22.663;22.668000000000003;22.664;22.655;22.645;22.67;22.686999999999998;22.697;22.698;22.688000000000002
ago;aged_65plus_labour_force_participation_rate_percent;67.505;67.61;67.725;68.068;67.97399999999999;67.785;67.717;67.656;67.582;67.536;67.484;67.521;67.692;67.676;67.574;67.363;67.202;66.979;66.847;66.872;66.866;66.905;66.889;66.818;66.757;66.703;66.718;66.668;66.61399999999999;66.556;66.493;66.441;66.384;66.324;66.26100000000001;66.197;66.141;66.082;66.021;65.957;65.891
alb;aged_65plus_labour_force_participation_rate_percent;20.6;26.523000000000003;27.889;25.881;24.256999999999998;22.04;20.674;22.502;21.209;19.448;18.635;17.628;17.134;14.373;11.958;9.886000000000001;8.133;6.659;5.431;4.586;4.781000000000001;7.974;13.033;10.139;9.041;8.666;8.491;8.151;7.81;7.471;7.132999999999999;6.801;6.47;6.14;5.811;5.482;5.156000000000001;4.831;4.506;4.1819999999999995;3.859
are;aged_65plus_labour_force_participation_rate_percent;12.084000000000001;13.044;13.569;14.517000000000001;14.293;14.071;14.033;13.602;14.796;15.479000000000001;14.497;15.321;15.963;15.607999999999999;15.862;18.05;17.219;16.585;16.004;19.854;21.53;21.765;20.932;20.07;19.359;18.471;18.088;18.214000000000002;18.328;18.474;18.660999999999998;19.055;19.477999999999998;19.898;20.3;20.675;21.101;21.5;21.85;22.135;22.359
arg;aged_65plus_labour_force_participation_rate_percent;14.687999999999999;14.991;15.344000000000001;15.628;15.904000000000002;15.959000000000001;16.197;16.462;16.601;16.537;16.504;16.405;16.097;16.22;16.355;17.745;17.641;16.215;14.887;15.411;14.259;15.137;14.043;14.110999999999999;15.232999999999999;15.294;15.277999999999999;15.118;14.955;14.788;14.619000000000002;14.464;14.307;14.145999999999999;13.982000000000001;13.814;13.659;13.5;13.338;13.174000000000001;13.005999999999998
arm;aged_65plus_labour_force_participation_rate_percent;25.267;25.377;25.493000000000002;25.598000000000003;25.680999999999997;25.743000000000002;25.795;25.835;25.87;25.901;25.926;25.976999999999997;26.022;26.053;26.065;26.06;26.048000000000002;26.024;24.975;27.12;26.755;26.066999999999997;25.101;24.694000000000003;24.252;23.879;23.883000000000003;23.836;23.783;23.729;23.675;23.644000000000002;23.61;23.569000000000003;23.521;23.464000000000002;23.42;23.37;23.313000000000002;23.25;23.182
aus;aged_65plus_labour_force_participation_rate_percent;5.301;5.22;5.186;4.724;5.274;5.537000000000001;5.564;5.888999999999999;5.933;5.7829999999999995;6.059;6.15;6.425;6.325;6.551;7.412999999999999;7.8660000000000005;8.849;9.378;10.23;10.785;11.186;11.992;12.085999999999999;12.344000000000001;12.210999999999999;12.565999999999999;12.782;12.998;13.212;13.425;13.638;13.850999999999999;14.062000000000001;14.274000000000001;14.485;14.698;14.911;15.123;15.335;15.545
aut;aged_65plus_labour_force_participation_rate_percent;2.452;1.959;2.045;2.329;4.016;3.8710000000000004;3.375;2.9419999999999997;3.05;2.7969999999999997;2.949;2.872;2.761;2.497;2.191;2.842;3.2939999999999996;4.418;4.735;5.193;5.132999999999999;4.946000000000001;4.919;5.056;5.231;5.28;5.021;5.218;5.416;5.614;5.812;6.011;6.211;6.41;6.609;6.808;7.0089999999999995;7.21;7.4110000000000005;7.61;7.809
aze;aged_65plus_labour_force_participation_rate_percent;7.874;8.039;9.787;12.136;14.675999999999998;16.487000000000002;16.506;15.934000000000001;14.905;14.218;12.562000000000001;11.105;9.828;8.708;7.726;6.862;6.102;5.432;5.49;5.553;5.621;5.705;5.795;4.864;3.995;5.9239999999999995;6.221;5.95;5.68;5.4079999999999995;5.136;4.867;4.595;4.323;4.05;3.7769999999999997;3.505;3.2319999999999998;2.958;2.6839999999999997;2.41
bdi;aged_65plus_labour_force_participation_rate_percent;75.975;75.067;74.132;73.171;72.186;71.179;70.158;69.115;68.048;67.637;67.226;66.813;66.399;65.983;65.566;65.149;64.73;64.311;63.893;63.478;63.067;62.635;62.203;61.772;61.343;61.629;61.833999999999996;61.66;61.483999999999995;61.303999999999995;61.117;60.93;60.736999999999995;60.537;60.333;60.123000000000005;59.915;59.702;59.485;59.26;59.028
