geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.94;;;;;;;;;;;;;;;;5.2;;;7.38;;;;;;;
afg;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0054;;;;0.9584;;;;;
ago;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0025;;;;;;;1.0217;;;;;;
alb;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.9631;7.8132;3.2103;;;1.7602;1.38;1.06876;;
ant;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.82;8.55;11.63;5.58;1.61;6.41;;5.13;;;;;;
are;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.13;;;;;;;;1.69;
arg;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.34;;;;;;;;;;;;;10.3813;9.248;7.4884;;5.1021;5.617000000000001;4.6381;2.1455;2.5137;1.8849;2.7877;;;4.4708
arm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.79;;5.43;5.6534;6.2074;7.25;5.1146;6.8099;8.5843;8.4596;
asm;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.21;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.39;;;;;;;;;;;;;;;;
aus;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.617;1.3534;1.4954;1.1420000000000001;1.5172;1.4604;1.6036;1.3386;1.0945;1.2693;1.5364;1.6048;1.7704;2.0869;1.9780000000000002;1.8145;1.4724;1.6731;1.5987;1.151;0.9161;1.0239;1.4425;0.9255;0.8755;0.9089;1.0069;1.3312;1.1725;1.0109;1.2657;1.5279;1.1478;1.6159;1.5111;2.224;1.5151;1.5515;1.3980000000000001
aut;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;0.0;0.7003;;;9.7799;;;0.32;;1.4104;;1.0334;0.5074;0.4406;0.2579;0.4148;0.3079;0.5253;0.4009;0.3259;0.8083;0.39899999999999997;0.4948;0.8468
aze;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.33;;;;;;;;;;;;0.0;0.0;;0.0;;;
bdi;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;39.0
bel;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9747;;;;;;;;1.8647;;1.6659;2.6005;;;;;;;;;0.8902;0.7647;1.2312;1.2054;;0.8929;;1.3662;0.9889;;0.8671;1.7034;1.1874
ben;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23;;;;;;;;;0.9561;;;;;;
bfa;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;;;;;;2.4545;;;
bgd;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.99;;;3.2429;;;;3.6357;;;0.7177;;;0.87;
bgr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.832;8.3101;5.2071;1.9098;;1.1935;2.8739;2.4559;2.2496;2.6551;4.8132;3.6254;3.3458;6.2106;5.6071;4.2727;3.0299;3.5609
bhr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.81;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;
bhs;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;;;;;;;;3.23;;;;;3.07;;3.56;;;2.99;6.05;;32.72;;;;;;
bih;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.48;;;
blr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.04;
blz;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.14;;;8.66;3.37;
bmu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.49;;2.91;;1.53;;;
