geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;0.11;;;0.47;;;0.51;;;;;;;0.68;;;0.64;0.6;;;;;;
afg;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.13;;;;38.59;;;;;
ago;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;5.06;;;;;;;;;;;;36.16;;;;;;;51.22;;;;;;
aia;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.27;;2.89;;;;;;;;;;;;;;;;
alb;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;67.18;68.37;70.25;69.65;70.78;72.11;71.82;72.15;57.72;58.1;58.54;58.47;57.97;36.65;44.64;44.05;42.08;45.39;45.97;44.03;42.7;41.26;;
ant;agriculture_workers_percent_of_employment;;;;;;;;1.06;0.89;;0.43;0.47;;0.44;0.76;0.76;0.72;0.29;;0.82;0.73;0.6;0.57;0.7;0.6;0.77;0.75;0.91;1.06;;1.08;;0.88;0.92;0.87;0.91;1.05;1.21;1.13;0.83;;0.69;;0.22;;;;
are;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;7.99;;;;;7.89;;;;;4.9;;;4.25;;;;;;;;0.14;0.91
arg;agriculture_workers_percent_of_employment;;;;;;;;;;;;;0.12;0.27;0.26;;;;;;0.35;0.34;0.4;0.45;0.45;0.62;0.76;0.79;0.76;0.74;0.67;0.83;0.98;1.39;1.49;1.28;1.05;0.92;1.19;1.22;3.36;2.99;3.04;2.44;2.04;;;0.06
arm;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.26;;;;;36.53;37.4;39.45;;36.89;37.28;;34.83;35.33;33.6;
asm;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;2.44;;;;;;;;;;3.09;;;;;;;;;;3.02;;;;;;;
atg;agriculture_workers_percent_of_employment;;;;11.28;11.4;11.89;11.45;;;;;;;;;;;;;;;;;;;;;;;;;2.8;2.81;2.81;2.81;2.81;2.81;2.8;2.8;;;;;;;;;
aus;agriculture_workers_percent_of_employment;8.04;7.48;7.88;7.37;6.91;6.81;6.52;6.68;6.24;6.56;6.48;6.48;6.42;6.6;6.2;6.14;6.1;5.79;5.85;5.51;5.56;5.46;5.28;5.31;5.08;4.94;5.0;5.09;4.88;4.92;4.86;4.75;4.38;3.91;3.74;3.58;3.43;3.35;3.31;3.23;3.23;2.82;2.8;2.62;2.8;2.64;2.63;2.59
aut;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;9.92;9.4;8.99;8.61;8.63;8.14;7.93;7.85;7.36;7.05;6.89;7.2;7.34;7.43;6.89;6.48;6.23;6.05;5.8;5.76;5.5;4.89;5.27;5.24;5.53;5.25;5.32;5.21;4.94;4.68;4.58;4.84;4.53;4.35;3.93
aze;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;33.37;33.4;33.23;33.11;33.65;32.74;31.61;30.9;31.78;34.7;32.4;31.5;30.8;31.8;29.0;42.3;42.31;41.01;39.95;40.19;38.2;39.54;39.32;39.55;38.55;39.59;38.12;38.23;37.88;37.65;37.1;36.75;36.36;36.34;36.35
bdi;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.21;;;;;;;;;;;;;;;;;;;
bel;agriculture_workers_percent_of_employment;4.86;4.49;4.21;3.99;3.81;3.77;3.56;3.44;3.33;3.3;3.12;3.11;3.11;3.13;3.11;3.06;2.99;2.9;2.8;2.72;2.66;;2.9;2.63;2.89;2.68;2.75;2.66;2.24;2.39;1.91;1.38;1.79;1.72;2.22;2.04;1.95;1.86;1.55;1.49;1.35;1.3;1.17;1.36;1.22;1.18;1.25;1.16
ben;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.11;43.61;;;;;;
bfa;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;88.79;;;;;;;;;;;;78.42;;;;;;;;30.23;;;
bgd;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;58.79;57.67;57.14;;;64.95;;66.39;;;;;63.25;;;;62.15;;;51.74;;48.08;48.08;;;;47.3;;;45.1;;;42.66;40.59
bgr;agriculture_workers_percent_of_employment;;;;;;;;;;24.93;24.35;23.7;22.87;22.13;21.47;20.96;20.44;19.72;19.26;18.66;18.49;19.54;21.2;22.12;23.18;23.85;24.36;25.35;26.18;25.77;13.13;9.68;10.69;11.13;10.72;8.93;8.11;7.54;7.47;7.09;6.81;6.78;6.44;6.66;7.01;6.86;6.75;7.01
bhr;agriculture_workers_percent_of_employment;;;;;;;;;;3.07;;2.66;2.62;;;;;;;;;2.41;;;;;;;;;;1.54;;;;;;;;;1.07;;;;;1.06;;
bhs;agriculture_workers_percent_of_employment;;;;9.19;;8.15;;5.56;;1.96;;;;;;;5.04;;;4.42;;5.2;5.24;5.41;5.41;4.33;4.97;3.83;3.52;4.01;;4.18;3.69;2.99;4.43;3.48;2.51;2.3;2.92;2.87;;3.68;;;;;;
bih;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.08;17.88;;
blr;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;23.77;22.9;22.07;21.57;21.13;22.28;21.72;21.18;;;;;;;;;;;;;;;10.5;;;;;;9.7;9.72;
blz;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;24.17;22.89;27.15;28.68;29.91;25.01;27.47;;;;;;19.53;;;;;;;17.82;17.87;10.52;15.64;14.94;17.73
bmu;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.36;1.63;1.71;1.69;1.7;;;;;1.13;1.4;;1.2;1.63;;;;
bol;agriculture_workers_percent_of_employment;;;;;;;48.1;47.7;47.4;46.9;46.5;46.34;46.4;47.42;47.27;47.43;47.43;47.38;47.38;47.38;47.38;1.77;2.09;1.87;1.63;2.2;5.3;5.7;;39.95;38.9;44.2;42.39;35.08;35.08;38.61;39.5;36.1;31.18;30.07;;29.78;27.78;29.22;30.84;27.81;29.19;28.18
bra;agriculture_workers_percent_of_employment;;;;;;;;;;;;29.25;29.5;27.06;29.83;28.62;25.85;24.59;24.24;23.16;22.84;;28.29;27.42;;21.5;20.47;20.22;19.55;20.04;;19.78;19.93;20.08;20.54;20.03;19.02;18.09;17.26;16.84;;15.41;11.49;11.2;10.37;10.24;10.18;9.5
brb;agriculture_workers_percent_of_employment;;;;;;;10.15;9.98;9.95;;;9.38;8.63;8.05;9.13;8.47;8.21;7.97;7.78;6.61;6.27;5.52;6.24;5.56;5.31;4.64;5.27;5.27;4.44;4.31;3.72;4.2;4.04;4.56;3.41;2.38;3.61;3.01;2.78;2.94;2.84;3.27;2.78;2.7;2.71;2.89;2.86;
brn;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;2.03;;;;;;;;;;1.36;;;;;;;;;;;;;0.53;;;1.36
btn;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.76;;43.62;63.06;;;65.37;59.6;60.15;62.21;56.34;56.65;57.99;;
bwa;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;57.9;;;;;;;;;;;15.57;;20.39;;19.71;12.35;;21.22;;;29.93;;;25.0;26.43;;;;;;;
can;agriculture_workers_percent_of_employment;7.48;7.34;6.75;6.4;6.21;6.07;;;;;;;;;;;;3.77;3.55;3.41;3.35;3.49;3.45;3.48;3.35;3.15;3.11;3.01;2.99;2.81;2.52;2.16;2.12;2.11;2.02;2.12;2.11;2.0;1.94;1.95;1.81;1.79;1.75;1.77;1.71;1.64;1.95;1.52
che;agriculture_workers_percent_of_employment;8.59;8.19;7.85;7.55;7.44;7.62;7.77;7.56;7.3;7.11;6.88;6.56;6.45;6.37;6.19;6.05;5.69;5.32;4.91;4.54;4.24;4.3;4.23;4.54;4.44;4.48;4.22;4.44;4.41;4.6;4.66;4.33;4.23;4.2;3.87;3.88;3.79;3.98;3.31;3.07;3.3;3.36;3.4;3.41;3.46;3.35;3.28;3.03
chl;agriculture_workers_percent_of_employment;;;;;;21.57;18.0;18.44;17.74;16.79;16.27;15.54;16.22;15.84;16.01;20.19;20.58;20.88;20.28;19.38;19.25;19.09;18.02;16.55;16.22;15.7;15.41;14.42;14.44;14.43;14.44;13.6;13.5;13.6;13.36;13.16;12.85;12.31;11.72;12.65;10.61;10.26;9.98;9.47;9.4;9.38;9.48;9.25
chn;agriculture_workers_percent_of_employment;80.77;;;;;77.17;;;70.53;69.8;68.75;68.1;68.13;67.08;64.05;62.42;60.95;59.99;59.35;60.05;60.1;59.7;58.5;56.4;54.3;52.2;50.5;49.9;49.8;50.1;50.0;50.0;50.0;49.1;46.9;44.8;42.6;40.8;39.6;38.1;36.7;34.8;33.6;31.4;29.5;28.3;27.7;
civ;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.93;45.17;;;48.2;
cmr;agriculture_workers_percent_of_employment;;;;;;;;;;;;;;;;;76.87;;;;;;;;;;;;;;;61.32;;;;;;58.7;;;;;;;47.55;;;
