geo;indicator;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
afg;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;1041.0;981.9;929.6;995.3;1059.0;1088.0;1163.0;1172.0;1205.0;1148.0;1142.0;1285.0;1424.0;1512.0;1501.0;1466.0;1511.0;1365.0;1243.0;1128.0;1089.0;969.8;902.1;600.9;431.8;619.0;570.4;527.2;490.6;454.0;427.4;406.2;614.8;703.9;696.6;775.7;799.4;894.2;894.0;1018.0;1049.0
ago;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;2367.0;2445.0;2390.0;2527.0;2624.0;2532.0;2382.0;2312.0;2142.0;2096.0;2050.0;1995.0;1869.0;1904.0;1972.0;1980.0;1819.0;1921.0;2010.0;1989.0;1939.0;1866.0;1979.0;1614.0;1737.0;1922.0;2576.0;2192.0;2396.0;2404.0;2332.0;2191.0;2486.0;2458.0;2599.0;3055.0;3599.0;4465.0;4965.0;5167.0;5108.0
alb;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;2886.0;2930.0;2974.0;3052.0;3099.0;3156.0;3214.0;3252.0;3339.0;3403.0;3375.0;3627.0;3613.0;3560.0;3398.0;3447.0;3616.0;3616.0;3504.0;3699.0;3231.0;2339.0;2295.0;2516.0;2681.0;2986.0;3231.0;3076.0;2959.0;3297.0;3416.0;3527.0;3629.0;4064.0;4560.0;4939.0;5398.0;5902.0;6606.0;6790.0;6617.0
are;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59880.0;59280.0;54300.0;57900.0;64200.0;60830.0;58960.0;56060.0;57100.0;58360.0;59640.0;61450.0;58580.0;57780.0;61720.0;60020.0;58390.0;60350.0;62410.0;62640.0;65880.0;65420.0;64150.0;61100.0;60130.0
arg;alternative_gdp_per_capita_ppp_pwt_7_1;5273.0;5480.0;5038.0;5167.0;5246.0;5534.0;5531.0;5689.0;5982.0;5561.0;6033.0;6152.0;6103.0;5780.0;6163.0;6692.0;6607.0;6711.0;6925.0;7482.0;7615.0;7823.0;7823.0;7934.0;8210.0;8045.0;7933.0;8382.0;7916.0;8393.0;8487.0;7875.0;7604.0;7774.0;7656.0;7009.0;7618.0;7690.0;7534.0;6903.0;6941.0;7423.0;7846.0;8167.0;8508.0;8329.0;8641.0;9148.0;9404.0;9055.0;8902.0;8552.0;7916.0;8442.0;8977.0;9671.0;10320.0;11000.0;11480.0;11590.0;12340.0
arm;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1606.0;1721.0;1918.0;2029.0;2039.0;2212.0;2296.0;2518.0;2837.0;3186.0;3482.0;3940.0;4452.0;4969.0;5496.0;5628.0;5247.0;5412.0
atg;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;4593.0;4886.0;5195.0;5569.0;5772.0;5426.0;4843.0;5397.0;5400.0;5634.0;6566.0;6709.0;6661.0;7669.0;8414.0;9019.0;9743.0;9946.0;10830.0;11530.0;11670.0;11710.0;11540.0;11940.0;12860.0;12600.0;13220.0;13330.0;13700.0;14260.0;13900.0;14120.0;14770.0;14220.0;14960.0;15010.0;16040.0;17670.0;16790.0;15210.0;14470.0
aus;alternative_gdp_per_capita_ppp_pwt_7_1;13030.0;13310.0;11630.0;12950.0;13880.0;14120.0;13580.0;13600.0;14410.0;14990.0;15210.0;14770.0;15490.0;16260.0;17140.0;17240.0;18030.0;18670.0;19500.0;20350.0;20660.0;20900.0;20850.0;21400.0;19210.0;19510.0;20120.0;20310.0;21060.0;21380.0;21900.0;22400.0;21780.0;22470.0;23250.0;24180.0;24550.0;25600.0;26110.0;26550.0;26180.0;26250.0;26980.0;27630.0;28620.0;29520.0;30430.0;31510.0;32770.0;33830.0;34090.0;34950.0;35820.0;36960.0;37650.0;38380.0;39280.0;40290.0;40390.0;40810.0;41110.0
aut;alternative_gdp_per_capita_ppp_pwt_7_1;6221.0;6627.0;6574.0;6752.0;7330.0;8086.0;8336.0;8858.0;9188.0;9445.0;10550.0;11050.0;11240.0;11620.0;12250.0;12550.0;13170.0;13470.0;13990.0;14750.0;15740.0;16530.0;17480.0;18320.0;18880.0;18870.0;19820.0;20900.0;20540.0;22210.0;22420.0;22440.0;22630.0;23220.0;23360.0;24170.0;24510.0;24980.0;25780.0;26730.0;27510.0;27960.0;28140.0;28250.0;28560.0;29360.0;29900.0;30610.0;31680.0;32660.0;33630.0;33840.0;34270.0;34560.0;35230.0;36150.0;37350.0;38760.0;39330.0;37630.0;38590.0
aze;alternative_gdp_per_capita_ppp_pwt_7_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3119.0;2501.0;1812.0;1774.0;1846.0;2021.0;2362.0;2525.0;2772.0;3020.0;3379.0;3792.0;4659.0;5979.0;7342.0;8065.0;8831.0;9479.0
