geo;indicator;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
ago;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;;;;;;;;;;;2396.0;2488.0;2441.0;2580.0;2604.0;2400.0;2217.0;2187.0;2015.0;1981.0;1890.0;1808.0;1759.0;1747.0;1874.0;1781.0;1746.0;1956.0;1856.0;1853.0;1899.0;2030.0;2155.0;1514.0;1664.0;1869.0;2208.0;2176.0;1924.0;2285.0;1738.0;1621.0;1886.0;1878.0;2002.0;2411.0;2916.0;3317.0;3741.0;3194.0;3991.0;4214.0
alb;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;;;;;;;;;;;3748.0;3803.0;3863.0;3924.0;3989.0;4059.0;4128.0;4200.0;4284.0;4352.0;4432.0;4557.0;4578.0;4582.0;4377.0;4325.0;4468.0;4321.0;4108.0;4451.0;4515.0;2547.0;1930.0;2490.0;3190.0;3521.0;4157.0;3756.0;3769.0;4341.0;4453.0;4597.0;4621.0;4885.0;5193.0;5371.0;5754.0;6117.0;6760.0;7177.0;7315.0;7365.0
arg;alternative_gdp_per_capita_ppp_pwt_8_0;2146.0;2208.0;1961.0;1996.0;2048.0;2198.0;2215.0;2277.0;2403.0;2251.0;2383.0;2451.0;2302.0;2258.0;2380.0;2685.0;2626.0;2705.0;2746.0;2942.0;2951.0;3061.0;3075.0;3184.0;3254.0;3133.0;3072.0;3152.0;3010.0;3240.0;3372.0;3304.0;3298.0;3559.0;3733.0;3525.0;3976.0;4203.0;4377.0;4230.0;4604.0;5413.0;6309.0;7167.0;8306.0;9078.0;11680.0;11780.0;11560.0;10590.0;10180.0;9364.0;8663.0;9014.0;9437.0;9957.0;10770.0;11600.0;12430.0;12370.0;13360.0;14510.0
arm;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3901.0;4438.0;2872.0;2316.0;2397.0;2397.0;2567.0;2448.0;2493.0;2508.0;2604.0;2831.0;3159.0;3548.0;3883.0;4359.0;4850.0;5447.0;5613.0;4835.0;5002.0;5235.0
atg;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;;;;;;;;;;;4329.0;4587.0;4859.0;5214.0;5348.0;4988.0;4535.0;4857.0;4894.0;5636.0;5736.0;5912.0;6178.0;7199.0;7375.0;7933.0;8648.0;9191.0;10830.0;11430.0;12010.0;11960.0;12170.0;12760.0;13110.0;12140.0;12370.0;12700.0;13130.0;13400.0;13380.0;13300.0;13770.0;13630.0;14050.0;14030.0;14700.0;16050.0;16470.0;14900.0;13320.0;12910.0
aus;alternative_gdp_per_capita_ppp_pwt_8_0;11640.0;10520.0;10200.0;11040.0;11470.0;11600.0;11620.0;11360.0;11830.0;12430.0;12290.0;12370.0;12830.0;13670.0;13970.0;13950.0;14590.0;14910.0;15780.0;16600.0;16750.0;16970.0;17490.0;18650.0;17860.0;17680.0;18180.0;18100.0;18840.0;19300.0;19710.0;20400.0;19630.0;20480.0;21000.0;21280.0;21370.0;22680.0;23980.0;24620.0;24050.0;23830.0;24500.0;25260.0;26380.0;27460.0;28410.0;29470.0;30440.0;31650.0;31810.0;32640.0;33290.0;34280.0;34900.0;35510.0;36070.0;36530.0;36210.0;36080.0;37580.0;38500.0
aut;alternative_gdp_per_capita_ppp_pwt_8_0;4836.0;5014.0;5253.0;5512.0;5872.0;6447.0;6959.0;7302.0;7621.0;7891.0;8441.0;8886.0;9093.0;9445.0;9846.0;10120.0;10550.0;10800.0;11240.0;11740.0;12410.0;12990.0;13770.0;14510.0;14800.0;14860.0;15280.0;15900.0;15910.0;16540.0;16630.0;16460.0;16590.0;16960.0;16920.0;17240.0;18080.0;18820.0;19920.0;21140.0;22480.0;23710.0;24540.0;24950.0;26140.0;27470.0;27990.0;28970.0;30630.0;31810.0;32910.0;32190.0;32790.0;32630.0;33370.0;33230.0;34700.0;35830.0;36410.0;35430.0;36640.0;37280.0
aze;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6497.0;7837.0;5377.0;4381.0;3129.0;2098.0;2029.0;2049.0;1973.0;2127.0;2528.0;2782.0;2772.0;2894.0;3067.0;4327.0;5997.0;7696.0;9446.0;7876.0;8923.0;9317.0
bdi;alternative_gdp_per_capita_ppp_pwt_8_0;;;;;;;;;;;470.1;394.5;419.5;431.7;437.0;442.6;436.7;479.0;470.3;441.5;558.0;564.0;502.7;547.7;541.8;498.9;589.3;673.1;615.2;607.4;602.0;628.3;575.3;580.7;586.2;628.2;655.1;626.8;581.4;610.1;570.8;544.9;496.0;474.8;458.3;418.6;408.6;506.1;478.3;466.5;447.6;452.3;448.5;455.7;473.4;435.9;433.8;430.3;534.9;462.8;471.2;490.1
bel;alternative_gdp_per_capita_ppp_pwt_8_0;7192.0;7674.0;7792.0;7749.0;8036.0;8489.0;8811.0;8819.0;8737.0;8792.0;9338.0;9698.0;10160.0;10430.0;11090.0;11460.0;11740.0;12130.0;12590.0;13450.0;14250.0;14670.0;15570.0;16700.0;17210.0;16830.0;17880.0;18210.0;18890.0;19540.0;20260.0;18990.0;18400.0;17860.0;17900.0;17740.0;18680.0;19440.0;20960.0;22170.0;23040.0;23490.0;24230.0;24360.0;25270.0;26120.0;26170.0;27690.0;28590.0;29680.0;31590.0;31740.0;32460.0;31520.0;31760.0;31680.0;32450.0;33660.0;34300.0;33670.0;35220.0;35450.0
