geo;indicator;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
afg;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;1731.0;1748.0;2120.0;2119.0;2148.0;2263.0;2270.0;2121.0;2205.0;2121.0;2121.0;2298.0;2423.0;2529.0;2556.0;2549.0;2617.0;2326.0;2096.0;1907.0;1751.0;1837.0;1447.0;1137.0;1022.0;920.7;939.7;1029.0;1047.0;880.6;478.1;418.2;525.9;588.1;580.8
ago;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1975.0;;;;
alb;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3902.0;2120.0;1436.0;1871.0;2347.0;2738.0;2658.0;2403.0;2669.0;3256.0;3797.0;4058.0;4134.0;4160.0;4499.0
ant;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;12020.0;12140.0;12260.0;13050.0;12730.0;12120.0;12400.0;12930.0;13930.0;14230.0;15320.0;15320.0;14920.0;14670.0;14250.0;13710.0;12540.0;12770.0;12700.0;13450.0;13710.0;13780.0;14180.0;14770.0;15480.0;15350.0;15130.0;15070.0;14860.0;14560.0;14010.0;14070.0;14020.0;14080.0;
are;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;9756.0;10800.0;9901.0;15220.0;38430.0;43250.0;43630.0;44560.0;38130.0;42140.0;46960.0;43740.0;36680.0;31560.0;30130.0;27090.0;20160.0;20900.0;19860.0;22000.0;25290.0;24630.0;24710.0;22450.0;24010.0;25350.0;26940.0;28790.0;28590.0;29110.0;32180.0;32850.0;32980.0;35680.0;
arg;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;7091.0;7313.0;6736.0;6754.0;6950.0;7396.0;7353.0;7562.0;7949.0;7354.0;7859.0;8068.0;7968.0;7545.0;8031.0;8739.0;8569.0;8701.0;9005.0;9647.0;9740.0;9948.0;9946.0;10180.0;10590.0;10360.0;10110.0;10500.0;10090.0;10720.0;10810.0;10080.0;9493.0;9723.0;9829.0;8974.0;9533.0;9623.0;9228.0;8465.0;8231.0;9099.0;10050.0;10530.0;10970.0;10570.0;10910.0;11600.0;11930.0;11590.0;11330.0;10690.0;9561.0;10170.0;10940.0
arm;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2674.0;2833.0;2805.0;3026.0;3172.0;3471.0;3913.0;4338.0;4765.0;
atg;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;;;;;;;;;;;;;;;;;;;;;5168.0;4979.0;5249.0;5022.0;5170.0;4871.0;4414.0;4717.0;4738.0;5263.0;5383.0;5281.0;5618.0;7076.0;7171.0;7499.0;7878.0;7852.0;9697.0;9985.0;10790.0;10710.0;11150.0;12000.0;12620.0;12020.0;12440.0;12950.0;13670.0;14060.0;14060.0;14320.0;15270.0;15820.0;
aus;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;9261.0;9215.0;8613.0;9390.0;9924.0;10130.0;9936.0;9932.0;10390.0;10780.0;10780.0;10690.0;11130.0;11650.0;12210.0;12290.0;12730.0;12980.0;13810.0;14310.0;14670.0;15080.0;15360.0;15900.0;15620.0;15830.0;16250.0;16370.0;16880.0;17090.0;17460.0;17940.0;17500.0;17980.0;18480.0;19140.0;19290.0;19920.0;20270.0;20770.0;20420.0;20380.0;20800.0;21300.0;22010.0;22650.0;23270.0;24010.0;24950.0;25660.0;25830.0;26530.0;27120.0;27870.0;27990.0
aut;alternative_gdppercapita_ppp_inflation_adjusted_from_pwt;5011.0;5335.0;5304.0;5470.0;5930.0;6519.0;6736.0;7154.0;7421.0;7631.0;8495.0;8906.0;9071.0;9374.0;9869.0;10110.0;10610.0;10880.0;11300.0;11910.0;12690.0;13290.0;14060.0;14720.0;15220.0;15180.0;15890.0;16720.0;16450.0;17740.0;17830.0;17910.0;18240.0;18710.0;18790.0;19360.0;19650.0;19930.0;20620.0;21410.0;22220.0;22760.0;23090.0;22980.0;23270.0;23590.0;24020.0;24490.0;25340.0;26110.0;27000.0;27190.0;27350.0;27570.0;28160.0
