geo;indicator;2004;2005;2006;2007
abkh;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
abw;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
afg;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
ago;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
aia;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
akr_a_dhe;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
ala;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
alb;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
and;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
ant;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
are;average_age_of_dollar_billionaires_years;50.0;51.0;62.5;61.33
arg;average_age_of_dollar_billionaires_years;69.0;70.0;71.0;72.0
arm;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
asm;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
atg;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
aus;average_age_of_dollar_billionaires_years;69.6;69.33;62.14;64.08
aut;average_age_of_dollar_billionaires_years;69.33;73.75;71.33;72.33
aze;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bdi;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bel;average_age_of_dollar_billionaires_years;78.0;79.0;66.5;67.5
ben;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bfa;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bgd;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bgr;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bhr;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bhs;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bih;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
blr;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
blz;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bmu;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bol;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bra;average_age_of_dollar_billionaires_years;70.5;67.71;58.0;59.41
brb;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
brn;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
btn;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
bwa;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
caf;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
can;average_age_of_dollar_billionaires_years;65.5;63.94;62.85;61.14
cck;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
chanisl;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
che;average_age_of_dollar_billionaires_years;66.0;67.0;63.86;64.86
cheslo;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
chl;average_age_of_dollar_billionaires_years;75.0;76.0;76.0;70.33
chn;average_age_of_dollar_billionaires_years;62.0;49.0;47.5;48.85
civ;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cmr;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cod;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cog;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cok;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
col;average_age_of_dollar_billionaires_years;75.5;76.5;77.5;78.5
com;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cpv;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cri;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cub;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cxr;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cym;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cyp;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;58.0
cyp_nor;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
cze;average_age_of_dollar_billionaires_years;0.0;0.0;41.0;42.0
deu;average_age_of_dollar_billionaires_years;66.19;65.13;66.15;66.25
deu_east;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
deu_west;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
dji;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
dma;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
dnk;average_age_of_dollar_billionaires_years;67.0;68.0;75.0;76.0
dom;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
dza;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
ecu;average_age_of_dollar_billionaires_years;0.0;0.0;0.0;0.0
egy;average_age_of_dollar_billionaires_years;0.0;75.0;76.0;59.67
