geo;indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;body_mass_index_bmi_men_kgperm2;21.49;21.47;21.45;21.44;21.43;21.41;21.4;21.38;21.34;21.3;21.25;21.2;21.14;21.06;20.98;20.91;20.85;20.81;20.79;20.75;20.7;20.63;20.6;20.59;20.58;20.58;20.59;20.6;20.62
ago;body_mass_index_bmi_men_kgperm2;20.95;20.94;20.94;20.93;20.94;20.95;20.96;20.98;21.01;21.05;21.09;21.12;21.15;21.14;21.14;21.16;21.19;21.23;21.27;21.32;21.37;21.44;21.52;21.6;21.69;21.81;21.94;22.09;22.25
alb;body_mass_index_bmi_men_kgperm2;25.23;25.24;25.26;25.27;25.28;25.29;25.29;25.3;25.3;25.32;25.32;25.28;25.23;25.21;25.22;25.26;25.31;25.34;25.39;25.47;25.56;25.67;25.77;25.87;25.98;26.09;26.21;26.33;26.45
and;body_mass_index_bmi_men_kgperm2;25.67;25.71;25.75;25.78;25.82;25.85;25.89;25.93;25.98;26.04;26.11;26.18;26.24;26.3;26.37;26.44;26.51;26.58;26.66;26.75;26.83;26.92;27.03;27.12;27.23;27.33;27.44;27.53;27.63
ant;body_mass_index_bmi_men_kgperm2;24.62;24.76;24.89;25.01;25.11;25.2;25.28;25.36;25.43;25.51;25.59;25.68;25.76;25.87;25.98;26.11;26.24;26.37;26.5;26.64;26.77;26.89;27.0;27.11;27.24;27.35;27.46;27.58;27.71
are;body_mass_index_bmi_men_kgperm2;24.88;25.08;25.24;25.36;25.51;25.63;25.7;25.79;25.83;25.9;25.98;26.07;26.17;26.26;26.39;26.51;26.64;26.76;26.86;26.98;27.08;27.17;27.28;27.4;27.51;27.62;27.76;27.9;28.05
arg;body_mass_index_bmi_men_kgperm2;25.38;25.45;25.5;25.56;25.61;25.67;25.72;25.79;25.84;25.89;25.92;25.99;26.08;26.17;26.28;26.38;26.47;26.58;26.69;26.79;26.88;26.96;27.0;27.05;27.11;27.19;27.28;27.39;27.5
arm;body_mass_index_bmi_men_kgperm2;23.82;23.86;23.91;23.96;24.0;24.04;24.09;24.13;24.17;24.2;24.21;24.2;24.13;24.06;24.02;24.02;24.03;24.04;24.07;24.12;24.18;24.27;24.38;24.5;24.64;24.81;24.99;25.18;25.36
atg;body_mass_index_bmi_men_kgperm2;23.31;23.39;23.46;23.54;23.64;23.73;23.83;23.94;24.05;24.16;24.27;24.37;24.46;24.54;24.61;24.66;24.73;24.79;24.85;24.92;24.99;25.06;25.13;25.21;25.3;25.4;25.51;25.64;25.77
aus;body_mass_index_bmi_men_kgperm2;24.93;25.0;25.08;25.15;25.23;25.32;25.41;25.51;25.6;25.7;25.81;25.9;26.01;26.11;26.2;26.29;26.38;26.47;26.56;26.66;26.74;26.84;26.94;27.04;27.14;27.25;27.35;27.46;27.56
aut;body_mass_index_bmi_men_kgperm2;24.84;24.88;24.93;24.98;25.02;25.06;25.11;25.15;25.19;25.25;25.31;25.37;25.44;25.51;25.57;25.62;25.66;25.72;25.76;25.82;25.87;25.94;26.0;26.06;26.14;26.21;26.29;26.38;26.47
aze;body_mass_index_bmi_men_kgperm2;24.49;24.53;24.56;24.6;24.64;24.68;24.72;24.76;24.79;24.82;24.83;24.84;24.82;24.76;24.69;24.62;24.56;24.5;24.47;24.48;24.51;24.57;24.66;24.77;24.89;25.06;25.26;25.46;25.65
bdi;body_mass_index_bmi_men_kgperm2;21.09;21.11;21.13;21.13;21.13;21.15;21.17;21.2;21.23;21.25;21.27;21.31;21.34;21.35;21.35;21.34;21.33;21.32;21.31;21.31;21.3;21.3;21.32;21.34;21.36;21.39;21.42;21.46;21.5
bel;body_mass_index_bmi_men_kgperm2;25.1;25.12;25.16;25.19;25.22;25.25;25.29;25.32;25.38;25.43;25.49;25.56;25.64;25.71;25.78;25.84;25.91;25.99;26.05;26.12;26.18;26.24;26.31;26.37;26.45;26.52;26.6;26.68;26.76
ben;body_mass_index_bmi_men_kgperm2;20.81;20.84;20.88;20.91;20.96;21.01;21.05;21.08;21.13;21.17;21.21;21.26;21.3;21.35;21.4;21.46;21.52;21.59;21.65;21.72;21.8;21.87;21.95;22.03;22.1;22.18;22.25;22.33;22.42
bfa;body_mass_index_bmi_men_kgperm2;20.03;20.06;20.09;20.12;20.14;20.18;20.22;20.25;20.29;20.32;20.34;20.37;20.4;20.43;20.46;20.49;20.53;20.57;20.61;20.66;20.71;20.76;20.82;20.89;20.95;21.03;21.11;21.19;21.27
bgd;body_mass_index_bmi_men_kgperm2;20.52;20.48;20.44;20.4;20.37;20.33;20.3;20.26;20.23;20.21;20.18;20.16;20.14;20.13;20.12;20.11;20.1;20.11;20.13;20.13;20.15;20.17;20.19;20.21;20.24;20.28;20.32;20.35;20.4
bgr;body_mass_index_bmi_men_kgperm2;25.29;25.34;25.4;25.45;25.51;25.56;25.61;25.67;25.72;25.77;25.79;25.79;25.79;25.78;25.78;25.78;25.78;25.77;25.78;25.8;25.84;25.9;25.96;26.03;26.11;26.21;26.31;26.42;26.54
bhr;body_mass_index_bmi_men_kgperm2;23.98;24.09;24.21;24.32;24.43;24.54;24.63;24.75;24.87;24.99;25.11;25.25;25.4;25.56;25.72;25.88;26.03;26.19;26.34;26.5;26.65;26.8;26.95;27.09;27.24;27.39;27.54;27.69;27.84
bhs;body_mass_index_bmi_men_kgperm2;24.21;24.31;24.43;24.54;24.67;24.78;24.91;25.03;25.15;25.26;25.36;25.44;25.51;25.58;25.66;25.72;25.8;25.89;25.99;26.12;26.26;26.39;26.51;26.63;26.76;26.89;27.01;27.13;27.25
