geo;indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;body_mass_index_bmi_women_kgperm2;20.44;20.48;20.52;20.56;20.61;20.65;20.69;20.71;20.72;20.71;20.71;20.7;20.68;20.64;20.59;20.57;20.56;20.57;20.59;20.62;20.62;20.61;20.65;20.71;20.77;20.84;20.91;20.99;21.07
ago;body_mass_index_bmi_women_kgperm2;20.07;20.13;20.19;20.26;20.34;20.43;20.51;20.61;20.71;20.81;20.91;21.0;21.09;21.13;21.18;21.26;21.36;21.48;21.61;21.76;21.91;22.08;22.26;22.45;22.64;22.83;23.04;23.26;23.48
alb;body_mass_index_bmi_women_kgperm2;25.17;25.19;25.2;25.22;25.22;25.21;25.21;25.19;25.17;25.15;25.14;25.05;24.97;24.94;24.94;24.94;24.97;24.97;25.0;25.06;25.13;25.2;25.27;25.33;25.4;25.47;25.53;25.59;25.66
and;body_mass_index_bmi_women_kgperm2;25.67;25.69;25.7;25.7;25.71;25.71;25.71;25.72;25.75;25.78;25.81;25.85;25.88;25.9;25.92;25.94;25.97;26.0;26.03;26.07;26.11;26.15;26.2;26.24;26.29;26.32;26.37;26.4;26.43
ant;body_mass_index_bmi_women_kgperm2;26.53;26.69;26.83;26.95;27.05;27.13;27.21;27.29;27.36;27.44;27.53;27.61;27.72;27.84;27.97;28.11;28.23;28.35;28.47;28.6;28.73;28.84;28.96;29.09;29.19;29.28;29.36;29.47;29.57
are;body_mass_index_bmi_women_kgperm2;27.2;27.37;27.52;27.61;27.69;27.74;27.76;27.78;27.8;27.86;27.92;27.98;28.06;28.09;28.14;28.27;28.36;28.44;28.56;28.68;28.8;28.9;28.99;29.09;29.19;29.26;29.39;29.51;29.61
arg;body_mass_index_bmi_women_kgperm2;23.84;23.96;24.07;24.17;24.27;24.38;24.49;24.61;24.72;24.82;24.92;25.05;25.2;25.36;25.52;25.68;25.84;26.0;26.16;26.33;26.48;26.61;26.7;26.81;26.93;27.06;27.19;27.33;27.47
arm;body_mass_index_bmi_women_kgperm2;25.78;25.83;25.89;25.95;26.01;26.06;26.12;26.18;26.22;26.23;26.23;26.2;26.09;26.0;25.93;25.91;25.91;25.93;25.98;26.05;26.13;26.23;26.34;26.47;26.59;26.73;26.86;27.0;27.13
atg;body_mass_index_bmi_women_kgperm2;24.22;24.34;24.44;24.56;24.7;24.86;25.03;25.18;25.35;25.53;25.67;25.81;25.96;26.06;26.16;26.22;26.29;26.37;26.45;26.53;26.61;26.69;26.76;26.85;26.96;27.1;27.23;27.37;27.51
aus;body_mass_index_bmi_women_kgperm2;23.63;23.76;23.88;23.99;24.11;24.25;24.36;24.48;24.6;24.73;24.86;24.99;25.12;25.24;25.36;25.48;25.6;25.72;25.83;25.94;26.04;26.15;26.26;26.37;26.47;26.57;26.68;26.78;26.88
aut;body_mass_index_bmi_women_kgperm2;23.9;23.95;23.99;24.03;24.06;24.09;24.13;24.16;24.19;24.23;24.29;24.34;24.39;24.44;24.48;24.53;24.58;24.61;24.66;24.71;24.75;24.8;24.83;24.87;24.92;24.96;25.01;25.05;25.09
aze;body_mass_index_bmi_women_kgperm2;26.2;26.25;26.3;26.36;26.42;26.47;26.53;26.58;26.62;26.66;26.67;26.68;26.64;26.58;26.49;26.4;26.35;26.3;26.28;26.29;26.35;26.43;26.54;26.67;26.82;27.0;27.19;27.36;27.51
bdi;body_mass_index_bmi_women_kgperm2;19.17;19.26;19.35;19.43;19.53;19.62;19.71;19.79;19.89;19.99;20.07;20.16;20.24;20.3;20.36;20.41;20.45;20.49;20.54;20.61;20.67;20.74;20.82;20.9;20.98;21.06;21.13;21.2;21.28
bel;body_mass_index_bmi_women_kgperm2;24.98;24.97;24.97;24.96;24.95;24.95;24.94;24.93;24.94;24.95;24.96;24.98;25.0;25.02;25.04;25.05;25.07;25.09;25.1;25.1;25.11;25.11;25.12;25.13;25.14;25.15;25.15;25.14;25.14
ben;body_mass_index_bmi_women_kgperm2;20.91;21.01;21.1;21.17;21.28;21.39;21.49;21.57;21.66;21.75;21.86;21.96;22.07;22.17;22.27;22.39;22.51;22.61;22.71;22.82;22.93;23.03;23.15;23.26;23.36;23.46;23.56;23.65;23.74
bfa;body_mass_index_bmi_women_kgperm2;19.39;19.45;19.52;19.58;19.64;19.73;19.84;19.95;20.05;20.13;20.22;20.3;20.38;20.46;20.53;20.6;20.67;20.73;20.8;20.88;20.95;21.03;21.12;21.22;21.31;21.39;21.47;21.55;21.63
bgd;body_mass_index_bmi_women_kgperm2;18.47;18.49;18.51;18.54;18.57;18.6;18.64;18.68;18.72;18.76;18.8;18.84;18.89;18.94;18.98;19.03;19.09;19.17;19.26;19.36;19.48;19.6;19.72;19.86;20.0;20.13;20.27;20.41;20.55
bgr;body_mass_index_bmi_women_kgperm2;25.53;25.56;25.59;25.61;25.63;25.64;25.66;25.68;25.71;25.71;25.67;25.6;25.54;25.47;25.4;25.36;25.29;25.23;25.21;25.2;25.21;25.22;25.25;25.29;25.33;25.37;25.42;25.47;25.52
bhr;body_mass_index_bmi_women_kgperm2;25.18;25.29;25.4;25.51;25.61;25.71;25.79;25.9;26.01;26.13;26.25;26.37;26.51;26.66;26.8;26.94;27.08;27.22;27.37;27.52;27.67;27.82;27.96;28.1;28.24;28.38;28.53;28.66;28.79
bhs;body_mass_index_bmi_women_kgperm2;25.73;25.87;26.03;26.18;26.34;26.49;26.65;26.78;26.93;27.07;27.19;27.29;27.37;27.45;27.53;27.61;27.7;27.81;27.92;28.05;28.19;28.33;28.44;28.55;28.65;28.77;28.9;29.02;29.14
bih;body_mass_index_bmi_women_kgperm2;25.0;25.05;25.11;25.16;25.2;25.24;25.28;25.32;25.35;25.36;25.36;25.34;25.28;25.21;25.17;25.2;25.29;25.43;25.56;25.68;25.78;25.88;25.97;26.04;26.12;26.19;26.25;26.3;26.36
blr;body_mass_index_bmi_women_kgperm2;26.26;26.24;26.22;26.2;26.17;26.15;26.14;26.12;26.11;26.1;26.09;26.08;26.06;26.04;25.99;25.96;25.93;25.95;25.97;25.98;26.02;26.07;26.12;26.18;26.25;26.33;26.44;26.54;26.64
blz;body_mass_index_bmi_women_kgperm2;25.75;25.9;26.04;26.16;26.27;26.36;26.45;26.57;26.69;26.82;26.96;27.1;27.27;27.45;27.61;27.77;27.92;28.07;28.22;28.37;28.54;28.7;28.87;29.05;29.21;29.36;29.51;29.66;29.82
bmu;body_mass_index_bmi_women_kgperm2;27.42;27.56;27.7;27.84;28.0;28.15;28.3;28.43;28.55;28.67;28.77;28.86;28.97;29.07;29.16;29.26;29.34;29.42;29.5;29.55;29.61;29.68;29.76;29.83;29.9;29.98;30.09;30.2;30.32
bol;body_mass_index_bmi_women_kgperm2;23.56;23.65;23.74;23.81;23.89;23.97;24.05;24.14;24.24;24.35;24.46;24.59;24.72;24.85;24.99;25.14;25.29;25.44;25.58;25.72;25.86;26.0;26.13;26.26;26.38;26.51;26.63;26.74;26.86
bra;body_mass_index_bmi_women_kgperm2;24.05;24.12;24.18;24.22;24.26;24.32;24.38;24.45;24.51;24.57;24.63;24.68;24.73;24.77;24.82;24.88;24.93;24.99;25.06;25.13;25.2;25.28;25.36;25.46;25.56;25.67;25.77;25.88;25.99
brb;body_mass_index_bmi_women_kgperm2;26.6;26.72;26.81;26.9;27.0;27.07;27.16;27.24;27.32;27.4;27.47;27.53;27.59;27.66;27.72;27.81;27.91;28.02;28.11;28.24;28.35;28.47;28.58;28.71;28.8;28.9;29.01;29.12;29.22
brn;body_mass_index_bmi_women_kgperm2;22.98;22.98;22.97;22.98;22.99;23.0;23.0;22.99;22.98;22.97;22.95;22.92;22.89;22.88;22.9;22.91;22.94;22.97;23.0;22.98;22.96;22.95;22.96;22.97;22.97;22.97;22.93;22.91;22.89
btn;body_mass_index_bmi_women_kgperm2;20.15;20.23;20.3;20.38;20.46;20.53;20.61;20.7;20.8;20.89;20.98;21.07;21.16;21.25;21.34;21.43;21.53;21.63;21.74;21.84;21.95;22.05;22.16;22.28;22.4;22.51;22.62;22.75;22.88
bwa;body_mass_index_bmi_women_kgperm2;23.35;23.43;23.52;23.62;23.72;23.81;23.92;24.03;24.16;24.29;24.41;24.53;24.64;24.72;24.81;24.9;24.98;25.07;25.15;25.23;25.33;25.42;25.52;25.62;25.71;25.81;25.89;26.0;26.09
caf;body_mass_index_bmi_women_kgperm2;19.86;19.94;20.01;20.06;20.11;20.15;20.22;20.27;20.34;20.41;20.49;20.57;20.63;20.7;20.78;20.87;20.95;21.04;21.15;21.27;21.39;21.52;21.65;21.77;21.89;22.01;22.14;22.27;22.4
can;body_mass_index_bmi_women_kgperm2;24.1;24.2;24.3;24.4;24.5;24.61;24.72;24.83;24.94;25.05;25.14;25.22;25.31;25.4;25.49;25.59;25.69;25.8;25.91;26.02;26.12;26.21;26.3;26.38;26.45;26.52;26.58;26.64;26.7
