geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;breast_cancer_deaths_per_100000_women;28.76;29.12;29.64;30.33;31.11;31.64;32.06;32.42;32.78;33.29;33.9;34.51;34.7;35.02;35.52;35.88;36.21;36.35;36.57;36.47;36.38;36.21;35.96;35.78;35.61;35.5;35.36
ago;breast_cancer_deaths_per_100000_women;17.35;17.44;17.53;18.2;18.95;19.29;19.32;19.14;20.12;19.95;19.81;19.93;19.96;20.42;20.69;20.73;20.87;20.71;20.6;20.37;20.08;19.92;19.86;19.86;19.82;19.83;19.78
alb;breast_cancer_deaths_per_100000_women;8.96;9.01;9.03;9.09;9.2;9.44;9.7;10.1;10.6;11.2;11.63;11.93;12.32;12.8;13.14;13.37;13.5;13.44;13.47;13.33;13.04;12.81;12.6;12.43;12.29;12.15;11.99
and;breast_cancer_deaths_per_100000_women;25.39;25.2;24.88;25.3;25.84;24.55;23.71;22.86;22.1;21.37;20.76;20.14;19.6;19.05;19.28;18.83;18.64;18.4;18.51;18.89;18.95;19.07;19.17;19.24;19.32;19.37;19.37
are;breast_cancer_deaths_per_100000_women;17.35;17.55;17.77;17.98;18.17;18.33;18.57;18.53;18.54;18.62;18.54;18.48;18.38;18.0;17.57;17.29;17.06;17.44;17.53;17.65;17.77;17.94;18.07;18.19;18.28;18.32;18.26
arg;breast_cancer_deaths_per_100000_women;26.74;26.94;27.03;27.22;27.34;27.66;27.86;27.97;27.93;27.83;27.72;27.68;27.67;27.79;27.37;27.02;26.69;26.52;25.86;25.63;25.35;25.02;24.77;24.56;24.22;23.99;23.8
arm;breast_cancer_deaths_per_100000_women;22.56;22.2;24.61;25.04;24.76;26.46;28.68;29.1;30.49;30.42;29.33;29.45;28.59;28.94;28.59;29.33;29.63;29.22;30.19;29.91;29.5;27.92;26.71;24.15;22.77;23.37;22.6
asm;breast_cancer_deaths_per_100000_women;20.37;20.6;21.06;21.31;21.55;21.8;22.07;22.11;22.43;22.87;23.01;22.94;22.51;22.51;22.52;22.44;22.71;23.09;23.11;23.34;23.75;24.58;24.81;24.97;25.06;25.08;24.82
atg;breast_cancer_deaths_per_100000_women;22.05;22.03;21.97;22.2;22.41;22.57;22.92;22.77;22.5;22.52;23.2;23.06;23.1;22.94;22.79;22.58;22.27;21.98;21.73;21.51;21.73;21.86;22.13;21.89;22.58;22.49;22.47
aus;breast_cancer_deaths_per_100000_women;25.3;25.14;24.94;24.91;24.99;24.64;24.18;23.68;23.02;22.34;21.82;21.48;21.21;20.71;20.23;19.74;19.37;19.09;18.84;18.55;18.26;18.03;17.76;17.52;17.53;17.6;17.62
aut;breast_cancer_deaths_per_100000_women;25.08;25.06;25.17;25.23;25.09;24.99;24.9;24.6;24.15;23.7;23.44;23.09;22.8;22.69;22.22;21.95;21.56;21.15;20.77;20.68;20.16;19.86;19.76;19.47;19.16;18.98;18.81
aze;breast_cancer_deaths_per_100000_women;12.62;12.86;13.62;13.91;14.3;14.12;14.06;14.12;14.39;14.45;14.34;14.19;14.2;14.69;14.65;14.63;14.3;13.97;14.08;14.0;13.86;13.27;13.39;12.45;12.16;12.0;11.84
bdi;breast_cancer_deaths_per_100000_women;21.72;21.63;21.59;21.51;21.45;21.39;21.49;20.99;20.55;19.85;19.35;18.43;17.81;17.41;17.22;16.96;16.68;16.31;16.14;16.05;16.2;16.36;16.44;16.48;16.55;16.58;16.55
bel;breast_cancer_deaths_per_100000_women;34.74;34.49;34.18;34.07;33.96;33.65;32.85;31.76;32.0;31.18;30.62;30.44;30.04;29.28;28.32;27.85;27.4;27.35;27.11;26.77;26.28;26.09;25.66;25.24;24.37;24.35;24.15
ben;breast_cancer_deaths_per_100000_women;13.43;13.41;13.54;13.49;13.71;14.04;14.31;14.24;14.28;14.31;14.46;14.55;14.58;14.58;14.68;14.69;14.82;14.92;15.13;15.53;15.78;16.04;16.18;16.25;16.27;16.34;16.42
bfa;breast_cancer_deaths_per_100000_women;13.91;13.77;14.0;13.99;14.01;14.06;13.97;14.1;14.22;13.95;13.66;13.33;13.22;13.2;13.31;13.31;13.41;13.36;13.31;13.41;13.77;14.1;14.48;14.87;15.1;15.26;15.28
bgd;breast_cancer_deaths_per_100000_women;10.23;9.97;10.24;10.27;10.33;10.88;10.79;10.6;10.24;10.12;10.39;9.96;9.76;9.56;9.32;9.23;9.03;8.95;8.87;8.66;8.67;8.45;8.39;8.37;8.36;8.54;8.4
bgr;breast_cancer_deaths_per_100000_women;18.93;19.17;19.33;19.02;19.53;19.97;20.37;20.9;20.0;19.99;20.08;19.74;19.76;19.73;19.96;20.5;20.69;20.54;20.3;19.99;19.84;19.69;19.4;19.15;18.84;18.77;18.7
bhr;breast_cancer_deaths_per_100000_women;24.09;25.48;25.61;25.43;25.29;25.62;25.14;24.49;23.87;24.14;24.17;24.7;24.98;25.3;25.07;24.45;23.99;23.02;22.75;22.55;22.6;22.32;22.19;21.84;21.93;21.82;21.74
