geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;breast_cancer_number_of_female_deaths;760.57;816.83;894.04;988.73;1089.43;1176.88;1239.87;1291.01;1338.91;1397.63;1471.86;1549.23;1616.34;1698.46;1793.24;1878.07;1957.77;2022.61;2093.43;2149.61;2216.5;2276.04;2341.42;2422.16;2506.5;2596.35;2688.87
ago;breast_cancer_number_of_female_deaths;420.43;431.7;445.15;476.94;513.28;537.8;547.76;553.8;603.48;612.01;624.33;645.74;666.54;706.14;741.03;767.8;796.28;813.91;834.78;851.75;866.52;884.85;909.26;938.56;968.09;1001.88;1031.92
alb;breast_cancer_number_of_female_deaths;100.01;103.03;105.45;108.04;111.12;116.01;120.08;126.09;133.58;142.75;150.12;157.7;167.06;178.69;188.4;196.33;203.0;206.44;211.51;214.33;215.29;214.64;215.13;216.79;218.8;220.88;221.5
and;breast_cancer_number_of_female_deaths;9.8;10.52;11.09;11.9;12.5;11.95;11.69;11.53;11.37;11.15;10.96;10.81;10.77;11.06;12.06;12.41;12.79;13.18;13.68;14.29;14.6;14.9;15.19;15.44;15.7;15.95;15.97
are;breast_cancer_number_of_female_deaths;37.56;39.64;42.02;44.8;47.9;51.24;54.68;57.3;60.13;63.2;65.83;69.8;74.1;77.9;83.42;92.14;99.04;111.52;125.93;140.97;156.26;174.19;190.94;207.11;223.64;241.34;256.96
arg;breast_cancer_number_of_female_deaths;4321.11;4429.74;4529.42;4657.34;4775.0;4936.64;5069.2;5193.9;5304.87;5401.52;5498.47;5596.71;5699.77;5844.27;5873.73;5926.05;5955.38;6031.1;5991.29;6054.14;6114.09;6143.43;6193.63;6246.12;6259.68;6329.85;6403.33
arm;breast_cancer_number_of_female_deaths;356.11;354.69;394.1;401.35;396.7;426.68;466.38;478.04;507.02;509.87;498.94;504.43;490.62;497.62;491.02;503.13;504.46;493.48;507.09;503.9;502.98;491.56;490.65;467.22;461.27;491.36;487.97
asm;breast_cancer_number_of_female_deaths;2.19;2.29;2.42;2.54;2.65;2.78;2.91;3.01;3.16;3.32;3.45;3.56;3.61;3.73;3.85;3.97;4.15;4.36;4.51;4.71;4.95;5.33;5.57;5.8;6.03;6.25;6.4
atg;breast_cancer_number_of_female_deaths;5.71;5.8;5.92;6.15;6.41;6.69;6.95;7.08;7.13;7.29;7.64;7.8;7.95;8.02;8.05;8.1;8.22;8.38;8.54;8.67;9.0;9.28;9.64;9.81;10.42;10.67;10.95
aus;breast_cancer_number_of_female_deaths;2407.26;2450.14;2490.31;2542.51;2608.82;2632.53;2648.14;2659.4;2653.07;2640.2;2648.51;2676.65;2708.68;2710.31;2713.56;2715.97;2737.79;2771.75;2810.76;2839.79;2876.98;2916.23;2948.32;2979.69;3051.71;3130.14;3201.95
