geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;breast_cancer_number_of_new_female_cases;792.45;852.04;929.84;1018.62;1108.85;1196.67;1255.26;1306.17;1353.69;1406.45;1471.72;1531.75;1606.18;1688.93;1774.09;1860.04;1931.7;1998.51;2068.21;2144.49;2233.52;2296.27;2372.92;2458.18;2547.53;2638.09;2735.07
ago;breast_cancer_number_of_new_female_cases;531.21;550.24;572.45;597.07;623.29;651.11;667.5;684.95;703.8;724.75;748.53;767.83;790.27;815.24;841.89;870.45;892.35;915.24;940.38;967.29;996.49;1031.47;1069.79;1110.74;1154.29;1200.37;1246.1
alb;breast_cancer_number_of_new_female_cases;170.97;176.54;181.95;187.24;192.85;200.53;208.7;218.86;231.61;247.89;281.03;299.89;321.75;346.77;374.21;404.53;418.06;430.43;442.86;456.24;471.56;475.5;481.42;488.56;496.07;503.31;508.55
and;breast_cancer_number_of_new_female_cases;31.38;33.95;36.31;38.5;39.83;40.08;40.38;41.08;41.77;42.22;42.48;42.85;43.56;45.68;48.95;51.24;53.4;55.76;57.78;59.49;60.81;61.9;63.04;64.18;65.32;66.48;67.45
are;breast_cancer_number_of_new_female_cases;69.05;74.97;81.95;90.2;99.98;111.58;121.27;132.05;143.72;156.41;170.76;184.96;201.01;221.05;248.09;284.61;316.94;360.04;411.58;467.55;525.38;594.18;662.16;731.13;805.26;888.77;972.69
arg;breast_cancer_number_of_new_female_cases;7831.81;8164.21;8529.46;8931.15;9363.51;9827.73;10116.62;10421.61;10748.64;11089.44;11444.91;11682.57;11925.6;12186.06;12459.02;12747.69;12978.34;13225.68;13490.15;13771.68;14072.16;14428.95;14804.22;15183.13;15584.93;16010.71;16427.16
arm;breast_cancer_number_of_new_female_cases;705.87;738.65;768.8;797.92;829.78;867.57;892.96;923.95;959.27;996.05;1032.08;1052.2;1070.19;1087.15;1101.56;1114.4;1120.71;1126.01;1134.8;1153.63;1186.4;1189.46;1205.94;1230.63;1251.89;1264.36;1260.64
asm;breast_cancer_number_of_new_female_cases;3.77;4.01;4.28;4.56;4.87;5.22;5.57;5.96;6.38;6.84;7.34;7.72;8.13;8.56;9.02;9.5;10.17;10.89;11.67;12.51;13.42;14.25;15.14;16.09;17.1;18.19;19.35
atg;breast_cancer_number_of_new_female_cases;12.27;12.72;13.25;13.88;14.62;15.46;15.99;16.61;17.23;17.87;18.53;19.08;19.54;19.93;20.28;20.68;21.51;22.44;23.39;24.38;25.4;26.51;27.66;28.89;30.15;31.45;32.77
aus;breast_cancer_number_of_new_female_cases;7635.5;7993.58;8370.28;8754.26;9164.9;9612.57;9937.76;10279.61;10637.29;11005.52;11387.07;11597.38;11797.65;11995.98;12196.63;12407.38;12566.83;12743.06;12925.99;13111.19;13305.16;13687.04;14072.27;14462.46;14857.73;15258.21;15665.47
