geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;cervical_cancer_deaths_per_100000_women;12.99;13.01;13.05;13.16;13.3;13.35;13.36;13.36;13.34;13.32;13.32;13.32;13.14;12.96;12.81;12.61;12.42;12.18;11.98;11.72;11.47;11.24;11.02;10.82;10.64;10.46;10.32
ago;cervical_cancer_deaths_per_100000_women;32.26;32.17;32.07;33.05;34.17;34.51;34.26;33.57;35.02;34.38;33.93;33.76;33.48;33.81;33.73;33.25;32.85;32.12;31.48;30.71;29.87;29.15;28.48;27.9;27.29;26.72;26.21
alb;cervical_cancer_deaths_per_100000_women;3.85;3.78;3.71;3.63;3.66;3.7;3.79;3.9;3.91;4.0;4.03;4.05;4.12;4.12;4.19;4.28;4.3;4.25;4.2;4.14;4.0;3.88;3.78;3.7;3.62;3.55;3.49
and;cervical_cancer_deaths_per_100000_women;3.7;3.63;3.54;3.55;3.57;3.35;3.18;3.01;2.86;2.75;2.65;2.56;2.47;2.39;2.41;2.34;2.3;2.26;2.27;2.32;2.32;2.32;2.32;2.32;2.32;2.32;2.31
are;cervical_cancer_deaths_per_100000_women;7.33;7.2;7.07;6.94;6.82;6.68;6.58;6.4;6.23;6.11;5.95;5.79;5.63;5.41;5.19;5.03;4.87;5.07;5.02;4.98;4.94;4.91;4.87;4.82;4.76;4.7;4.63
arg;cervical_cancer_deaths_per_100000_women;13.15;13.15;13.17;13.05;12.91;12.94;13.09;13.37;13.44;13.46;13.3;13.25;13.26;13.19;13.07;12.91;12.89;12.93;12.79;12.75;12.65;12.46;12.3;12.19;11.99;11.66;11.41
arm;cervical_cancer_deaths_per_100000_women;9.22;9.13;9.56;9.45;8.92;9.25;9.74;9.64;9.88;9.57;8.97;9.17;9.0;9.25;9.38;9.85;10.24;10.08;10.5;10.4;10.28;9.78;9.3;8.41;7.7;7.59;7.36
asm;cervical_cancer_deaths_per_100000_women;5.14;5.15;5.22;5.25;5.26;5.27;5.29;5.27;5.12;5.08;5.02;5.04;5.07;5.01;4.97;4.86;4.85;4.81;4.75;4.71;4.63;4.79;4.81;4.77;4.73;4.67;4.58
atg;cervical_cancer_deaths_per_100000_women;11.04;10.7;10.43;10.33;10.52;10.52;10.7;10.56;10.21;10.23;10.03;9.86;9.87;9.67;9.63;9.52;9.21;9.04;8.84;8.62;8.59;8.52;8.48;8.39;8.48;8.41;8.36
aus;cervical_cancer_deaths_per_100000_women;4.54;4.4;4.26;4.12;4.03;3.85;3.66;3.48;3.3;3.13;3.04;2.94;2.84;2.81;2.74;2.69;2.68;2.67;2.65;2.61;2.58;2.56;2.53;2.48;2.47;2.44;2.42
aut;cervical_cancer_deaths_per_100000_women;6.04;5.78;5.56;5.31;5.06;4.86;4.57;4.37;4.18;4.1;3.97;3.85;3.85;3.81;3.71;3.68;3.56;3.47;3.36;3.32;3.21;3.22;3.21;3.13;3.08;3.01;2.96
aze;cervical_cancer_deaths_per_100000_women;5.28;5.23;5.42;5.48;5.64;5.53;5.51;5.57;5.68;5.81;6.01;6.18;6.35;6.7;6.8;6.84;6.79;6.8;6.72;6.55;6.38;6.0;5.95;5.42;5.2;5.06;4.93
bdi;cervical_cancer_deaths_per_100000_women;51.71;51.21;50.93;50.7;50.71;50.84;51.36;50.47;49.59;48.39;47.38;45.13;43.44;42.21;41.37;40.4;39.3;38.06;37.3;36.76;36.63;36.59;36.41;36.16;35.92;35.64;35.4
bel;cervical_cancer_deaths_per_100000_women;5.23;5.09;5.0;4.95;4.78;4.68;4.53;4.38;4.28;4.19;4.02;3.97;3.89;3.8;3.7;3.6;3.52;3.52;3.48;3.43;3.34;3.32;3.25;3.18;3.05;3.03;2.99
ben;cervical_cancer_deaths_per_100000_women;21.16;20.91;20.94;20.71;20.95;21.4;21.78;21.62;21.67;21.58;21.69;21.69;21.62;21.47;21.47;21.31;21.32;21.24;21.34;21.7;21.83;21.99;22.02;22.02;21.88;21.75;21.67
bfa;cervical_cancer_deaths_per_100000_women;29.28;28.72;28.84;28.46;28.22;28.09;27.77;28.02;28.34;27.87;27.42;26.87;26.73;26.7;26.93;26.9;27.05;26.82;26.47;26.42;26.74;26.79;27.02;27.13;27.06;26.97;26.9
bgd;cervical_cancer_deaths_per_100000_women;20.26;18.59;18.09;16.98;15.96;15.33;13.94;12.89;11.81;10.72;10.11;9.52;9.02;8.46;7.95;7.61;7.2;6.86;6.64;6.39;6.25;5.93;5.74;5.52;5.27;5.1;4.98
bgr;cervical_cancer_deaths_per_100000_women;7.85;7.98;8.14;8.3;8.6;8.84;9.07;9.5;9.51;9.73;9.63;9.54;9.43;9.31;9.31;9.17;9.21;9.1;8.83;8.75;8.66;8.4;8.13;7.97;7.76;7.62;7.49
bhr;cervical_cancer_deaths_per_100000_women;5.33;5.54;5.57;5.51;5.4;5.39;5.22;5.04;4.86;4.95;4.87;4.63;4.29;4.12;4.04;3.85;3.62;3.43;3.33;3.23;3.13;3.0;2.86;2.74;2.77;2.72;2.68
bhs;cervical_cancer_deaths_per_100000_women;16.82;16.44;16.24;16.25;15.51;15.25;14.03;14.89;14.27;14.58;14.95;15.02;15.42;14.89;13.34;12.99;12.42;12.32;12.14;12.64;12.63;12.74;13.33;13.83;13.51;13.36;13.42
bih;cervical_cancer_deaths_per_100000_women;7.79;7.74;7.76;7.76;7.74;7.67;7.35;7.04;6.76;6.48;6.35;6.37;6.45;6.53;6.56;6.56;6.53;6.49;6.39;6.29;6.21;6.15;6.08;6.03;6.01;5.87;5.74
