geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;cervical_cancer_number_of_female_deaths;317.1;336.34;362.19;394.28;428.19;457.17;475.81;490.34;502.28;516.33;534.88;554.16;568.35;585.18;603.11;616.65;627.73;633.77;641.73;646.49;653.88;661.33;671.59;686.56;701.83;717.76;736.59
ago;cervical_cancer_number_of_female_deaths;800.99;816.16;835.2;888.66;949.41;986.07;994.62;994.06;1076.21;1080.5;1096.31;1121.41;1146.71;1199.3;1239.63;1263.76;1286.68;1295.4;1308.69;1317.58;1322.64;1327.95;1337.3;1351.78;1365.66;1382.81;1399.59
alb;cervical_cancer_number_of_female_deaths;44.34;44.52;44.45;44.06;45.13;46.33;47.74;49.45;50.0;51.71;52.6;54.03;56.26;57.74;60.05;62.59;64.36;64.92;65.35;65.93;65.29;64.3;63.82;63.68;63.67;63.7;63.58
and;cervical_cancer_number_of_female_deaths;1.37;1.45;1.51;1.6;1.65;1.55;1.49;1.44;1.4;1.36;1.33;1.3;1.28;1.3;1.41;1.43;1.47;1.5;1.55;1.62;1.64;1.66;1.68;1.7;1.72;1.73;1.73
are;cervical_cancer_number_of_female_deaths;12.64;12.91;13.22;13.58;13.99;14.39;14.91;15.2;15.48;15.86;16.11;16.54;17.01;17.35;18.06;19.41;20.26;23.38;25.73;28.17;30.6;33.49;36.07;38.43;40.81;43.38;45.81
arg;cervical_cancer_number_of_female_deaths;2096.95;2131.74;2172.37;2194.65;2214.87;2265.37;2330.98;2423.63;2485.56;2541.43;2561.83;2596.25;2645.93;2682.31;2709.25;2728.56;2768.84;2826.55;2841.65;2881.84;2913.62;2918.69;2931.64;2950.21;2948.3;2922.42;2913.18
arm;cervical_cancer_number_of_female_deaths;146.2;146.03;153.73;152.5;144.02;150.34;159.3;159.7;165.36;162.23;154.03;157.88;155.09;159.82;161.99;169.66;175.02;170.39;175.8;174.4;174.24;170.57;168.73;159.79;152.3;155.22;153.79
asm;cervical_cancer_number_of_female_deaths;0.58;0.6;0.63;0.66;0.68;0.7;0.73;0.75;0.76;0.78;0.79;0.82;0.86;0.88;0.9;0.91;0.94;0.97;0.99;1.02;1.04;1.12;1.16;1.2;1.23;1.26;1.28
atg;cervical_cancer_number_of_female_deaths;3.0;2.95;2.94;2.98;3.12;3.23;3.34;3.35;3.3;3.36;3.33;3.35;3.4;3.37;3.38;3.38;3.34;3.38;3.39;3.38;3.46;3.51;3.59;3.66;3.81;3.87;3.93
aus;cervical_cancer_number_of_female_deaths;436.28;433.65;429.97;425.25;425.62;416.19;405.78;394.76;384.41;372.59;370.42;367.54;364.07;368.06;367.44;369.4;376.98;383.59;391.96;395.85;401.18;408.15;413.07;412.95;420.56;423.56;428.92
aut;cervical_cancer_number_of_female_deaths;353.2;339.97;329.92;317.17;304.51;295.44;280.78;270.54;261.01;257.5;252.51;248.16;251.9;254.04;251.52;252.52;248.62;245.05;240.66;239.53;233.76;238.77;240.7;238.38;236.93;235.8;236.04
aze;cervical_cancer_number_of_female_deaths;140.24;140.18;146.58;150.49;157.82;157.71;159.93;164.77;171.63;179.27;189.8;200.39;211.55;229.94;239.87;249.9;255.63;262.02;264.87;265.35;265.15;259.49;267.39;253.06;252.71;254.8;254.14
bdi;cervical_cancer_number_of_female_deaths;668.2;673.01;681.5;690.8;702.95;715.88;729.1;717.91;707.49;694.35;686.17;664.88;655.58;656.38;665.08;672.5;675.28;675.84;685.56;700.91;726.24;749.09;770.75;791.42;813.99;836.77;860.95
bel;cervical_cancer_number_of_female_deaths;398.75;392.13;389.08;389.48;378.7;375.55;366.92;355.49;351.77;347.42;336.92;337.45;334.98;330.81;324.06;318.22;315.47;317.68;318.68;317.6;314.11;318.55;317.44;313.71;305.71;307.23;307.34
ben;cervical_cancer_number_of_female_deaths;274.51;277.66;285.74;290.82;303.45;319.7;332.97;338.06;346.9;354.11;365.85;374.77;383.52;391.69;403.7;413.21;424.75;435.13;450.29;472.34;490.6;507.93;523.36;538.65;551.47;565.77;581.15
bfa;cervical_cancer_number_of_female_deaths;655.0;652.57;666.81;669.94;677.64;689.32;693.08;712.87;735.92;741.07;747.36;748.18;762.25;778.71;804.89;827.2;852.63;867.07;878.87;902.63;940.42;966.29;1003.85;1037.45;1065.97;1095.69;1126.41
bgd;cervical_cancer_number_of_female_deaths;5098.98;4803.95;4811.22;4648.73;4503.48;4470.07;4185.14;3986.9;3775.84;3549.84;3477.52;3375.6;3299.98;3198.86;3104.32;3066.81;2981.28;2918.25;2911.42;2884.64;2911.0;2852.77;2855.28;2841.74;2807.17;2806.22;2836.21
bgr;cervical_cancer_number_of_female_deaths;446.65;453.58;460.99;471.05;490.46;507.66;521.61;547.05;548.62;562.55;555.39;551.31;545.51;538.09;537.76;531.76;532.97;526.26;509.82;503.27;495.79;482.71;470.9;464.08;453.24;447.65;442.0
bhr;cervical_cancer_number_of_female_deaths;4.17;4.47;4.63;4.76;4.86;5.03;5.06;5.12;5.19;5.51;5.62;5.57;5.34;5.33;5.47;5.53;5.57;5.68;6.01;6.33;6.66;6.83;6.85;6.85;7.18;7.31;7.64
