geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;cervical_cancer_number_of_new_female_cases;492.09;518.63;555.07;599.21;644.87;682.86;706.9;724.94;738.47;754.27;775.86;799.75;819.88;842.22;866.87;888.61;906.57;919.15;932.84;944.46;959.41;974.26;990.53;1011.71;1035.67;1061.47;1090.29
ago;cervical_cancer_number_of_new_female_cases;1613.43;1647.22;1680.06;1748.04;1824.45;1893.25;1960.11;1964.69;1988.95;2019.28;2055.71;2078.68;2099.24;2143.78;2181.88;2211.38;2233.24;2251.19;2266.74;2281.61;2302.86;2316.78;2338.67;2363.17;2389.37;2418.65;2447.5
alb;cervical_cancer_number_of_new_female_cases;95.31;95.18;94.52;93.2;95.55;97.86;101.65;105.41;106.29;109.82;111.73;114.25;118.12;120.11;123.94;128.08;130.94;130.91;130.79;131.03;128.81;126.46;125.27;124.68;124.45;124.32;123.93
and;cervical_cancer_number_of_new_female_cases;3.35;3.55;3.7;3.88;3.97;3.8;3.69;3.62;3.55;3.51;3.44;3.38;3.35;3.43;3.67;3.74;3.8;3.86;3.95;4.05;4.06;4.06;4.06;4.07;4.07;4.08;4.08
are;cervical_cancer_number_of_new_female_cases;29.58;30.56;31.64;33.0;34.53;36.06;37.55;38.51;39.48;40.73;41.75;43.37;45.13;47.24;50.21;54.53;57.79;67.86;74.75;82.63;90.81;99.35;107.08;113.96;120.98;128.49;135.15
arg;cervical_cancer_number_of_new_female_cases;4948.38;5052.59;5143.96;5201.24;5255.09;5338.87;5490.01;5645.5;5727.21;5801.02;5823.26;5869.36;5920.26;5954.13;5993.28;6022.12;6162.41;6296.68;6402.29;6559.13;6687.26;6757.43;6836.33;6980.42;7027.83;6980.51;6960.2
arm;cervical_cancer_number_of_new_female_cases;340.86;342.45;356.15;350.57;329.45;338.22;355.93;356.34;362.8;349.95;334.35;342.31;334.43;344.39;346.43;358.02;365.96;356.52;366.95;361.37;360.56;351.9;345.3;326.5;311.83;320.11;322.79
asm;cervical_cancer_number_of_new_female_cases;1.22;1.28;1.37;1.45;1.53;1.62;1.71;1.8;1.86;1.92;2.0;2.09;2.19;2.26;2.34;2.4;2.51;2.61;2.69;2.8;2.89;3.11;3.26;3.39;3.52;3.64;3.75
atg;cervical_cancer_number_of_new_female_cases;4.97;4.99;5.01;5.12;5.37;5.54;5.67;5.83;5.85;5.92;5.92;6.01;6.11;6.12;6.17;6.29;6.27;6.37;6.45;6.51;6.68;6.85;7.06;7.19;7.47;7.55;7.63
aus;cervical_cancer_number_of_new_female_cases;986.53;977.6;962.08;948.22;940.5;913.21;885.79;854.23;827.6;796.63;782.07;762.1;744.02;747.89;738.21;735.8;741.53;750.33;759.75;765.77;773.77;786.11;791.43;798.06;813.06;816.93;823.84
aut;cervical_cancer_number_of_new_female_cases;861.84;834.62;812.68;788.14;759.44;735.35;697.1;672.43;650.54;641.75;621.39;605.08;605.38;595.57;580.26;583.4;571.86;561.78;551.06;550.28;539.71;549.33;551.22;546.02;549.71;546.77;546.14
aze;cervical_cancer_number_of_new_female_cases;344.34;351.86;374.13;387.51;407.74;406.59;408.18;418.66;433.1;445.99;467.61;490.02;514.82;551.67;572.23;598.19;616.33;630.61;636.53;640.82;646.45;643.58;662.1;638.84;643.65;651.66;652.89
bdi;cervical_cancer_number_of_new_female_cases;1098.86;1117.79;1139.85;1163.4;1187.85;1211.37;1227.35;1212.66;1196.84;1184.54;1174.89;1143.54;1125.15;1119.55;1122.65;1126.41;1118.63;1113.39;1122.29;1144.82;1174.58;1203.5;1236.27;1273.51;1313.16;1359.5;1409.27
bel;cervical_cancer_number_of_new_female_cases;771.84;762.55;761.56;767.17;755.25;750.24;735.9;726.09;714.97;712.72;688.09;692.5;686.55;674.75;672.26;664.6;660.14;667.48;666.63;664.03;656.41;655.54;644.67;636.01;619.24;617.25;616.33
ben;cervical_cancer_number_of_new_female_cases;403.16;408.52;419.44;427.33;443.62;464.83;482.66;492.0;505.56;521.67;541.86;558.64;575.43;592.22;613.99;633.04;652.98;673.02;697.15;726.52;752.05;774.33;796.92;818.4;836.97;856.74;875.9
bfa;cervical_cancer_number_of_new_female_cases;819.08;826.14;846.94;860.59;877.18;898.74;909.55;934.69;960.36;986.48;1012.77;1027.22;1057.14;1082.29;1119.96;1151.11;1184.28;1212.6;1242.98;1287.45;1327.68;1365.49;1405.97;1444.14;1484.14;1526.58;1570.48
bgd;cervical_cancer_number_of_new_female_cases;8209.34;7819.77;7819.86;7632.63;7459.52;7410.11;7056.18;6815.61;6542.69;6258.29;6211.26;6071.43;6020.01;5938.84;5877.9;5909.63;5864.87;5858.41;5911.09;5930.35;6054.87;6026.93;6115.5;6196.31;6285.49;6381.24;6482.82
bgr;cervical_cancer_number_of_new_female_cases;965.77;980.39;1001.61;1018.93;1058.98;1085.47;1108.24;1151.17;1153.26;1178.09;1162.14;1155.15;1143.52;1133.94;1138.69;1122.18;1126.27;1114.53;1085.44;1079.52;1074.85;1049.48;1020.15;999.43;980.08;967.16;954.73
bhr;cervical_cancer_number_of_new_female_cases;9.25;9.85;10.17;10.43;10.72;11.08;11.21;11.41;11.7;12.47;12.96;13.11;12.77;12.75;12.98;13.13;13.49;14.03;14.99;15.92;16.88;17.23;17.24;17.22;17.99;18.37;19.21
bhs;cervical_cancer_number_of_new_female_cases;33.34;33.62;34.0;34.66;33.82;35.07;31.9;35.38;35.64;35.68;38.48;39.83;42.24;41.97;39.09;40.06;39.12;40.86;41.93;45.23;46.73;47.44;51.47;54.39;54.72;55.54;57.15
bih;cervical_cancer_number_of_new_female_cases;311.86;307.42;304.87;299.62;294.09;291.36;280.92;274.78;270.83;267.28;269.85;274.16;282.43;291.75;299.09;305.36;310.09;312.34;312.07;311.48;311.57;310.94;310.68;311.2;312.67;309.54;306.79
blr;cervical_cancer_number_of_new_female_cases;1048.97;1083.12;1118.98;1174.08;1193.24;1231.39;1212.76;1208.22;1183.11;1187.03;1157.19;1171.07;1219.26;1207.96;1219.5;1227.97;1210.58;1185.51;1180.49;1182.57;1175.14;1184.4;1099.74;1079.69;1041.49;1017.81;1008.71
