geo;indicator;1751;1752;1753;1754;1755;1756;1757;1758;1759;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
afg;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468.6;468.6;468.6;468.6;468.6;468.6;470.0;470.0;470.0;470.0;470.0;470.0;470.0;470.0;470.0;470.0;471.4;471.4;471.4;471.4;471.4;471.4;471.4;471.4;471.4;471.4;472.8;472.8;472.8;472.8;472.8;472.8;472.8;472.8;472.8;472.8;474.2;474.2;474.2;474.2;474.2;474.2;474.2;474.2;474.2;475.7;475.7;475.7;475.7;475.7;475.7;475.7;475.7;475.7;475.7;477.1;477.1;477.1;477.1;477.1;477.1;477.1;477.1;477.1;477.1;478.5;478.5;478.5;478.5;478.5;478.5;478.5;478.5;478.5;478.5;480.0;480.0;480.0;480.0;480.0;480.0;480.0;480.0;480.0;480.0;481.4;481.4;481.4;481.4;481.4;481.4;481.4;481.4;481.4;482.8;482.8;482.7;482.6;482.4;482.1;481.8;481.4;480.9;480.3;481.1;480.4;479.6;478.7;477.8;476.7;475.7;474.6;473.4;472.3;472.6;471.4;470.3;469.1;468.0;466.9;465.7;464.6;463.5;462.3;462.6;461.4;460.3;459.1;458.0;456.9;455.7;454.6;453.4;453.6;452.5;451.4;450.2;449.1;447.9;446.8;445.6;444.5;443.3;443.5;442.4;441.2;440.1;438.9;437.8;436.6;435.4;431.7;;;;;;376.1;370.5;364.9;359.5;353.9;348.6;343.9;338.7;333.5;328.6;323.7;318.7;313.7;309.0;304.1;299.0;294.0;288.8;283.6;278.0;272.7;267.0;260.9;255.0;248.7;242.1;235.1;227.5;219.6;211.3;203.3;195.0;186.9;179.1;171.5;164.6;158.4;153.3;149.1;145.7;143.0;140.6;138.2;135.6;132.7;129.4;125.9;122.4;119.0;115.8;112.9;110.2;107.7;105.2;102.6;100.0;97.3
ago;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.7;485.6;485.6;485.4;485.2;485.0;484.6;484.2;483.7;483.1;482.5;481.8;481.0;480.1;479.2;478.1;477.1;476.0;474.9;473.7;472.6;471.4;470.3;469.1;468.0;466.9;465.7;464.6;463.5;462.3;461.2;460.0;458.9;457.8;456.6;455.5;454.3;453.2;452.1;450.9;449.8;448.6;447.5;446.4;445.2;444.1;442.9;439.2;435.5;431.8;426.8;423.1;419.5;415.9;411.1;407.5;404.0;400.5;394.6;388.3;381.6;374.4;367.0;359.1;350.8;342.7;334.7;326.8;319.0;311.2;303.6;295.9;288.3;280.7;273.6;266.8;260.5;;;;;;;;;;232.0;231.1;230.2;229.1;228.3;227.6;227.0;226.6;226.2;226.0;225.9;225.8;225.9;225.5;225.2;224.7;223.8;222.4;220.8;218.9;216.7;214.5;212.1;209.8;207.1;204.5;200.9;196.8;192.3;187.7;182.4;177.5;172.6;167.4
alb;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.2;375.1;375.0;374.9;374.6;374.4;374.1;373.7;373.2;372.8;372.2;371.6;370.9;370.2;369.4;368.6;367.7;366.8;366.0;365.1;364.2;363.3;362.4;361.6;360.7;359.8;358.9;358.0;357.1;356.3;355.4;354.5;353.6;352.8;351.9;341.0;330.3;319.9;309.6;299.6;289.8;280.1;270.7;261.5;253.3;244.4;235.6;227.1;218.7;210.4;202.4;194.5;186.7;179.1;171.6;164.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.5;83.1;77.3;72.0;66.9;62.2;57.9;53.9;50.5;47.4;44.7;42.5;40.5;38.8;37.3;35.9;34.5;33.1;31.7;30.3;28.8;27.5;26.1;24.8;23.6;22.5;21.4;20.4;19.5;18.7;17.9;17.2;16.5;15.9;15.4;14.9
and;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.5;7.9;7.4;6.9;6.5;6.0;5.7;5.4;5.1;4.8;4.6;4.4;4.3;4.1;4.0;3.9;3.7;3.6;3.5;3.4;3.3;3.2;3.1;3.0
are;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.5;434.4;434.4;434.4;434.2;434.1;433.8;433.5;433.1;432.7;432.2;431.6;431.0;430.3;429.5;428.6;427.7;426.8;425.8;424.8;423.8;422.7;421.7;420.7;419.7;418.7;417.6;416.6;415.6;414.6;413.6;412.5;411.5;410.5;409.5;408.5;407.4;406.4;405.4;404.4;403.4;402.4;401.3;400.3;399.3;398.3;397.2;396.2;395.2;394.2;393.2;392.1;391.1;365.7;340.3;317.2;294.1;273.0;;;;;;;;;;204.2;193.7;182.9;172.2;161.4;150.4;139.4;128.5;117.9;107.4;97.5;88.3;79.8;72.0;65.0;58.7;52.9;47.7;43.0;38.8;35.0;31.7;28.9;26.5;24.4;22.6;21.0;19.7;18.5;17.5;16.5;15.7;14.9;14.2;13.6;13.1;12.7;12.2;11.8;11.5;11.2;10.9;10.6;10.3;10.0;9.8;9.6;9.4;9.2;9.0;8.8;8.7;8.5;8.2
arg;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;402.2;403.4;403.4;403.4;404.7;406.0;407.2;408.5;409.8;406.0;402.2;399.7;395.9;392.2;393.5;395.9;397.2;399.7;400.9;392.1;383.5;374.9;366.3;357.9;350.6;;;;;;;;;;238.8;229.6;205.3;196.0;194.1;194.1;201.6;220.3;212.8;199.7;179.1;171.6;171.6;179.1;188.4;184.7;197.8;173.4;162.2;149.3;149.3;140.2;125.9;143.8;160.4;143.8;140.2;154.8;131.2;131.2;122.4;124.1;113.7;115.4;117.2;103.5;110.3;95.24;91.99;93.6;91.99;88.79;85.73;81.22;84.24;76.57;93.6;82.73;;;;;;57.5;57.5;58.7;58.6;58.4;73.3;72.5;71.5;70.3;68.6;66.4;63.6;60.0;55.8;51.3;47.0;43.2;40.0;37.7;35.8;34.4;33.1;31.9;30.8;29.7;28.6;27.6;26.6;25.7;24.9;24.1;23.4;22.7;22.0;21.4;20.8;20.2;19.7;19.2;18.6;17.9;17.1;16.4;15.8;15.4;15.0;14.6;14.2;13.7;13.3
arm;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;371.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;325.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227.5;;;;;;;;;;;;;;;;;;;;109.6;108.0;105.2;102.3;99.28;95.57;92.43;89.22;85.95;82.78;79.1;76.08;73.11;69.69;66.85;63.58;60.86;;;;;;;;;;87.8;84.2;80.9;77.7;74.7;71.8;69.0;66.3;63.8;61.3;58.9;56.6;81.6;52.0;49.7;47.4;45.1;42.8;40.7;38.6;36.7;34.9;33.3;31.7;30.1;28.6;27.2;25.9;24.6;23.4;22.2;21.1;20.1;19.1;18.1;17.2;16.4;15.6
atg;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;473.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140.1;137.6;133.8;129.8;125.7;121.6;118.0;113.7;109.3;105.0;101.4;97.33;93.88;90.52;87.2;84.46;81.24;78.05;75.54;72.68;70.43;68.32;65.87;63.99;62.14;60.31;58.48;56.67;55.31;53.55;51.8;;;;;;;;;;25.5;24.2;23.0;21.9;20.8;19.8;18.8;17.9;17.0;16.2;15.4;14.7;14.1;13.5;12.9;12.4;11.9;11.4;11.0;10.6;10.3;9.9;9.6;9.3
aus;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;391.0;;;;;;;;;;169.7;156.7;182.8;175.3;196.0;222.2;184.7;199.7;207.2;177.2;180.9;179.1;214.7;188.4;196.0;201.6;197.8;179.1;179.1;209.1;162.2;177.2;160.4;179.1;156.7;151.1;175.3;158.5;201.6;179.1;149.3;156.7;162.2;169.7;117.2;117.2;118.9;115.4;110.3;100.2;105.2;93.6;100.2;100.2;98.52;93.6;96.88;75.01;79.68;95.24;95.24;89.08;70.99;79.48;76.05;69.76;70.23;72.27;71.57;68.14;63.78;54.35;53.64;53.3;58.03;53.59;55.81;50.67;50.45;50.47;50.17;52.49;51.49;50.27;41.42;37.93;38.52;35.78;33.93;31.51;31.6;31.0;30.3;29.5;28.7;28.0;27.3;26.6;26.0;25.4;24.9;24.3;23.7;23.2;22.7;22.4;22.1;22.0;21.9;21.7;21.4;20.9;20.2;19.4;18.4;17.3;16.2;15.3;14.4;13.6;13.0;12.5;12.2;11.8;11.6;11.3;11.0;10.6;10.2;9.7;9.2;8.6;8.1;7.7;7.3;7.0;6.8;6.6;6.5;6.4;6.2;6.1;6.0;5.9;5.9;5.7;5.6;5.4;5.2;5.0;4.8;4.5;4.2;4.0
aut;child_mortality_0_5_year_olds_more_years_version_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;387.3;;;;;;309.0;325.3;315.5;299.1;302.4;307.3;295.9;302.4;326.9;305.7;289.3;292.6;294.2;307.3;299.1;300.8;322.0;297.5;312.3;320.4;317.1;294.2;305.7;284.4;385.1;436.9;394.8;422.2;440.1;402.9;383.5;410.9;390.0;414.1;396.4;407.7;398.0;420.6;373.8;401.3;407.7;;;394.8;407.7;393.2;393.2;368.9;443.4;451.5;391.6;388.4;406.1;412.6;385.1;428.7;406.1;420.6;406.1;438.5;451.5;410.9;402.9;393.2;410.9;414.1;438.5;471.0;422.2;394.8;401.3;419.0;409.3;390.0;406.1;406.1;415.7;410.9;401.3;414.1;406.1;396.4;404.5;383.5;420.6;394.8;420.6;377.0;407.7;391.6;373.8;370.5;364.1;356.1;375.4;339.9;351.2;349.6;341.5;375.4;328.5;339.9;323.6;339.9;307.3;336.6;294.2;309.0;279.4;354.4;312.3;302.4;313.9;253.2;;;253.2;227.8;201.6;184.7;192.2;196.0;186.6;173.4;156.7;154.8;160.4;138.4;134.8;147.4;136.6;134.8;113.7;101.8;103.5;96.88;103.5;112.0;127.7;263.5;115.4;104.5;92.09;86.87;75.32;69.81;59.54;56.57;54.9;53.4;51.8;49.9;47.9;45.5;42.9;40.2;37.9;35.9;34.2;32.7;31.5;30.5;29.8;29.3;29.0;28.7;28.0;26.8;25.1;23.1;21.1;19.4;18.1;17.1;16.3;15.5;14.7;14.0;13.3;12.6;11.8;11.1;10.5;10.0;9.5;9.0;8.5;8.0;7.4;6.8;6.4;6.0;5.8;5.6;5.5;5.4;5.3;5.2;5.0;4.9;4.8;4.6;4.6;4.5;4.4;4.2;4.0;3.9
