geo;indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;cholesterol_fat_in_blood_men_mmolperl;4.583;4.5760000000000005;4.57;4.566;4.561;4.555;4.55;4.541;4.525;4.507;4.486000000000001;4.467;4.441;4.407;4.372;4.341;4.313;4.291;4.273;4.252;4.2219999999999995;4.191;4.171;4.156000000000001;4.14;4.128;4.1160000000000005;4.106;4.096
ago;cholesterol_fat_in_blood_men_mmolperl;4.524;4.51;4.497;4.485;4.476;4.47;4.461;4.457;4.454;4.4510000000000005;4.446000000000001;4.439;4.427;4.405;4.379;4.359;4.345;4.335;4.33;4.3260000000000005;4.323;4.322;4.325;4.33;4.336;4.346;4.359;4.376;4.394
alb;cholesterol_fat_in_blood_men_mmolperl;5.006;5.002;4.996;4.988;4.982;4.978;4.9719999999999995;4.968999999999999;4.965;4.962;4.957;4.94;4.917;4.9;4.894;4.901;4.905;4.901;4.897;4.896;4.899;4.9030000000000005;4.906000000000001;4.907;4.905;4.901;4.897;4.894;4.891
and;cholesterol_fat_in_blood_men_mmolperl;6.178999999999999;6.144;6.109;6.077999999999999;6.047000000000001;6.019;5.992000000000001;5.965;5.941;5.922000000000001;5.899;5.876;5.852;5.827000000000001;5.8020000000000005;5.778;5.754;5.732;5.712000000000001;5.691;5.672000000000001;5.654;5.6370000000000005;5.624;5.609;5.593999999999999;5.582000000000001;5.57;5.557
ant;cholesterol_fat_in_blood_men_mmolperl;5.381;5.39;5.392;5.3839999999999995;5.369;5.346;5.317;5.292999999999999;5.27;5.249;5.222;5.199;5.183;5.171;5.162999999999999;5.1610000000000005;5.16;5.16;5.162000000000001;5.162999999999999;5.164;5.159;5.152;5.14;5.13;5.127999999999999;5.119;5.11;5.099
are;cholesterol_fat_in_blood_men_mmolperl;5.659;5.655;5.647;5.629;5.603;5.57;5.523;5.484;5.449;5.412000000000001;5.3870000000000005;5.367999999999999;5.347;5.33;5.316;5.303999999999999;5.306;5.303;5.292999999999999;5.2829999999999995;5.273;5.257999999999999;5.246;5.24;5.227;5.2139999999999995;5.2010000000000005;5.189;5.178999999999999
arg;cholesterol_fat_in_blood_men_mmolperl;5.372999999999999;5.364;5.348;5.332000000000001;5.318;5.3;5.284;5.27;5.251;5.231;5.211;5.195;5.185;5.178;5.172000000000001;5.162999999999999;5.155;5.149;5.144;5.138;5.127999999999999;5.112;5.087;5.066;5.047;5.037;5.032;5.03;5.026
arm;cholesterol_fat_in_blood_men_mmolperl;5.162999999999999;5.147;5.132000000000001;5.117;5.102;5.085;5.071000000000001;5.053999999999999;5.0360000000000005;5.016;4.992;4.961;4.909;4.8580000000000005;4.812;4.774;4.738;4.709;4.687;4.671;4.6610000000000005;4.655;4.66;4.664;4.675;4.6819999999999995;4.69;4.7;4.707
atg;cholesterol_fat_in_blood_men_mmolperl;4.868;4.86;4.855;4.854;4.853;4.855;4.859;4.862;4.867;4.871;4.876;4.877;4.873;4.87;4.864;4.853;4.845;4.836;4.827;4.8180000000000005;4.805;4.794;4.783;4.774;4.763999999999999;4.757;4.753;4.753;4.751
aus;cholesterol_fat_in_blood_men_mmolperl;5.763;5.742000000000001;5.722;5.702000000000001;5.68;5.6579999999999995;5.638999999999999;5.622000000000001;5.605;5.587999999999999;5.57;5.547000000000001;5.524;5.504;5.487;5.4670000000000005;5.445;5.422000000000001;5.402;5.381;5.357;5.329;5.301;5.271;5.2379999999999995;5.209;5.181;5.156000000000001;5.127999999999999
aut;cholesterol_fat_in_blood_men_mmolperl;5.857;5.84;5.817;5.8;5.782;5.769;5.752999999999999;5.736000000000001;5.7139999999999995;5.692;5.671;5.652;5.632999999999999;5.609;5.593;5.577999999999999;5.562;5.545;5.526;5.506;5.481;5.457999999999999;5.437;5.412000000000001;5.381;5.358;5.335;5.315;5.297000000000001
