geo;indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;cholesterol_fat_in_blood_women_mmolperl;4.644;4.637;4.631;4.625;4.62;4.613;4.6080000000000005;4.598;4.583;4.5680000000000005;4.548;4.531000000000001;4.5089999999999995;4.481;4.452;4.426;4.4030000000000005;4.385;4.371;4.356;4.334;4.31;4.295;4.284;4.272;4.262;4.253;4.246;4.239
ago;cholesterol_fat_in_blood_women_mmolperl;4.789;4.77;4.751;4.734;4.718999999999999;4.707;4.694;4.684;4.6739999999999995;4.666;4.655;4.641;4.626;4.601;4.5760000000000005;4.556;4.54;4.5280000000000005;4.519;4.512;4.505;4.5;4.499;4.498;4.498;4.502;4.508;4.518;4.5280000000000005
alb;cholesterol_fat_in_blood_women_mmolperl;5.04;5.037;5.033;5.0280000000000005;5.022;5.018;5.012;5.008;5.003;4.998;4.9910000000000005;4.973;4.95;4.934;4.926;4.928999999999999;4.931;4.925;4.919;4.916;4.917;4.919;4.919;4.915;4.91;4.902;4.895;4.888;4.881
and;cholesterol_fat_in_blood_women_mmolperl;6.132000000000001;6.101;6.069;6.039;6.007999999999999;5.978;5.949;5.919;5.89;5.864;5.836;5.808;5.779;5.749;5.721;5.694;5.666;5.641;5.6160000000000005;5.5920000000000005;5.569;5.547999999999999;5.529;5.513999999999999;5.499;5.484;5.475;5.465;5.456
ant;cholesterol_fat_in_blood_women_mmolperl;5.504;5.5089999999999995;5.507999999999999;5.499;5.481;5.459;5.432;5.407;5.382000000000001;5.362;5.337000000000001;5.317;5.3;5.29;5.2829999999999995;5.282;5.281000000000001;5.282;5.285;5.287999999999999;5.291;5.287999999999999;5.2829999999999995;5.275;5.269;5.269;5.2620000000000005;5.257000000000001;5.251
are;cholesterol_fat_in_blood_women_mmolperl;5.662000000000001;5.665;5.662999999999999;5.65;5.635;5.612;5.5760000000000005;5.547000000000001;5.516;5.4879999999999995;5.468;5.452000000000001;5.437;5.422999999999999;5.415;5.4079999999999995;5.41;5.4079999999999995;5.399;5.388999999999999;5.379;5.3629999999999995;5.35;5.343;5.329;5.313;5.3020000000000005;5.29;5.281000000000001
arg;cholesterol_fat_in_blood_women_mmolperl;5.41;5.401;5.386;5.37;5.357;5.3420000000000005;5.327000000000001;5.313;5.297000000000001;5.278;5.2589999999999995;5.244;5.235;5.229;5.225;5.218;5.211;5.205;5.2010000000000005;5.194;5.184;5.169;5.144;5.122000000000001;5.101;5.087;5.078;5.072;5.065
arm;cholesterol_fat_in_blood_women_mmolperl;5.329;5.313;5.2989999999999995;5.284;5.269;5.252000000000001;5.2379999999999995;5.221;5.202000000000001;5.178999999999999;5.152;5.119;5.067;5.0169999999999995;4.9719999999999995;4.936;4.901;4.87;4.845;4.825;4.81;4.7989999999999995;4.795;4.792;4.793;4.794;4.795;4.7989999999999995;4.801
atg;cholesterol_fat_in_blood_women_mmolperl;5.013999999999999;5.007;5.0;4.997;4.997;4.998;5.001;5.003;5.0089999999999995;5.011;5.013999999999999;5.013999999999999;5.011;5.007;5.001;4.99;4.9830000000000005;4.975;4.967;4.959;4.9510000000000005;4.9430000000000005;4.935;4.928999999999999;4.923;4.92;4.92;4.923;4.925
aus;cholesterol_fat_in_blood_women_mmolperl;5.776;5.761;5.746;5.73;5.712999999999999;5.695;5.678;5.662000000000001;5.644;5.624;5.603;5.577000000000001;5.5520000000000005;5.528;5.506;5.484;5.46;5.437;5.416;5.396;5.374;5.351;5.327000000000001;5.303;5.277;5.256;5.236000000000001;5.221;5.202000000000001
aut;cholesterol_fat_in_blood_women_mmolperl;5.845;5.827000000000001;5.807;5.789;5.769;5.752000000000001;5.734;5.715;5.692;5.669;5.647;5.627000000000001;5.606;5.582999999999999;5.564;5.545;5.524;5.502999999999999;5.479;5.456;5.428999999999999;5.405;5.382000000000001;5.358;5.334;5.315;5.297999999999999;5.285;5.273
aze;cholesterol_fat_in_blood_women_mmolperl;5.2989999999999995;5.28;5.263999999999999;5.249;5.234;5.2170000000000005;5.202000000000001;5.183;5.162000000000001;5.138999999999999;5.109;5.077;5.035;4.9830000000000005;4.93;4.875;4.823;4.78;4.745;4.716;4.6930000000000005;4.6739999999999995;4.6610000000000005;4.652;4.647;4.646;4.649;4.654;4.659
bdi;cholesterol_fat_in_blood_women_mmolperl;4.371;4.363;4.356;4.349;4.343999999999999;4.336;4.327;4.3180000000000005;4.311;4.308;4.3;4.293;4.287;4.2780000000000005;4.268;4.256;4.239;4.225;4.212;4.202;4.191;4.18;4.17;4.162;4.155;4.147;4.1419999999999995;4.137;4.132
bel;cholesterol_fat_in_blood_women_mmolperl;6.045;6.02;5.995;5.972;5.9479999999999995;5.9270000000000005;5.904;5.882000000000001;5.855;5.827999999999999;5.8;5.773;5.744;5.7139999999999995;5.683;5.653;5.62;5.587999999999999;5.562;5.5360000000000005;5.507999999999999;5.481;5.455;5.428;5.405;5.382999999999999;5.364;5.347;5.331
ben;cholesterol_fat_in_blood_women_mmolperl;4.649;4.6339999999999995;4.62;4.605;4.588;4.573;4.556;4.538;4.52;4.496;4.4719999999999995;4.449;4.426;4.406000000000001;4.388;4.37;4.354;4.341;4.331;4.321000000000001;4.312;4.305;4.297;4.29;4.281000000000001;4.271;4.26;4.249;4.238
bfa;cholesterol_fat_in_blood_women_mmolperl;4.468;4.454;4.439;4.4239999999999995;4.409;4.393;4.375;4.357;4.3389999999999995;4.32;4.2989999999999995;4.279;4.2589999999999995;4.239;4.218999999999999;4.2010000000000005;4.186;4.1739999999999995;4.163;4.1530000000000005;4.144;4.135;4.127;4.12;4.112;4.103;4.093;4.083;4.074
bgd;cholesterol_fat_in_blood_women_mmolperl;4.551;4.543;4.534;4.526;4.518;4.51;4.502;4.495;4.487;4.481;4.474;4.466;4.46;4.455;4.449;4.4430000000000005;4.437;4.433;4.428;4.421;4.415;4.408;4.401;4.394;4.386;4.38;4.374;4.368;4.363
