geo;indicator;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
abw;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.86832;7.2352;10.02618;10.634730000000001;26.3745;26.046129999999998;21.44256;22.00079;21.03625;20.77194;20.31835;20.426820000000003;20.587670000000003;20.31157;26.194879999999998;25.93402;25.67116;26.42045;26.517290000000003;27.200709999999997;26.948259999999998;27.895570000000003;26.23085;25.91583;24.67053;24.50584;13.15554;8.351289999999999;8.40836
afg;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0019100000000000002;0.010879999999999999;0.01169;0.01155;0.01323;0.01305;0.018619999999999998;0.021830000000000002;0.03437;0.03802;0.04358;0.046060000000000004;0.0536;0.07376;0.07422999999999999;0.08628999999999999;0.10147;0.10764000000000001;0.12372999999999999;0.1155;0.08682000000000001;0.15029;0.16604000000000002;0.13076;0.13627999999999998;0.15565;0.16893;0.15479;0.18295999999999998;0.16316;0.16838;0.13285999999999998;0.15197;0.1648;0.20364000000000002;0.23499;0.29783000000000004;0.27089;0.27161;0.24846999999999997;0.23569;0.21345;0.18767;0.09967000000000001;0.08915;0.08004;0.0727;0.06604;0.05965;0.05521;0.04233;0.03851;0.039;0.04872;0.051829999999999994;0.03938;0.05295;0.06373;0.08542000000000001;0.1541;0.24172;0.29384;0.41202;0.35036999999999996;0.3156;0.29944
ago;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04112;0.053520000000000005;0.06527999999999999;0.05624;0.06961;0.08098999999999999;0.09617;0.11629;0.10935;0.11193;0.09747;0.07904;0.20129;0.19253;0.201;0.19153;0.24641;0.15491;0.25632;0.41955;0.5287;0.4923;0.63521;0.67062;0.6520199999999999;0.5746899999999999;0.41585;0.43476000000000004;0.64618;0.63694;0.59872;0.5712;0.48525;0.51507;0.4874;0.44311999999999996;0.42677;0.5184300000000001;0.44556;0.42352;0.42028000000000004;0.40545;0.40068000000000004;0.43088999999999994;0.28109;0.76917;0.71231;0.48921000000000003;0.47136999999999996;0.57408;0.58035;0.57305;0.72077;0.49798000000000003;0.9961700000000001;0.9797399999999999;1.0988799999999999;1.19784;1.18153;1.2324899999999999;1.2434100000000001;1.25279;1.33084;1.25462;1.2913299999999999
aia;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.160069999999999;5.9240699999999995;6.1246;7.123460000000001;6.92104;6.73393;6.9271199999999995;6.7624;7.30063;7.474660000000001;7.950139999999999;8.38393;8.15446;8.54139;9.8072;10.15548;11.0837;11.43323;11.25352;10.81312;10.91924;10.25109;10.12195;9.488710000000001;9.89093
alb;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.007109999999999999;0.00707;0.017580000000000002;0.12194;0.27936;0.32181;0.39247;0.6170399999999999;0.55033;0.64725;0.39910999999999996;0.13221;0.10280999999999998;0.40497;0.7642800000000001;0.57109;0.8148;0.23514000000000002;0.3133;0.2842;0.30737;0.36329;0.46742;0.57553;1.00466;0.7793899999999999;0.90955;1.2372299999999998;1.35291;1.41814;1.16326;1.09398;1.14683;1.31033;1.3411600000000001;1.4996200000000002;1.5456299999999998;1.74091;1.97668;2.50395;2.29465;1.84247;1.90556;2.00884;2.27197;2.52513;2.88888;1.92839;2.6838900000000003;2.62106;2.6845;2.69693;2.65619;2.64925;2.38488;2.29168;2.76125;1.68071;1.30875;0.77627;0.73235;0.613;0.67161;0.65223;0.49912;0.5647399999999999;0.9580700000000001;0.96785;1.03231;1.2027299999999999;1.38028;1.34476;1.38145;1.27623;1.29877;1.46231;1.47787;1.5638100000000001;1.7904900000000001;1.6815200000000001;1.7349;1.9573099999999999
and;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.467339999999999;7.182460000000001;6.91205;6.73605;6.4942;6.66205;7.0650699999999995;7.2397100000000005;7.66078;7.97545;8.01928;7.78695;7.5906199999999995;7.315760000000001;7.358619999999999;7.299869999999999;6.74622;6.51947;6.4278900000000005;6.12165;6.12259;5.86713;5.9166;5.90075;5.83217
ant;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.553910000000002;14.559660000000001;14.198170000000001;26.79444;28.50324;22.64125;18.609460000000002;28.730929999999997;27.62971;27.518290000000004;25.99547;27.54396;1.54024;11.66888;31.17152;31.792440000000003;30.54631;30.337629999999997;31.516509999999997;30.83982;31.675729999999998;35.08533;33.19122;33.44124;22.73043;28.68925;;;
are;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12592;0.11875999999999999;0.10884;0.16302;0.17522000000000001;0.13235;0.14633;0.15995;5.38368;6.785769999999999;100.69767;64.74501;75.98153;70.48363;77.12099;66.4607;56.051140000000004;61.290209999999995;51.844640000000005;52.5829;38.451809999999995;35.40412;32.88163;30.99646;28.204990000000002;35.18821;35.89097;32.08399;30.55837;29.21023;31.02883;27.95925;28.939140000000002;27.86137;29.89045;31.4044;28.84699;15.97008;15.42443;28.71432;26.22843;35.678259999999995;30.49115;24.15125;28.55255;27.701209999999996;25.362370000000002;23.63109;22.4398;22.82395;21.90856;19.44369;19.07649;19.81768;18.95416;23.302020000000002
arg;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35131999999999997;0.27933;0.5332;0.4031;0.26713000000000003;0.38181;0.41453;0.51472;0.56584;0.55696;0.48616000000000004;0.53008;0.6365;0.43556999999999996;0.50583;0.55275;0.54184;0.6925100000000001;0.69977;1.0583200000000001;1.0226;1.19946;0.90012;1.30088;1.4000299999999999;1.28521;1.3283399999999999;1.10172;0.8606600000000001;0.60619;0.26643;0.29574;0.42899;0.66366;0.60814;0.7771399999999999;0.86955;1.09125;1.08494;1.05609;1.21915;1.12911;1.13269;1.07407;1.05654;1.05657;1.0484;1.10941;1.07282;1.13798;1.2385899999999999;1.19042;1.24485;1.11837;0.96793;0.9208;0.9459;0.922;0.88792;0.87492;0.9091;1.0650899999999999;0.9183899999999999;1.7464400000000002;1.9990599999999998;2.02232;1.92987;1.98005;2.09199;2.30052;2.42961;2.21733;2.4154400000000003;2.36747;2.4426200000000002;2.52239;2.31636;2.53838;2.64171;2.79265;2.85816;2.96985;3.27585;3.45116;3.6500800000000004;3.63786;3.7307900000000003;3.7267;3.6418199999999996;3.7687699999999995;3.7498699999999996;3.76275;3.99873;3.86885;3.5749699999999995;3.5670900000000003;3.5720400000000003;3.56014;3.3103300000000004;3.37724;3.66917;3.82045;3.6292;3.42648;3.5277;3.60575;3.45716;3.5421;3.65665;3.81146;3.8512;3.8578699999999997;4.0107;3.8355699999999997;3.5686;3.29155;3.52558;4.0690599999999995;4.14124;4.434819999999999;4.38267;4.68291;4.41089;4.5585;4.60029;4.569380000000001;4.4629;4.7468
arm;co2_emissions_tonnes_per_person;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7e-05;8e-05;5.9999999999999995e-05;7e-05;;;;;;;;;;;;;;;;;0.00036;;;;;0.00105;;;0.00144;0.0015199999999999999;0.00198;0.0025;0.00223;0.00232;0.0025800000000000003;0.00244;0.007640000000000001;0.00869;0.00716;0.00963;0.01035;0.01385;0.01409;0.01311;0.01577;0.01799;0.02213;0.02239;0.028999999999999998;0.02949;0.03428;0.035789999999999995;0.037360000000000004;0.04213;0.0424;0.04577;0.04652;0.04879;0.05043;0.053970000000000004;0.060570000000000006;0.06609;0.06932;0.08052000000000001;0.08127000000000001;0.09254;0.09336;0.10697000000000001;0.11888;0.13667;0.15342999999999998;0.15609;0.14942;0.14484;0.1597;0.14126;0.15968;0.17727;0.17675;0.1849;0.17969000000000002;0.18463;0.20726;0.22311999999999999;0.19956;0.18151;0.19172;0.17485;0.0691;0.05848;0.05284;0.05679;0.06863;0.07512;0.08868999999999999;0.08674;0.12453;0.15342;0.1689;0.18024;0.24281;0.28905;0.32271;0.35736999999999997;0.42836;0.48047;0.54594;0.55318;0.57855;0.58033;0.68942;0.60018;0.4093;0.51774;0.48049;0.50408;0.5613600000000001;0.66984;0.70631;0.79561;0.8751200000000001;0.9289799999999999;0.9692700000000001;0.99518;1.0518299999999998;1.1520000000000001;1.2185700000000002;1.2858;1.3231700000000002;1.34144;1.34731;1.34122;1.36001;1.41075;1.45318;1.49532;1.53424;1.561;1.56341;1.58734;1.62849;1.68661;1.73282;1.7648599999999999;1.79214;1.8449;1.8783900000000002;1.90628;1.9369599999999998;1.9199700000000002;1.9630400000000001;1.89638;1.90465;1.90517;1.8948200000000002;2.01267;1.9846599999999999;2.03251;2.0569599999999997;1.99575;1.87031;1.8196400000000001;1.6924700000000001;0.75998;0.82416;1.05998;0.80905;1.0323;1.08169;0.9758;1.1289200000000001;1.16117;1.0032;1.13614;1.21475;1.46003;1.48118;1.7265700000000002;1.9115400000000002;1.5094100000000001;1.4656200000000001;1.71007;1.97606;1.8997099999999998;1.9027599999999998
