geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;coal_consumption_per_cap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00556;0.02688;0.029639999999999996;0.03075;0.031760000000000004;0.053720000000000004;0.022430000000000002;0.04979;0.07186000000000001;0.08657999999999999;0.15447;0.19455999999999998;0.16093;0.16122;0.13808;0.13674
arg;coal_consumption_per_cap;0.03573;0.03687;0.03563;0.02823;0.03708;0.04087;0.03313;0.029060000000000002;0.030139999999999997;0.037989999999999996;0.04036;0.04056;0.03165;0.04455;0.03468;0.03324;0.02972;0.029060000000000002;0.026039999999999997;0.01726;0.019780000000000002;0.028999999999999998;0.03171;0.03243;0.032010000000000004;0.0287;0.022109999999999998;0.01931;0.02254;0.03135;0.02775;0.025769999999999998;0.02361;0.02016;0.02008;0.01658;0.017730000000000003;0.0148;0.017769999999999998;0.027739999999999997;0.0288;0.02667;0.03053;0.03447;0.0234;0.030789999999999998;0.037160000000000006;0.031110000000000002;0.02945;0.03464;0.03132;0.02411
aus;coal_consumption_per_cap;1.5286899999999999;1.5462799999999999;1.54887;1.55417;1.56855;1.55121;1.52834;1.5709;1.61295;1.66198;1.69428;1.73138;1.7873700000000001;1.8138599999999998;1.87463;1.9062599999999998;1.93045;1.9246599999999998;1.8967200000000002;1.97595;2.01238;2.03038;2.08078;2.1526;2.22209;2.24201;2.2565;2.24209;2.2307900000000003;2.2515;2.30301;2.3715900000000003;2.46513;2.54792;2.53439;2.5178;2.46267;2.49004;2.53278;2.60833;2.5565599999999997;2.5817099999999997;2.51405;2.57013;2.44358;2.2328099999999997;2.14023;1.97587;1.85739;1.81655;1.85243;1.81577
aut;coal_consumption_per_cap;0.69581;0.66038;0.62132;0.6099399999999999;0.59707;0.6389600000000001;0.5834600000000001;0.52687;0.52187;0.5493399999999999;0.47666000000000003;0.50708;0.42561000000000004;0.43288999999999994;0.47052;0.484;0.49581000000000003;0.47171;0.50502;0.57516;0.5737899999999999;0.51083;0.5058199999999999;0.48313;0.48356000000000005;0.53035;0.55281;0.42691999999999997;0.38088;0.38359;0.4341;0.43443999999999994;0.45995;0.40452;0.40124;0.45264;0.46593999999999997;0.47118000000000004;0.5000600000000001;0.48739;0.48473999999999995;0.49122;0.46951000000000004;0.45011999999999996;0.34392;0.40243;0.41041000000000005;0.3793;0.38228;0.34711;0.37346999999999997;0.3645
aze;coal_consumption_per_cap;;;;;;;;;;;;;;;;;;;;;0.0138;0.013569999999999999;0.01335;0.01312;0.01291;0.01229;0.00911;0.00161;0.0004;0.0005200000000000001;0.00039;0.00037999999999999997;0.00037999999999999997;0.0;0.0;0.0;0.00037;0.00023999999999999998;0.00036;0.00011;0.00037999999999999997;0.00037;0.00014;0.00079;0.00045999999999999996;5.9999999999999995e-05;0.00037999999999999997;5.9999999999999995e-05;0.00031;0.00016999999999999999;4e-05;4e-05
bel;coal_consumption_per_cap;2.02977;1.8429200000000001;1.80102;1.8522599999999998;1.7975700000000001;1.6884;1.39362;1.3269600000000001;1.1103;1.18446;0.8824;0.9174;0.92842;0.9487899999999999;1.0552700000000002;1.0622200000000002;1.09902;1.09972;0.9377;1.08647;1.08233;0.9224100000000001;0.9166700000000001;0.92476;0.96954;1.05901;1.00235;0.9142399999999999;0.83934;0.88294;0.8493799999999999;0.8092199999999999;0.78062;0.7864899999999999;0.68843;0.7782100000000001;0.7174;0.6179;0.57716;0.55989;0.49037;0.4663;0.41318999999999995;0.42199;0.28888;0.344;0.3189;0.2901;0.29982;0.29705;0.28199;0.26222
bgd;coal_consumption_per_cap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013800000000000002;0.0017699999999999999;0.0015400000000000001;0.00175;0.0016899999999999999;0.00172;0.00162;0.00117;0.0015199999999999999;0.0015199999999999999;0.0018;0.00099;0.00039;0.00053;0.0007700000000000001;0.00118;0.00119;0.00121;0.00265;0.0008300000000000001;0.0007599999999999999;0.00028;0.00025;0.0027;0.00145;0.0026100000000000003;0.00074;0.00036;0.00251;0.0026100000000000003;0.00267;0.00251;0.00248;0.00335;0.00324;0.0042;0.0043100000000000005;0.00515;0.00532;0.00474;0.00579;0.0061200000000000004;0.00488;0.0043;0.00499
bgr;coal_consumption_per_cap;0.72922;0.74635;0.80471;0.86834;0.86735;0.9428200000000001;0.92499;0.94789;0.95001;0.92917;0.96975;0.9004200000000001;0.89379;0.95016;0.9769399999999999;1.02176;1.03447;1.08368;1.07684;1.07661;1.12286;1.1545299999999998;1.15507;1.07894;1.10605;0.9858899999999999;0.87802;0.8709100000000001;0.94886;0.89356;0.90955;0.93237;0.9542299999999999;0.9216;0.8043600000000001;0.80433;0.91346;0.84546;0.93885;0.9325;0.89735;0.91353;1.0392299999999999;1.0054299999999998;0.8584299999999999;0.93068;1.1027;0.94816;0.81584;0.8856799999999999;0.9222299999999999;0.80553
blr;coal_consumption_per_cap;;;;;;;;;;;;;;;;;;;;;0.21666;0.23551;0.22758;0.2425;0.23706;0.20795999999999998;0.19735999999999998;0.16448;0.14153;0.09942999999999999;0.09385;0.11427000000000001;0.12085;0.10767;0.10036;0.10016;0.07236000000000001;0.06872;0.06512000000000001;0.06421;0.07131;0.06416000000000001;0.07285;0.06813;0.06505;0.06813999999999999;0.0819;0.08351;0.09072999999999999;0.083;0.07024;0.08212
bra;coal_consumption_per_cap;0.02078;0.0219;0.02203;0.02111;0.022959999999999998;0.02557;0.0251;0.025789999999999997;0.02474;0.02562;0.02974;0.030989999999999997;0.038380000000000004;0.0431;0.04572;0.04872;0.046560000000000004;0.04808;0.05285;0.06383;0.07386000000000001;0.07326;0.0752;0.0754;0.07343999999999999;0.06426;0.0724;0.06907999999999999;0.07001;0.07071000000000001;0.07297000000000001;0.0741;0.07337;0.07076;0.07057999999999999;0.07416;0.07197;0.06874;0.07041;0.07291;0.0695;0.06777000000000001;0.07106;0.07135;0.057;0.07349;0.07776;0.07622999999999999;0.08141;0.0858;0.08582000000000001;0.07955
can;coal_consumption_per_cap;0.7854300000000001;0.75663;0.73682;0.78698;0.74717;0.78908;0.73793;0.6852699999999999;0.69488;0.69568;0.66751;0.78017;0.9849399999999999;0.8007;0.7499399999999999;0.9037200000000001;0.91327;0.95544;0.98949;1.09035;1.03583;0.94776;1.00479;1.06387;1.04695;0.97993;0.93665;0.9427399999999999;0.8274799999999999;0.86787;0.89775;0.90746;0.9398299999999999;0.99592;0.94901;0.99519;1.02486;1.0214299999999998;1.0094299999999998;0.93889;0.9307200000000001;0.89335;0.9172;0.8800899999999999;0.69503;0.72482;0.63008;0.60314;0.58899;0.5541699999999999;0.5464899999999999;0.51466
che;coal_consumption_per_cap;0.21877;0.17822000000000002;0.14845;0.13882;0.12437000000000001;0.10577;0.07082999999999999;0.05946;0.05608;0.048139999999999995;0.036000000000000004;0.033819999999999996;0.03955;0.0357;0.037000000000000005;0.05417999999999999;0.07998;0.07047;0.06116;0.07808999999999999;0.07795;0.06667999999999999;0.061689999999999995;0.052329999999999995;0.05372999999999999;0.053279999999999994;0.04482;0.0307;0.02544;0.025490000000000002;0.02712;0.02016;0.01546;0.012790000000000001;0.01325;0.01923;0.02;0.018330000000000003;0.0187;0.01762;0.019469999999999998;0.020819999999999998;0.02306;0.02049;0.01911;0.018940000000000002;0.01759;0.01567;0.01665;0.01712;0.01553;0.01542
chl;coal_consumption_per_cap;0.1352;0.13627;0.13337000000000002;0.13059;0.12796;0.13415;0.12714;0.1032;0.11014000000000002;0.10265999999999999;0.08069;0.08017;0.08499;0.0816;0.08893999999999999;0.09675;0.09511;0.06241;0.07366;0.09777999999999999;0.0963;0.08995;0.09115;0.12491;0.16598;0.19669;0.15900999999999998;0.13534000000000002;0.13446;0.15624000000000002;0.16602999999999998;0.22687;0.29138000000000003;0.2706;0.27575;0.21049;0.1632;0.16261;0.15374000000000002;0.17614000000000002;0.17077;0.21095;0.24777;0.26224000000000003;0.23736;0.26427;0.33578;0.38795;0.43225;0.43231;0.41173000000000004;0.45973
chn;coal_consumption_per_cap;0.15835;0.16524;0.14301;0.13809000000000002;0.16229000000000002;0.20117000000000002;0.22626999999999997;0.2337;0.23156999999999997;0.22443000000000002;0.24818;0.24989;0.27058000000000004;0.29275999999999996;0.29859;0.30617;0.30028;0.31331;0.33071;0.35417;0.3803;0.39047;0.41565;0.43804;0.45072;0.44988999999999996;0.46518000000000004;0.48073;0.50655;0.53464;0.53652;0.55687;0.54169;0.53403;0.54601;0.55023;0.57519;0.62684;0.74266;0.86088;1.00225;1.09441;1.18507;1.1970299999999998;1.2468299999999999;1.28619;1.3922700000000001;1.40183;1.4240000000000002;1.406;1.36976;1.3449200000000001
col;coal_consumption_per_cap;0.1052;0.10212;0.10880999999999999;0.09629;0.1;0.10167000000000001;0.07714;0.0783;0.07796;0.0922;0.09164;0.08762;0.08781;0.08675;0.08553999999999999;0.08769;0.08732999999999999;0.08889;0.0958;0.09755;0.09847;0.09521;0.11729;0.09172000000000001;0.10422000000000001;0.04662;0.05755;0.09452;0.09736;0.10953;0.0964;0.07354;0.08575;0.08033;0.06321;0.0669;0.06494;0.052660000000000005;0.05757;0.049710000000000004;0.030910000000000003;0.08477;0.07282000000000001;0.10941;0.08807999999999999;0.10221000000000001;0.08045;0.09827000000000001;0.10518;0.10968;0.1102;0.09423
cze;coal_consumption_per_cap;3.6005;3.58635;3.4696300000000004;3.59491;3.7374099999999997;3.77884;3.9252;3.8520800000000004;3.7484;3.71173;3.7673699999999997;3.81639;3.8735699999999995;3.86511;3.84714;3.7153300000000002;3.6943900000000003;3.7231400000000003;3.7061900000000003;3.78093;3.7022199999999996;3.68685;3.6438800000000002;3.68534;3.5417400000000003;3.04173;2.79102;2.49418;2.3757200000000003;2.20447;2.18758;2.17998;2.2414099999999997;2.0588;1.78603;2.10339;2.06256;2.0280099999999996;2.0552200000000003;2.04921;1.97374;2.04257;2.06526;1.8938400000000002;1.68354;1.7812700000000001;1.7423099999999998;1.64422;1.6237700000000002;1.5131299999999999;1.5636;1.59269
deu;coal_consumption_per_cap;2.10803;1.9536200000000001;1.86897;1.88383;1.92947;1.8976;1.81097;1.7652299999999999;1.7702900000000001;1.7783200000000001;1.61196;1.7032900000000002;1.6377;1.6614200000000001;1.76101;1.80509;1.8394599999999999;1.7997299999999998;1.86913;1.93117;1.92068;1.8121099999999999;1.79965;1.77157;1.79151;1.66245;1.45203;1.3046200000000001;1.22353;1.18086;1.11548;1.10814;1.07277;1.04714;1.00839;1.04684;1.04922;1.05057;1.0669600000000001;1.0397299999999998;0.9953200000000001;1.03691;1.0658;0.98755;0.8860100000000001;0.9525600000000001;0.9676299999999999;0.99287;1.01934;0.9769700000000001;0.96039;0.91905
dnk;coal_consumption_per_cap;0.77684;0.8738299999999999;0.7426699999999999;0.66074;0.59943;0.47635;0.28972;0.29428000000000004;0.44863000000000003;0.42177;0.4052;0.5609;0.6432399999999999;0.70691;0.84154;1.1998;0.95868;1.15688;1.10563;1.16615;1.42185;1.43814;1.41095;1.31882;1.08219;1.18468;1.60253;1.3305;1.3905299999999998;1.48943;1.23997;1.6972099999999999;1.25625;1.0630700000000002;0.8895;0.74347;0.78338;0.7821600000000001;1.06436;0.81347;0.68395;1.03356;0.85056;0.74532;0.72944;0.68996;0.58002;0.4408;0.57398;0.46369;0.30383000000000004;0.36662
dza;coal_consumption_per_cap;0.00554;0.00524;0.00389;0.004;0.00495;0.0057;0.0015400000000000001;0.0013;0.00146;0.00117;0.00144;0.0027300000000000002;0.00345;0.0017;0.0038399999999999997;0.00331;0.0022600000000000003;0.04058;0.035089999999999996;0.03773;0.0382;0.03808;0.04423;0.04046;0.0333;0.02543;0.02561;0.02973;0.02368;0.02186;0.02145;0.00993;0.017130000000000003;0.01806;0.01908;0.01555;0.017730000000000003;0.022969999999999997;0.0187;0.022019999999999998;0.01784;0.02611;0.02207;0.02171;0.0137;0.008579999999999999;0.00747;0.00777;0.00412;0.00458;0.00361;0.0035600000000000002
ecu;coal_consumption_per_cap;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
egy;coal_consumption_per_cap;0.01305;0.00864;0.012969999999999999;0.01315;0.01385;0.01247;0.01;0.00865;0.007370000000000001;0.01259;0.014719999999999999;0.01407;0.01568;0.01468;0.01589;0.01248;0.01569;0.01581;0.01461;0.014430000000000002;0.014830000000000001;0.014509999999999999;0.01492;0.01587;0.015819999999999997;0.013219999999999999;0.0133;0.013330000000000002;0.01573;0.0166;0.0109;0.0147;0.012209999999999999;0.01179;0.01052;0.012440000000000001;0.010740000000000001;0.0113;0.0115;0.01153;0.01108;0.01089;0.009729999999999999;0.0086;0.007509999999999999;0.005520000000000001;0.00513;0.00445;0.0043;0.0042899999999999995;0.00439;0.0045
