geo;indicator;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;coal_consumption_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18487.0;94282.0;110920.0;125710.0;145430.0;281610.0;135570.0;343240.0;550900.0;716050.0;1339600.0;1731700.0;1449400.0;1462400.0;1264000.0;1267500.0
arg;coal_consumption_total;796140.0;833480.0;817110.0;656730.0;875200.0;979750.0;807180.0;720070.0;760040.0;974360.0;1052000.0;1073900.0;850590.0;1215200.0;960160.0;934130.0;848410.0;842520.0;766960.0;516480.0;601080.0;894890.0;993460.0;1031200.0;1032600.0;939290.0;734000.0;650000.0;768750.0;1083300.0;971280.0;912720.0;846020.0;730540.0;735790.0;614250.0;664550.0;560940.0;680690.0;1074200.0;1127400.0;1055100.0;1220300.0;1391900.0;954880.0;1269300.0;1547900.0;1309600.0;1252600.0;1489000.0;1359800.0;1057200.0
aus;coal_consumption_total;17371000.0;18004000.0;18508000.0;19062000.0;19714000.0;19922000.0;19997000.0;20888000.0;21753000.0;22706000.0;23434000.0;24230000.0;25295000.0;25955000.0;27132000.0;27925000.0;28645000.0;28949000.0;28939000.0;30602000.0;31654000.0;32458000.0;33823000.0;35577000.0;37314000.0;38207000.0;38974000.0;39205000.0;39457000.0;40263000.0;41631000.0;43333000.0;45525000.0;47557000.0;47809000.0;48004000.0;47452000.0;48494000.0;49888000.0;52032000.0;51742000.0;53115000.0;52661000.0;54853000.0;53121000.0;49390000.0;48112000.0;45093000.0;43000000.0;42643000.0;44087000.0;43807000.0
aut;coal_consumption_total;5083000.0;4855300.0;4596000.0;4537700.0;4465700.0;4802600.0;4405300.0;3994300.0;3969900.0;4189400.0;3640600.0;3874500.0;3250200.0;3302000.0;3584400.0;3683100.0;3770400.0;3586000.0;3839700.0;4375400.0;4369300.0;3895300.0;3864100.0;3700200.0;3716900.0;4096400.0;4296800.0;3343200.0;3005900.0;3048500.0;3468500.0;3483300.0;3694700.0;3252800.0;3230400.0;3652500.0;3773100.0;3832800.0;4088400.0;4004800.0;4000900.0;4069600.0;3902500.0;3753300.0;2878600.0;3384400.0;3472000.0;3230700.0;3279100.0;2996700.0;3241200.0;3175600.0
aze;coal_consumption_total;;;;;;;;;;;;;;;;;;;;;92000.0;92000.0;92000.0;92000.0;92000.0;89000.0;67000.0;12000.0;3000.0;4000.0;3000.0;3000.0;3000.0;0.0;0.0;0.0;3000.0;2000.0;3000.0;920.0;3220.0;3220.0;1240.4;6982.3;4121.2;526.07;3471.0;545.28;2935.3;1658.8;353.87;354.84
bel;coal_consumption_total;19169000.0;17487000.0;17162000.0;17718000.0;17256000.0;16263000.0;13467000.0;12862000.0;10793000.0;11545000.0;8622400.0;8985700.0;9114000.0;9333100.0;10399000.0;10483000.0;10859000.0;10876000.0;9281200.0;10763000.0;10733000.0;9158200.0;9113800.0;9209700.0;9676200.0;10597000.0;10063000.0;9213800.0;8493000.0;8967100.0;8652000.0;8260700.0;7980900.0;8051500.0;7060000.0;8001600.0;7402900.0;6404500.0;6013500.0;5867700.0;5171900.0;4951900.0;4420200.0;4548700.0;3137300.0;3762900.0;3512100.0;3215300.0;3343500.0;3332700.0;3183100.0;2978400.0
bgd;coal_consumption_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93464.0;121450.0;107960.0;124950.0;123450.0;128950.0;124950.0;92965.0;124190.0;127670.0;154660.0;87531.0;35029.0;48981.0;73972.0;116460.0;119950.0;124950.0;281390.0;89966.0;84468.0;31488.0;29489.0;320880.0;175930.0;322880.0;92964.0;45982.0;329870.0;349870.0;365360.0;349370.0;349870.0;480820.0;471320.0;618260.0;641260.0;774200.0;808690.0;729220.0;902160.0;964160.0;777200.0;692860.0;812680.0
bgr;coal_consumption_total;5996000.0;6183000.0;6714000.0;7294000.0;7333000.0;8021000.0;7917000.0;8160000.0;8223000.0;8083000.0;8474000.0;7899000.0;7867000.0;8388000.0;8649000.0;9072000.0;9212000.0;9678000.0;9641000.0;9656000.0;10078000.0;10359000.0;10350000.0;9642000.0;9841000.0;8716600.0;7697500.0;7556200.0;8137300.0;7572600.0;7621300.0;7731100.0;7835900.0;7499600.0;6488700.0;6432900.0;7244200.0;6650500.0;7326700.0;7220600.0;6895000.0;6965600.0;7863800.0;7551100.0;6400500.0;6891300.0;8111700.0;6931400.0;5928000.0;6396500.0;6619200.0;5744600.0
blr;coal_consumption_total;;;;;;;;;;;;;;;;;;;;;2159300.0;2362200.0;2296700.0;2460600.0;2415500.0;2124700.0;2018300.0;1681000.0;1443700.0;1011500.0;951840.0;1155200.0;1217300.0;1080300.0;1002300.0;994990.0;714400.0;673900.0;634290.0;621320.0;686140.0;614330.0;694770.0;647690.0;617090.0;645520.0;775460.0;791000.0;860000.0;787230.0;666250.0;778520.0
bra;coal_consumption_total;1735000.0;1880000.0;1943000.0;1912000.0;2134000.0;2437200.0;2453300.0;2582600.0;2538100.0;2692400.0;3200800.0;3415900.0;4332400.0;4981500.0;5410900.0;5902400.0;5774500.0;6104200.0;6864700.0;8477300.0;10021000.0;10146000.0;10624000.0;10857000.0;10773000.0;9597700.0;11003000.0;10678000.0;11001000.0;11292000.0;11843000.0;12220000.0;12293000.0;12041000.0;12193000.0;12999000.0;12793000.0;12383000.0;12848000.0;13470000.0;12991000.0;12809000.0;13575000.0;13769000.0;11110000.0;14462000.0;15449000.0;15288000.0;16478000.0;17521000.0;17675000.0;16519000.0
