geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_deaths_per_100000_men;8.27;8.35;8.44;8.55;8.66;8.74;8.82;8.88;8.94;9.06;9.18;9.32;9.43;9.55;9.68;9.8;9.91;10.01;10.12;10.21;10.3;10.38;10.46;10.55;10.66;10.77;10.86
ago;colonandrectum_cancer_deaths_per_100000_men;9.11;9.02;8.94;8.93;8.94;8.92;8.74;8.6;8.75;8.64;8.57;8.61;8.69;8.91;9.01;9.09;9.23;9.32;9.49;9.6;9.69;9.85;10.01;10.19;10.38;10.56;10.71
alb;colonandrectum_cancer_deaths_per_100000_men;7.65;7.69;7.7;7.81;7.72;7.48;7.28;7.11;7.09;7.2;7.39;7.71;7.98;8.22;8.47;8.7;8.77;8.84;8.83;8.9;8.79;8.73;8.72;8.74;8.77;8.81;8.84
and;colonandrectum_cancer_deaths_per_100000_men;24.67;24.79;24.94;24.35;23.82;23.5;23.11;22.66;22.33;21.98;21.66;21.33;20.97;21.07;21.25;21.2;21.09;21.07;20.94;20.9;20.92;21.04;21.17;21.2;21.3;21.37;21.4
are;colonandrectum_cancer_deaths_per_100000_men;10.97;11.26;11.55;11.83;12.11;12.35;12.55;12.73;12.79;12.85;12.91;13.15;13.22;13.03;12.65;12.64;12.64;12.85;12.74;12.91;13.03;13.23;13.39;13.62;13.75;13.82;13.84
arg;colonandrectum_cancer_deaths_per_100000_men;23.99;23.9;23.94;23.87;24.09;24.44;24.76;24.96;25.14;25.38;25.61;25.89;26.11;26.49;26.5;26.37;26.44;26.72;26.69;26.48;26.13;25.99;25.97;25.94;25.75;25.61;25.52
arm;colonandrectum_cancer_deaths_per_100000_men;13.24;13.77;14.25;14.38;14.24;13.49;13.47;13.29;12.92;13.2;12.86;13.16;13.4;13.57;14.03;14.73;15.26;15.34;15.81;16.14;16.32;16.05;15.62;15.31;15.43;15.65;15.33
asm;colonandrectum_cancer_deaths_per_100000_men;16.56;16.64;16.61;16.38;16.34;16.27;16.22;16.11;16.69;15.98;15.75;15.09;14.72;14.9;15.37;15.53;15.5;15.5;15.18;15.61;15.79;16.15;16.24;16.27;16.34;16.39;16.32
atg;colonandrectum_cancer_deaths_per_100000_men;12.67;12.49;12.29;11.96;11.98;12.16;12.07;11.34;11.09;11.48;12.03;11.75;11.64;11.76;11.88;11.7;11.89;11.86;12.31;12.3;12.61;12.96;13.33;13.24;13.47;13.21;13.11
aus;colonandrectum_cancer_deaths_per_100000_men;29.57;29.23;29.1;28.79;28.69;28.23;28.03;27.45;26.73;26.09;25.52;24.91;24.28;23.62;22.94;22.25;21.8;21.39;21.12;20.68;20.34;19.87;19.45;19.09;18.94;19.18;19.43
aut;colonandrectum_cancer_deaths_per_100000_men;31.46;31.39;31.48;31.42;31.06;30.69;30.53;30.06;29.28;28.61;27.71;26.96;26.73;26.43;25.6;24.97;24.23;23.47;22.85;22.2;21.35;21.06;20.69;20.28;19.71;19.59;19.44
aze;colonandrectum_cancer_deaths_per_100000_men;10.22;10.15;10.86;10.68;10.76;9.86;9.47;9.04;8.93;9.08;9.05;8.99;9.16;9.59;9.74;9.77;9.9;10.01;10.41;10.48;10.63;10.24;10.06;9.96;9.88;9.83;9.76
bdi;colonandrectum_cancer_deaths_per_100000_men;12.02;11.98;11.95;11.96;11.95;12.02;11.77;11.42;11.12;10.67;10.55;10.11;10.0;9.94;10.04;10.16;10.18;10.2;10.22;10.18;10.35;10.54;10.68;10.76;10.87;10.93;10.96
bel;colonandrectum_cancer_deaths_per_100000_men;30.47;30.18;29.77;29.88;29.53;29.15;28.38;27.55;27.52;27.36;27.13;26.94;26.78;26.23;25.9;25.65;25.15;24.93;24.88;24.56;24.06;23.4;23.15;22.52;21.7;21.84;21.82
ben;colonandrectum_cancer_deaths_per_100000_men;7.44;7.61;7.64;7.69;7.85;7.96;8.16;8.12;8.19;8.28;8.43;8.56;8.67;8.76;8.82;8.86;8.96;9.04;9.15;9.27;9.38;9.53;9.62;9.67;9.73;9.78;9.83
bfa;colonandrectum_cancer_deaths_per_100000_men;12.12;12.18;12.29;12.53;12.65;12.8;12.88;13.11;13.41;13.39;13.56;13.37;13.32;13.4;13.5;13.59;13.69;13.84;13.96;14.04;14.35;14.6;14.95;15.31;15.51;15.66;15.77
