geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_deaths_per_100000_women;13.91;14.13;14.39;14.68;15.0;15.24;15.41;15.55;15.65;15.76;15.85;15.93;15.93;15.92;15.91;15.86;15.8;15.71;15.66;15.56;15.47;15.39;15.32;15.27;15.24;15.22;15.2
ago;colonandrectum_cancer_deaths_per_100000_women;8.84;8.86;8.86;9.09;9.35;9.48;9.55;9.5;9.84;9.82;9.8;9.88;9.92;10.1;10.19;10.21;10.27;10.23;10.21;10.12;10.02;9.98;9.97;9.99;9.99;9.99;9.98
alb;colonandrectum_cancer_deaths_per_100000_women;5.91;5.86;5.81;5.73;5.57;5.49;5.48;5.59;5.78;5.94;6.15;6.38;6.62;6.81;6.86;7.0;7.07;7.08;7.04;6.95;6.8;6.68;6.58;6.5;6.43;6.36;6.3
and;colonandrectum_cancer_deaths_per_100000_women;14.96;14.83;14.62;14.73;14.89;14.13;13.6;13.09;12.64;12.23;11.87;11.52;11.21;10.9;11.02;10.78;10.68;10.58;10.63;10.83;10.86;10.91;10.95;10.96;10.98;11.0;10.99
are;colonandrectum_cancer_deaths_per_100000_women;8.92;8.94;8.97;8.99;9.0;8.97;8.96;8.82;8.69;8.63;8.52;8.41;8.3;8.07;7.8;7.6;7.38;7.89;7.81;7.78;7.77;7.77;7.79;7.8;7.79;7.77;7.72
arg;colonandrectum_cancer_deaths_per_100000_women;14.89;14.81;14.69;14.67;14.64;14.62;14.75;14.97;15.18;15.37;15.41;15.45;15.56;15.67;15.57;15.54;15.42;15.48;15.31;15.17;15.11;14.93;14.82;14.71;14.57;14.38;14.26
arm;colonandrectum_cancer_deaths_per_100000_women;10.86;10.66;10.98;10.65;10.08;10.65;10.93;10.93;11.22;11.22;11.1;11.1;11.11;11.68;11.9;12.67;13.41;13.34;13.9;14.01;14.19;14.13;13.81;13.05;12.49;12.59;12.1
asm;colonandrectum_cancer_deaths_per_100000_women;11.85;11.94;12.13;12.24;12.35;12.42;12.49;12.34;13.23;13.3;12.75;12.11;11.87;11.87;11.88;11.97;12.05;11.94;11.8;11.83;11.63;12.48;12.84;12.77;12.75;12.7;12.55
atg;colonandrectum_cancer_deaths_per_100000_women;11.91;11.88;11.71;11.59;11.57;11.61;11.87;11.79;11.57;12.09;11.97;11.87;12.11;12.14;12.07;11.95;12.01;11.99;11.98;11.92;12.08;12.15;12.14;12.62;13.07;12.79;12.72
aus;colonandrectum_cancer_deaths_per_100000_women;20.84;20.46;20.17;19.84;19.64;19.21;18.86;18.48;18.01;17.55;17.06;16.73;16.42;16.01;15.6;15.2;14.98;14.89;14.76;14.42;14.19;14.04;13.89;13.65;13.63;13.63;13.64
