geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_new_cases_per_100000_men;6.85;6.9;6.96;7.03;7.09;7.16;7.2;7.25;7.29;7.34;7.39;7.44;7.5;7.55;7.61;7.67;7.74;7.81;7.88;7.95;8.02;8.08;8.14;8.2;8.26;8.33;8.39
ago;colonandrectum_cancer_new_cases_per_100000_men;9.08;9.0;8.92;8.84;8.77;8.7;8.6;8.5;8.41;8.32;8.24;8.21;8.19;8.17;8.15;8.13;8.18;8.22;8.27;8.32;8.37;8.48;8.6;8.72;8.84;8.97;9.1
alb;colonandrectum_cancer_new_cases_per_100000_men;8.35;8.32;8.28;8.25;8.22;8.19;8.23;8.28;8.32;8.37;8.42;8.77;9.14;9.53;9.94;10.37;10.49;10.62;10.75;10.88;11.02;11.11;11.21;11.31;11.41;11.51;11.61
and;colonandrectum_cancer_new_cases_per_100000_men;50.81;50.73;50.67;50.61;50.55;50.5;50.5;50.52;50.53;50.55;50.57;50.78;50.99;51.21;51.43;51.67;51.82;51.97;52.12;52.28;52.44;52.96;53.48;54.01;54.55;55.09;55.65
are;colonandrectum_cancer_new_cases_per_100000_men;11.49;11.9;12.33;12.78;13.25;13.74;14.08;14.43;14.79;15.16;15.55;15.65;15.75;15.85;15.95;16.06;16.34;16.62;16.91;17.2;17.5;17.85;18.2;18.56;18.93;19.3;19.69
arg;colonandrectum_cancer_new_cases_per_100000_men;28.48;28.96;29.45;29.95;30.46;30.98;31.46;31.96;32.47;32.98;33.52;33.89;34.28;34.67;35.06;35.47;35.84;36.22;36.6;36.99;37.39;37.75;38.12;38.5;38.88;39.27;39.66
arm;colonandrectum_cancer_new_cases_per_100000_men;16.84;16.87;16.9;16.94;16.98;17.03;16.85;16.68;16.51;16.35;16.2;16.7;17.23;17.78;18.36;18.97;19.56;20.18;20.82;21.5;22.2;22.23;22.27;22.31;22.35;22.39;22.44
asm;colonandrectum_cancer_new_cases_per_100000_men;16.86;17.06;17.26;17.47;17.68;17.89;18.09;18.3;18.51;18.72;18.94;19.19;19.44;19.7;19.97;20.24;20.6;20.96;21.33;21.71;22.1;22.53;22.96;23.41;23.87;24.33;24.82
atg;colonandrectum_cancer_new_cases_per_100000_men;19.88;19.97;20.08;20.18;20.29;20.41;20.32;20.24;20.17;20.1;20.04;20.02;20.01;20.0;20.0;20.01;20.57;21.13;21.72;22.33;22.97;23.37;23.79;24.22;24.65;25.1;25.55
aus;colonandrectum_cancer_new_cases_per_100000_men;62.83;63.47;64.12;64.79;65.46;66.15;66.61;67.09;67.58;68.07;68.59;68.11;67.65;67.19;66.74;66.31;65.63;64.96;64.3;63.67;63.04;62.99;62.95;62.92;62.88;62.85;62.83
aut;colonandrectum_cancer_new_cases_per_100000_men;60.23;60.56;60.91;61.26;61.62;61.99;61.32;60.67;60.03;59.4;58.78;57.92;57.08;56.26;55.46;54.68;53.53;52.41;51.33;50.27;49.24;48.98;48.73;48.49;48.25;48.01;47.79
aze;colonandrectum_cancer_new_cases_per_100000_men;13.55;13.5;13.46;13.41;13.37;13.33;12.97;12.63;12.31;12.0;11.71;11.89;12.08;12.28;12.47;12.68;13.15;13.64;14.15;14.69;15.25;15.32;15.39;15.47;15.55;15.63;15.72
bdi;colonandrectum_cancer_new_cases_per_100000_men;10.62;10.65;10.68;10.71;10.74;10.78;10.52;10.28;10.05;9.82;9.61;9.42;9.24;9.07;8.91;8.75;8.67;8.6;8.53;8.45;8.39;8.44;8.5;8.56;8.61;8.67;8.73
bel;colonandrectum_cancer_new_cases_per_100000_men;58.24;58.51;58.8;59.08;59.37;59.68;59.41;59.16;58.91;58.67;58.44;58.41;58.4;58.39;58.39;58.39;58.19;57.99;57.79;57.6;57.41;57.08;56.75;56.43;56.11;55.79;55.49
ben;colonandrectum_cancer_new_cases_per_100000_men;5.44;5.49;5.55;5.6;5.66;5.72;5.78;5.84;5.91;5.97;6.04;6.11;6.18;6.25;6.33;6.4;6.48;6.55;6.62;6.7;6.78;6.81;6.84;6.87;6.9;6.93;6.96
bfa;colonandrectum_cancer_new_cases_per_100000_men;8.48;8.57;8.66;8.75;8.85;8.94;9.04;9.15;9.26;9.37;9.48;9.52;9.55;9.59;9.63;9.67;9.76;9.85;9.94;10.03;10.13;10.24;10.36;10.47;10.59;10.71;10.83
bgd;colonandrectum_cancer_new_cases_per_100000_men;9.87;9.85;9.82;9.8;9.78;9.76;9.73;9.7;9.67;9.65;9.62;9.45;9.3;9.18;9.09;9.03;9.16;9.3;9.45;9.6;9.77;9.97;10.18;10.4;10.64;10.88;11.14
bgr;colonandrectum_cancer_new_cases_per_100000_men;33.51;34.05;34.6;35.15;35.72;36.31;36.63;36.97;37.32;37.68;38.05;39.32;40.65;42.03;43.46;44.94;45.92;46.93;47.96;49.02;50.12;50.43;50.76;51.09;51.42;51.76;52.1
bhr;colonandrectum_cancer_new_cases_per_100000_men;12.56;13.1;13.67;14.26;14.89;15.54;15.57;15.6;15.63;15.67;15.7;15.72;15.74;15.76;15.78;15.8;15.69;15.57;15.46;15.36;15.26;15.51;15.77;16.03;16.3;16.58;16.87
bhs;colonandrectum_cancer_new_cases_per_100000_men;35.58;35.72;35.89;36.07;36.27;36.5;36.7;36.93;37.17;37.42;37.7;37.81;37.95;38.11;38.27;38.45;38.93;39.42;39.92;40.44;40.98;41.31;41.66;42.01;42.37;42.73;43.12
bih;colonandrectum_cancer_new_cases_per_100000_men;20.02;20.09;20.17;20.25;20.33;20.41;21.21;22.05;22.92;23.84;24.8;26.15;27.6;29.13;30.75;32.48;33.11;33.75;34.41;35.08;35.77;35.96;36.15;36.35;36.55;36.75;36.96
blr;colonandrectum_cancer_new_cases_per_100000_men;30.88;32.43;34.06;35.78;37.6;39.51;39.53;39.55;39.58;39.62;39.66;39.94;40.24;40.54;40.85;41.16;41.8;42.44;43.1;43.77;44.46;44.06;43.66;43.28;42.9;42.53;42.17
blz;colonandrectum_cancer_new_cases_per_100000_men;7.44;8.02;8.65;9.34;10.09;10.9;11.19;11.5;11.81;12.14;12.47;12.7;12.94;13.18;13.42;13.68;13.81;13.95;14.09;14.24;14.39;14.63;14.89;15.15;15.41;15.68;15.96
bmu;colonandrectum_cancer_new_cases_per_100000_men;66.39;66.29;66.24;66.23;66.25;66.3;66.32;66.42;66.6;66.85;67.17;65.87;64.64;63.46;62.34;61.29;61.77;62.26;62.77;63.29;63.84;63.57;63.32;63.07;62.83;62.59;62.36
bol;colonandrectum_cancer_new_cases_per_100000_men;9.75;9.76;9.77;9.78;9.79;9.8;9.93;10.05;10.18;10.32;10.45;10.54;10.64;10.73;10.83;10.93;11.05;11.16;11.28;11.4;11.53;11.65;11.78;11.91;12.04;12.17;12.31
bra;colonandrectum_cancer_new_cases_per_100000_men;13.67;14.05;14.46;14.88;15.31;15.77;16.33;16.92;17.53;18.17;18.83;19.05;19.28;19.52;19.76;20.01;20.18;20.36;20.54;20.73;20.92;21.14;21.37;21.6;21.84;22.08;22.33
brb;colonandrectum_cancer_new_cases_per_100000_men;36.68;37.84;39.05;40.31;41.62;42.98;42.52;42.09;41.66;41.25;40.85;41.34;41.84;42.35;42.86;43.4;44.2;45.02;45.86;46.73;47.62;48.11;48.62;49.14;49.66;50.19;50.73
brn;colonandrectum_cancer_new_cases_per_100000_men;39.76;40.36;40.98;41.61;42.25;42.92;43.58;44.27;44.97;45.68;46.41;47.7;49.03;50.4;51.82;53.3;54.85;56.44;58.09;59.79;61.56;62.69;63.85;65.03;66.24;67.48;68.75
btn;colonandrectum_cancer_new_cases_per_100000_men;4.51;4.53;4.55;4.57;4.59;4.61;4.61;4.6;4.6;4.6;4.6;4.65;4.71;4.76;4.82;4.88;4.96;5.05;5.14;5.23;5.33;5.43;5.54;5.66;5.77;5.89;6.02
bwa;colonandrectum_cancer_new_cases_per_100000_men;7.5;7.74;7.99;8.25;8.52;8.8;9.21;9.64;10.1;10.58;11.09;11.32;11.55;11.79;12.04;12.29;12.3;12.31;12.33;12.35;12.37;12.5;12.64;12.78;12.92;13.06;13.21
