geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_new_cases_per_100000_women;12.23;12.39;12.56;12.74;12.91;13.11;13.16;13.22;13.29;13.35;13.43;13.35;13.29;13.22;13.16;13.11;13.02;12.92;12.83;12.74;12.67;12.61;12.55;12.5;12.44;12.39;12.35
ago;colonandrectum_cancer_new_cases_per_100000_women;8.84;8.86;8.89;8.93;8.96;8.99;8.99;8.98;8.98;8.98;8.98;8.93;8.89;8.84;8.8;8.76;8.69;8.62;8.56;8.5;8.43;8.41;8.39;8.37;8.35;8.33;8.32
alb;colonandrectum_cancer_new_cases_per_100000_women;6.41;6.33;6.25;6.17;6.09;6.01;6.19;6.37;6.56;6.75;6.96;7.19;7.43;7.68;7.94;8.21;8.24;8.27;8.3;8.33;8.36;8.32;8.28;8.24;8.21;8.17;8.14
and;colonandrectum_cancer_new_cases_per_100000_women;32.05;31.96;31.88;31.81;31.73;31.66;31.24;30.83;30.43;30.03;29.66;29.44;29.24;29.04;28.84;28.66;28.8;28.92;29.06;29.2;29.35;29.52;29.69;29.87;30.05;30.23;30.42
are;colonandrectum_cancer_new_cases_per_100000_women;10.81;10.97;11.13;11.3;11.47;11.65;11.72;11.79;11.86;11.93;12.01;11.95;11.89;11.83;11.77;11.72;11.87;12.03;12.18;12.35;12.51;12.68;12.85;13.03;13.2;13.39;13.57
arg;colonandrectum_cancer_new_cases_per_100000_women;18.14;18.3;18.46;18.62;18.78;18.95;19.21;19.47;19.73;20.0;20.28;20.41;20.55;20.68;20.82;20.96;21.09;21.21;21.34;21.47;21.6;21.72;21.84;21.97;22.09;22.22;22.35
arm;colonandrectum_cancer_new_cases_per_100000_women;13.85;13.81;13.77;13.74;13.7;13.67;13.76;13.85;13.95;14.05;14.16;14.6;15.06;15.55;16.05;16.57;17.07;17.59;18.13;18.69;19.28;19.0;18.73;18.46;18.2;17.94;17.7
asm;colonandrectum_cancer_new_cases_per_100000_women;12.47;12.73;13.01;13.29;13.58;13.88;14.16;14.46;14.76;15.07;15.4;15.42;15.44;15.46;15.49;15.51;15.68;15.84;16.0;16.17;16.35;16.76;17.19;17.63;18.09;18.55;19.04
atg;colonandrectum_cancer_new_cases_per_100000_women;19.63;19.79;19.97;20.16;20.37;20.6;20.81;21.03;21.27;21.5;21.75;21.88;22.03;22.18;22.34;22.51;22.92;23.34;23.77;24.21;24.66;25.13;25.62;26.11;26.62;27.13;27.67
aus;colonandrectum_cancer_new_cases_per_100000_women;46.15;46.35;46.56;46.77;46.99;47.21;47.41;47.61;47.82;48.04;48.26;48.0;47.76;47.52;47.28;47.05;46.65;46.25;45.87;45.5;45.15;45.07;44.99;44.92;44.85;44.78;44.72
aut;colonandrectum_cancer_new_cases_per_100000_women;39.49;39.23;38.97;38.71;38.46;38.22;37.66;37.12;36.59;36.06;35.55;34.86;34.18;33.52;32.88;32.25;31.63;31.02;30.42;29.84;29.28;29.32;29.36;29.41;29.46;29.51;29.56
aze;colonandrectum_cancer_new_cases_per_100000_women;10.07;9.99;9.91;9.84;9.77;9.7;9.44;9.19;8.96;8.73;8.52;8.71;8.9;9.09;9.3;9.51;9.83;10.16;10.5;10.86;11.24;11.14;11.05;10.97;10.89;10.81;10.73
bdi;colonandrectum_cancer_new_cases_per_100000_women;10.39;10.42;10.45;10.49;10.52;10.56;10.5;10.45;10.39;10.34;10.3;10.06;9.83;9.6;9.39;9.19;9.04;8.9;8.77;8.63;8.5;8.51;8.51;8.52;8.52;8.53;8.54
bel;colonandrectum_cancer_new_cases_per_100000_women;42.23;41.98;41.73;41.5;41.26;41.04;40.29;39.57;38.86;38.18;37.51;37.36;37.22;37.08;36.95;36.83;36.68;36.53;36.38;36.24;36.11;35.98;35.86;35.74;35.62;35.51;35.4
ben;colonandrectum_cancer_new_cases_per_100000_women;4.61;4.62;4.64;4.65;4.66;4.68;4.73;4.77;4.82;4.88;4.93;4.98;5.04;5.09;5.15;5.21;5.28;5.35;5.42;5.49;5.56;5.59;5.63;5.66;5.7;5.73;5.77
bfa;colonandrectum_cancer_new_cases_per_100000_women;6.8;6.81;6.83;6.84;6.86;6.88;6.92;6.95;6.99;7.03;7.07;7.1;7.13;7.17;7.2;7.23;7.27;7.31;7.35;7.39;7.44;7.46;7.48;7.51;7.53;7.56;7.58
bgd;colonandrectum_cancer_new_cases_per_100000_women;8.53;8.42;8.32;8.23;8.13;8.04;7.89;7.75;7.62;7.48;7.36;7.09;6.85;6.62;6.41;6.22;6.37;6.53;6.7;6.87;7.05;7.27;7.5;7.74;7.99;8.25;8.53
bgr;colonandrectum_cancer_new_cases_per_100000_women;23.17;23.41;23.65;23.9;24.15;24.41;24.74;25.1;25.46;25.84;26.23;26.65;27.09;27.54;27.99;28.46;28.82;29.18;29.56;29.94;30.33;30.28;30.23;30.18;30.13;30.08;30.04
bhr;colonandrectum_cancer_new_cases_per_100000_women;10.75;10.91;11.08;11.25;11.43;11.62;11.55;11.49;11.43;11.38;11.33;11.34;11.35;11.37;11.39;11.41;11.43;11.46;11.48;11.51;11.55;11.62;11.7;11.78;11.85;11.93;12.02
bhs;colonandrectum_cancer_new_cases_per_100000_women;28.17;28.26;28.37;28.48;28.59;28.71;29.19;29.68;30.19;30.72;31.27;31.49;31.72;31.95;32.19;32.44;32.79;33.14;33.5;33.87;34.24;34.6;34.97;35.35;35.73;36.11;36.5
bih;colonandrectum_cancer_new_cases_per_100000_women;16.12;16.11;16.11;16.11;16.12;16.12;16.36;16.6;16.85;17.11;17.38;17.79;18.23;18.68;19.14;19.63;19.78;19.93;20.09;20.25;20.41;20.49;20.57;20.66;20.74;20.83;20.92
blr;colonandrectum_cancer_new_cases_per_100000_women;23.47;24.25;25.07;25.92;26.79;27.71;27.28;26.87;26.46;26.07;25.68;25.24;24.82;24.4;23.99;23.6;23.44;23.27;23.12;22.96;22.82;22.74;22.67;22.61;22.54;22.47;22.41
blz;colonandrectum_cancer_new_cases_per_100000_women;8.43;8.74;9.07;9.41;9.77;10.15;10.59;11.05;11.53;12.03;12.56;12.74;12.93;13.12;13.31;13.5;13.63;13.75;13.88;14.02;14.16;14.39;14.62;14.87;15.12;15.37;15.64
bmu;colonandrectum_cancer_new_cases_per_100000_women;70.31;71.02;71.76;72.52;73.31;74.13;74.27;74.44;74.63;74.85;75.09;73.4;71.76;70.16;68.6;67.08;65.86;64.66;63.5;62.36;61.27;59.92;58.62;57.36;56.14;54.96;53.82
bol;colonandrectum_cancer_new_cases_per_100000_women;15.85;15.86;15.87;15.89;15.91;15.93;15.92;15.91;15.9;15.89;15.9;16.17;16.45;16.73;17.02;17.32;17.64;17.96;18.3;18.64;18.99;19.26;19.54;19.82;20.1;20.39;20.69
bra;colonandrectum_cancer_new_cases_per_100000_women;13.21;13.52;13.84;14.18;14.52;14.89;15.24;15.6;15.98;16.37;16.8;16.97;17.14;17.32;17.49;17.67;17.82;17.97;18.13;18.29;18.45;18.58;18.72;18.86;19.0;19.15;19.3
brb;colonandrectum_cancer_new_cases_per_100000_women;30.82;31.34;31.88;32.43;32.99;33.57;33.75;33.94;34.14;34.34;34.56;34.99;35.44;35.89;36.35;36.82;37.25;37.68;38.14;38.6;39.09;39.64;40.22;40.8;41.39;42.0;42.62
brn;colonandrectum_cancer_new_cases_per_100000_women;26.92;27.11;27.31;27.51;27.71;27.92;27.93;27.95;27.96;27.98;28.01;28.69;29.38;30.1;30.84;31.6;32.31;33.03;33.78;34.54;35.32;35.75;36.18;36.61;37.06;37.51;37.97
btn;colonandrectum_cancer_new_cases_per_100000_women;6.07;6.05;6.03;6.01;6.0;5.98;5.88;5.78;5.69;5.6;5.51;5.45;5.4;5.35;5.3;5.25;5.22;5.2;5.17;5.15;5.13;5.17;5.22;5.26;5.31;5.36;5.41
bwa;colonandrectum_cancer_new_cases_per_100000_women;7.42;7.45;7.49;7.53;7.57;7.61;7.97;8.35;8.75;9.17;9.62;9.66;9.7;9.75;9.79;9.84;9.59;9.34;9.1;8.87;8.65;8.79;8.92;9.07;9.21;9.35;9.51
caf;colonandrectum_cancer_new_cases_per_100000_women;9.33;9.42;9.51;9.6;9.7;9.79;9.85;9.92;9.98;10.05;10.12;10.15;10.19;10.23;10.28;10.32;10.32;10.3;10.3;10.29;10.29;10.22;10.15;10.09;10.02;9.96;9.89
can;colonandrectum_cancer_new_cases_per_100000_women;38.32;38.1;37.88;37.66;37.44;37.23;37.33;37.42;37.52;37.62;37.72;37.55;37.38;37.22;37.05;36.9;36.35;35.81;35.29;34.77;34.27;34.33;34.39;34.44;34.51;34.57;34.64
che;colonandrectum_cancer_new_cases_per_100000_women;23.16;24.53;25.99;27.55;29.21;30.98;31.81;32.67;33.55;34.47;35.41;34.98;34.56;34.15;33.74;33.34;32.96;32.59;32.22;31.86;31.51;31.11;30.72;30.34;29.96;29.59;29.23
