geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_number_of_female_deaths;289.11;311.6;341.31;377.65;416.02;451.18;475.77;495.68;512.68;531.76;553.95;576.39;597.82;622.42;647.98;670.22;689.79;705.76;724.0;740.52;760.49;779.0;802.13;830.63;860.66;892.53;927.44
ago;colonandrectum_cancer_number_of_female_deaths;172.61;176.49;180.87;191.33;203.24;211.63;216.44;219.12;235.07;239.36;245.25;253.99;262.44;276.66;289.12;299.35;310.1;317.59;326.65;334.01;341.24;349.67;360.01;371.98;383.83;396.73;409.82
alb;colonandrectum_cancer_number_of_female_deaths;61.78;62.66;63.51;63.62;62.97;63.14;63.5;65.31;68.14;70.78;74.38;78.97;84.14;89.44;92.86;97.51;101.4;104.27;106.92;109.08;110.8;111.28;112.67;114.66;116.76;118.81;120.78
and;colonandrectum_cancer_number_of_female_deaths;6.64;7.14;7.54;8.03;8.38;8.03;7.85;7.73;7.6;7.44;7.31;7.24;7.24;7.45;8.13;8.4;8.69;8.99;9.34;9.77;10.0;10.21;10.42;10.6;10.79;10.98;10.95
are;colonandrectum_cancer_number_of_female_deaths;15.21;15.88;16.63;17.47;18.4;19.34;20.34;21.02;21.67;22.49;23.13;24.17;25.3;26.21;27.61;30.0;31.46;37.38;41.17;45.25;49.32;54.36;59.16;63.73;68.4;73.45;78.17
arg;colonandrectum_cancer_number_of_female_deaths;2428.75;2470.48;2507.45;2569.72;2632.66;2700.4;2790.3;2903.83;3025.12;3146.67;3236.98;3317.66;3412.36;3519.73;3579.18;3656.98;3700.57;3794.34;3826.68;3871.76;3943.18;3974.85;4027.3;4062.98;4087.59;4128.94;4185.39
arm;colonandrectum_cancer_number_of_female_deaths;163.56;163.72;170.83;167.21;160.28;172.47;179.71;182.55;191.05;193.26;194.45;195.89;196.08;206.5;210.32;223.57;234.79;231.94;240.27;242.54;248.97;255.71;260.18;259.49;260.31;271.98;268.85
asm;colonandrectum_cancer_number_of_female_deaths;1.08;1.12;1.17;1.22;1.26;1.3;1.35;1.37;1.51;1.56;1.54;1.5;1.51;1.55;1.6;1.66;1.72;1.75;1.78;1.84;1.86;2.06;2.18;2.24;2.3;2.36;2.4
atg;colonandrectum_cancer_number_of_female_deaths;3.3;3.36;3.4;3.45;3.54;3.66;3.8;3.83;3.77;3.97;3.95;4.02;4.17;4.23;4.23;4.22;4.32;4.42;4.51;4.57;4.72;4.82;4.92;5.24;5.56;5.58;5.71
aus;colonandrectum_cancer_number_of_female_deaths;2091.96;2112.12;2140.63;2158.43;2189.38;2197.0;2217.13;2230.56;2233.05;2240.29;2239.59;2262.39;2279.5;2281.41;2281.99;2289.14;2322.24;2373.15;2425.23;2436.99;2476.27;2524.25;2568.01;2592.79;2651.86;2713.02;2779.03
aut;colonandrectum_cancer_number_of_female_deaths;1344.75;1336.65;1324.54;1310.54;1290.3;1281.52;1266.56;1247.69;1231.85;1212.24;1192.29;1170.62;1161.54;1159.35;1138.26;1128.31;1108.69;1083.96;1069.12;1059.23;1043.54;1048.37;1058.63;1054.11;1050.75;1067.22;1085.18
aze;colonandrectum_cancer_number_of_female_deaths;187.25;185.05;191.08;190.62;192.24;187.9;183.75;179.57;180.22;183.95;189.1;193.45;202.49;219.01;229.74;238.7;246.55;258.19;272.02;280.62;287.63;287.3;303.0;293.51;297.42;304.23;307.48
