geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_number_of_male_deaths;153.05;164.83;180.61;199.68;219.38;237.3;248.84;257.53;264.8;274.46;286.23;300.47;316.38;334.55;353.37;371.52;387.87;402.85;418.1;433.68;451.77;470.18;491.78;516.44;543.25;570.93;599.43
ago;colonandrectum_cancer_number_of_male_deaths;148.85;150.07;152.18;156.08;160.63;164.22;162.74;162.62;171.3;171.97;174.71;180.47;186.71;197.91;206.97;215.56;225.15;233.83;245.27;256.02;266.53;279.35;293.46;308.68;325.26;343.09;360.17
alb;colonandrectum_cancer_number_of_male_deaths;74.18;75.69;76.19;77.26;76.4;74.77;73.81;73.68;75.67;79.5;84.32;90.65;96.5;102.51;108.63;114.22;117.68;121.1;124.14;128.69;131.07;132.68;135.19;138.27;141.88;145.87;149.43
and;colonandrectum_cancer_number_of_male_deaths;6.72;7.31;7.86;8.13;8.22;8.16;8.15;8.18;8.24;8.25;8.25;8.3;8.39;8.94;9.77;10.3;10.74;11.26;11.65;12.03;12.36;12.71;13.05;13.33;13.65;13.94;14.02
are;colonandrectum_cancer_number_of_male_deaths;21.2;23.11;25.23;27.31;29.65;32.19;34.48;36.9;39.14;41.52;43.95;46.08;48.69;51.84;57.05;65.93;73.92;84.94;97.83;113.64;129.04;146.83;162.83;177.89;193.21;209.66;227.61
arg;colonandrectum_cancer_number_of_male_deaths;2908.49;2946.73;3002.27;3046.0;3128.16;3232.41;3329.97;3409.21;3493.73;3590.25;3689.29;3789.66;3887.72;4014.83;4091.83;4148.09;4227.66;4344.17;4410.93;4460.87;4490.8;4546.9;4625.98;4699.27;4748.27;4814.97;4909.0
arm;colonandrectum_cancer_number_of_male_deaths;140.73;150.33;159.41;163.99;165.02;158.51;160.25;159.62;158.03;164.08;162.87;168.86;172.73;177.88;186.65;198.56;207.73;209.72;217.12;222.42;225.26;224.35;219.75;215.63;217.87;223.65;220.33
asm;colonandrectum_cancer_number_of_male_deaths;1.54;1.57;1.59;1.59;1.61;1.63;1.66;1.67;1.76;1.71;1.72;1.67;1.66;1.72;1.82;1.87;1.9;1.93;1.92;2.01;2.07;2.16;2.22;2.27;2.33;2.4;2.44
atg;colonandrectum_cancer_number_of_male_deaths;2.49;2.49;2.49;2.48;2.55;2.66;2.71;2.6;2.57;2.68;2.83;2.87;2.96;3.09;3.19;3.22;3.3;3.35;3.49;3.52;3.65;3.81;4.0;4.08;4.24;4.27;4.37
aus;colonandrectum_cancer_number_of_male_deaths;2269.08;2307.97;2358.92;2392.48;2441.53;2464.98;2515.8;2532.71;2537.29;2547.68;2567.2;2588.06;2594.32;2595.05;2592.64;2589.19;2616.76;2652.9;2702.68;2729.96;2775.12;2805.04;2832.4;2865.76;2928.18;3051.31;3178.42
aut;colonandrectum_cancer_number_of_male_deaths;1219.13;1229.46;1243.82;1253.58;1256.26;1260.69;1271.93;1270.6;1258.06;1253.65;1242.1;1237.61;1254.64;1267.59;1257.63;1260.5;1255.33;1249.22;1246.14;1243.76;1228.61;1244.88;1255.07;1262.8;1262.45;1290.6;1317.56
aze;colonandrectum_cancer_number_of_male_deaths;183.16;186.51;205.88;208.07;215.63;201.93;198.13;192.82;192.77;199.37;203.75;207.94;217.28;234.26;245.26;252.42;260.7;267.27;284.64;291.41;302.47;305.85;315.37;326.88;338.95;353.15;360.14
bdi;colonandrectum_cancer_number_of_male_deaths;103.26;104.19;105.18;106.26;107.27;109.05;108.12;106.04;104.8;101.83;102.85;100.41;102.05;105.08;110.51;116.53;121.11;125.95;131.02;135.74;143.91;151.17;158.25;163.92;170.45;176.85;183.72
bel;colonandrectum_cancer_number_of_male_deaths;1663.91;1670.46;1666.17;1688.6;1692.16;1699.07;1682.72;1657.96;1683.39;1698.68;1714.56;1733.86;1755.01;1747.84;1761.18;1782.71;1791.18;1820.37;1858.01;1877.21;1883.66;1876.26;1896.11;1880.74;1855.12;1908.85;1951.4
ben;colonandrectum_cancer_number_of_male_deaths;60.75;63.87;66.01;68.54;72.44;75.9;79.67;80.75;82.98;85.62;89.56;93.45;97.36;101.59;105.79;109.93;114.69;119.54;125.32;131.76;138.32;145.29;151.67;157.83;164.55;171.37;178.8
bfa;colonandrectum_cancer_number_of_male_deaths;135.76;138.52;141.86;146.76;150.25;154.4;157.05;162.11;167.98;169.78;174.85;175.01;177.39;181.54;186.2;191.37;196.98;203.93;210.65;217.47;228.97;237.44;252.39;265.53;276.87;287.79;301.75
bgd;colonandrectum_cancer_number_of_male_deaths;2661.42;2644.7;2726.38;2806.72;2894.27;3045.32;3125.58;3165.23;3244.22;3253.43;3415.32;3387.08;3405.82;3463.43;3455.34;3490.09;3703.27;3690.14;3688.71;3695.92;3815.25;3977.75;4135.18;4278.27;4350.26;4180.21;4365.44
bgr;colonandrectum_cancer_number_of_male_deaths;1197.09;1188.88;1201.26;1221.49;1257.37;1277.21;1306.85;1320.23;1328.27;1308.66;1325.63;1339.74;1353.02;1386.37;1416.95;1479.6;1510.9;1526.53;1519.63;1522.41;1528.8;1528.14;1540.1;1552.06;1541.48;1547.75;1556.32
bhr;colonandrectum_cancer_number_of_male_deaths;9.35;10.27;11.14;11.83;12.64;13.47;14.2;14.93;15.35;15.15;15.51;16.58;17.2;17.48;17.81;18.58;19.74;21.13;22.58;24.18;25.59;27.0;28.3;29.73;31.61;32.71;34.62
bhs;colonandrectum_cancer_number_of_male_deaths;11.42;11.38;11.34;11.21;12.02;13.53;13.72;14.01;14.42;14.63;15.22;15.88;16.86;18.15;18.47;19.5;19.5;20.77;22.25;23.42;24.79;26.59;28.17;30.71;31.13;32.03;33.59
bih;colonandrectum_cancer_number_of_male_deaths;276.07;284.36;286.92;286.91;288.52;292.49;299.85;311.34;327.62;345.44;371.24;401.98;440.2;483.47;520.48;553.41;580.05;601.8;618.84;632.32;648.61;666.89;675.49;688.9;707.6;717.07;725.46
blr;colonandrectum_cancer_number_of_male_deaths;844.12;906.77;968.94;1057.65;1102.85;1156.38;1174.55;1213.74;1229.39;1260.67;1259.13;1278.13;1295.22;1274.8;1284.24;1293.43;1277.97;1248.42;1269.71;1282.28;1313.85;1323.43;1259.67;1239.04;1206.64;1202.21;1209.53
blz;colonandrectum_cancer_number_of_male_deaths;2.78;2.95;3.18;3.4;3.91;4.44;4.71;4.89;5.05;5.37;5.6;5.9;6.02;6.2;6.29;6.31;6.64;7.09;7.78;8.39;9.06;9.5;10.0;10.48;10.73;11.01;11.38
