geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_number_of_new_female_cases;270.88;291.04;317.38;348.17;379.74;410.69;429.06;444.53;458.55;474.09;493.23;506.48;523.53;542.66;562.09;581.6;596.43;609.18;622.49;637.12;654.76;671.27;691.46;713.83;737.43;761.55;788.26
ago;colonandrectum_cancer_number_of_new_female_cases;183.82;188.61;194.22;200.44;206.98;213.84;218.26;222.87;227.91;233.56;240.09;245.17;251.15;258.06;265.46;273.4;278.96;284.77;291.27;298.29;305.99;314.2;323.21;332.71;342.85;353.6;364.75
alb;colonandrectum_cancer_number_of_new_female_cases;68.9;69.51;69.95;70.2;70.48;70.88;73.42;76.13;79.07;82.27;85.8;90.76;96.3;102.61;109.2;115.93;119.65;123.17;127.06;131.36;136.36;138.48;141.26;144.48;147.83;151.09;153.95
and;colonandrectum_cancer_number_of_new_female_cases;13.24;14.25;15.14;15.95;16.39;16.42;16.42;16.55;16.64;16.63;16.57;16.67;16.89;17.65;18.85;19.65;20.49;21.39;22.16;22.82;23.34;23.78;24.24;24.7;25.16;25.63;25.81
are;colonandrectum_cancer_number_of_new_female_cases;19.61;20.71;21.97;23.38;25.0;26.79;28.3;29.93;31.57;33.23;34.97;36.86;38.98;41.72;45.61;50.98;56.09;62.95;71.09;79.78;88.57;99.24;109.58;119.99;131.11;143.63;156.45
arg;colonandrectum_cancer_number_of_new_female_cases;2968.75;3054.84;3147.26;3249.2;3356.53;3469.06;3590.72;3719.52;3860.93;4008.25;4161.44;4268.75;4377.84;4497.46;4621.56;4751.16;4860.31;4975.1;5095.42;5223.27;5359.56;5486.88;5620.5;5749.02;5885.92;6031.44;6170.96
arm;colonandrectum_cancer_number_of_new_female_cases;213.24;216.57;218.61;219.95;221.86;224.95;228.46;232.95;238.17;243.36;248.04;256.76;264.95;273.43;281.13;288.55;293.93;299.37;305.9;315.67;329.7;334.94;344.3;357.3;369.25;378.48;383.16
asm;colonandrectum_cancer_number_of_new_female_cases;1.22;1.28;1.35;1.42;1.49;1.57;1.65;1.74;1.83;1.92;2.02;2.09;2.15;2.22;2.29;2.37;2.47;2.57;2.68;2.8;2.92;3.09;3.27;3.47;3.67;3.9;4.13
atg;colonandrectum_cancer_number_of_new_female_cases;5.35;5.49;5.66;5.84;6.06;6.31;6.45;6.62;6.75;6.88;7.02;7.24;7.41;7.56;7.66;7.77;8.08;8.45;8.81;9.2;9.61;10.02;10.46;10.97;11.5;12.08;12.71
aus;colonandrectum_cancer_number_of_new_female_cases;4549.61;4686.9;4827.36;4956.71;5090.28;5232.89;5391.47;5553.41;5722.95;5897.69;6077.88;6207.06;6325.2;6442.58;6563.59;6696.9;6819.15;6947.65;7076.29;7210.24;7360.14;7546.74;7726.68;7906.44;8086.04;8265.5;8446.06
