geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;colonandrectum_cancer_number_of_new_male_cases;134.26;144.44;157.93;173.77;189.9;205.5;214.37;221.33;227.32;234.13;242.97;252.75;265.04;278.87;293.05;307.2;319.97;331.58;343.37;356.38;371.73;386.93;404.97;424.81;445.79;467.34;490.45
ago;colonandrectum_cancer_number_of_new_male_cases;159.76;161.65;164.09;166.93;169.9;172.99;174.45;175.98;177.78;179.93;182.61;186.83;191.71;197.26;203.17;209.47;216.86;224.54;232.89;241.83;251.54;263.24;275.96;289.43;303.84;319.24;335.75
alb;colonandrectum_cancer_number_of_new_male_cases;84.55;85.34;85.34;84.91;84.72;85.23;86.94;89.56;92.92;96.65;100.51;107.79;115.5;123.81;132.49;141.64;146.49;151.26;156.83;162.67;168.86;173.0;177.53;182.43;187.82;193.75;199.02
and;colonandrectum_cancer_number_of_new_male_cases;14.16;15.28;16.29;17.21;17.74;17.82;18.11;18.58;19.05;19.41;19.68;20.1;20.67;21.93;23.77;25.16;26.32;27.59;28.69;29.66;30.4;31.24;32.08;32.92;33.76;34.59;35.19
are;colonandrectum_cancer_number_of_new_male_cases;24.83;27.3;30.13;33.05;36.42;40.25;43.5;47.15;51.0;55.17;59.87;62.98;67.03;73.42;83.32;97.88;111.73;131.34;155.38;180.93;206.07;237.17;266.34;294.67;324.47;358.32;398.22
arg;colonandrectum_cancer_number_of_new_male_cases;3577.86;3693.36;3817.13;3949.65;4089.55;4237.01;4367.58;4505.06;4654.11;4810.21;4973.92;5107.9;5244.23;5392.32;5548.78;5716.38;5863.29;6019.08;6186.3;6367.39;6564.45;6743.34;6932.52;7121.15;7325.1;7545.71;7784.88
arm;colonandrectum_cancer_number_of_new_male_cases;188.79;194.05;197.94;200.82;204.03;208.31;207.07;206.82;207.55;208.72;210.01;218.46;227.46;238.09;248.74;259.45;268.86;278.81;289.08;299.45;309.59;313.41;316.11;317.98;320.59;325.13;326.76
asm;colonandrectum_cancer_number_of_new_male_cases;1.76;1.81;1.87;1.93;1.99;2.05;2.11;2.17;2.24;2.3;2.37;2.46;2.54;2.64;2.73;2.83;2.94;3.06;3.18;3.3;3.44;3.59;3.74;3.91;4.08;4.26;4.45
atg;colonandrectum_cancer_number_of_new_male_cases;4.02;4.08;4.17;4.28;4.4;4.54;4.62;4.68;4.7;4.73;4.78;4.95;5.14;5.31;5.45;5.58;5.82;6.08;6.31;6.58;6.89;7.17;7.49;7.83;8.19;8.57;9.01
aus;colonandrectum_cancer_number_of_new_male_cases;4979.48;5159.35;5347.4;5526.79;5712.3;5913.48;6111.68;6321.89;6546.64;6778.31;7024.85;7182.7;7327.39;7468.02;7611.11;7766.69;7910.16;8069.57;8231.84;8397.64;8579.72;8851.49;9109.66;9367.29;9624.41;9881.04;10139.39
aut;colonandrectum_cancer_number_of_new_male_cases;2377.27;2417.13;2456.03;2498.13;2548.2;2606.12;2621.13;2639.07;2658.74;2684.97;2714.62;2733.7;2748.39;2757.3;2778.38;2806.41;2812.39;2816.41;2819.34;2825.95;2835.51;2889.61;2944.54;2999.35;3061.96;3129.61;3198.33
aze;colonandrectum_cancer_number_of_new_male_cases;263.66;268.9;274.42;281.38;288.95;297.13;294.11;290.95;287.97;285.53;283.76;295.21;307.2;320.69;334.45;348.68;368.83;390.18;413.37;438.0;464.81;488.77;513.81;540.52;568.97;599.89;620.66
bdi;colonandrectum_cancer_number_of_new_male_cases;98.88;100.57;102.22;103.73;105.23;106.75;105.46;104.25;103.43;102.94;102.86;103.26;104.16;105.85;107.82;109.99;113.18;116.54;120.14;123.95;128.02;132.97;138.32;143.48;149.05;155.06;161.78
