geo;indicator;2012;2013;2014;2015;2016;2017
afg;corruption_perception_index_cpi;8.0;8.0;12.0;11.0;15.0;15.0
ago;corruption_perception_index_cpi;22.0;23.0;19.0;15.0;18.0;19.0
alb;corruption_perception_index_cpi;33.0;31.0;33.0;36.0;39.0;38.0
are;corruption_perception_index_cpi;68.0;69.0;70.0;70.0;66.0;71.0
arg;corruption_perception_index_cpi;35.0;34.0;34.0;32.0;36.0;39.0
arm;corruption_perception_index_cpi;34.0;36.0;37.0;35.0;33.0;35.0
aus;corruption_perception_index_cpi;85.0;81.0;80.0;79.0;79.0;77.0
aut;corruption_perception_index_cpi;69.0;69.0;72.0;76.0;75.0;75.0
aze;corruption_perception_index_cpi;27.0;28.0;29.0;29.0;30.0;31.0
bdi;corruption_perception_index_cpi;19.0;21.0;20.0;21.0;20.0;22.0
bel;corruption_perception_index_cpi;75.0;75.0;76.0;77.0;77.0;75.0
ben;corruption_perception_index_cpi;36.0;36.0;39.0;37.0;36.0;39.0
bfa;corruption_perception_index_cpi;38.0;38.0;38.0;38.0;42.0;42.0
bgd;corruption_perception_index_cpi;26.0;27.0;25.0;25.0;26.0;28.0
bgr;corruption_perception_index_cpi;41.0;41.0;43.0;41.0;41.0;43.0
bhr;corruption_perception_index_cpi;51.0;48.0;49.0;51.0;43.0;36.0
bhs;corruption_perception_index_cpi;71.0;71.0;71.0;;66.0;65.0
bih;corruption_perception_index_cpi;42.0;42.0;39.0;38.0;39.0;38.0
blr;corruption_perception_index_cpi;31.0;29.0;31.0;32.0;40.0;44.0
bol;corruption_perception_index_cpi;34.0;34.0;35.0;34.0;33.0;33.0
bra;corruption_perception_index_cpi;43.0;42.0;43.0;38.0;40.0;37.0
brb;corruption_perception_index_cpi;76.0;75.0;74.0;;61.0;68.0
brn;corruption_perception_index_cpi;55.0;60.0;;;58.0;62.0
btn;corruption_perception_index_cpi;63.0;63.0;65.0;65.0;65.0;67.0
bwa;corruption_perception_index_cpi;65.0;64.0;63.0;63.0;60.0;61.0
caf;corruption_perception_index_cpi;26.0;25.0;24.0;24.0;20.0;23.0
can;corruption_perception_index_cpi;84.0;81.0;81.0;83.0;82.0;82.0
che;corruption_perception_index_cpi;86.0;85.0;86.0;86.0;86.0;85.0
chl;corruption_perception_index_cpi;72.0;71.0;73.0;70.0;66.0;67.0
chn;corruption_perception_index_cpi;39.0;40.0;36.0;37.0;40.0;41.0
civ;corruption_perception_index_cpi;29.0;27.0;32.0;32.0;34.0;36.0
cmr;corruption_perception_index_cpi;26.0;25.0;27.0;27.0;26.0;25.0
cod;corruption_perception_index_cpi;21.0;22.0;22.0;22.0;21.0;21.0
cog;corruption_perception_index_cpi;26.0;22.0;23.0;23.0;20.0;21.0
col;corruption_perception_index_cpi;36.0;36.0;37.0;37.0;37.0;37.0
com;corruption_perception_index_cpi;28.0;28.0;26.0;26.0;24.0;27.0
cpv;corruption_perception_index_cpi;60.0;58.0;57.0;55.0;59.0;55.0
cri;corruption_perception_index_cpi;54.0;53.0;54.0;55.0;58.0;59.0
