geo;indicator;1751;1752;1753;1754;1755;1756;1757;1758;1759;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
abw;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179683.0;627057.0;1239446.0;1888505.0;3527654.0;5210807.0;6673940.0;8269085.0;9882565.0;11551050.0;13241537.0;14987029.0;16783859.0;18591690.0;20971573.0;23380792.0;25819347.0;28382580.0;31000818.0;33721732.0;36438979.0;39262569.0;41921144.0;44550383.0;47058611.0;49559505.0;50908961.0;51770706.0;52643452.0
afg;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14668.0;99009.0;190684.0;282359.0;388702.0;495045.0;649059.0;832409.0;1125769.0;1455799.0;1840834.0;2255205.0;2746583.0;3435979.0;4143710.0;4983453.0;5991878.0;7084644.0;8368094.0;9592872.0;10535291.0;12207443.0;14103282.0;15636088.0;17275237.0;19193078.0;21319938.0;23307452.0;25698336.0;27858199.0;30098736.0;31858896.0;33842743.0;35943934.0;38466830.0;41297754.0;44807073.0;47949692.0;51073976.0;53941570.0;56717489.0;59332060.0;61770615.0;63164075.0;64509864.0;65804315.0;67047428.0;68224535.0;69320968.0;70362396.0;71183804.0;71957541.0;72775282.0;73846046.0;75041488.0;75991241.0;77318695.0;78968845.0;81242385.0;85448434.0;92217716.0;100681152.0;112921598.0;123676909.0;133691486.0;143500711.0
ago;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187017.0;436373.0;748068.0;1023093.0;1371458.0;1785829.0;2288208.0;2907931.0;3501985.0;4121708.0;4671758.0;5126466.0;6307240.0;7458678.0;8683456.0;9871564.0;11426372.0;12420129.0;14092281.0;16879201.0;20461860.0;23872170.0;28378913.0;33259690.0;38133133.0;42548201.0;45833833.0;49368821.0;54781313.0;60285480.0;65631966.0;70912446.0;75562202.0;80677667.0;85686789.0;90387883.0;95048640.0;100864502.0;105994635.0;111003757.0;116119222.0;121209018.0;126405157.0;132180682.0;136071369.0;147046700.0;157504984.0;164886655.0;172194986.0;181351485.0;190893019.0;200625237.0;213291055.0;222355879.0;241149254.0;260305662.0;282571686.0;307723639.0;333432976.0;361225169.0;390282477.0;420623235.0;454022271.0;486640236.0;521403396.0
aia;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51338.0;102676.0;157681.0;223687.0;289693.0;355699.0;425372.0;495045.0;572052.0;652726.0;740734.0;836076.0;931418.0;1034094.0;1155105.0;1283450.0;1426463.0;1576810.0;1727157.0;1873837.0;2024184.0;2167197.0;2310210.0;2445889.0;2588902.0
alb;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7334.0;14668.0;33003.0;161348.0;458375.0;806740.0;1239446.0;1932509.0;2559566.0;3303967.0;3766009.0;3920023.0;4041034.0;4525078.0;5452829.0;6156893.0;7172652.0;7469679.0;7873049.0;8247083.0;8661454.0;9163833.0;9827560.0;10667303.0;12174440.0;13377216.0;14822014.0;16846198.0;19127072.0;21591296.0;23674152.0;25691002.0;27865533.0;30417765.0;33098342.0;36171288.0;39416583.0;43160590.0;47513319.0;53156832.0;58448313.0;62793708.0;67388459.0;72338909.0;78059429.0;84553686.0;92140709.0;97311179.0;104652513.0;111960844.0;119591871.0;127417249.0;135297632.0;143354031.0;150798041.0;158124707.0;167108857.0;172624025.0;176910748.0;179426310.0;181762189.0;183687364.0;185773887.0;187790737.0;189334544.0;191087370.0;194072308.0;197093916.0;200317209.0;204068550.0;208362607.0;212528319.0;216782039.0;220680060.0;224607417.0;228982148.0;233360546.0;237958964.0;243199107.0;248109220.0;253173347.0;258890200.0
and;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;407037.0;814074.0;1221111.0;1631815.0;2038852.0;2464224.0;2918932.0;3384641.0;3876019.0;4389399.0;4913780.0;5438161.0;5969876.0;6505258.0;7066309.0;7642028.0;8188411.0;8727460.0;9266509.0;9783556.0;10300603.0;10791981.0;11279692.0;11756402.0;12218444.0
ant;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3039943.0;5742522.0;8404764.0;13472558.0;18899718.0;23230445.0;26798436.0;32306270.0;37586750.0;42812225.0;47700336.0;52815801.0;53098160.0;55214019.0;60828196.0;66545049.0;72056550.0;77571718.0;83358244.0;89093432.0;95070642.0;101799587.0;108271842.0;114894444.0;119456192.0;125275721.0;;;
are;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11001.0;22002.0;33003.0;51338.0;73340.0;91675.0;113677.0;139346.0;1056096.0;2299209.0;22823408.0;38070794.0;59255053.0;82709185.0;113339636.0;144666817.0;175737308.0;215388579.0;254174438.0;298988845.0;335596506.0;372501194.0;409358211.0;446229896.0;481572442.0;527967326.0;577893531.0;625128158.0;672821160.0;721188890.0;775676843.0;827685904.0;884696753.0;942833371.0;1008813702.0;1081944683.0;1152585771.0;1193645170.0;1235291289.0;1316786697.0;1395161488.0;1507723720.0;1609138272.0;1693842305.0;1800684017.0;1913924644.0;2030073202.0;2153948129.0;2289575791.0;2446930428.0;2614890029.0;2775702647.0;2941143019.0;3117529386.0;3288235570.0;3499605117.0
arg;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1085432.0;1976513.0;3733006.0;5104464.0;6043216.0;7429342.0;8984150.0;10978998.0;13245204.0;15551747.0;17634603.0;19985150.0;22907749.0;24979604.0;27473164.0;30289420.0;33153347.0;36952359.0;40938388.0;47197957.0;53457526.0;61081219.0;67021759.0;75936236.0;85888474.0;95375003.0;105528926.0;114208715.0;121154013.0;126144800.0;128378003.0;130900899.0;134630238.0;140526774.0;146071278.0;153375942.0;161828377.0;172796374.0;184043063.0;195311754.0;208696304.0;221446463.0;234588991.0;247368486.0;260224988.0;273338180.0;286583384.0;300837013.0;314848620.0;329960327.0;346689181.0;363055002.0;380451250.0;396333027.0;410289629.0;423784189.0;437876470.0;451844073.0;465525650.0;479243897.0;493776218.0;511187134.0;526570199.0;556522255.0;591520103.0;627651054.0;662821251.0;699608595.0;739208528.0;783549892.0;831206224.0;875444912.0;924443366.0;973258470.0;1024438789.0;1078134670.0;1128218556.0;1183945955.0;1242812306.0;1305950712.0;1371494670.0;1440577283.0;1517906979.0;1600641833.0;1689581251.0;1779738113.0;1873803997.0;1969373351.0;2064304647.0;2164091051.0;2264882213.0;2367521543.0;2478224606.0;2586962157.0;2689003766.0;2792427834.0;2897641398.0;3004164081.0;3104760892.0;3208973365.0;3323915480.0;3445388522.0;3562479499.0;3674627360.0;3791725671.0;3913077702.0;4031004755.0;4153412882.0;4281376514.0;4416377119.0;4554380997.0;4694196373.0;4841180734.0;4983317321.0;5117038143.0;5241752813.0;5376815757.0;5534405082.0;5696515818.0;5871952432.0;6047128689.0;6236235879.0;6416197571.0;6604116653.0;6795750406.0;6988106558.0;7177958149.0;7381982695.0
arm;cumulative_co2_emissions_tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.95845;70.30859;95.87535;127.83381000000001;;;;;;;;;;;;;;;;;325.9762;;;;;926.7950900000001;;;1770.4982100000002;2665.33485;3847.79755;5349.84476;6704.8831;8123.83834;9715.36922;11236.59151;16043.1426;21559.171309999998;26148.40493;32373.91126;39129.92788;48250.86991;57614.69617;66403.2703;77071.00137;89349.4384;104593.61971;120150.99385;140482.96062;161345.43769000002;185819.21977;211596.90665999998;238748.80696;269652.62945999997;301029.43703000003;335205.80495;370257.83444;407348.81312;446037.71437;487820.19372;535137.87685;587236.54431;642384.0480300001;707023.21181;772857.62168;848503.2761199999;925510.3605899999;1014546.60617;1114403.9833799999;1230246.97799;1361474.77109;1496198.81877;1626320.84945;1753604.96965;1895219.2594599999;2021627.71809;2165811.4673900004;2327310.3056400004;2489799.8559;2661327.2562;2829543.76094;3003947.42187;3201508.17668;3416121.96115;3609815.74334;3787600.6084300005;3977088.6584199998;4151479.5359699996;4221027.51789;4280431.88733;4334601.46244;4393347.48779;4464991.94412;4544133.85314;4638424.06812;4731487.07857;4866326.1766800005;5033967.4293;5220208.500630001;5420779.74156;5693455.64051;6021036.15896;6390111.53069;6802580.087730001;7301509.03915;7866266.00875;8513865.67605;9176063.96394;9874982.51248;10582472.31768;11430662.40098;12175831.22037;12688662.09815;13343318.19152;13956434.689760001;14605555.57935;15335064.75756;16213519.494320001;17148297.80582;18210916.314570002;19395398.79016;20679131.43239;22053830.61067;23508208.59995;25096645.90112;26897805.04645;28872607.241559997;31033669.68307;33340360.39588;35765565.82982;38290583.89915;40894552.1268;43627536.62271;46558484.549909994;49675552.10633;52982171.629640006;56474143.77933001;60125518.292859994;63879479.43536;67788988.75247;71901044.3428;76265494.99884;80858301.57345;85645971.60957;90616904.18935;95843050.57024;101270810.03758;106883621.72185;112689488.01928999;118543669.10353999;124628615.77358998;130598601.5023;136681464.48132;142851529.29081002;149077125.10543;155791256.98308998;162523726.62016;169539827.51332;176748740.13541;183806655.46637;190424113.02857;196802412.71563;202629275.71563;205185174.71563;207891420.71563;211301730.71563;213864963.71563;217099257.71563;220461896.71563;223476170.71563;226941485.71563;230483807.71563;233527417.71563;236956062.71563;240601060.71563;244953789.71563;249335854.71563;254399981.71563;259959153.71563;264319216.71563;268536266.71563;273453713.71563;279148564.71563;284645397.71563;290175233.71563
