geo;indicator;1760;1761;1762;1763;1764;1765;1766;1767;1768;1769;1770;1771;1772;1773;1774;1775;1776;1777;1778;1779;1780;1781;1782;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1795;1796;1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2030;2050;2099
abw;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.149;1.079;1.004;0.9296;0.8573;0.7884;0.7724;0.7053;0.6405;0.6241;0.5609;0.5423;0.5202;0.4589;0.4363;0.4127;0.359;0.3382;0.3194;0.2765;0.2638;0.253;0.2227;0.2161;0.1924;0.1894;0.1864;0.1849;0.1665;0.1651;0.1638;0.14800000000000002;0.1467;0.1461;0.1455;0.1448;0.1442;0.1436;0.1424;0.1411;0.1399;0.1256;0.1239;0.1217;0.1194;0.1166;0.1143;0.11199999999999999;0.1098;0.1081;0.1058;0.1047;0.1035;0.1024;0.1013;0.1002;0.09028;0.08926;0.08874;0.08772;0.08721;0.06475;0.05824;0.03903
afg;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.8069999999999995;4.8069999999999995;4.681;4.681;4.681;4.556;4.556;4.556;4.556;4.4319999999999995;4.4319999999999995;4.4319999999999995;4.308;4.308;4.186;4.186;4.186;4.064;4.064;3.944;3.944;3.944;3.824;3.824;3.701;3.701;3.588;3.588;3.477;3.486;3.49;3.383;3.397;3.405;3.4139999999999997;3.307;3.315;3.324;3.22;3.2289999999999996;3.237;3.1289999999999996;3.141;3.1489999999999996;3.042;3.0460000000000003;3.0380000000000003;3.023;2.888;2.8560000000000003;2.812;2.659;2.6060000000000003;2.55;2.498;2.349;2.299;2.252;2.116;2.07;2.029;0.8894;0.3742;0.09644
ago;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.44;4.44;4.441;4.441;4.442;4.442;4.4430000000000005;4.4430000000000005;4.444;4.444;4.444;4.445;4.445;4.446000000000001;4.446000000000001;4.447;4.447;4.448;4.448;4.449;4.449;4.45;4.45;4.45;4.4510000000000005;4.4510000000000005;4.452;4.452;4.453;4.453;4.454;4.454;4.455;4.455;4.456;4.456;4.456;4.457;4.457;4.458;4.458;4.459;4.459;4.46;4.46;4.461;4.461;4.462;4.462;4.462;4.463;4.463;4.4639999999999995;4.4639999999999995;4.465;4.465;4.466;4.466;4.467;4.467;4.468;4.468;4.468;4.468999999999999;4.468999999999999;4.47;4.47;4.471;4.471;4.4719999999999995;4.4719999999999995;4.473;4.473;4.474;4.474;4.474;4.475;4.475;4.476;4.476;4.477;4.477;4.478;4.478;4.479;4.479;4.48;4.48;4.48;4.481;4.481;4.482;4.482;4.4830000000000005;4.4830000000000005;4.484;4.484;4.485;4.485;4.486000000000001;4.486000000000001;4.486000000000001;4.487;4.487;4.488;4.488;4.489;4.489;4.49;4.49;4.4910000000000005;4.4910000000000005;4.492;4.492;4.492;4.493;4.493;4.494;4.494;4.495;4.495;4.496;4.496;4.497;4.497;4.498;4.495;4.493;4.4910000000000005;4.488;4.486000000000001;4.484;4.481;4.479;4.477;4.474;4.4719999999999995;4.47;4.468;4.465;4.463;4.461;4.458;4.342;4.3389999999999995;4.337;4.335;4.218999999999999;4.217;4.215;4.213;4.218999999999999;4.13;4.1530000000000005;4.063;4.086;4.109;4.023;4.045;3.957;3.9789999999999996;3.995;3.9010000000000002;3.911;3.805;3.805;3.8;3.675;3.665;3.533;3.513;3.4939999999999998;3.3689999999999998;3.36;3.242;3.242;3.242;3.135;3.135;3.139;3.139;3.139;3.139;3.037;3.037;3.037;3.037;3.033;3.029;3.0239999999999996;3.02;3.008;2.9989999999999997;2.987;2.8710000000000004;2.858;2.745;2.7289999999999996;2.6189999999999998;2.6;2.484;2.3609999999999998;2.235;2.195;2.061;1.926;1.876;1.824;1.699;1.651;1.5390000000000001;0.6619;0.2976;0.0859
alb;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.356;2.266;2.175;2.085;1.994;1.8459999999999999;1.704;1.567;1.609;1.646;1.676;1.702;1.722;1.8019999999999998;1.413;1.526;1.3130000000000002;1.482;1.4580000000000002;1.432;1.4040000000000001;1.374;1.405;1.3719999999999999;1.337;1.3;1.3219999999999998;1.294;1.324;1.281;1.232;1.177;1.1179999999999999;1.056;0.9908;0.9224;0.8536;0.785;0.7158;0.7020000000000001;0.6354;0.6202;0.6051;0.5459;0.5341;0.5233;0.5137;0.4638;0.4549;0.446;0.4371;0.3926;0.3853;0.3781;0.3717;0.3344;0.3303;0.3261;0.2943;0.2921;0.2883;0.257;0.2501;0.2419;0.2316;0.2206;0.2309;0.2196;0.2098;0.1836;0.1782;0.174;0.1542;0.1498;0.1318;0.1267;0.1098;0.1046;0.09952000000000001;0.08636;0.08216;0.07889;0.07656;0.07422999999999999;0.06614;0.06529;0.04704;0.04384;0.03404
ant;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.149;1.079;1.004;0.9296;0.8573;0.7884;0.7724;0.7053;0.6405;0.6241;0.5609;0.5423;0.5202;0.4589;0.4363;0.4127;0.359;0.3382;0.3194;0.2765;0.2638;0.231;0.2227;0.2161;0.1924;0.1894;0.1693;0.1679;0.1665;0.1498;0.1486;0.14800000000000002;0.1335;0.133;0.1324;0.1313;0.1313;0.1307;0.1307;0.11800000000000001;0.11800000000000001;0.1175;0.11699999999999999;0.1159;0.1262;0.1245;0.1228;0.1217;0.1093;0.1082;0.1077;0.1077;0.1072;0.1062;0.1057;0.09523;0.0943;0.0929;0.09196;0.09103;0.08225;0.06331;0.054439999999999995;0.04347
are;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.9939999999999998;3.773;3.447;3.13;2.923;2.622;2.6260000000000003;2.535;2.4419999999999997;2.445;2.349;2.251;2.158;2.06;1.9669999999999999;1.8730000000000002;1.78;1.69;1.604;1.518;1.4340000000000002;1.351;1.268;1.187;1.105;1.025;0.9434;0.8647;0.8485;0.7723;0.6994;0.6831;0.6168;0.6039;0.5459;0.536;0.4842;0.4778;0.4724;0.4255;0.4197;0.3751;0.3668;0.3562;0.3132;0.3008;0.2871;0.2734;0.235;0.2225;0.2107;0.2002;0.1731;0.1647;0.1567;0.1499;0.1298;0.1236;0.11800000000000001;0.1123;0.1072;0.0929;0.08916;0.0859;0.08356;0.08169;0.05205;0.04716;0.03387
arg;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.696;3.657;3.617;3.577;3.575;3.574;3.572;3.571;3.569;3.568;3.5660000000000003;3.565;3.563;3.562;3.517;3.472;3.427;3.3810000000000002;3.3360000000000003;3.31;3.188;3.1630000000000003;3.138;3.112;3.306;3.605;3.805;3.4210000000000003;3.054;3.051;2.9560000000000004;2.862;2.86;2.766;2.65;2.6239999999999997;2.511;2.485;2.376;2.262;2.151;2.044;2.0140000000000002;1.911;1.919;1.854;1.829;1.732;1.639;1.5490000000000002;1.526;1.439;1.3559999999999999;1.335;1.255;1.236;1.159;1.141;1.122;1.045;1.022;0.9991;0.9761;0.9531;0.9314;0.9098;0.8881;0.8235;0.7619;0.7206;0.6803;0.6409;0.6026;0.6016;0.5579999999999999;0.5509;0.5095;0.5028;0.4961;0.494;0.49200000000000005;0.5227;0.4899;0.4899;0.4565;0.4565;0.4242;0.4242;0.4229;0.3918;0.3918;0.3906;0.3893;0.38799999999999996;0.3868;0.3855;0.3843;0.3549;0.3549;0.3549;0.3561;0.3572;0.3331;0.3385;0.3439;0.3224;0.3283;0.3333;0.3074;0.3074;0.3056;0.3019;0.2707;0.2657;0.2616;0.2583;0.2332;0.2317;0.2309;0.2294;0.2279;0.2049;0.2028;0.2001;0.1973;0.1939;0.1722;0.1691;0.1654;0.1616;0.1437;0.1403;0.1375;0.1347;0.1324;0.1185;0.1175;0.1164;0.1154;0.1149;0.1041;0.1032;0.06858;0.053860000000000005;0.0337
arm;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7015;0.6995;0.6509999999999999;0.6494;0.6494;0.6066;0.6088;0.5685;0.5711;0.5305;0.5295;0.525;0.4766;0.4639;0.4115;0.3935;0.3435;0.3269;0.3125;0.2743;0.2656;0.2581;0.2288;0.222;0.2148;0.2072;0.1997;0.1928;0.1871;0.1827;0.18;0.1791;0.1797;0.1816;0.2021;0.2054;0.2284;0.2311;0.2538;0.2537;0.251;0.2454;0.2372;0.22699999999999998;0.2025;0.1632;0.1632;0.1407;0.1242;0.1057;0.09811;0.08223;0.09593;0.08703;0.08703;0.08703;0.08081;0.098;0.0984;0.09845;0.09845;0.07418999999999999;0.05856;0.043039999999999995
aus;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.432;3.4210000000000003;3.411;3.4;3.39;3.3789999999999996;3.3680000000000003;3.358;3.347;3.3369999999999997;3.326;3.315;3.305;3.2939999999999996;3.284;3.273;3.262;3.252;3.241;3.2310000000000003;3.22;3.2089999999999996;3.199;3.188;3.178;3.167;3.145;3.122;3.1;3.0780000000000003;3.056;3.033;3.011;2.989;2.966;2.944;2.9219999999999997;2.9;2.877;2.855;2.833;2.81;2.7880000000000003;2.766;2.7439999999999998;2.721;2.699;2.677;2.654;2.6319999999999997;2.61;2.645;2.483;2.6519999999999997;2.5669999999999997;2.8080000000000003;2.737;2.971;3.013;3.034;3.013;2.992;3.063;2.949;3.034;2.978;2.815;2.8569999999999998;2.864;2.737;2.737;2.608;2.546;2.489;2.449;2.315;2.315;2.186;2.211;2.1630000000000003;2.133;2.062;2.016;1.964;2.009;1.945;1.86;1.871;1.798;1.757;1.706;1.682;1.58;1.538;1.3869999999999998;1.369;1.227;1.219;1.127;1.131;1.083;1.079;1.012;0.9161;0.9559;0.9045;0.863;0.8217;0.8217;0.7809999999999999;0.7809999999999999;0.7766;0.7766;0.7356;0.7356;0.6955;0.6084;0.5741;0.5741;0.5405;0.5078;0.5159;0.4501;0.4676;0.4307;0.4275;0.4127;0.4058;0.4011;0.3819;0.3241;0.2962;0.2545;0.252;0.2646;0.2656;0.2735;0.2569;0.2566;0.2586;0.2625;0.2751;0.2764;0.2989;0.2601;0.2706;0.2953;0.2789;0.2706;0.2707;0.2781;0.2774;0.2884;0.2643;0.2641;0.2711;0.2757;0.2832;0.2582;0.2848;0.2604;0.2678;0.2589;0.2523;0.23800000000000002;0.2244;0.2177;0.2149;0.2178;0.2179;0.2158;0.2222;0.188;0.1707;0.159;0.1335;0.1281;0.1248;0.1103;0.1079;0.09699999999999999;0.09926;0.09895;0.08982000000000001;0.0859;0.09863999999999999;0.0872;0.08613;0.08548;0.0858;0.08064;0.07126;0.07276;0.07165;0.07099;0.07022;0.06317;0.06253;0.061970000000000004;0.05616;0.05619;0.05533;0.05619;0.05089;0.051320000000000005;0.05214;0.04799;0.04799;0.04833;0.05123;0.0515;0.04325;0.03543;0.01934
aut;dead_kids_per_woman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.6919999999999997;2.67;2.648;2.627;2.605;2.583;2.5610000000000004;2.54;2.5180000000000002;2.496;2.474;2.4530000000000003;2.4330000000000003;2.475;2.457;2.4659999999999997;2.519;2.42;2.3609999999999998;2.363;2.369;2.3280000000000003;2.335;2.311;2.274;2.231;2.238;2.228;2.133;2.137;2.041;2.155;2.009;2.032;1.955;1.986;1.9180000000000001;1.889;1.8319999999999999;1.8319999999999999;1.7590000000000001;1.764;1.831;1.8;1.756;1.68;1.63;1.527;1.5030000000000001;1.435;1.393;1.272;1.225;1.166;1.0759999999999998;1.033;0.9487;0.8690000000000001;0.8286;0.7546;0.9285;0.9082;0.9037;0.8377;0.8083;0.7343;0.6528;0.6069;0.5657;0.5414;0.5135;0.4845;0.4402;0.4135;0.3923;0.359;0.3574;0.3052;0.3587;0.535;0.5044;0.4738;0.4174;0.3886;0.3598;0.311;0.3114;0.3118;0.2736;0.27399999999999997;0.2377;0.2437;0.2187;0.2287;0.2384;0.2281;0.2367;0.2663;0.2529;0.2599;0.2439;0.2266;0.2292;0.2302;0.2294;0.2235;0.2202;0.2168;0.2139;0.2058;0.1896;0.182;0.1573;0.1461;0.1438;0.1378;0.1156;0.1117;0.1099;0.09932;0.1026;0.10400000000000001;0.1032;0.09693;0.08615;0.08342999999999999;0.08202000000000001;0.07345;0.07424;0.0675;0.06805;0.07037;0.07026;0.07007999999999999;0.06212;0.06034;0.061279999999999994;0.05364;0.052779999999999994;0.051620000000000006;0.05255;0.04675;0.04902;0.04846;0.04991;0.04501;0.044969999999999996;0.04413;0.04032;0.03988;0.03959;0.03678;0.034010000000000006;0.02128
