geo;indicator;2004;2005;2006;2007
abkh;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
abw;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
afg;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ago;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
aia;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
akr_a_dhe;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ala;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
alb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
and;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ant;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
are;dollar_billionaires_per_million_people;0.7924;0.7803;1.921;1.892
arg;dollar_billionaires_per_million_people;0.02555;0.02529;0.02505;0.02481
arm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
asm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
atg;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
aus;dollar_billionaires_per_million_people;0.2511;0.2986;0.3454;0.5873
aut;dollar_billionaires_per_million_people;0.36700000000000005;0.4887;0.3662;0.3659
aze;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bdi;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bel;dollar_billionaires_per_million_people;0.09663;0.09648;0.1927;0.1925
ben;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bfa;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bgd;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bgr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bhr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bhs;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bih;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
blr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
blz;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bmu;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bol;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bra;dollar_billionaires_per_million_people;0.03259;0.042980000000000004;0.08507;0.1053
brb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
brn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
btn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
bwa;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
caf;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
can;dollar_billionaires_per_million_people;0.523;0.5182;0.6647;0.6888
cck;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
chanisl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
che;dollar_billionaires_per_million_people;0.9395;1.068;1.063;1.0590000000000002
cheslo;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
chl;dollar_billionaires_per_million_people;0.1896;0.1877;0.124;0.1842
chn;dollar_billionaires_per_million_people;0.0007700000000000001;0.0015300000000000001;0.0061;0.01517
civ;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cmr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cod;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cog;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cok;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
col;dollar_billionaires_per_million_people;0.04727;0.046560000000000004;0.045880000000000004;0.045219999999999996
com;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cpv;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cri;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cub;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cxr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cym;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cyp;dollar_billionaires_per_million_people;0.0;0.0;0.0;2.537
cyp_nor;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
cze;dollar_billionaires_per_million_people;0.0;0.0;0.0977;0.09776
deu;dollar_billionaires_per_million_people;0.6309;0.6915;0.6673;0.6675
deu_east;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
deu_west;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
dji;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
dma;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
dnk;dollar_billionaires_per_million_people;0.5542;0.5522;0.3669;0.3658
dom;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
dza;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ecu;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
egy;dollar_billionaires_per_million_people;0.0;0.0129;0.02535;0.049839999999999995
eri;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
eri_a_eth;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
esh;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
esp;dollar_billionaires_per_million_people;0.1986;0.2479;0.2475;0.4945
est;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
eth;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
fin;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
fji;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
flk;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
fra;dollar_billionaires_per_million_people;0.1986;0.2308;0.23;0.2456
fro;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
fsm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
gab;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
