geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;earthquake_affected_annual_number;0;0;0;0;0;0;90050;0;0;0;0;0;38500;34520;36;0;0;0;0;0;0;7154;14;0;100500;0;3250;5;156800;92030;0;274;102100;1002;1042;507;936;0;0
alb;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;385;0;0;5006;0;0;0;0;0;690;0;0;0;0;0;0;0;0;0;2100;0;0;0;0;0;0;0;0;0;0
arg;earthquake_affected_annual_number;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;45240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;0;0;0;0;0;0
arm;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000;0;0;0;0;0;0;0;0;0;0;0
asm;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aus;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2127;0;0;0;0;5025;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aut;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aze;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700000;9171;3325;0;0;0;0;0;0;0;0
bdi;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0
bel;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bgd;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;101;0;0;0;0;0;0;0;223;0;15210;1000;0;0;2527;0;0;0;0;0
bgr;earthquake_affected_annual_number;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;3063;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527;0;0
bol;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;18140;0;0;0;0;0;0;0;0;0;0
bra;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0
brb;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
chl;earthquake_affected_annual_number;0;2349000;0;0;0;0;0;0;0;0;0;0;0;1528;0;1482000;0;5117;0;0;0;0;0;0;0;1836;0;53110;0;0;0;0;0;0;0;27660;0;25170;0
chn;earthquake_affected_annual_number;10000;0;0;0;20000;10000;406000;0;0;4186;0;26000;15;18730;0;16610;290;194200;1321000;246100;64460;283400;16000;142600;6646;1026000;5312000;775300;1185000;3037000;2105000;503100;65880;3147000;436900;634000;411600;332;47170000
cod;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13040
cog;earthquake_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1511;0;0;0
col;earthquake_affected_annual_number;3436;0;0;0;0;0;0;0;0;12460;0;10;0;36450;0;0;0;0;0;0;0;869;1646;3073;37690;18260;0;0;0;1207000;432;0;0;0;8539;0;0;175;0
