geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;earthquake_deaths_annual_number;0;0;0;0;0;0;50;0;0;0;0;0;500;12;1;0;0;0;0;0;0;154;14;0;160;0;0;5;7023;70;0;4;1200;1;2;6;1;0;0
alb;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;35;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arg;earthquake_deaths_annual_number;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arm;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
asm;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aus;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aut;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aze;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;31;0;0;0;0;0;0;0;0
bdi;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
bel;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bgd;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;23;0;6;0;0;0;2;0;0;0;0;0
bgr;earthquake_deaths_annual_number;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bol;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;95;0;0;0;0;0;0;0;0;0;0
bra;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
brb;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chl;earthquake_deaths_annual_number;0;85;0;0;0;0;0;0;0;0;0;0;0;4;0;180;0;5;0;0;0;0;0;0;0;3;0;8;0;0;0;0;0;0;0;11;0;12;0
chn;earthquake_deaths_annual_number;10000;0;0;0;20000;10000;242000;0;0;82;0;150;10;34;0;90;0;0;939;42;127;1;0;0;1;71;353;32;55;0;9;8;2;317;4;16;23;3;87560
cod;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
cog;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
col;earthquake_deaths_annual_number;430;0;0;0;0;0;0;0;0;360;0;10;0;250;0;0;0;0;0;0;0;2;11;2;271;55;0;0;0;1186;2;0;0;0;1;0;0;0;0
cri;earthquake_deaths_annual_number;0;0;0;21;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;1;47;0;3;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0
cub;earthquake_deaths_annual_number;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cyp;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
deu;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deu_west;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dma;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dom;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
dza;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;2635;0;0;0;0;30;0;1;0;22;0;0;0;0;171;0;0;0;0;22;0;0;0;2275;0;0;4;0;0
ecu;earthquake_deaths_annual_number;29;0;0;0;0;0;20;0;0;0;8;0;0;0;0;0;0;5002;0;0;4;0;0;0;0;3;27;0;3;0;0;0;0;0;0;0;0;0;0
egy;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
esp;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fji;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gbr;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geo;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
gin;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
glp;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
grc;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;50;48;1;24;0;0;0;0;20;0;0;0;1;0;0;1;0;52;0;0;0;143;0;0;0;0;0;0;0;0;2
gtm;earthquake_deaths_annual_number;0;0;0;0;0;0;23000;0;0;0;0;0;20;0;0;0;0;0;5;0;0;14;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0
gum;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hnd;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hrv;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
idn;earthquake_deaths_annual_number;0;0;0;0;0;0;1126;187;0;99;0;306;13;0;2;10;0;127;0;120;6;28;2500;0;454;99;175;20;34;5;149;0;11;1;108;916;5790;95;11
ind;earthquake_deaths_annual_number;26;0;100;0;0;47;0;0;0;0;13;212;0;0;20;0;6;0;384;0;0;1500;0;9748;0;0;0;43;0;100;0;20000;2;0;0;1309;0;0;0
irn;earthquake_deaths_annual_number;176;0;5057;0;0;0;16;1114;25040;565;50;3200;0;33;0;1;1;2;1;100;40020;0;5;24;14;0;0;2768;22;21;1;0;230;26800;35;625;63;0;6
irq;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
isl;earthquake_deaths_annual_number;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ita;earthquake_deaths_annual_number;0;22;1;0;0;0;934;0;5;5;4689;12;0;0;4;0;0;0;0;0;21;0;0;0;0;0;0;14;0;0;0;0;30;0;0;0;0;0;0
jpn;earthquake_deaths_annual_number;0;0;0;0;30;0;0;0;49;27;2;0;0;103;20;0;0;2;0;0;0;0;0;241;7;5297;0;0;0;0;1;2;0;2;40;1;0;10;14
kaz;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
ken;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kgz;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
lca;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mar;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;628;0;0;0;0
mex;earthquake_deaths_annual_number;0;0;0;517;0;0;0;0;9;5;67;3;9;0;0;9500;0;2;0;3;0;0;0;0;0;64;0;1;0;46;0;0;0;29;0;0;0;0;0
mmr;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
moz;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
mtq;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
mwi;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nic;earthquake_deaths_annual_number;0;0;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
nld;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
npl;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nzl;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pak;earthquake_deaths_annual_number;0;0;0;0;4700;0;0;0;0;0;0;256;0;24;4;5;0;0;0;0;22;300;40;0;0;0;0;50;1;0;0;12;36;0;24;73340;0;0;166
pan;earthquake_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
per;earthquake_deaths_annual_number;66820;0;12;0;78;0;0;0;0;13;7;18;3;10;0;0;16;0;0;0;200;64;0;6;0;0;14;0;0;1;0;151;0;0;0;5;0;519;0
phl;earthquake_deaths_annual_number;14;0;0;14;0;0;6000;1;0;0;0;0;0;19;0;2;0;0;0;0;2417;0;0;0;81;0;0;0;0;6;0;0;15;0;0;0;0;0;0
png;earthquake_deaths_annual_number;15;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;53;0;0;0;0;0;0;1;0;5;0;0;1;0;0;0
