geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
afg;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;2.052;2.77;1.348;1.784;1.754;1.196;1.435;0.9278;-0.5077;-1.0590000000000002;-1.9;-2.213;-5.024;-7.686;-8.758;-9.681000000000001;-9.736;-7.832000000000001;-6.704;-7.436;-12.17;-13.76;-9.628;-6.379;-5.494
alb;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.273;6.706;11.16;8.318;6.722
ant;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;2.455;2.353;1.979;1.173;1.133;1.237;0.1115;-0.1211;-0.9162;-0.5659;-1.107;-1.05;-0.5091;0.07167000000000001;0.8268;1.1340000000000001;1.8969999999999998;1.665;1.58;0.799;0.2229;0.2045;-0.1094;-0.48100000000000004;
are;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;17.02;15.01;13.99;7.566;-2.4019999999999997;-4.571000000000001;-7.432;-7.292999999999999;-6.315;-6.292000000000001;-6.002000000000001;-5.58;-3.872;-3.35;-2.245;-0.6621;2.945;3.258;3.7089999999999996;2.84;2.44;2.92;2.927;4.742;
arg;economic_growth_over_the_past_10_years;1.035;0.9879;1.694;1.114;1.456;1.683;1.5430000000000001;1.413;1.255;2.7510000000000003;2.168;2.116;2.242;3.0410000000000004;2.806;1.72;1.6640000000000001;1.901;1.147;1.056;1.045;0.1323;-0.4645;-0.4582;-0.7445;-1.429;-0.5831;-0.8717;-0.8911;-2.33;-2.6860000000000004;-1.0190000000000001;0.5752;0.8056;1.103;1.653;1.359;1.89;2.603;3.1889999999999996;3.2489999999999997;1.625;-0.501;-0.3498;-0.02087
atg;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;0.4092;0.5913;0.6816;3.488;3.326;4.409;5.962999999999999;5.228;7.426;6.6129999999999995;7.204;7.3229999999999995;7.093999999999999;5.4239999999999995;5.819;4.835;4.673;5.13;3.491;3.4789999999999996;2.6830000000000003;2.948;3.196;2.803;
aus;economic_growth_over_the_past_10_years;1.531;1.495;2.594;2.1790000000000003;2.0909999999999997;1.954;2.51;2.714;2.885;2.872;3.13;3.502;3.279;3.159;2.496;2.568;2.47;2.343;2.0269999999999997;1.788;1.7519999999999998;1.749;1.311;1.239;1.695;1.915;1.733;1.9869999999999999;1.848;1.972;1.5830000000000002;1.284;1.742;1.7080000000000002;1.765;1.696;1.892;1.883;2.099;2.135;2.377;2.674;2.687;2.725;2.435
aut;economic_growth_over_the_past_10_years;5.42;5.257999999999999;5.513;5.5329999999999995;5.226;4.487;4.649;4.281000000000001;4.2989999999999995;4.5489999999999995;4.095;4.084;4.478;4.617;4.425;4.149;4.123;4.388999999999999;3.82;4.066;3.4589999999999996;3.028;2.64;2.4290000000000003;2.1319999999999997;2.461;2.146;1.774;2.2880000000000003;1.899;2.226;2.426;2.384;2.074;2.158;1.994;2.03;2.08;2.081;2.0069999999999997;1.9680000000000002;1.7930000000000001;1.7069999999999999;1.837;1.9269999999999998
bdi;economic_growth_over_the_past_10_years;;;;;;;;;;;1.962;3.762;2.7560000000000002;2.628;2.665;2.2969999999999997;3.071;2.943;2.992;3.6010000000000004;1.051;1.48;1.475;0.6533;0.7698;1.444;0.9465;0.1893;1.423;0.6846;1.764;1.6680000000000001;1.999;0.4601;-0.1098;-0.8328;-1.969;-2.11;-2.9530000000000003;-1.681;-4.132;-4.2219999999999995;-3.656;-1.8730000000000002;
bel;economic_growth_over_the_past_10_years;2.499;2.596;2.903;3.075;3.307;3.239;3.26;3.4730000000000003;4.032;4.376;4.471;4.363;4.3580000000000005;4.533;4.3069999999999995;3.852;4.131;3.845;3.733;3.3539999999999996;3.1860000000000004;2.7689999999999997;2.338;1.746;1.609;1.942;1.5759999999999998;1.7380000000000002;1.9340000000000002;2.039;1.9240000000000002;2.144;2.2119999999999997;2.0580000000000003;2.082;2.137;2.029;2.117;1.7990000000000002;1.733;1.794;1.722;1.715;1.92;1.876
ben;economic_growth_over_the_past_10_years;;;;;;;;;;2.064;1.413;1.5759999999999998;3.4530000000000003;3.037;2.608;1.306;1.258;-0.2072;-0.7581;-0.2721;0.1931;-0.1648;-0.5942;-1.296;-0.9342;0.2768;-0.047510000000000004;0.9559;1.284;0.06601;-0.345;0.2075;-0.3812;0.4266;-0.1388;-0.5352;-0.0768;0.5543;0.7409;1.268;1.432;1.36;1.545;1.795;
bfa;economic_growth_over_the_past_10_years;;;;;;;;;;-1.17;-1.143;0.1156;0.4178;0.4004;0.515;0.7517;0.9351;0.7217;0.1103;0.3632;0.7987;1.723;1.21;1.04;0.5616;1.253;1.589;1.75;2.344;2.029;1.032;0.8827;0.6275;0.8075;1.43;0.4905;0.09892000000000001;-0.2482;-0.568;0.3791;1.186;0.8691;1.431;2.585;2.325
bgd;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;0.3495;0.444;1.294;0.4093;0.9381;0.6568;0.9227;1.3769999999999998;1.615;1.9069999999999998;1.905;1.939;1.695;1.538;1.8869999999999998;2.0580000000000003;1.635;1.516;1.589;2.112;2.425;2.5269999999999997;
bgr;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.9674;-0.02051;0.7831;1.92
bhr;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;4.566;4.071000000000001;4.402;5.034;-0.3383;-1.7530000000000001;-2.313;-3.16;-1.766;-1.304;-0.7279;-0.6202;-0.3795;1.0659999999999998;-0.8215;0.7689;0.7864;0.8189;0.3621;0.8074;0.8189;1.556;0.9972;-0.01794;
bhs;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;0.6873;0.2573;1.126;1.069;3.1489999999999996;5.25;4.977;4.789;3.6860000000000004;2.585;1.35;1.383;0.1618;-0.6218;-0.4352;-1.014;-1.2670000000000001;-1.796;-1.811;-1.854;-0.7793;-0.6172;0.2369;0.5558;0.5363
bih;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.354;8.832;12.48;15.2;
blz;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;5.5360000000000005;3.735;3.8789999999999996;2.9419999999999997;1.633;-0.2574;0.6337;0.6551;-0.9079999999999999;-0.7731;-1.3090000000000002;-0.3982;-0.08972999999999999;0.9384;2.42;4.393;3.548;3.093;2.9010000000000002;2.261;1.526;2.261;2.3480000000000003;2.3609999999999998;1.42
bmu;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;3.319;2.537;2.63;2.593;2.502;2.099;1.7309999999999999;2.035;1.96;1.22;0.5389;0.8751;0.3369;0.5419;0.6725;0.5657;0.5799;0.3889;0.39799999999999996;1.109;0.7376;0.7711;1.19;1.4469999999999998;
bol;economic_growth_over_the_past_10_years;-1.7;-1.964;-1.994;0.03603;0.4199;0.6329;1.673;2.2680000000000002;0.7268;0.8258;0.5389;0.4939;0.9091;0.8224;0.8542;0.7032;0.8298;0.6123;2.022;1.94;1.946;1.6869999999999998;0.9421;-0.3798;-0.7707;-1.4069999999999998;-2.37;-2.405;-2.128;-2.0269999999999997;-1.742;-1.517;-1.127;-0.11;0.2923;0.7593;1.36;1.2890000000000001;1.3219999999999998;1.321;1.2690000000000001;1.2209999999999999;1.335;1.266;
bra;economic_growth_over_the_past_10_years;4.004;4.8839999999999995;4.427;4.291;4.026;3.908;3.833;3.52;3.93;3.883;4.062;3.7430000000000003;4.39;5.041;5.407;5.537000000000001;6.233;6.0520000000000005;5.398;5.483;5.309;4.004;3.137;1.641;1.386;1.742;1.601;1.902;1.6019999999999999;1.494;0.2441;0.7589;0.6132;1.28;1.426;0.5687;0.05024;-0.2593;-0.163;-0.4434;0.5141;0.4627;0.4183;0.6183;
brb;economic_growth_over_the_past_10_years;;;;;;;;;;;5.254;5.084;4.673;4.963;4.982;3.602;3.148;2.535;2.839;2.375;1.5019999999999998;0.6889;0.3035;0.5967;0.9152;1.55;2.428;2.331;1.9369999999999998;1.248;0.7816;1.07;0.8237;0.3137;0.0055;0.4185;-0.08692000000000001;-0.1907;0.01466;0.2391;0.9905;0.7831;1.18;1.6980000000000002;1.61
brn;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;4.298;1.449;0.8121;0.1955;-0.4565;-0.6806;-2.7119999999999997;-3.5610000000000004;-4.098;-6.08;-5.016;-2.329;-2.515;-2.6460000000000004;-2.48;-2.083;-1.295;-1.125;-0.9591;-1.229;-1.1420000000000001;-1.162;-0.6574;-0.1757;
btn;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;5.805;5.716;5.787999999999999;5.9079999999999995;6.432;5.5520000000000005;6.135;7.403;7.239;5.834;3.795;3.8289999999999997;3.568;2.9160000000000004;2.589;3.7230000000000003;3.261;2.9530000000000003;3.528;3.2769999999999997;3.516;3.344;3.63;4.546;
bwa;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;8.847999999999999;6.791;7.067;7.23;6.077000000000001;5.843999999999999;5.774;5.769;5.646;6.716;6.914;8.107999999999999;6.857;5.587999999999999;5.722;4.478;4.5360000000000005;4.252;4.0169999999999995;1.925;3.009;3.1460000000000004;2.6180000000000003;3.285;4.365
caf;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;-0.4335;0.7937;1.204;0.01693;0.4428;0.3088;0.1198;-0.9536;-1.848;-1.218;-0.6249;-0.8352;-2.951;-2.271;-2.69;-2.29;-2.889;-2.1069999999999998;-2.036;-0.9658;-0.6186;-0.2164;1.5519999999999998;1.486;
can;economic_growth_over_the_past_10_years;1.3869999999999998;1.1179999999999999;1.102;1.3130000000000002;2.306;2.27;2.129;2.274;2.6519999999999997;2.892;2.967;3.343;3.197;3.3710000000000004;3.017;2.693;2.659;2.93;2.88;2.785;2.807;2.5610000000000004;1.771;1.483;1.79;2.022;1.77;1.815;1.871;1.7530000000000001;1.5390000000000001;0.9713;1.391;1.3130000000000002;1.263;1.119;1.057;1.145;1.159;1.5119999999999998;2.108;2.559;2.786;2.745;2.513
che;economic_growth_over_the_past_10_years;3.338;3.2510000000000003;3.7939999999999996;3.8510000000000004;3.721;3.2310000000000003;2.7680000000000002;2.77;3.5989999999999998;3.318;3.2880000000000003;3.028;3.023;3.023;2.68;1.649;1.494;1.588;1.5530000000000002;1.4780000000000002;1.3230000000000002;1.041;0.5596;0.3214;0.4893;1.669;1.838;1.591;1.59;1.558;1.3330000000000002;1.081;1.187;1.097;0.9545;0.735;0.5956;0.6595;0.7278;0.4608;0.4931;0.7327;0.8065;0.8068;0.8801
chl;economic_growth_over_the_past_10_years;;1.6669999999999998;1.577;0.9759;1.8980000000000001;1.453;2.492;2.056;2.019;2.715;2.072;2.741;2.3209999999999997;1.39;1.37;-0.1553;-0.9415;-0.2559;0.131;0.5515;0.7979;0.4458;-1.002;-0.8528;-0.537;1.065;1.319;0.9375;0.8;0.8913;0.6803;0.8541;3.488;4.5280000000000005;4.617;5.5120000000000005;5.806;5.946000000000001;5.609;4.692;4.813;4.44;3.55;3.335;3.3510000000000004
chn;economic_growth_over_the_past_10_years;;;1.067;1.073;1.995;2.456;2.105;1.298;-0.1316;0.5645;1.176;3.5210000000000004;3.735;3.707;2.8080000000000003;2.45;2.01;3.0189999999999997;4.445;4.484;4.152;4.1610000000000005;5.178;5.33;6.571000000000001;6.778;8.13;8.661;8.345;7.542999999999999;8.37;8.399;8.357000000000001;8.48;8.743;9.065;8.506;8.612;8.847000000000001;9.441;9.082;9.062999999999999;8.852;8.836;8.075
civ;economic_growth_over_the_past_10_years;;;;;;;;;;;3.958;4.322;3.9560000000000004;2.813;1.452;3.1260000000000003;2.862;2.682;2.573;2.439;0.7678;0.2374;1.436;1.12;1.411;0.7277;0.7371;0.6707;-0.1893;0.8792;1.314;0.6844;-0.6044;-0.5307;-1.0659999999999998;-1.011;-1.2209999999999999;-0.9816;-0.6572;-1.671;-0.799;-0.4683;-0.5793;-0.3054;
