geo;indicator;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
are;electricity_generation_per_person;8626.56464;8703.874020000001;8751.10046;8962.16986;8890.44289;9182.47433;8808.00558;8956.50853;9844.13825;10192.87272;10201.648140000001;10335.1977;10542.18318;11765.43129;12424.69451;12660.8398;12980.03146;13282.83957;13239.150259999999;12822.37885;13254.105959999999;12737.045479999999;13031.12623;11670.98281;11178.39902;11359.27814;11431.2235;11934.22402;12211.50215;12846.62205;13913.67687;14757.89925
arg;electricity_generation_per_person;1490.5828900000001;1589.70775;1664.05583;1668.72581;1578.09611;1559.8352300000001;1622.52615;1679.7131600000002;1805.72689;1894.28735;1966.7771300000002;2057.61305;2166.21274;2215.46571;2350.76512;2547.42285;2539.28925;2383.43894;2547.2352300000002;2715.81568;2834.5540100000003;2852.2033899999997;2882.39566;3194.46182;3180.43838;3214.64091;3108.2501399999996;3231.36669;3284.91411;3293.50885;3349.32026;3349.79724
aus;electricity_generation_per_person;7862.22548;8102.63175;8355.00111;8674.66993;9017.82687;9133.622640000001;9145.504420000001;9230.26878;9350.11711;9514.20356;9693.11784;9858.42302;10233.06346;10686.82127;10967.916220000001;11372.69767;11638.14599;11476.13905;11471.30635;11490.629159999999;11400.81555;11567.73392;11609.48588;11496.7825;11495.44782;11345.355959999999;11401.34749;10983.77261;10779.79013;10539.87217;10632.13112;10647.91588
aut;electricity_generation_per_person;5848.42705;5855.82933;6612.86455;6400.96934;6527.487160000001;6526.97215;6623.6949;6535.6197;6674.40775;6707.889520000001;7082.12053;6839.10414;7077.290870000001;7142.9726200000005;7498.21795;7658.431809999999;7687.69292;7677.50638;7414.27315;7893.213970000001;8085.51368;7768.98718;7802.537670000001;8026.308959999999;8251.21702;8450.70523;7784.285890000001;8498.924809999999;7931.77071;7541.6820099999995;7483.53115;7762.504190000001
aze;electricity_generation_per_person;3105.3986;3177.92688;3323.27555;3362.60755;3269.30775;3203.19436;3174.25111;2632.91975;2519.20365;2286.78624;2192.03424;2175.27652;2119.69488;2240.3272899999997;2247.29564;2302.17854;2314.0605600000004;2259.38941;2545.7584100000004;2573.59494;2678.65738;2843.85231;2504.15391;2453.2108;2114.31415;2071.30795;2218.8015600000003;2481.1879;2488.3613100000002;2601.91455;2566.9915300000002;2567.92128
bel;electricity_generation_per_person;5780.421429999999;5909.83047;6373.482;6561.79022;6768.11712;7087.66183;7165.33633;7166.528690000001;7000.32435;7107.087009999999;7304.709609999999;7454.63852;7710.74207;8125.4831;8241.11959;8170.75767;7735.328329999999;7917.98462;8122.63558;8171.95075;8251.25065;8062.19312;8302.80145;7879.08312;8400.788559999999;8702.00852;8193.98165;7481.62818;7486.697770000001;6477.4897200000005;6258.71505;7650.123309999999
bgd;electricity_generation_per_person;48.58376;50.13451;56.8109;64.7782;68.67811999999999;72.81381;76.06175999999999;79.96624;80.97091999999999;84.21251;91.03096;94.6156;95.74127;101.8759;111.98973000000001;119.85751;129.68733;136.63916;141.79357;174.67581;184.38818;203.14649;210.71884;229.95068999999998;247.09762;268.09227999999996;286.87188;311.84049;337.11725;350.33344;376.93341000000004;413.54007
bgr;electricity_generation_per_person;4638.51256;4660.92443;4851.64174;5037.84623;4982.44103;4766.342229999999;4660.9459;4104.31105;4430.67768;4499.64476;4987.24219;5151.55082;5212.424279999999;5125.73542;4741.36045;5116.91547;5544.13277;5425.6971;5458.82235;5375.12346;5773.863670000001;6012.22905;5721.85699;5996.67312;5762.31587;6300.55141;6905.31935;6474.21619;6025.757;6574.91645;6858.7549;6323.07901
blr;electricity_generation_per_person;3328.76654;3617.32343;3711.2923200000005;3759.8683;3777.27716;3868.7086;3787.711;3678.60094;3271.3070199999997;3086.19919;2456.83724;2347.19864;2591.0693899999997;2342.25627;2653.46729;2627.4438600000003;2536.4224600000002;2697.52666;2733.76308;3225.3090899999997;3217.8830399999997;3322.28273;3337.47026;3687.0495;3205.16909;3683.0717299999997;3401.0666899999997;3251.14842;3323.9081899999996;3662.36644;3592.96007;3491.5457100000003
bra;electricity_generation_per_person;1427.51554;1459.42803;1439.26509;1492.69235;1511.60274;1491.91028;1542.21134;1564.1389;1603.74021;1628.25084;1698.12541;1766.07945;1838.19093;1890.7491899999998;1937.5519;1990.55738;1848.2068199999999;1918.83453;1996.57885;2097.28935;2156.19351;2218.79609;2330.30329;2399.84625;2391.8398;2620.98465;2676.37457;2754.7731;2820.18605;2891.78267;2823.28631;2801.11714
