geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
afg;falls_deaths_per_100000_people;18.24;18.08;18.01;18.05;18.13;18.2;18.04;17.95;17.75;17.54;17.41;17.35;17.27;19.13;19.73;19.43;18.89;18.4;17.71;17.06;15.28;14.54;14.41;15.96;16.28;16.25;16.21
ago;falls_deaths_per_100000_people;16.02;15.97;15.92;16.12;16.38;16.47;16.42;16.27;16.67;16.51;16.33;16.31;16.3;16.53;16.7;16.68;16.76;16.73;16.77;16.66;16.53;16.42;16.31;16.23;16.15;16.08;15.96
alb;falls_deaths_per_100000_people;2.47;2.49;2.44;2.42;2.42;2.45;2.44;2.45;2.49;2.51;2.47;2.51;2.54;2.53;2.45;2.34;2.3;2.36;2.36;2.25;2.22;2.19;2.16;2.14;2.12;2.11;2.1
and;falls_deaths_per_100000_people;6.61;6.54;6.49;6.4;6.32;6.1;5.94;5.77;5.66;5.58;5.54;5.49;5.44;5.47;5.59;5.57;5.56;5.58;5.61;5.66;5.68;5.72;5.76;5.79;5.82;5.84;5.84
are;falls_deaths_per_100000_people;5.45;5.43;5.42;5.43;5.44;5.44;5.43;5.38;5.3;5.25;5.18;5.13;5.06;4.9;4.77;4.67;4.59;4.68;4.62;4.65;4.66;4.67;4.66;4.65;4.64;4.61;4.57
arg;falls_deaths_per_100000_people;5.17;5.0;4.83;4.72;4.59;4.51;4.51;4.58;4.54;4.46;4.32;4.23;4.25;4.28;4.22;4.15;4.09;4.06;3.94;3.82;3.74;3.67;3.62;3.57;3.51;3.49;3.48
arm;falls_deaths_per_100000_people;7.69;7.67;7.89;8.05;7.6;6.92;6.12;5.47;4.89;4.58;4.17;4.01;3.81;3.77;3.69;3.66;3.6;3.53;3.54;3.49;3.4;3.34;3.14;3.0;2.85;2.8;2.81
asm;falls_deaths_per_100000_people;5.42;5.41;5.36;5.28;5.23;5.2;5.18;5.18;4.99;4.63;4.74;4.85;4.86;4.87;4.98;5.03;5.07;5.08;5.02;5.15;5.32;5.44;5.47;5.42;5.38;5.34;5.26
atg;falls_deaths_per_100000_people;2.68;2.63;2.58;2.55;2.47;2.42;2.46;2.43;2.28;2.3;2.31;2.33;2.3;2.32;2.33;2.34;2.31;2.3;2.28;2.25;2.24;2.23;2.21;2.2;2.19;2.18;2.16
aus;falls_deaths_per_100000_people;5.7;5.45;5.31;5.17;5.19;5.16;5.21;5.26;5.28;5.32;5.4;5.45;5.58;5.68;5.79;5.88;5.96;6.07;6.22;6.24;6.34;6.46;6.52;6.45;6.51;6.38;6.35
aut;falls_deaths_per_100000_people;13.57;12.86;12.22;11.54;10.96;10.41;10.13;9.71;9.47;9.35;9.21;9.14;9.15;9.28;9.22;9.28;9.11;9.01;8.97;8.95;8.86;8.74;8.69;8.55;8.36;8.26;8.19
aze;falls_deaths_per_100000_people;4.73;4.78;5.02;4.82;4.67;4.15;3.82;3.54;3.34;3.14;2.93;2.63;2.53;2.61;2.7;2.79;2.84;2.92;2.98;2.98;3.08;2.98;2.97;2.9;2.88;2.9;2.92
bdi;falls_deaths_per_100000_people;28.41;28.33;28.28;28.22;28.17;28.17;27.98;27.43;26.94;26.02;25.48;24.35;23.75;23.28;23.08;22.86;22.5;22.13;21.87;21.62;21.68;21.82;21.89;21.88;21.88;21.8;21.68
bel;falls_deaths_per_100000_people;8.7;8.54;8.42;8.46;8.39;8.36;8.37;8.5;8.72;8.93;9.34;9.46;9.56;9.67;9.52;9.44;9.35;9.44;9.55;9.55;9.53;9.44;9.47;9.34;9.1;9.06;8.99
ben;falls_deaths_per_100000_people;19.02;19.09;19.12;19.04;19.21;19.42;19.67;19.48;19.41;19.09;18.88;18.62;18.39;18.1;17.89;17.62;17.46;17.31;17.28;17.37;17.37;17.41;17.39;17.33;17.26;17.22;17.2
bfa;falls_deaths_per_100000_people;26.06;25.83;25.95;25.93;25.82;25.69;25.51;25.64;25.83;25.44;25.18;24.57;24.23;24.22;24.33;24.25;24.23;24.07;23.84;23.72;23.99;24.04;24.29;24.62;24.72;24.74;24.76
bgd;falls_deaths_per_100000_people;10.06;9.61;9.54;9.31;9.11;9.09;8.78;8.46;8.17;8.04;8.05;8.48;8.59;8.57;8.28;8.2;8.07;7.97;7.77;7.54;7.42;7.16;6.99;6.91;6.61;6.34;6.28
bgr;falls_deaths_per_100000_people;7.14;6.96;7.0;6.83;6.79;6.56;6.24;6.11;5.83;5.62;5.51;5.38;5.24;5.23;5.31;5.43;5.43;5.38;5.32;5.19;5.05;4.92;4.84;4.9;4.83;4.81;4.79
bhr;falls_deaths_per_100000_people;4.32;4.53;4.65;4.65;4.66;4.67;4.64;4.61;4.52;4.36;4.28;4.22;4.16;4.09;4.04;3.94;3.89;3.78;3.62;3.46;3.31;3.24;3.2;3.18;3.17;3.16;3.15
bhs;falls_deaths_per_100000_people;5.13;5.01;4.92;4.85;4.75;4.73;4.74;4.76;4.51;4.39;4.37;4.45;4.42;4.43;4.26;4.28;4.14;4.16;4.15;4.14;4.12;4.16;4.18;4.28;4.21;4.18;4.2
bih;falls_deaths_per_100000_people;3.52;3.5;3.48;3.45;3.43;3.38;3.34;3.27;3.21;3.05;2.95;2.9;2.86;2.85;2.81;2.78;2.74;2.71;2.68;2.64;2.62;2.63;2.5;2.4;2.3;2.32;2.31
blr;falls_deaths_per_100000_people;7.66;8.15;8.87;9.75;10.34;10.89;11.02;11.36;11.72;12.07;11.89;12.28;13.08;13.07;13.05;13.21;13.08;12.84;12.93;12.88;12.74;12.49;11.27;10.56;9.88;9.84;9.78
blz;falls_deaths_per_100000_people;4.67;4.74;4.84;4.96;5.05;5.09;5.29;5.6;5.49;5.62;5.65;5.88;5.78;5.76;5.74;5.73;5.66;5.68;5.66;5.6;5.5;5.5;5.51;5.62;5.56;5.52;5.47
bmu;falls_deaths_per_100000_people;6.52;6.52;6.5;6.53;6.36;6.08;6.2;6.07;5.69;5.65;5.58;5.45;5.31;5.18;5.02;4.89;4.74;4.63;4.51;4.38;4.25;4.07;3.97;3.93;3.85;3.91;3.76
bol;falls_deaths_per_100000_people;10.32;10.17;10.06;9.98;9.82;9.74;9.23;8.98;8.71;8.5;8.26;8.07;7.96;7.81;7.71;7.65;7.58;7.57;7.56;7.56;7.54;7.53;7.52;7.5;7.51;7.51;7.5
bra;falls_deaths_per_100000_people;10.64;10.6;10.55;10.5;10.46;10.39;10.38;10.24;10.04;9.84;9.49;9.3;9.17;9.16;9.13;9.06;9.08;9.09;9.08;9.08;9.15;9.14;9.13;9.16;9.16;9.11;8.99
brb;falls_deaths_per_100000_people;3.04;3.06;3.07;3.08;3.02;2.95;2.91;2.85;2.8;2.74;2.69;2.69;2.65;2.66;2.67;2.68;2.65;2.65;2.6;2.59;2.54;2.53;2.52;2.55;2.56;2.57;2.58
