geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.31;;;0.28;;;0.53;;;0.32;;;;;;;0.24;;;0.17;;;;;;;
afg;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.68;;;;12.97;;;;;
ago;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.69;;;;;;;10.81;;;;;;
aia;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.97;;;;;;;;;;;;;;;;
alb;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.78;29.81;27.66;26.38;31.41;36.27;33.76;32.43;29.8;;20.13
ant;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;1.79;0.7;1.32;0.79;0.8;0.76;0.57;0.99;;0.55;;0.34;0.56;0.49;0.48;0.6;0.22;;0.55;;0.11;;;;;;
are;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;0.0;;;;;;;;0.01;0.06
arg;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;1.38;1.04;1.24;1.26;1.63;1.41;1.66;1.54;1.33;1.35;1.15;1.09;1.11;1.66;1.31;1.03;0.99;0.94;0.72;0.72;1.01;0.75;0.66;0.64;0.82;;;0.59
arm;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;;17.4;15.15;14.03;;12.25;7.61;7.34;6.0;
asm;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;0.21;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;
atg;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;0.79;;;;;;;;;;0.47;;;;;;;;;;;;;;;;
aus;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;0.84;0.94;1.0;1.11;1.03;0.96;0.97;0.91;0.8;0.88;0.85;0.56;0.46;0.42;0.4;0.33;0.32;0.28;0.24;0.25;0.27;0.22;0.21;0.22;0.24;0.23;0.22;0.19
aut;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;3.59;3.06;2.8;2.8;2.73;2.57;2.55;2.13;1.02;1.38;1.44;2.35;2.31;2.19;2.16;2.02;1.93;1.84;2.02;1.61;1.51;1.46
aze;family_workers_percent_of_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.57;18.6;16.8;;;;28.84;29.2;29.52;29.7;29.85;29.93;29.53;33.4;33.48
