geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;female_agriculture_workers_percent_of_female_employment;80.278;83.943;87.221;89.552;88.569;88.193;88.081;87.75299999999999;87.178;86.262;85.23200000000001;83.53;83.029;80.941;81.411;80.382;78.933;76.833;78.164;75.634;73.533;72.83800000000001;72.65899999999999;72.607;72.41;72.62100000000001;73.714;73.639;73.47800000000001;73.411;73.167;72.943
ago;female_agriculture_workers_percent_of_female_employment;48.415;46.693000000000005;52.949;51.832;51.465;49.718;48.722;46.526;47.835;46.938;45.227;46.567;45.718999999999994;44.408;45.446000000000005;46.261;46.103;47.244;51.163999999999994;54.412;58.0;57.713;56.403999999999996;56.1;55.993;56.242;57.597;57.402;56.998999999999995;56.465;55.836000000000006;55.239
alb;female_agriculture_workers_percent_of_female_employment;73.846;78.562;80.116;79.536;79.206;76.557;73.617;75.828;75.154;73.619;73.023;71.832;70.806;69.28699999999999;67.44800000000001;65.98100000000001;61.825;60.956;57.221000000000004;54.11;54.312;58.641999999999996;53.916000000000004;50.464;47.797;47.272;46.94;45.658;44.607;43.571000000000005;42.369;41.458
are;female_agriculture_workers_percent_of_female_employment;0.057999999999999996;0.057999999999999996;0.062;0.061;0.062;0.061;0.059000000000000004;0.06;0.066;0.069;0.07200000000000001;0.07200000000000001;0.073;0.078;0.09699999999999999;0.10099999999999999;0.12;0.153;0.034;0.021;0.016;0.013000000000000001;0.011000000000000001;0.01;0.011000000000000001;0.013000000000000001;0.032;0.031;0.03;0.028999999999999998;0.027999999999999997;0.027000000000000003
arg;female_agriculture_workers_percent_of_female_employment;0.138;0.318;0.302;0.24100000000000002;0.359;0.21600000000000003;0.251;0.221;0.225;0.231;0.281;0.456;0.9690000000000001;0.966;0.718;0.48700000000000004;0.387;0.34700000000000003;0.392;0.376;0.284;0.282;0.22399999999999998;0.154;0.149;0.172;0.14800000000000002;0.14400000000000002;0.14;0.136;0.133;0.13
arm;female_agriculture_workers_percent_of_female_employment;40.376;37.814;50.934;53.736999999999995;54.647;52.50899999999999;49.956;53.782;51.475;51.551;52.423;52.18600000000001;50.045;48.437;47.056000000000004;45.603;43.903;45.323;45.748000000000005;47.284;45.619;44.075;44.708;40.579;40.088;38.343;38.965;37.744;37.13;36.44;35.781;35.2
aus;female_agriculture_workers_percent_of_female_employment;3.911;3.7510000000000003;3.7430000000000003;3.62;3.5980000000000003;3.503;3.582;3.465;3.485;3.4330000000000003;3.446;3.033;2.623;2.681;2.454;2.366;2.285;2.22;2.217;2.283;1.889;1.915;1.666;1.83;1.855;1.6880000000000002;1.635;1.595;1.55;1.508;1.4569999999999999;1.411
aut;female_agriculture_workers_percent_of_female_employment;8.538;8.097000000000001;7.891;7.992999999999999;8.193;8.585;7.733;7.234;6.959;6.379;6.282;6.081;5.779;4.863;5.285;5.285;5.617000000000001;5.233;5.2010000000000005;4.993;4.655;4.2410000000000005;4.183;4.567;4.209;3.929;3.889;3.7880000000000003;3.7060000000000004;3.615;3.5439999999999996;3.4730000000000003
aze;female_agriculture_workers_percent_of_female_employment;39.489000000000004;36.104;40.281;45.364;45.195;48.317;47.278999999999996;44.778;45.635;42.992;41.957;41.881;41.821999999999996;42.61600000000001;44.63399999999999;43.275;41.961000000000006;40.73;44.027;44.431000000000004;43.945;43.928999999999995;43.538000000000004;42.662;42.06100000000001;42.095;43.371;43.64;43.623000000000005;43.081;42.69;42.126000000000005
bdi;female_agriculture_workers_percent_of_female_employment;96.434;96.626;96.78200000000001;96.689;96.825;97.055;96.867;96.756;96.819;96.833;96.749;96.70700000000001;96.70299999999999;96.63799999999999;96.565;96.59;96.36;96.459;96.44;96.31299999999999;96.37700000000001;96.339;96.251;96.208;96.478;96.397;96.456;96.478;96.45700000000001;96.42299999999999;96.38600000000001;96.34100000000001
bel;female_agriculture_workers_percent_of_female_employment;2.204;2.487;1.788;1.631;1.633;1.59;1.556;1.5119999999999998;1.453;1.122;0.946;1.092;1.058;1.571;1.48;1.2770000000000001;1.305;1.031;0.987;0.89;0.8859999999999999;0.6940000000000001;0.841;0.838;0.7290000000000001;0.754;0.768;0.753;0.735;0.718;0.7;0.682
ben;female_agriculture_workers_percent_of_female_employment;45.79600000000001;44.879;44.897;44.505;43.777;45.306000000000004;45.059;45.038999999999994;40.688;39.818000000000005;39.311;39.46;38.813;39.375;39.498000000000005;39.411;38.256;37.74;37.77;37.238;36.119;35.588;34.115;33.336;34.201;33.68;35.478;34.606;33.694;32.851;32.053000000000004;31.23
bfa;female_agriculture_workers_percent_of_female_employment;90.625;90.5;90.53200000000001;90.801;90.305;90.052;89.32;88.999;87.965;87.70100000000001;87.51;87.041;85.70200000000001;84.55;84.19;83.059;77.185;72.92699999999999;65.867;58.721000000000004;50.313;41.532;32.793;22.081999999999997;20.862;20.436;19.832;19.242;18.695999999999998;18.149;17.604;17.034000000000002
bgd;female_agriculture_workers_percent_of_female_employment;90.726;90.291;89.041;87.736;85.98700000000001;82.30799999999999;81.707;80.715;79.866;78.78699999999999;73.876;67.109;58.795;64.17399999999999;68.21300000000001;68.194;68.348;67.82300000000001;66.95;65.52600000000001;63.726000000000006;59.518;53.443999999999996;59.443999999999996;63.446000000000005;62.13399999999999;60.458;59.203;58.156000000000006;57.176;56.151;55.498000000000005
bgr;female_agriculture_workers_percent_of_female_employment;13.704;12.135;11.294;11.671;12.378;11.776;14.889000000000001;11.965;12.015999999999998;10.600999999999999;7.125;8.137;8.335;8.288;6.832000000000001;6.11;5.646;5.781000000000001;5.34;5.2010000000000005;4.809;4.2860000000000005;4.439;4.56;4.329;4.248;3.843;3.6660000000000004;3.5189999999999997;3.383;3.2539999999999996;3.134
bhr;female_agriculture_workers_percent_of_female_employment;0.207;0.213;0.188;0.188;0.179;0.183;0.18600000000000003;0.179;0.18899999999999997;0.19399999999999998;0.19;0.14800000000000002;0.11699999999999999;0.092;0.085;0.075;0.065;0.057999999999999996;0.051;0.05;0.051;0.048;0.047;0.044000000000000004;0.043;0.045;0.046;0.047;0.047;0.047;0.047;0.046
bhs;female_agriculture_workers_percent_of_female_employment;1.44;1.426;1.392;1.61;1.053;1.219;1.9509999999999998;1.226;0.9329999999999999;1.103;1.39;1.659;0.583;0.435;0.341;0.47700000000000004;0.242;0.7340000000000001;0.524;1.014;1.73;1.746;1.696;1.8;1.8719999999999999;1.8559999999999999;1.89;1.867;1.8630000000000002;1.8559999999999999;1.855;1.85
bih;female_agriculture_workers_percent_of_female_employment;50.826;51.732;53.053000000000004;59.028;56.107;60.159;49.952;45.753;39.971;31.878;31.016;29.895;28.721999999999998;30.086;28.857;28.226;27.185;26.558000000000003;22.688000000000002;21.621;20.809;21.296;20.238;17.527;16.678;18.621;18.563;18.04;17.585;17.153;16.718;16.320999999999998
blr;female_agriculture_workers_percent_of_female_employment;18.055;18.885;18.374000000000002;17.429000000000002;18.68;17.771;16.153;14.925999999999998;14.814;14.241;13.015999999999998;12.487;11.429;10.602;10.228;9.631;8.956;8.391;8.279;8.086;7.1339999999999995;7.032;6.894;6.792000000000001;6.516;6.6;6.716;6.558;6.385;6.084;5.904;5.72
blz;female_agriculture_workers_percent_of_female_employment;6.224;4.937;4.51;4.356;5.807;4.8260000000000005;5.854;5.016;6.141;5.4910000000000005;4.955;4.4030000000000005;3.937;3.594;3.2489999999999997;3.1210000000000004;3.1689999999999996;3.3289999999999997;3.464;3.554;3.6510000000000002;3.86;4.224;4.356;4.748;3.076;3.1889999999999996;3.24;3.1910000000000003;3.156;3.147;3.137
bol;female_agriculture_workers_percent_of_female_employment;41.141999999999996;40.573;39.959;39.883;39.272;38.338;38.604;37.078;37.033;37.255;42.239;39.095;34.42;34.441;35.954;35.64;35.538000000000004;31.333000000000002;30.753;30.566999999999997;30.398000000000003;27.281999999999996;29.195;31.377;28.311;27.855;26.903000000000002;26.201999999999998;25.893;25.569000000000003;25.234;24.836
bra;female_agriculture_workers_percent_of_female_employment;22.965;24.041;23.487;24.232;22.04;19.358;19.802;19.000999999999998;20.112000000000002;16.348;15.992;16.367;15.94;15.890999999999998;15.877;14.875;13.755999999999998;13.003;12.078;11.24;11.074000000000002;5.899;5.666;5.209;5.051;4.756;4.888999999999999;4.8069999999999995;4.707;4.612;4.523;4.44
brb;female_agriculture_workers_percent_of_female_employment;4.388999999999999;4.135;4.547;4.313;3.593;4.298;4.0360000000000005;3.622;3.27;3.273;3.548;3.116;3.6;2.452;0.345;2.714;2.533;2.508;2.075;1.953;2.209;2.167;1.635;1.376;1.55;1.8430000000000002;1.849;1.8330000000000002;1.808;1.781;1.7530000000000001;1.722
brn;female_agriculture_workers_percent_of_female_employment;1.6380000000000001;1.3330000000000002;1.1340000000000001;0.9620000000000001;0.828;0.743;0.636;0.57;0.467;0.392;0.342;0.33899999999999997;0.312;0.326;0.32899999999999996;0.314;0.318;0.33799999999999997;0.344;0.36200000000000004;0.37200000000000005;0.39399999999999996;0.435;0.446;0.47;0.479;0.419;0.41100000000000003;0.395;0.384;0.373;0.374
btn;female_agriculture_workers_percent_of_female_employment;93.32600000000001;93.15100000000001;92.88;92.74700000000001;91.794;91.335;91.10700000000001;90.87100000000001;90.535;90.26299999999999;89.98299999999999;89.676;89.29700000000001;85.759;80.25399999999999;72.05;75.686;74.844;72.293;65.936;68.322;76.36399999999999;66.312;66.882;66.416;65.385;65.295;64.143;63.316;64.50399999999999;65.204;64.395
bwa;female_agriculture_workers_percent_of_female_employment;13.645;13.052999999999999;12.504000000000001;11.275;10.867;10.284;11.22;12.735999999999999;14.427999999999999;17.12;6.013;7.7010000000000005;12.142000000000001;15.494000000000002;19.409000000000002;23.743000000000002;21.522;19.739;19.948;21.006999999999998;22.737;22.811;21.654;21.198;21.7;20.796;20.912;20.463;19.89;19.37;18.838;18.307000000000002
caf;female_agriculture_workers_percent_of_female_employment;90.00399999999999;90.17399999999999;90.235;90.34700000000001;90.259;91.31700000000001;91.626;91.565;91.26700000000001;91.351;91.506;91.49600000000001;91.79;91.73200000000001;91.50299999999999;91.512;91.45200000000001;91.402;91.306;91.255;91.361;91.29899999999999;90.55;90.385;90.46700000000001;90.52799999999999;90.469;90.477;90.485;90.492;90.492;90.493
can;female_agriculture_workers_percent_of_female_employment;2.612;2.532;2.57;2.546;2.356;2.325;2.266;2.301;2.138;1.8769999999999998;1.556;1.554;1.507;1.476;1.554;1.55;1.464;1.337;1.351;1.327;1.287;1.271;1.247;1.2009999999999998;1.17;1.1340000000000001;1.133;1.105;1.0759999999999998;1.053;1.03;1.01
chanisl;female_agriculture_workers_percent_of_female_employment;18.333;18.275;17.987000000000002;17.538;17.221;16.97;16.445;15.991;15.582;15.011;14.655;14.450999999999999;14.083;13.765;13.556;13.247;13.071;13.164000000000001;13.65;13.625;13.485;13.48;13.283;13.019;12.793;12.613;12.535;12.405999999999999;12.220999999999998;11.998;11.75;11.505999999999998
