geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;0.58;;;0.6;;;;;;0.44;;;;;;;0.41;;;0.22;;;;;;;
afg;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74.54;;;;38.6;;;;;
ago;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.36;;;;;;;12.12;;;;;;
aia;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.61;;;;;;;;;;;;;;;;
alb;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.11;48.69;43.87;43.62;43.23;50.21;45.08;41.98;39.8;;26.76
ant;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;2.42;1.21;2.27;1.06;1.22;1.37;0.84;1.4;;1.01;;;;;;;;;0.75;;0.22;;;;;;
are;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;0.01;;;;;;;;0.02;
arg;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;2.53;1.89;2.1;2.17;2.64;2.11;2.84;2.41;2.19;2.04;1.85;1.78;1.57;2.41;2.0;1.67;1.59;1.44;1.19;1.16;1.51;1.17;0.96;1.04;1.28;;;0.97
arm;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;24.84;22.04;18.87;;18.5;9.99;10.54;8.69;
asm;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;;0.85;;;;;;;;;;0.5;;;;;;;;;;;;;;;;
aus;female_family_workers_percent_of_female_employment;;;;;;;;;;;;;;;;;;;;;1.21;1.28;1.4;1.45;1.44;1.34;1.33;1.31;1.09;1.21;1.16;0.71;0.58;0.55;0.53;0.45;0.41;0.35;0.32;0.31;0.32;0.28;0.27;0.25;0.27;0.27;0.26;0.23
