geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;female_industry_workers_percent_of_female_employment;6.7589999999999995;4.2860000000000005;4.25;4.004;2.958;3.513;3.968;4.566;5.412999999999999;6.6339999999999995;7.903;6.263999999999999;6.136;7.23;6.763999999999999;6.837999999999999;7.382000000000001;7.4910000000000005;5.547999999999999;5.532;5.983;5.532;5.444;5.4879999999999995;5.659;5.559;5.524;5.494;5.456;5.412000000000001;5.353;5.287999999999999
ago;female_industry_workers_percent_of_female_employment;1.681;1.524;1.814;1.8430000000000002;1.794;1.921;1.837;1.986;1.84;1.714;1.6580000000000001;1.807;1.8159999999999998;1.786;1.547;1.524;1.389;1.295;1.453;1.232;1.1179999999999999;1.205;1.253;1.298;1.254;1.2690000000000001;1.273;1.288;1.301;1.314;1.327;1.341
alb;female_industry_workers_percent_of_female_employment;12.097999999999999;10.270999999999999;9.699;10.146;10.054;10.575999999999999;11.934000000000001;10.412;9.932;10.448;10.571;10.673;11.543;11.847999999999999;12.198;12.542;10.931;10.89;10.261;10.932;11.436;8.738;10.214;11.663;13.884;13.652000000000001;13.802;13.784;13.728;13.658;13.622;13.514000000000001
are;female_industry_workers_percent_of_female_employment;11.69;12.218;12.912;13.554;13.734000000000002;11.844000000000001;10.683;10.269;9.417;8.433;8.273;7.597;6.74;6.053999999999999;6.08;5.598;5.749;6.047999999999999;6.916;6.422000000000001;5.665;5.2139999999999995;4.627;4.484;4.482;4.378;6.808;6.702000000000001;6.638999999999999;6.566;6.474;6.3839999999999995
arg;female_industry_workers_percent_of_female_employment;19.750999999999998;18.809;16.115;14.382;14.868;12.300999999999998;11.497;10.552;10.617;10.113;10.145;9.115;11.120999999999999;10.784;10.597999999999999;10.602;10.42;10.162;9.618;9.312000000000001;9.946;9.425;8.875;8.316;8.077;8.024;7.8229999999999995;7.655;7.502999999999999;7.352;7.23;7.132999999999999
arm;female_industry_workers_percent_of_female_employment;21.24;18.273;12.02;15.349;12.589;12.43;12.444;10.755;11.376;9.916;9.039;8.852;8.992;8.322000000000001;8.725;8.171;7.803999999999999;6.499;5.37;5.814;6.367999999999999;7.518;6.507000000000001;8.045;7.523;7.476;7.731;7.983;7.771;7.593;7.479;7.36
aus;female_industry_workers_percent_of_female_employment;12.489;12.07;12.247;12.034;11.605;11.402999999999999;11.183;10.677;10.383;10.229;9.509;9.53;9.536;9.362;9.31;9.496;9.325;9.309;8.897;8.613999999999999;8.533;8.366;8.311;8.127;7.6739999999999995;7.915;7.716;7.59;7.485;7.403;7.296;7.216
aut;female_industry_workers_percent_of_female_employment;20.625;19.669;18.516;17.189;17.512999999999998;15.579;14.602;14.229000000000001;14.0;14.16;13.800999999999998;12.959000000000001;13.069;13.292;12.899000000000001;13.413;12.978;12.262;11.417;11.470999999999998;12.45;12.655999999999999;13.005;12.695;12.14;11.984000000000002;12.007;11.844000000000001;11.672;11.523;11.388;11.274000000000001
aze;female_industry_workers_percent_of_female_employment;4.905;6.876;6.997999999999999;5.707000000000001;6.23;6.066;5.647;5.7;5.055;4.702;4.796;5.237;5.922000000000001;5.857;4.752;4.119;3.886;6.16;5.643;6.162000000000001;6.167999999999999;6.188;6.011;6.1579999999999995;5.87;6.024;5.9910000000000005;5.8629999999999995;5.824;5.837999999999999;5.829;5.816
bdi;female_industry_workers_percent_of_female_employment;0.6920000000000001;0.556;0.589;0.615;0.608;0.578;0.701;0.691;0.7090000000000001;0.701;0.7090000000000001;0.705;0.754;0.772;0.87;0.7859999999999999;0.85;0.778;0.7929999999999999;0.826;0.779;0.7609999999999999;0.7659999999999999;0.775;0.7170000000000001;0.748;0.7979999999999999;0.813;0.812;0.8109999999999999;0.81;0.807
