geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;female_self_employed_percent_of_female_employment;62.731;65.125;70.633;76.238;76.127;73.794;75.464;77.003;78.413;79.783;81.206;79.988;76.14699999999999;76.587;76.477;75.804;74.979;74.363;72.45;70.632;70.068;69.084;68.58;68.737;69.221;69.419;69.497;69.477;69.446;69.413;69.361;69.308
ago;female_self_employed_percent_of_female_employment;88.851;85.318;86.00399999999999;82.32700000000001;80.726;80.609;81.419;83.102;81.69;81.209;81.46;78.672;79.46;78.62100000000001;83.561;82.633;82.166;82.589;82.956;83.36;83.436;83.273;82.80799999999999;83.206;83.255;83.64200000000001;83.705;83.696;83.68;83.65899999999999;83.63600000000001;83.61399999999999
alb;female_self_employed_percent_of_female_employment;48.281000000000006;66.747;76.332;76.86;75.845;77.942;66.027;77.10300000000001;78.532;74.878;75.337;72.669;72.73100000000001;72.42699999999999;71.56;71.105;70.502;66.303;66.289;62.505;65.04;69.958;63.111999999999995;59.165;57.438;58.007;58.253;58.178000000000004;58.129;58.105;58.032;57.975
are;female_self_employed_percent_of_female_employment;1.3730000000000002;1.315;1.3519999999999999;1.235;1.249;1.2770000000000001;1.218;1.359;1.3019999999999998;1.156;1.3719999999999999;1.331;1.205;1.193;1.3030000000000002;0.915;1.024;1.047;1.429;1.6980000000000002;1.6130000000000002;1.661;1.556;1.6219999999999999;1.4169999999999998;1.3630000000000002;1.442;1.442;1.4409999999999998;1.4409999999999998;1.4409999999999998;1.44
arg;female_self_employed_percent_of_female_employment;28.659000000000002;27.489;28.711;27.886999999999997;25.084;25.629;24.921999999999997;24.453000000000003;24.114;23.575;23.851;21.943;21.375999999999998;21.115;20.643;19.883;19.164;19.294;19.961;20.23;19.92;19.319000000000003;18.892;20.127;20.451;20.101;19.694000000000003;19.634;19.578;19.528;19.486;19.451
arm;female_self_employed_percent_of_female_employment;49.125;30.949;47.815;62.147;63.645;61.022;58.583;66.895;64.73899999999999;65.124;66.743;68.854;67.62899999999999;64.836;65.852;64.457;63.891000000000005;58.36600000000001;47.297;49.678000000000004;49.128;47.398999999999994;47.946000000000005;46.217;42.873000000000005;40.841;44.342;44.037;44.028;44.00899999999999;44.068000000000005;44.247
aus;female_self_employed_percent_of_female_employment;15.412;15.360999999999999;15.657;15.552;15.296;15.11;15.615;14.950999999999999;14.439;14.612;14.722999999999999;14.825999999999999;14.409;14.124;14.353;13.642999999999999;13.288;13.432;13.126;13.329;12.998;12.71;12.273;12.618;12.620999999999999;12.658;12.374;12.466;12.429;12.345999999999998;12.254000000000001;12.152000000000001
aut;female_self_employed_percent_of_female_employment;15.952;15.08;14.474;14.595999999999998;14.107000000000001;14.295;13.315999999999999;13.125;13.115;12.533;12.288;12.137;11.536;9.891;10.425999999999998;10.556;11.493;11.126;11.177;11.235;10.704;10.509;10.575999999999999;10.547;10.41;10.07;10.005;9.876;9.783999999999999;9.73;9.682;9.642000000000001
aze;female_self_employed_percent_of_female_employment;75.556;64.532;63.656000000000006;67.798;64.557;72.03399999999999;72.149;68.471;71.76100000000001;69.561;69.445;70.888;70.807;69.938;78.513;80.275;79.555;74.538;71.10300000000001;71.624;71.42699999999999;71.059;70.85;71.5;72.642;72.723;75.551;76.483;77.123;76.946;77.042;77.053
bdi;female_self_employed_percent_of_female_employment;98.02600000000001;98.084;98.20299999999999;97.815;97.969;98.46;97.791;97.712;97.787;97.816;97.68700000000001;97.613;97.68700000000001;97.59100000000001;97.531;97.439;96.87100000000001;97.06700000000001;97.096;97.04899999999999;97.056;97.054;96.949;96.926;97.484;97.135;97.149;97.15100000000001;97.147;97.14200000000001;97.13600000000001;97.13
bel;female_self_employed_percent_of_female_employment;15.372;16.425;15.989;15.357000000000001;16.392;15.866;15.085;15.033;16.035999999999998;13.799000000000001;13.050999999999998;13.5;12.767000000000001;11.693;12.285;11.835999999999999;11.567;10.794;11.31;10.819;10.505;10.517000000000001;10.734000000000002;10.885;11.103;10.662;10.705;10.632;10.555;10.491;10.427999999999999;10.366
ben;female_self_employed_percent_of_female_employment;96.61;96.544;96.439;96.38;96.324;96.647;96.594;96.68799999999999;96.37899999999999;96.26299999999999;96.20299999999999;96.353;96.225;96.333;96.39200000000001;96.345;96.096;95.946;95.985;95.861;95.257;95.00299999999999;94.73100000000001;94.72399999999999;95.024;94.96;94.99700000000001;94.98100000000001;94.964;94.946;94.927;94.91
bfa;female_self_employed_percent_of_female_employment;92.24700000000001;92.605;92.579;93.509;93.242;93.31200000000001;93.12;93.277;92.387;92.42399999999999;92.68;92.84200000000001;92.585;92.24;92.431;92.01799999999999;91.39200000000001;92.35700000000001;91.89200000000001;91.77;91.791;91.736;91.50200000000001;91.40100000000001;90.984;90.766;90.728;90.691;90.656;90.619;90.584;90.54799999999999
bgd;female_self_employed_percent_of_female_employment;84.928;84.544;84.29700000000001;83.92299999999999;83.939;83.71799999999999;83.56200000000001;83.337;85.294;85.111;84.87799999999999;85.105;84.927;84.88799999999999;84.428;83.92200000000001;83.335;82.838;81.994;81.54899999999999;75.23899999999999;74.604;73.74600000000001;72.991;72.331;71.35600000000001;71.157;71.054;70.955;70.859;70.764;70.67
bgr;female_self_employed_percent_of_female_employment;14.819;13.494000000000002;10.564;12.517000000000001;12.610999999999999;10.800999999999998;15.46;13.975999999999999;12.616;12.991;11.757;12.205;12.405999999999999;12.61;11.113;10.08;9.423;9.842;9.845;10.117;9.43;8.835;9.093;9.357000000000001;8.845;8.956;9.0;8.963;8.935;8.913;8.892000000000001;8.885
bhr;female_self_employed_percent_of_female_employment;1.1320000000000001;1.614;1.615;1.787;1.909;1.746;1.7919999999999998;1.574;1.58;1.7009999999999998;1.87;1.8559999999999999;1.797;1.244;1.751;1.7530000000000001;1.694;1.7269999999999999;1.788;1.725;1.911;1.784;1.7590000000000001;1.709;1.571;1.435;1.348;1.344;1.34;1.3359999999999999;1.3319999999999999;1.328
bhs;female_self_employed_percent_of_female_employment;12.009;10.738;12.338;13.419;14.402000000000001;15.325;12.690999999999999;13.052999999999999;13.498;11.827;11.805;12.948;13.01;14.425;11.790999999999999;11.779000000000002;11.759;11.872;10.07;20.101;20.182000000000002;20.230999999999998;20.409000000000002;20.506999999999998;20.282;20.249000000000002;20.261;20.24;20.229;20.229;20.224;20.219
bih;female_self_employed_percent_of_female_employment;39.541;41.637;45.168;60.556999999999995;54.223;76.693;59.283;55.743;47.983000000000004;34.676;33.953;34.027;33.632;37.469;36.874;38.126;37.806999999999995;38.247;31.9;30.378;27.976;29.833000000000002;26.730999999999998;22.296999999999997;24.372;25.44;25.636;25.625;25.614;25.575;25.564;25.581
blr;female_self_employed_percent_of_female_employment;4.066;2.889;2.363;1.9709999999999999;2.083;2.4459999999999997;2.707;2.489;2.396;2.472;2.283;2.319;2.3;2.553;2.59;2.66;2.6660000000000004;2.957;2.464;2.763;2.6430000000000002;2.5580000000000003;2.398;2.47;2.19;2.258;2.31;2.309;2.312;2.3209999999999997;2.326;2.3280000000000003
blz;female_self_employed_percent_of_female_employment;37.274;36.634;36.398;36.333;25.173000000000002;24.815;27.665;27.836;27.381999999999998;27.355;27.135;26.965999999999998;26.061;25.84;26.016;25.74;26.138;26.552;26.423000000000002;26.392;26.546999999999997;25.654;25.316;25.235;25.075;33.943000000000005;34.676;34.59;34.49;34.424;34.359;34.299
bol;female_self_employed_percent_of_female_employment;37.034;37.121;36.556999999999995;35.855;36.084;35.724000000000004;34.698;35.143;34.446999999999996;34.833;34.58;34.691;34.476;34.753;35.094;35.803000000000004;36.176;36.184;35.124;35.51;35.763000000000005;35.19;34.489000000000004;33.825;32.385;31.631;31.121;30.989;30.863000000000003;30.753;30.649;30.544
bra;female_self_employed_percent_of_female_employment;39.001;39.979;39.608000000000004;43.357;39.798;36.699;24.415;24.246;24.33;24.596999999999998;35.082;35.61;35.168;34.505;30.129;29.019000000000002;28.175;27.291999999999998;26.631;24.368000000000002;23.895;24.595;24.718000000000004;24.303;25.183000000000003;25.503;25.464000000000002;25.421999999999997;25.336;25.238000000000003;25.155;25.08
brb;female_self_employed_percent_of_female_employment;8.636000000000001;9.401;10.207;10.224;9.811;9.667;8.282;9.177;9.36;8.073;9.396;9.392999999999999;9.046;10.387;12.206;12.034;12.064;12.11;12.189;12.114;12.085999999999999;12.01;11.924000000000001;11.905;11.925999999999998;11.937000000000001;11.95;11.942;11.932;11.92;11.907;11.892999999999999
