geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;female_service_workers_percent_of_female_employment;12.964;11.770999999999999;8.53;6.445;8.474;8.295;7.952000000000001;7.681;7.41;7.104;6.865;10.206;10.835999999999999;11.829;11.825999999999999;12.780999999999999;13.686;15.675999999999998;16.29;18.835;20.485;21.631999999999998;21.898000000000003;21.906;21.932;21.820999999999998;20.763;20.868000000000002;21.066999999999997;21.177;21.480999999999998;21.77
ago;female_service_workers_percent_of_female_employment;49.903;51.783;45.236999999999995;46.325;46.74100000000001;48.36;49.441;51.486999999999995;50.324;51.348;53.114;51.626000000000005;52.465;53.806000000000004;53.006;52.215;52.508;51.461000000000006;47.382;44.356;40.882;41.081;42.343;42.602;42.753;42.49;41.13;41.31100000000001;41.7;42.221000000000004;42.836999999999996;43.42
alb;female_service_workers_percent_of_female_employment;14.056;11.167;10.185;10.318;10.741;12.868;14.45;13.761;14.914000000000001;15.934000000000001;16.408;17.497;17.653;18.867;20.355;21.476999999999997;27.243000000000002;28.154;32.519;34.958;34.251999999999995;32.62;35.871;37.874;38.32;39.076;39.257;40.558;41.666000000000004;42.771;44.00899999999999;45.028
are;female_service_workers_percent_of_female_employment;88.25399999999999;87.725;87.027;86.38600000000001;86.205;88.096;89.26;89.67299999999999;90.51899999999999;91.501;91.65700000000001;92.333;93.191;93.87299999999999;93.82799999999999;94.31;94.14;93.809;93.06;93.568;94.33200000000001;94.789;95.382;95.53;95.539;95.647;93.178;93.286;93.35;93.42399999999999;93.51799999999999;93.609
arg;female_service_workers_percent_of_female_employment;80.108;80.87;83.58200000000001;85.375;84.774;87.48200000000001;88.25;89.226;89.15899999999999;89.65700000000001;89.574;90.432;87.913;88.25200000000001;88.685;88.913;89.195;89.493;89.991;90.314;89.772;90.295;90.90299999999999;91.53299999999999;91.77600000000001;91.806;92.031;92.204;92.36;92.515;92.64200000000001;92.742
arm;female_service_workers_percent_of_female_employment;38.384;43.913000000000004;37.046;30.914;32.765;35.062;37.6;35.463;37.149;38.533;38.538000000000004;38.961999999999996;40.964;43.24100000000001;44.218999999999994;46.226000000000006;48.292;48.177;48.882;46.903;48.013999999999996;48.407;48.785;51.376999999999995;52.39;54.181000000000004;53.303999999999995;54.273999999999994;55.1;55.967;56.74;57.441
aus;female_service_workers_percent_of_female_employment;83.6;84.179;84.01;84.346;84.79700000000001;85.094;85.235;85.85799999999999;86.133;86.338;87.045;87.43700000000001;87.84200000000001;87.95700000000001;88.236;88.13799999999999;88.39;88.471;88.88600000000001;89.103;89.57799999999999;89.71799999999999;90.024;90.04299999999999;90.471;90.396;90.649;90.814;90.96600000000001;91.09;91.24799999999999;91.374
aut;female_service_workers_percent_of_female_employment;70.837;72.234;73.593;74.818;74.294;75.836;77.665;78.53699999999999;79.042;79.461;79.917;80.96;81.15100000000001;81.845;81.816;81.30199999999999;81.405;82.505;83.382;83.536;82.895;83.104;82.81200000000001;82.738;83.65100000000001;84.088;84.105;84.369;84.62100000000001;84.863;85.06700000000001;85.25299999999999
aze;female_service_workers_percent_of_female_employment;55.606;57.019;52.721000000000004;48.928000000000004;48.575;45.61600000000001;47.073;49.521;49.31;52.305;53.246;52.881;52.255;51.526;50.614;52.606;54.152;53.108999999999995;50.33;49.407;49.886;49.883;50.45;51.18;52.068999999999996;51.881;50.638000000000005;50.497;50.553000000000004;51.08;51.48;52.058
bdi;female_service_workers_percent_of_female_employment;2.8739999999999997;2.8169999999999997;2.6289999999999996;2.696;2.5669999999999997;2.3680000000000003;2.432;2.553;2.472;2.465;2.542;2.589;2.543;2.59;2.565;2.6239999999999997;2.79;2.763;2.767;2.861;2.844;2.9;2.9819999999999998;3.0180000000000002;2.805;2.855;2.7460000000000004;2.7089999999999996;2.7310000000000003;2.765;2.804;2.852
