geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;females_aged_15_24_employment_rate_percent;12.786;13.077;12.755;12.729000000000001;12.922;12.788;12.687999999999999;12.662;12.659;12.667;12.959000000000001;13.437000000000001;14.305;14.376;14.991;14.331;14.14;13.529000000000002;13.797;13.511;13.915;14.693;15.402999999999999;16.230999999999998;17.086;17.864;18.027;18.177;18.31;18.430999999999997;18.537;18.631
ago;females_aged_15_24_employment_rate_percent;25.353;25.662;25.745;25.096999999999998;24.195999999999998;24.253;24.618000000000002;24.728;24.801;24.651999999999997;24.588;23.988000000000003;24.43;24.029;27.079;30.48;33.876;37.342;41.037;44.272;47.96;47.92;47.794;47.711000000000006;47.559;46.638000000000005;45.864;45.216;44.632;44.113;43.659;43.256
alb;females_aged_15_24_employment_rate_percent;42.548;42.343999999999994;38.048;37.453;36.421;36.984;40.333;37.171;35.211999999999996;35.181;33.827;33.658;31.247;29.079;27.068;25.244;24.256;22.879;20.595;19.255;19.924;20.646;14.925999999999998;13.815;13.315999999999999;15.705;16.352999999999998;16.019000000000002;16.221;16.340999999999998;16.322;16.166
are;females_aged_15_24_employment_rate_percent;20.927;21.308000000000003;21.516;21.482;21.237;21.363000000000003;21.583000000000002;21.802;22.096999999999998;22.344;22.234;22.331;22.586;22.851;23.025;23.503;24.06;22.473000000000003;22.518;23.435;23.974;24.096;24.11;24.031;24.046999999999997;24.229;24.228;24.424;24.639;24.728;24.573;24.409000000000002
arg;females_aged_15_24_employment_rate_percent;33.7;32.373000000000005;26.636;25.087;17.533;20.105;21.616;25.086;24.235;23.344;22.644000000000002;21.089000000000002;22.497;25.816999999999997;25.599;26.997;26.752;27.208000000000002;25.889;23.625999999999998;24.941999999999997;24.166;23.854;23.23;22.926;22.105;21.694000000000003;21.714000000000002;21.613000000000003;20.956;20.412;19.97
arm;females_aged_15_24_employment_rate_percent;25.229;24.881999999999998;21.493000000000002;20.546;19.421;16.704;15.453;17.495;16.667;16.449;16.223;15.995999999999999;15.747;15.507;15.354000000000001;15.21;15.109000000000002;14.595;15.127;14.927;17.552;18.044;19.25;18.43;22.625999999999998;21.043000000000003;20.474;19.849;19.225;18.677;18.221;17.863
aus;females_aged_15_24_employment_rate_percent;55.675;54.542;54.207;56.961999999999996;59.211000000000006;59.268;57.731;58.523;59.534;60.778999999999996;60.545;60.17;61.18;61.551;62.356;62.856;63.21;63.479;60.68899999999999;59.695;60.123999999999995;59.379;58.643;57.909;58.747;58.748000000000005;58.542;58.364;58.023;57.876000000000005;57.678999999999995;57.449
aut;females_aged_15_24_employment_rate_percent;58.358000000000004;59.102;55.391999999999996;56.001000000000005;54.878;52.29600000000001;51.175;51.037;50.591;48.67;47.24;47.696000000000005;46.23;45.076;48.437;48.806000000000004;50.666000000000004;51.32899999999999;50.455;48.847;49.716;50.213;49.79;49.961999999999996;48.861000000000004;49.018;49.912;50.056999999999995;50.037;49.949;49.908;49.958
aze;females_aged_15_24_employment_rate_percent;31.480999999999998;34.719;36.95;38.333;38.811;34.497;34.202;33.594;33.162;32.263000000000005;32.510999999999996;32.744;33.004;33.403;33.453;33.891999999999996;35.181;33.698;30.243000000000002;29.069000000000003;27.165;26.975;28.271;29.063000000000002;30.589000000000002;33.286;33.016999999999996;32.047;31.025;29.967;28.883000000000003;27.813000000000002
bdi;females_aged_15_24_employment_rate_percent;81.671;80.414;79.065;77.654;76.236;74.811;73.324;71.773;70.898;69.987;69.116;68.223;67.317;66.40100000000001;65.483;64.546;63.618;62.675;61.733999999999995;60.763999999999996;59.771;58.75;57.696000000000005;56.535;56.742;56.864;56.585;56.288000000000004;55.981;55.672;55.358999999999995;55.045
bel;females_aged_15_24_employment_rate_percent;29.118000000000002;29.976;25.938000000000002;25.028000000000002;24.109;22.764;22.079;22.898000000000003;23.441;26.583000000000002;24.506999999999998;25.051;23.261999999999997;25.53;25.205;24.96;25.278000000000002;25.230999999999998;23.226999999999997;22.951;23.864;22.236;21.559;21.656;21.718000000000004;21.526999999999997;21.399;21.604;21.393;21.05;20.726999999999997;20.438
ben;females_aged_15_24_employment_rate_percent;54.672;54.585;54.919;55.25899999999999;55.592;55.924;56.251000000000005;56.57899999999999;56.902;57.224;57.544;57.847;55.972;54.108999999999995;52.275;50.461000000000006;48.684;46.964;45.313;43.826;44.37;44.196999999999996;43.985;43.756;43.513000000000005;43.336000000000006;43.068000000000005;42.794;42.513000000000005;42.222;41.923;41.61600000000001
bfa;females_aged_15_24_employment_rate_percent;71.126;70.247;69.279;68.314;67.333;66.336;65.37100000000001;64.359;63.243;62.144;60.973;59.831;58.621;56.915;55.188;56.132;53.20399999999999;51.117;49.099;47.028999999999996;45.081;43.159;41.29600000000001;39.459;39.253;39.084;38.897;38.707;38.516;38.326;38.137;37.945
bgd;females_aged_15_24_employment_rate_percent;19.951;19.827;19.78;19.835;19.996;20.104;20.066;20.076;20.067999999999998;20.01;20.205;20.369;20.581;19.621;18.738;18.577;19.515;19.558;19.371;20.482;20.546;20.604;20.524;20.465999999999998;20.409000000000002;20.172;20.182000000000002;20.195;20.211;20.230999999999998;20.259;20.293
bgr;females_aged_15_24_employment_rate_percent;27.65;28.386;26.808000000000003;26.515;27.865;27.531999999999996;25.416;24.293000000000003;20.477;18.347;21.629;20.583000000000002;20.445;20.749000000000002;20.636999999999997;22.594;23.476;25.029;23.441999999999997;21.392;18.848;18.567;18.145;17.177;16.643;16.62;17.019000000000002;16.939;16.539;16.156;15.855;15.638
bhr;females_aged_15_24_employment_rate_percent;20.250999999999998;20.508000000000003;20.913;21.37;21.784000000000002;21.558000000000003;21.309;21.303;21.570999999999998;22.033;22.258000000000003;22.212;22.385;22.599;22.744;22.745;22.746;22.688000000000002;22.59;22.58;20.430999999999997;21.578000000000003;22.543000000000003;23.514;24.465999999999998;24.904;25.044;24.679000000000002;23.938000000000002;23.108;22.82;22.928
bhs;females_aged_15_24_employment_rate_percent;39.400999999999996;35.859;38.296;36.864000000000004;39.205999999999996;35.597;35.28;38.097;37.85;37.868;39.553000000000004;37.421;33.662;34.17;34.607;37.19;35.748000000000005;36.07;30.955;30.621;30.315;29.29;26.206999999999997;28.316999999999997;29.575;27.595;27.955;28.197;28.862;28.965999999999998;28.596;27.916
bih;females_aged_15_24_employment_rate_percent;14.485;14.043;13.339;11.879000000000001;10.944;11.193;10.975;10.780999999999999;10.515;10.552;10.309000000000001;9.743;9.461;8.933;9.521;8.839;9.41;12.145;12.542;10.254000000000001;10.099;9.53;10.2;8.539;8.324;9.538;9.657;9.785;9.882;9.889;9.802999999999999;9.604
