geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
afg;females_aged_15plus_employment_rate_percent;12.687999999999999;12.811;12.724;12.724;12.649000000000001;12.697000000000001;12.574000000000002;12.5;12.456;12.423;12.644;12.776;13.405;13.581;13.921;13.512;13.263;12.922;12.94;12.885;13.302;13.981;14.659;15.422;16.202;16.892;16.999000000000002;17.099;17.189;17.273;17.349;17.419
ago;females_aged_15plus_employment_rate_percent;56.111000000000004;56.117;55.966;55.663999999999994;55.31100000000001;55.321999999999996;55.498000000000005;55.592;55.684;55.691;55.693999999999996;55.441;55.714;55.641999999999996;57.521;59.498999999999995;61.49100000000001;63.493;65.564;67.44800000000001;69.54;69.59;69.62899999999999;69.66199999999999;69.657;69.221;68.812;68.468;68.146;67.84899999999999;67.574;67.321
alb;females_aged_15plus_employment_rate_percent;40.341;40.38;38.891999999999996;38.403;37.732;37.141999999999996;37.658;37.193000000000005;36.597;36.58;36.133;37.024;37.535;38.066;38.625;39.332;40.611999999999995;40.375;37.845;39.433;40.811;42.59;38.821999999999996;38.021;39.505;40.537;40.946;40.092;39.866;39.715;39.604;39.524
are;females_aged_15plus_employment_rate_percent;28.706;29.088;29.471999999999998;30.022;30.52;30.781;31.153000000000002;31.628;32.207;32.802;32.799;33.01;33.419000000000004;33.941;34.49;35.442;36.491;35.422;36.941;37.866;38.222;38.614000000000004;38.961999999999996;39.2;39.42;39.354;39.028;38.735;38.468;38.203;37.728;37.289
arg;females_aged_15plus_employment_rate_percent;42.442;42.765;40.513000000000005;40.351;36.415;38.29;39.658;41.852;41.317;40.902;40.497;39.262;40.556999999999995;42.141999999999996;42.703;43.733000000000004;43.636;43.426;44.004;42.1;44.007;43.928000000000004;43.725;43.196000000000005;43.54600000000001;42.897;42.824;42.916000000000004;42.931999999999995;42.58;42.275;42.008
arm;females_aged_15plus_employment_rate_percent;47.695;47.816;45.284;44.658;43.74;41.369;40.169000000000004;41.743;40.856;40.417;40.0;39.548;39.185;38.925;38.625;38.437;38.302;38.234;38.732;39.054;41.88;42.526;43.1;41.84;41.32;42.082;41.928000000000004;41.955;41.881;41.782;41.637;41.464
aus;females_aged_15plus_employment_rate_percent;47.262;46.81100000000001;46.581;47.743;49.312;49.413999999999994;49.34;49.802;50.173;51.316;51.638000000000005;51.988;52.701;52.714;54.073;54.778999999999996;55.413999999999994;55.986999999999995;55.644;55.548;55.826;55.696000000000005;55.413000000000004;55.031000000000006;55.472;55.813;55.855;55.881;55.8;55.793;55.766999999999996;55.727
aut;females_aged_15plus_employment_rate_percent;42.235;43.294;43.519;46.058;46.413000000000004;45.824;45.753;46.085;46.648;46.696000000000005;46.763000000000005;47.883;48.007;46.455;47.698;48.373000000000005;49.353;50.352;50.659;51.028999999999996;51.376000000000005;51.731;51.711000000000006;51.625;51.643;51.905;52.18600000000001;52.205;52.13;52.001999999999995;51.833;51.643
aze;females_aged_15plus_employment_rate_percent;46.872;48.753;49.742;50.68600000000001;51.273;49.006;48.923;48.797;48.681999999999995;49.718999999999994;51.214;52.636;54.001999999999995;55.413999999999994;56.56399999999999;57.916000000000004;59.348;59.191;57.806999999999995;57.14;56.845;57.38;57.677;58.306999999999995;58.849;59.243;59.507;59.397;59.251000000000005;59.067;58.833999999999996;58.558
bdi;females_aged_15plus_employment_rate_percent;89.309;88.825;88.27799999999999;87.665;86.999;86.274;85.47399999999999;84.6;83.992;83.345;82.851;82.369;81.91;81.48;81.08800000000001;80.687;80.317;79.976;79.686;79.441;79.221;79.043;78.888;78.668;78.962;79.217;79.315;79.37899999999999;79.39699999999999;79.361;79.264;79.119
