geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;females_aged_25_54_labour_force_participation_rate_percent;14.565999999999999;14.626;14.689;14.713;14.735999999999999;14.833;14.665;14.504000000000001;14.389000000000001;14.315999999999999;14.26;14.487;14.777000000000001;15.078;15.357000000000001;15.61;15.275;14.948;14.692;14.575999999999999;14.636;15.173;15.889000000000001;16.736;17.641;18.552;19.294;19.359;19.423;19.486;19.549;19.613;19.676;19.739;19.8;19.861;19.923;19.983;20.043;20.104;20.164
ago;females_aged_25_54_labour_force_participation_rate_percent;87.046;86.963;86.914;86.75;86.865;87.05;87.11200000000001;87.18700000000001;87.28299999999999;87.37200000000001;87.463;87.465;87.40799999999999;87.456;87.54799999999999;87.68700000000001;87.743;87.835;87.891;87.887;87.906;87.87799999999999;87.899;87.961;88.03299999999999;88.113;88.164;88.215;88.26799999999999;88.321;88.376;88.43;88.486;88.541;88.595;88.646;88.694;88.741;88.787;88.83;88.87100000000001
alb;females_aged_25_54_labour_force_participation_rate_percent;66.46300000000001;67.69;67.96600000000001;67.582;67.281;66.874;66.653;66.987;66.752;66.45;66.311;66.15899999999999;66.085;66.465;66.858;67.252;67.593;67.922;68.245;66.148;68.469;68.982;69.46;65.733;66.9;71.61;71.685;71.77600000000001;71.862;71.933;71.982;72.008;72.01100000000001;72.00399999999999;72.007;72.035;72.08800000000001;72.172;72.286;72.417;72.556
are;females_aged_25_54_labour_force_participation_rate_percent;35.461;35.687;36.075;36.407;37.028;37.616;38.150999999999996;38.723;39.329;39.952;40.571;41.13399999999999;41.743;42.385;43.032;43.652;45.313;46.943999999999996;48.534;49.298;49.199;48.729;48.533;48.33;48.033;47.728;47.333;47.121;46.924;46.748000000000005;46.592;46.343999999999994;46.136;45.975;45.865;45.798;45.655;45.573;45.553999999999995;45.597;45.693000000000005
arg;females_aged_25_54_labour_force_participation_rate_percent;60.599;61.553000000000004;62.636;63.486000000000004;64.298;64.532;65.257;66.074;66.62;66.735;66.999;67.15100000000001;66.832;67.618;68.41199999999999;67.469;67.695;67.227;66.755;68.095;65.078;67.619;68.012;67.88;66.708;67.169;67.404;67.392;67.378;67.366;67.358;67.354;67.358;67.366;67.374;67.377;67.375;67.367;67.35600000000001;67.345;67.339
arm;females_aged_25_54_labour_force_participation_rate_percent;61.256;61.519;61.861999999999995;62.275;62.73;63.199;63.631;64.043;64.404;64.682;64.859;64.902;64.863;64.76;64.618;64.45;64.253;64.033;63.788999999999994;63.602;64.191;67.679;67.63;67.053;66.015;64.054;63.997;64.311;64.67399999999999;65.089;65.554;66.065;66.625;67.21600000000001;67.809;68.384;68.935;69.46;69.95100000000001;70.403;70.817
aus;females_aged_25_54_labour_force_participation_rate_percent;66.801;67.082;67.315;67.15899999999999;67.767;69.024;69.023;69.315;69.314;69.378;70.467;71.143;71.584;72.50399999999999;71.861;73.681;74.209;74.778;75.391;75.553;75.15100000000001;75.639;75.554;75.792;75.855;76.548;76.845;77.057;77.27;77.485;77.706;77.932;78.164;78.4;78.64;78.881;79.123;79.365;79.605;79.845;80.087
aut;females_aged_25_54_labour_force_participation_rate_percent;63.81100000000001;64.85600000000001;66.94;68.865;71.696;73.36399999999999;73.76;74.185;75.345;76.266;76.79899999999999;76.97399999999999;79.247;79.733;78.656;79.461;80.116;80.536;80.94800000000001;82.057;82.36399999999999;83.215;84.01299999999999;84.531;84.53200000000001;84.38600000000001;84.914;85.139;85.365;85.59700000000001;85.838;86.086;86.34299999999999;86.604;86.867;87.13;87.39399999999999;87.66;87.927;88.19200000000001;88.455
aze;females_aged_25_54_labour_force_participation_rate_percent;70.35600000000001;70.528;71.178;72.035;72.858;73.392;73.492;73.425;73.23;73.079;75.05199999999999;76.89399999999999;78.60300000000001;80.183;81.64399999999999;82.995;84.23700000000001;85.375;84.816;84.036;83.00200000000001;81.707;82.634;83.029;82.787;83.01700000000001;82.949;82.978;83.01799999999999;83.087;83.2;83.35700000000001;83.57;83.838;84.156;84.51700000000001;84.91799999999999;85.361;85.836;86.323;86.807
bdi;females_aged_25_54_labour_force_participation_rate_percent;96.39299999999999;96.375;96.35600000000001;96.336;96.315;96.294;96.26700000000001;96.24;96.208;96.204;96.186;96.15299999999999;96.11200000000001;96.066;96.021;95.978;95.94;95.904;95.868;95.834;95.801;95.765;95.73200000000001;95.704;95.682;95.63600000000001;95.609;95.605;95.60700000000001;95.61399999999999;95.626;95.64399999999999;95.665;95.686;95.704;95.71700000000001;95.72399999999999;95.727;95.72399999999999;95.715;95.699
bel;females_aged_25_54_labour_force_participation_rate_percent;60.701;63.016000000000005;64.209;66.288;67.086;68.01100000000001;68.749;69.571;70.309;72.722;72.985;70.62;71.842;72.965;74.192;76.773;76.961;78.035;78.983;79.242;80.408;78.74;79.156;79.741;80.58;80.21300000000001;79.861;80.14699999999999;80.437;80.72800000000001;81.02;81.312;81.604;81.89699999999999;82.189;82.477;82.762;83.045;83.323;83.598;83.867
ben;females_aged_25_54_labour_force_participation_rate_percent;61.563;61.555;61.583;62.757;63.919;65.068;66.203;67.321;68.422;69.502;70.561;71.598;72.613;74.63600000000001;76.547;78.346;80.03399999999999;81.611;83.079;84.44200000000001;85.704;83.416;83.609;83.865;84.131;84.35600000000001;84.56299999999999;84.926;85.29;85.655;86.021;86.387;86.755;87.125;87.495;87.868;88.24;88.615;88.991;89.366;89.742
bfa;females_aged_25_54_labour_force_participation_rate_percent;84.367;84.34;83.444;82.508;81.531;80.514;79.455;78.35600000000001;77.215;76.031;74.805;73.535;72.225;70.875;69.487;68.064;66.607;67.002;67.393;67.782;68.17;68.557;68.943;69.329;69.711;69.92;70.13600000000001;69.905;69.673;69.439;69.204;68.968;68.73;68.49;68.247;68.0;67.752;67.5;67.248;66.995;66.742
