geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
abw;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.54;;;;;;;;;;;;;;;;4.96;;;9.27;;;;;;;
afg;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4183;;;;2.5903;;;;;
ago;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.7262;;;;;;;4.8229;;;;;;
aia;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.53;;;;;;;;;;;;;;;;
alb;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.3902;12.1582;13.5844;13.6877;13.6118;11.2531;13.2185;14.59;16.086560000000002;;
ant;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.54;;;;;;;;;15.2;15.86;16.79;18.05;;15.32;;;;15.49;17.3;15.8;14.53;11.57;10.19;;9.89;;;;;;
are;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.27;;;9.62;;;;;;;;3.41;6.1273
arg;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;12.1;10.5425;9.3991;;7.9359;7.7948;6.9704;6.9411;7.4487;6.3747;6.6056;;;7.3721
arm;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.79;;18.39;19.3057;17.5695;17.58;17.6185;18.0373;19.8407;16.784000000000002;
asm;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.09;;;;;;;;;;;;;;;;;;;;;;;;;;;
atg;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.89;;;;;;;;;;;;;;;;
aus;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.2899;5.0521;5.0036;5.9275;7.6385;6.8656;6.4039;6.4078;6.4146;6.0059;5.1942;5.3896;7.0033;7.6921;7.9615;7.3257;6.2078;6.445;6.4333;5.7957;5.3064;4.9126;5.1767;5.0061;4.8736;4.3622;4.1153;3.9885;3.9052;3.9109;4.5654;4.3955;4.369;4.3567;4.6982;5.1339999999999995;5.2281;4.9674;4.7995
aut;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.74;4.3;2.97;3.33;2.58;3.64;3.73;3.34;3.55;6.5;3.68;4.48;3.7910000000000004;4.7888;5.0987;5.0266;5.1987;4.5884;4.3625;3.7991;4.2791;3.991;4.9372;5.2711;5.1473;4.7057;3.8456;4.4916;4.1655;4.0783;4.3148;4.8045;5.0068;4.8759;5.12;4.7413
aze;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.48;;;;;;;;4.28;4.5;5.37;5.91;5.38;4.98;4.97;4.87;4.92;5.09;4.97
bdi;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;1.07;;;5.0
bel;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.2538;15.6882;15.3418;16.2216;15.4246;13.7969;12.005999999999998;10.3056;9.8094;8.801;9.8694;11.1866;11.0794;11.3115;10.1981;10.7005;8.9667;7.3924;6.1328;7.2037;7.4141;7.3511;8.39;8.1193;7.3634;6.6006;6.8835;7.4599;6.3238;6.5993;7.1754;6.9694;7.1388;6.8741;6.215
ben;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;;;;;;;;;;;;;;;;0.39;;;;;;;;0.84;2.267;;;;;;
bfa;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;8.7154;;;
bgd;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.48;;;0.3;;;;;;;0.9;;;;0.79;;;4.56;;;4.6191;;;;2.9684;;;7.0488;;;6.21;4.8519
bgr;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.6565;16.7599;15.9687;12.2917;10.7207;8.9633;8.3426;6.4633;5.1816;5.9655;8.8239;9.3717;9.9753;10.9312;9.5476;7.7609;6.5794;5.7991
bhr;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.15;;;;;;;;;;6.38;;;;;;;;;2.49;2.72;2.62;;;;;
bhs;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.55;;;;;;;;7.06;;;;;8.65;;9.13;;6.97;7.77;11.84;;12.2;;;;;;
bih;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.48;29.27;29.9;6.86
blr;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.67;
blz;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.86;;;11.1;10.3;
bmu;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;;;;;;;;;1.55;5.44;;5.22;;6.31;;;
bol;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.82;11.95;;11.43;10.8;;0.98;;;3.16;;;;;;;;;;5.7203;5.2841;4.5772;2.7141;3.2961;;1.8863;2.6955;2.9037;2.2279;3.4773;3.7231;3.676
bra;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.19;;;;;5.9022;7.1722;8.2303;9.1817;10.0523;;9.2941;8.8044;9.4711;8.9634;9.2716;8.4743;8.7458;7.678;8.9041;;7.4061;6.9958;6.9068;6.2633;7.8093;10.4588;11.6316
brb;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.11;16.45;18.16;15.98;;;21.41;;;18.8;;15.51;;;;;;10.11;;;;;;8.53;9.48;;;10.12;11.0;9.55;8.81;
brn;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0539;;;7.2687
btn;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;;;;2.5;2.28;3.62;1.41;3.03;2.96;1.79;;
bwa;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.58;;;;;;11.22;;;;;18.93;;;;;;;;;;16.66;;;16.6583;18.5;;;;;;;
can;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8589;7.642;8.1203;7.2983;6.8124;7.0954;9.137;9.9659;10.1683;9.6574;8.8322;8.4701;7.7163;7.4588;7.5579;9.0366;9.2828;9.9336;9.0335;8.3007;8.4766;7.6991;6.9252;6.3328;5.7785;6.0371;6.2461;6.3246;5.8869;5.6861;5.2375;4.7553;4.7605;6.102;6.3933;6.0329999999999995;5.7673;5.5919;5.4493;5.4322;5.388;5.1703
che;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.67;2.642;3.605;4.604;4.181;3.977;4.2421;4.2123;3.9241;3.2692;3.0985;3.355;3.2189;4.0416;4.585;4.6445;4.476;4.1565;3.5942;4.1179;4.9312;4.4783;4.4668;4.6506;4.8249;4.6427;4.9369;5.0965
chl;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.12;12.11;;7.36;;5.18;3.98;7.26;3.96;5.1718;3.77;6.0867;3.8;7.002999999999999;6.789;6.902;10.177999999999999;9.416;9.496;9.13;9.237;10.529000000000002;9.823;9.754;8.652000000000001;9.657;11.245;8.9247;7.6422;7.2078;6.0527;5.9959;6.4252;6.6574;6.9801
civ;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8228;4.7054;;;3.1291;
cmr;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4022;;;4.58;;;;3.7868;;;
cod;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9291;;;;;;;3.1598;;;;;
cog;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.3388;;;;;;;;;;;;
cok;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.92;;;;;;;;;;;;;;;;;;;;6.99;;;;;;
col;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.33;8.13;;;;;8.13;4.24;;;9.77;;;;;15.712;16.116;15.058;14.45;12.481;;12.255999999999998;12.029000000000002;13.130999999999998;11.657;10.7401;10.5792;9.6551;9.1608;9.1352;9.6667;9.9994
com;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4149;;;;;;;;;;;;;
cpv;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.76;;;;;;;;;;;;;;;;;;;;;;;;;31.7045;;
cri;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.986;4.43;3.84;3.295;3.718;3.99;5.91;4.744;4.738;5.367000000000001;4.162;4.978;5.093;5.324;5.7379999999999995;6.337999999999999;5.454;4.599;4.449;7.336;6.6992;9.9285;8.8464;7.6341;8.3679;8.8804;8.4328;8.5477
cub;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;2.46;;;;;;;
cym;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.96;3.65;3.21;;4.61;4.26;4.01;5.01;3.33;5.07;;
cyp;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.54;;;;;;;;6.6562;4.7815;3.6167;4.2233;5.0422;5.5862;4.9263;4.1363;3.5952;4.5369;5.3048;6.4326;9.7505;13.3655;12.8646;13.1973;11.9935;10.8786
cze;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;;4.459;4.372;4.122;4.002;4.8125;6.8129;9.3365;9.9809;9.0092;8.1176;9.1726;9.1719;9.3436;8.3206;6.6856;5.435;7.3125;7.997000000000001;7.5531;7.7851;7.8802;7.1389;5.779;4.4575;3.4328
deu;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.847;7.7623;8.0295;8.0655;8.0558;8.1016;7.67;6.2516;6.4489;8.4176;9.4349;10.3054;9.4249;9.0867;9.8921;9.7234;8.6768;7.6169;7.3739;7.9306;9.0515;9.7887;10.1996;9.481;8.1372;7.1552;6.8922;6.1209;5.1777;4.879;4.6178;4.3788;4.0321;3.5418;3.1115
dma;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.67;;;;;;;;;;17.7;;6.45;;;;;;;;;;;;;;;;
dnk;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.5555;8.9637;8.9224;7.6293;6.5423;6.9599;8.0004;8.4355;9.5057;9.2398;10.4586;9.0068;7.5553;7.6196;5.7323;6.0956;4.9366;4.6708;4.098;4.2157;5.5592;5.0955;4.5397;3.9969;3.582;2.8092;4.6061;5.8544;6.9353;6.8019;6.8729;6.4253;6.1069;6.3592;5.5227
dom;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.17;;;8.0824;7.3368;5.0051;5.3499;5.5482;5.5092;6.6271;7.7214;7.8629999999999995;8.4015;9.3559;8.7112;
dza;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.1;15.69;;13.01;12.39;;;;
ecu;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.03;;;;;;11.2;9.21;11.58;;5.053999999999999;3.7817;11.16;4.9992;4.3768;3.8694;3.2738;3.3960000000000004;3.9174;5.1624;4.0564;3.5718;3.1228;2.8422;3.2989;3.7924;5.0497;4.4202
egy;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.27;11.51;;;17.11;;;;11.53;9.69;8.4296;13.41;13.7975;15.8487;17.8229;18.9257;19.8813;20.962;19.3787;
esp;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.47;3.67;4.57;5.91;7.37;10.06;11.57;13.67;16.01;16.6493;20.4382;21.9366;21.0543;20.8095;20.4868;22.6691;25.9497;28.838;27.8182;26.6903;25.337;24.4034;20.9549;18.7834;13.5738;14.6064;14.5557;13.7933;10.6791;10.2681;9.4886;11.58;16.5765;18.9201;20.5037;23.5561;25.2187;24.0644;22.4085;20.3402;18.2019
est;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.638;1.354;3.072;6.183;7.727;8.338;8.967;9.6876;9.0525;9.9387;11.9706;11.5904;7.5295;8.9627;8.1342;6.8185;5.4021;4.1703;4.8239;9.6854;12.7346;11.4979;9.2017;8.2171;7.1879;5.8174;5.6275;5.3377
eth;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.1458;;;;;;2.8075;;;;;;;;2.4176;;;;
fin;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.38;3.63;3.42;3.87;;3.64;;3.42;3.62;3.15;1.94;1.504;3.6519999999999997;7.626;12.03;12.513;13.2778;12.1191;12.1842;10.1956;9.2227;8.8275;7.6;7.1981;6.6069;7.7357;7.1845;6.6113;5.7864;5.4276;6.1195;6.2112;5.5971;5.6152;6.2592;6.5571;7.5205;7.3528;6.8824
fji;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1098;;;;;;2.6581;;;5.65;;2.7358;
flk;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;
fra;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.3591;8.3783;9.1528;9.3832;10.8766;10.6157;11.0144;10.5515;10.1045;11.3321;11.8038;13.0109;12.5432;13.0685;13.0139;12.886;12.7238;11.4019;9.7103;8.9783;8.5596;9.0361;8.4018;8.027999999999999;7.2205;6.6653;7.7252;7.9246;8.1012;8.4027;8.7267;9.1751;9.0102;8.9843;8.8172
gab;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.32;;;;;;;;;;;;;;;;;28.6;;;;;;;
gbm;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.63;;;;;2.2;;;;;1.33;
gbr;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.7929;8.2382;9.6341;9.3617;9.3706;7.8338;6.6437;6.0667;6.4985;6.7618;6.6619;6.4327;6.0823;5.6228;4.9168;4.5692;4.3808;4.0432;3.5505;3.7933;3.2910000000000004;3.3873;3.2689;3.8863;3.8256;3.9531;5.0936;5.4573;5.8929;6.0129;5.5344;4.6421;4.1279;3.8556;3.3918
geo;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.5;12.7;13.41;12.77;12.17;13.79;15.31;;14.3;18.53;17.15;15.79;14.3;16.2;14.72;12.37;11.94;10.94;
gha;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.5;;8.25;;;;;;3.9808;;;;4.46;;;1.8945;;5.6473;;
gin;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4488;;;;;;;;;;;;;;;
glp;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.95;;;;;;;;;;;;;;;;;;
gmb;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.9092;;;;;
grc;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.17;4.56;8.5707;9.0024;8.69;8.1914;8.1591;9.1309;9.1304;8.5642;9.6006;9.9139;10.5093;10.6932;10.8743;12.3142;11.9314;13.9784;15.4853;14.9693;13.9801;13.6668;12.8979;14.3894;14.3401;12.525;12.0209;10.884;12.413;15.5198;20.6483;27.1488;30.857;29.7635;28.6908;28.0575;25.6334
grd;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.2;;;30.29;;20.17;;17.39;;;;;;;;;;;;;;;;;;;
gtm;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.8869;2.0293;;;;;;3.128;4.1097;2.6321;3.2027;1.8354;1.5190000000000001;2.3075;
guf;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.61;;;;;;;;;32.84;;;;;;;;;;;;;;;;;;
gum;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.24;;;;;;;;;;;;;;;
guy;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.32;;;;;;;;;;;;;;;10.18;;;;;;;;;;;;;;;
hkg;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.46;1.32;0.94;0.79;0.64;0.76;1.08;1.39;1.42;1.22;2.32;1.76;1.59;3.05;;3.07;3.01;5.02;5.43;4.98;3.83;3.07;2.8;2.52;3.66;2.81;2.34;2.33;2.47;2.51;2.6;2.6;
hnd;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.6769;2.9293;3.4866;2.6272;3.0454;4.0166;4.5447;3.5711;4.1238;6.0551;4.6698;3.7676;
hrv;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.32;;;;;;;;;;18.95;15.3626;13.9691;13.8347;12.6769;11.9207;10.2548;9.3941;9.9233;11.1965;12.8785;14.8736;15.5214;16.6933;15.6083;12.9972;11.0358
hti;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.9;;;;;;;;;;;;;;
hun;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.85;8.9;8.077;7.6610000000000005;7.8773;7.0347;7.1821;5.6742;5.2885;4.4665;4.6473;4.8866;5.4062;6.7856;7.3563;7.2942;7.3848;9.0429;10.1253;10.4444;9.7082;9.1518;7.1519;6.5561;4.5401;4.0164
idn;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.24;3.2237;3.8557;3.6956;4.1283;4.36;4.8468;4.7924;6.7455;5.7447;4.0322;4.0374;3.097;2.7494;2.0238;1.6751;2.2393;1.8090000000000002;2.0164
ind;females_aged_25_54_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2770000000000001;;;;;;1.2715;;;;;2.7939;;;;;2.08;;2.3437;;;;;
