geo;indicator;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
afg;females_aged_65plus_labour_force_participation_rate_percent;3.8560000000000003;3.8960000000000004;3.9410000000000003;3.9960000000000004;4.061;4.143;4.154;4.1419999999999995;4.1160000000000005;4.08;4.039;4.018;3.992;3.964;3.9330000000000003;3.897;3.923;3.9389999999999996;3.9530000000000003;3.9819999999999998;4.033;4.105;4.186;4.265;4.329;4.37;4.438;4.452;4.467;4.482;4.497;4.511;4.526;4.541;4.556;4.57;4.585;4.6;4.615;4.629;4.644
ago;females_aged_65plus_labour_force_participation_rate_percent;56.95;56.961999999999996;56.86;56.536;56.464;56.433;56.501999999999995;56.516999999999996;56.501999999999995;56.441;56.373000000000005;56.38399999999999;56.277;56.263999999999996;56.29;56.368;56.538999999999994;56.702;56.788999999999994;56.775;56.76;56.79;56.802;56.805;56.775;56.714;56.629;56.673;56.717;56.76;56.803999999999995;56.847;56.891000000000005;56.934;56.978;57.021;57.065;57.108000000000004;57.152;57.196000000000005;57.239
alb;females_aged_65plus_labour_force_participation_rate_percent;10.232999999999999;14.091;15.064;13.700999999999999;12.626;11.182;10.282;11.338;10.429;9.283999999999999;8.743;8.146;7.86;6.765;5.813;4.988;4.274;3.659;3.1289999999999996;2.73;2.714;4.957;8.884;6.5729999999999995;5.7;5.346;5.2410000000000005;5.138999999999999;5.037;4.935;4.833;4.732;4.63;4.5280000000000005;4.426;4.324;4.223;4.121;4.019;3.917;3.815
are;females_aged_65plus_labour_force_participation_rate_percent;1.3319999999999999;1.492;1.59;1.757;1.74;1.723;1.716;1.642;1.8219999999999998;1.92;1.758;2.021;2.258;2.28;2.366;2.79;2.266;1.838;1.49;1.9980000000000002;2.24;2.217;2.073;1.952;1.869;1.776;1.7280000000000002;1.7209999999999999;1.714;1.7080000000000002;1.7009999999999998;1.694;1.6869999999999998;1.681;1.6740000000000002;1.6669999999999998;1.661;1.6540000000000001;1.6469999999999998;1.641;1.6340000000000001
arg;females_aged_65plus_labour_force_participation_rate_percent;6.896;7.358;7.92;8.408999999999999;8.892000000000001;9.062000000000001;9.452;9.876;10.122;10.078;10.076;9.954;9.531;9.711;9.916;11.122;11.082;9.879;8.794;9.618;8.676;9.11;8.321;8.167;8.868;8.965;8.932;8.804;8.675;8.547;8.419;8.291;8.162;8.033999999999999;7.906000000000001;7.778;7.649;7.521;7.393;7.265;7.136
arm;females_aged_65plus_labour_force_participation_rate_percent;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;18.819000000000003;17.95;19.824;19.523;18.951;18.143;17.817999999999998;17.469;17.185;17.192;17.159000000000002;17.127;17.095;17.062;17.03;16.998;16.965;16.933;16.901;16.869;16.836;16.804000000000002;16.772000000000002;16.739
aus;females_aged_65plus_labour_force_participation_rate_percent;2.42;2.52;2.27;2.16;2.4;2.6;2.68;2.88;3.0;3.03;3.04;3.16;3.38;3.25;3.5;4.17;4.26;5.02;5.37;5.97;6.82;6.95;7.75;7.95;8.31;8.54;9.02;9.195;9.371;9.546;9.721;9.897;10.072000000000001;10.247;10.423;10.597999999999999;10.773;10.949000000000002;11.124;11.299000000000001;11.475
aut;females_aged_65plus_labour_force_participation_rate_percent;2.0;1.4;1.2;1.3;2.73;2.61;2.26;2.09;2.19;1.97;1.87;1.94;1.85;1.74;1.32;1.64;2.08;2.83;2.98;3.3;3.48;3.44;3.48;3.35;3.47;3.64;3.51;3.6630000000000003;3.8169999999999997;3.97;4.124;4.277;4.431;4.584;4.738;4.891;5.044;5.1979999999999995;5.351;5.505;5.6579999999999995
aze;females_aged_65plus_labour_force_participation_rate_percent;6.2410000000000005;6.3420000000000005;7.7860000000000005;9.831;12.15;13.85;13.812000000000001;13.203;12.17;11.48;9.54;7.899;6.519;5.367000000000001;4.409;3.615;2.9589999999999996;2.42;2.591;2.7739999999999996;2.969;3.177;3.4;3.3;2.6;4.9;5.4;5.164;4.928999999999999;4.6930000000000005;4.458;4.2219999999999995;3.987;3.7510000000000003;3.516;3.28;3.045;2.8089999999999997;2.574;2.338;2.103
bdi;females_aged_65plus_labour_force_participation_rate_percent;73.86;73.1;72.325;71.53699999999999;70.736;69.922;69.095;68.255;67.403;66.737;66.064;65.384;64.697;64.005;63.306999999999995;62.603;61.894;61.178999999999995;60.46;59.736000000000004;59.008;58.277;57.541000000000004;56.802;56.06;56.06399999999999;56.07899999999999;55.798;55.516999999999996;55.236000000000004;54.955;54.673;54.391999999999996;54.111000000000004;53.83;53.549;53.268;52.986999999999995;52.705;52.424;52.143
bel;females_aged_65plus_labour_force_participation_rate_percent;0.57;0.48;0.66;0.88;0.68;0.97;0.86;0.65;0.59;0.89;1.14;0.66;0.65;1.0;0.47;1.02;1.01;0.9;0.97;0.71;1.22;1.06;1.1;1.36;1.18;1.36;1.18;1.2309999999999999;1.2819999999999998;1.3319999999999999;1.383;1.4340000000000002;1.485;1.536;1.5859999999999999;1.6369999999999998;1.6880000000000002;1.739;1.7890000000000001;1.84;1.891
ben;females_aged_65plus_labour_force_participation_rate_percent;40.65;40.656;40.63;41.24;41.853;42.468;43.086000000000006;43.705;44.327;44.951;45.576;46.202;46.83;47.033;47.236000000000004;47.43899999999999;47.643;47.846000000000004;48.049;48.253;48.456;48.66;48.608000000000004;48.563;48.501000000000005;48.395;48.321999999999996;48.48;48.638000000000005;48.797;48.955;49.114;49.272;49.43;49.589;49.747;49.906000000000006;50.06399999999999;50.222;50.381;50.538999999999994
bfa;females_aged_65plus_labour_force_participation_rate_percent;37.617;37.707;37.696;37.686;37.635;37.601;37.676;37.685;37.681;37.667;37.602;37.639;37.635999999999996;37.647;37.619;37.616;37.65;36.762;35.883;35.013000000000005;34.153;33.303000000000004;32.464;31.636;30.82;30.755;30.701999999999998;30.475;30.249000000000002;30.023000000000003;29.796;29.57;29.344;29.116999999999997;28.891;28.665;28.438000000000002;28.212;27.986;27.759;27.533
bgd;females_aged_65plus_labour_force_participation_rate_percent;10.049;10.184;10.287;10.37;10.443;10.52;10.927999999999999;11.335999999999999;11.744000000000002;12.147;12.546;12.98;13.352;13.682;13.999;14.324000000000002;14.84;14.388;13.948;13.519;13.100999999999999;12.695;12.299000000000001;11.914000000000001;11.539000000000001;11.174000000000001;10.82;10.773;10.725999999999999;10.677999999999999;10.630999999999998;10.584000000000001;10.537;10.489;10.442;10.395;10.347999999999999;10.300999999999998;10.253;10.206;10.158999999999999
bgr;females_aged_65plus_labour_force_participation_rate_percent;2.798;2.957;3.1;2.892;2.697;2.515;2.345;2.186;2.0380000000000003;1.899;1.77;1.52;1.81;2.29;1.86;1.43;1.46;1.56;2.12;1.86;1.63;1.57;1.87;2.18;2.57;2.73;2.86;2.858;2.8569999999999998;2.855;2.8539999999999996;2.852;2.8510000000000004;2.8489999999999998;2.8480000000000003;2.846;2.845;2.843;2.842;2.84;2.838
