geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;flood_affected_annual_number;0;0;250200;0;0;0;80050;0;271800;0;30000;0;0;0;0;0;0;0;161000;0;0;140600;4600;0;0;7527;9925;20820;330;500;0;0;5626;3889;4516;18610;33260;30550;1180
ago;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;0;0;0;0;79060;39990;8;840;333700;10000;225;46100;81410
aia;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alb;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35010;0;0;3504;0;8000;0;0;0;0;66880;0;2500;503;0;0;0
arg;flood_affected_annual_number;36;0;0;0;0;0;0;2500;1600;20000;40040;0;50000;6080000;0;1206000;204000;12000;4600000;0;2021;0;88120;0;0;2500;0;12500;360000;0;37850;251300;12010;163000;6312;0;4500;135000;85000
arm;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7004;144;0;0;0;0;0;1;0;0;0;0
asm;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
aus;flood_affected_annual_number;0;27;0;12010;14;0;10000;0;7;0;0;2;0;0;36;0;8;0;16;9;6012;0;0;20530;0;0;13230;400;15200;0;600;4005;0;471;3623;3003;1100;5009;4205
aut;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;5;0;0;0;2;0;3;0;3;0;0;60010;0;0;904;516;0;0
aze;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1659000;0;75010;0;0;0;0;0;31500;0;0;0;0;0
bdi;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3612;0;0;0;0;0;0;0;0;0;0;500;0;8000;0;10000;5000;14830;25710;3284
bel;flood_affected_annual_number;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;135;0;0;0;141;0;0;0;2402;0;0;210;0;0;0
ben;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;580000;0;0;475100;0;0;84000;0;0;3;0;0;34000;123000;148700;51000;420000;57470;0;0;0;0;0;0;0;10890;158200
bfa;flood_affected_annual_number;0;0;0;0;0;0;0;900;0;0;0;0;0;0;1500;572;0;0;33340;0;0;0;0;0;66520;0;0;0;0;1566;0;0;0;12120;0;0;25610;121100;4876
bgd;flood_affected_annual_number;10000000;0;50;427;38030000;0;4000000;213700;400000;0;10000000;0;308000;7160000;30000000;500000;400000;29700000;45000000;200200;2012000;2990000;75220;15750000;395200;14720000;5828000;900100;15000000;495600;2679000;700000;1500000;550300;36870000;1150000;211800;13850000;617900
bgr;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;1;0;0;12240;0;1082;0
bhs;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bih;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000;0;0;278000;3100;0;0;0
