geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
afg;flood_deaths_annual_number;0;0;150;0;0;0;51;0;120;0;0;0;0;0;0;0;0;0;0;0;0;1193;600;0;0;27;70;70;30;0;0;0;81;136;16;295;282;296;0
ago;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;57;8;15;28;0;0;105;7
aia;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alb;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;4;0;0;0;0;0;0;1;0;0;3;0;0;0
arg;flood_deaths_annual_number;36;0;0;0;0;0;0;0;0;0;41;0;0;0;0;37;3;0;25;0;21;0;45;0;0;0;0;0;19;0;13;1;8;27;5;0;0;10;0
arm;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0
asm;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
aus;flood_deaths_annual_number;0;27;0;12;14;0;0;0;7;0;0;2;0;0;36;0;8;0;16;9;12;0;0;1;0;0;5;0;20;0;0;4;0;1;3;3;0;9;5
aut;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;5;0;0;0;2;0;3;0;3;0;0;9;0;0;4;0;0;0
aze;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;11;0;0;0;0;0;0;0;0;0;0;0
bdi;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;5;9
bel;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
ben;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;3;0;0;0;20;11;0;0;3;0;0;0;0;0;0;0;10;15
bfa;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;22;0;0;0;0;6;0;0;0;0;0;0;0;52;6
bgd;flood_deaths_annual_number;0;0;50;427;28700;0;168;13;17;0;655;0;0;245;1200;34;30;2280;2440;180;231;265;17;194;116;741;55;79;1050;196;43;9;10;252;761;55;0;1230;28
bgr;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;39;0;12;0
bhs;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bih;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
blr;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
blz;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
bol;flood_deaths_annual_number;0;0;0;0;31;0;0;10;40;0;0;0;0;250;0;0;29;25;0;0;0;0;4;0;0;0;0;56;0;0;30;41;76;74;0;0;25;115;0
bra;flood_deaths_annual_number;172;239;0;20;205;118;0;62;26;300;67;97;0;143;263;101;28;107;655;137;24;20;107;0;0;110;15;90;13;7;48;85;17;255;35;47;20;69;200
brb;flood_deaths_annual_number;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
btn;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;200;0;0;0;0;0;0;0;0
bwa;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;20;0;0;0;0;3;0;0;0;0;0;0;0;0
caf;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;1;0;1;0
can;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;8;0;0;0;0;0;10;4;3;0;0;0;0;4;0;4;1;0;0
che;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;6;0;1;0
cheslo;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chl;flood_deaths_annual_number;0;0;0;0;32;0;0;0;4;0;0;0;0;0;0;0;23;127;0;21;0;0;0;109;0;28;0;22;0;0;16;4;19;0;3;5;18;0;9
chn;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;6303;2315;447;100;31;1216;313;219;1243;2000;495;1861;540;1231;1564;1618;4091;1090;4250;1185;422;402;1246;662;450;578;430;1030;352
civ;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;6
cmr;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;6;0;0;0;0;24;3;30;0;0;0;2;0;8;9
cod;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;39;0;0;0;0;2;0;50;40;1;0;0;1;32;15
cog;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;6;0;0
col;flood_deaths_annual_number;407;51;0;9;0;0;47;0;0;62;40;150;90;0;0;0;13;21;120;16;10;0;0;63;37;69;12;2;0;41;113;0;65;56;115;180;150;218;89
cri;flood_deaths_annual_number;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;1;0;9;2;0;6;0;0;9;0;0;10;1;2;5;0;19;7
cub;flood_deaths_annual_number;0;0;0;0;0;0;0;7;0;0;0;0;0;15;0;0;0;0;23;0;4;0;0;46;12;0;3;0;0;0;2;0;0;0;0;0;2;0;0
cze;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;29;6;0;0;0;18;0;0;1;6;0;0
deu;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;7;0;0;27;0;0;1;0;1;0
deu_west;flood_deaths_annual_number;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dji;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;10;0;0;0;0;145;0;0;0;0;0;0;0;0;0;51;0;0;0;0
dom;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;32;0;20;0;0;0;12;0;0;0;0;0;10;0;30;0;0;3;0;0;0;0;0;3;10;688;3;0;12;0
dza;flood_deaths_annual_number;0;0;0;21;11;0;0;0;0;0;0;43;37;0;54;26;0;0;0;0;0;0;21;22;40;0;4;4;0;12;44;921;48;41;22;12;1;82;89
ecu;flood_deaths_annual_number;20;0;0;0;0;0;0;0;0;0;0;0;307;0;0;0;0;0;0;35;0;0;22;0;0;0;0;245;0;0;34;58;31;0;0;0;16;0;41
egy;flood_deaths_annual_number;0;0;0;0;0;15;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;600;7;12;4;0;0;0;0;18;0;0;0;0;0;0
eri;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
esp;flood_deaths_annual_number;0;0;0;500;0;0;0;0;2;20;0;0;77;45;0;0;0;5;0;12;0;0;0;0;10;0;1;5;0;0;24;0;6;0;0;0;0;5;0
eth;flood_deaths_annual_number;0;0;0;0;0;0;0;7;9;0;0;0;0;0;0;9;0;0;45;0;0;0;0;2;4;27;40;326;0;48;69;5;22;119;0;211;951;17;45
fin;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fji;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;10;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;6;0
fra;flood_deaths_annual_number;0;0;0;0;0;0;0;26;3;0;6;0;0;18;0;0;0;23;10;0;0;0;3;4;13;0;4;0;0;36;5;3;23;10;0;3;0;0;0
fsm;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gab;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gbr;flood_deaths_annual_number;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;1;5;0;0;0;1;0;0;0;0;14;8
geo;flood_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;1;0;0;0;0
