geo;indicator;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
abw;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;8.138;8.148;8.185;8.267999999999999;8.37;8.507;8.624;8.606;8.415;8.134;7.694;7.316;7.337000000000001;7.855;8.668;9.761000000000001;17.7;20.24;12.2;1.9780000000000002;3.4989999999999997;-0.188;0.6251;2.187;-1.8219999999999998;-1.551;6.077000000000001;5.5889999999999995;-0.00318;2.677;-2.878;-5.082;-2.588;4.615;-0.7787;-1.296;0.8683;-4.842;-7.83;-6.422000000000001;8.197000000000001;;;;;;;;
afg;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.3251;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;0.4628;1.246;1.655;4.287;0.308;0.1294;2.53;-1.9369999999999998;3.5189999999999997;0.7636;1.433;-1.2830000000000001;-0.4966;-0.4286;-0.3741;-0.1237;-1.3730000000000002;0.3099;1.062;-0.8827;-0.5139;-7.155;-4.3580000000000005;8.582;2.75;2.5269999999999997;2.333;-9.245;5.212999999999999;-2.178;0.1678;10.66;9.048;3.591;-1.8319999999999999;-3.283;7.169;-17.31;-9.665;-2.412;-5.581;-0.5721;-7.952999999999999;-13.94;-10.45;20.27;2.6639999999999997;2.821;2.826;2.708;-1.055;-10.37;22.13;8.035;2.495;8.61;1.5919999999999999;10.78;0.1173;17.27;5.1739999999999995;3.8480000000000003;11.22;1.129;0.8372;2.114;2.682;2.763;3.016;3.375
ago;gdp_per_capita_yearly_growth;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.9589999999999996;2.316;2.3169999999999997;2.221;-4.112;6.412000000000001;-3.3510000000000004;7.859;3.617;-1.227;2.258;11.42;-4.3580000000000005;3.38;9.355;5.712999999999999;4.0360000000000005;4.044;-3.1889999999999996;1.15;4.507;3.878;-1.97;5.6770000000000005;0.7144;-7.369;-7.632000000000001;-1.8719999999999999;-7.869;-2.5989999999999998;-0.4713;-7.605;-3.5210000000000004;0.5199;2.4419999999999997;0.3157;0.332;4.312;3.0210000000000004;-2.138;-3.1660000000000004;-2.028;-8.828;-26.45;-1.864;11.56;16.65;2.7;-2.634;0.3874;-0.05615;-0.1709;10.67;-0.247;7.454;16.62;14.97;19.57;10.58;-0.4637;0.594;1.033;2.125;1.0290000000000001;2.239;2.461;2.7689999999999997;0.2621;3.4610000000000003;3.5469999999999997
aia;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;2.451;-3.764;10.16;3.028;-1.054;2.761;1.187;-0.03489;7.309;9.458;4.79;3.623;-1.245;-0.425;3.09;8.617;10.42;6.995;9.443;5.2989999999999995;0.9348;-5.073;4.172;4.698;5.5329999999999995;-4.373;0.5409;8.785;8.532;2.0469999999999997;-0.3857;0.8163;-3.185;0.7962;19.47;6.565;16.62;10.22;-3.563;-20.03;-5.641;2.086;;;;;;;;
alb;gdp_per_capita_yearly_growth;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.1039;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;0.2128;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.474;1.371;1.371;1.371;1.371;1.371;1.371;1.371;1.371;1.371;1.371;1.311;1.311;1.311;1.311;1.311;1.311;1.311;1.311;1.311;1.311;1.281;1.281;1.281;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.8367;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;0.3716;4.316;0.1604;4.043;2.935;5.391;1.006;6.409;4.505;4.117;5.063;0.8307;3.31;3.411;3.425;3.648;3.7489999999999997;3.764;3.609;3.3960000000000004;3.6889999999999996;3.997;3.915;4.981;0.3728;0.3484;0.4003;0.4375;0.4603;0.4875;0.7062;0.5365;0.5498;0.5838;0.5693;0.5234;0.6354;0.6293;0.6332;0.7541;0.8933;-28.95;-8.1;8.777000000000001;7.442;12.56;8.646;-10.55;12.27;9.582;6.795;6.694;2.863;5.4510000000000005;5.356;4.961;5.272;5.412999999999999;6.84;2.912;2.985;2.488;2.278;1.716;2.613;3.819;4.724;5.025;5.025;5.226
and;gdp_per_capita_yearly_growth;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;1.1740000000000002;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;3.804;-0.6034;2.76;2.635;0.8698;-3.594;-0.5312;-0.6338;-1.92;-3.665;-2.105;-4.967;-4.048;-3.47;-2.815;-1.3730000000000002;0.6115;3.725;3.543;2.7769999999999997;0.8107;-1.473;-3.738;-5.647;-1.652;-0.1142;3.093;8.585;3.2960000000000003;4.012;0.4013;10.0;3.582;4.175;4.1819999999999995;4.208;2.365;-1.704;-5.601;-6.306;-4.776;-4.301;;;;;;;;
ant;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;0.6608;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;3.682;5.239;3.737;3.2569999999999997;4.686;1.814;5.415;35.28;5.773;3.865;7.68;0.2821;-2.708;-1.435;-2.7439999999999998;-3.0669999999999997;-6.489;0.1204;0.4587;6.84;0.8134;1.311;2.891;4.522;5.702000000000001;2.162;2.354;2.5839999999999996;-1.5730000000000002;-0.6759;-2.0340000000000003;1.4409999999999998;-0.03901;0.6426;0.08555;-0.2673;0.6213;1.538;0.7138;-2.026;-1.321;-1.083;;;;;;;;
are;gdp_per_capita_yearly_growth;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;2.822;8.568;8.568;8.568;8.568;8.568;8.568;8.568;8.568;8.568;8.568;8.568;8.568;-3.201;-4.046;53.1;144.7;12.41;-1.6280000000000001;1.3430000000000002;-14.53;11.27;14.69;-5.194;-14.41;-10.72;-1.605;-7.865;-23.52;0.3482;-7.761;7.435;11.59;-4.928999999999999;-2.428;-5.882000000000001;2.445;1.153;-0.1886;2.401;-4.379;-1.48;6.232;-1.886;-2.436;6.672999999999999;5.011;4.055;5.678999999999999;0.401;-0.7995;-10.46;-1.65;2.127;1.325;1.705;1.3159999999999998;1.153;1.02;1.065;1.158;1.068
arg;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;1.413;-0.9518;7.206;-8.113999999999999;1.275;-5.018;-1.496;22.82;9.001;3.975;14.17;-2.701;3.694;12.94;6.593;-11.35;-8.464;16.33;2.839;12.2;7.763999999999999;7.522;-21.88;5.462999999999999;14.65;-14.75;5.617999999999999;-4.85;11.47;7.835;10.44;0.3915;-2.531;5.155;0.2944;2.637;-2.201;4.173;-2.9560000000000004;-14.35;-3.471;-4.6080000000000005;-9.828;16.6;1.95;5.55;-0.4883;4.95;7.973;4.753;-3.465;2.08;4.348;3.449;1.865;-6.881;-8.808;-5.182;2.8339999999999996;6.024;2.4819999999999998;-0.7366;5.678;-1.263;2.26;0.05217;3.668;-0.4565;-2.239;9.705;-4.77;6.608;8.801;3.157;-3.6189999999999998;-1.109;1.7469999999999999;-7.086;3.32;2.211;5.195;0.9617;3.4210000000000003;4.39;-8.137;6.225;5.477;-3.178;-3.9339999999999997;8.761000000000001;7.642;-0.8285;1.219;2.8739999999999997;7.08;3.8489999999999998;2.126;0.3704;2.017;3.699;-2.237;-1.5819999999999999;4.86;-4.726;5.437;0.01625;-6.957999999999999;-4.501;2.675;0.6813;-8.342;5.879;1.25;-3.218;-8.342;-3.22;9.294;8.542;4.659;4.771;-3.91;4.462;7.046;2.785;-4.45;-1.854;-5.474;-11.96;7.772;7.917999999999999;8.121;7.255;7.44;5.566;-0.2761;7.942;7.654;0.7615;3.0860000000000003;-0.6221;-0.1279;0.3673;0.8608;0.8613;0.8608
arm;gdp_per_capita_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;0.3707;-4.077;16.67;-4.019;-7.224;-0.6346;-8.607000000000001;9.228;13.07;13.44;-7.67;9.891;-1.8940000000000001;2.43;5.876;-2.3680000000000003;2.265;8.423;-7.108;10.34;-11.69;-4.638999999999999;-4.125;8.963;3.591;6.465;-7.818;7.803999999999999;4.8180000000000005;-4.7219999999999995;2.688;-3.155;-16.67;-16.67;-16.67;-5.067;-5.067;8.452;8.452;8.452;8.452;8.452;8.452;8.452;8.452;4.28;0.6798;-1.764;3.529;8.932;14.08;6.562;8.054;-0.505;3.8169999999999997;-4.379;-2.096;-2.096;-2.096;-2.096;-2.096;-2.096;10.86;12.73;8.976;8.075;-1.474;4.427;2.356;2.8739999999999997;6.415;7.412000000000001;0.04071;5.393;-3.077;7.287999999999999;3.865;1.034;-3.7439999999999998;11.38;4.388;3.67;3.315;4.814;0.4498;6.693;1.6540000000000001;-0.4297;7.377999999999999;1.068;-1.499;2.8539999999999996;0.5837;0.7596;-2.142;-1.53;-0.7557;0.754;1.456;-0.5162;-0.847;2.326;-0.41700000000000004;0.4531;0.1353;-3.8739999999999997;-13.26;-40.78;-4.658;8.956;8.898;6.085;3.448;7.647;3.352;6.0760000000000005;10.14;15.63;14.36;10.88;14.33;13.07;13.56;6.693;-15.0;1.188;3.6630000000000003;6.921;2.984;4.05;4.291;4.4910000000000005;4.79;4.79;4.79
