geo;indicator;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
abw;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.188;1.19;1.188;1.19;1.187;1.19;1.187;1.189;1.1909999999999998;1.189;1.186;1.188;1.19;1.187;1.19;1.187;1.189;1.1909999999999998;1.188;1.19;1.187;1.189;1.186;1.188;1.19;1.187;1.189;1.1909999999999998;1.188;1.186;1.192;1.189;1.186;1.192;1.185;1.1909999999999998;1.188;1.19;1.187;1.189;1.19;1.187;1.189;1.19;1.187;1.189;1.19;1.187;1.189;1.19;1.187;1.188;1.19;1.187;1.188;1.189;1.19;1.188;1.189;1.19;1.187;1.188;1.189;1.19;1.187;1.188;1.189;1.19;1.187;1.188;1.189;1.186;1.1909999999999998;1.188;1.189;1.19;1.187;1.188;1.192;1.186;1.19;1.19;1.188;1.188;1.189;1.189;1.187;1.1909999999999998;1.188;1.188;1.189;1.189;1.187;2.99;2.987;2.987;2.991;2.988;2.985;2.989;2.989;2.986;2.99;2.987;2.987;2.988;2.988;2.988;2.988;2.989;2.989;2.989;2.986;2.989;2.989;2.986;2.989;2.987;2.99;2.987;2.99;2.987;2.99;2.987;2.987;2.99;2.987;2.989;2.987;2.989;2.9810000000000003;4.333;5.566;6.569;7.269;7.619;7.601;7.242000000000001;6.581;5.712999999999999;4.77;3.9130000000000003;3.3089999999999997;3.053;3.045;3.08;3.051;3.0439999999999996;3.042;3.0460000000000003;8.821;8.894;8.888;8.782;8.603;8.391;8.224;8.141;8.184;8.347999999999999;8.538;8.692;8.843;8.939;9.009;9.091000000000001;16.17;18.76;12.12;3.852;7.654;5.439;6.942;8.086;2.733;1.814;8.749;7.654;1.857;4.8;-0.6277;-2.787;-0.2416;6.96;1.175;0.3804;2.355;-3.655;-6.881;-5.654;8.854;;
afg;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8258;0.8258;0.8257;0.8258;0.8258;0.8257;0.8258;0.8257;0.8258;0.8258;0.8258;0.8258;0.8257;0.8258;0.8257;0.8258;0.8258;0.8258;0.8257;0.8258;0.8258;0.8258;0.8257;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;0.8257;0.8258;0.8257;0.8258;0.8258;0.8257;0.8258;0.8257;0.8258;0.8258;0.8257;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;0.8258;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.0490000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;1.4240000000000002;2.803;3.2560000000000002;5.971;1.97;1.8330000000000002;4.32;-0.1819;5.416;2.6519999999999997;3.3739999999999997;0.6454;1.4869999999999999;1.599;1.7;2.003;0.7448;2.476;3.302;1.4280000000000002;1.939;-4.763;-1.859;11.36;5.202999999999999;4.71;4.313;-7.685;6.537000000000001;-1.6969999999999998;-0.2804;9.092;6.621;0.7665;-4.55;-5.575;5.02;-18.58;-9.863;-0.3405;-0.8846;7.345;1.22;-5.14;-2.571;28.28;7.308;5.875;5.013;4.952;1.744;-7.154;27.1;12.59;6.546;12.36;4.558;13.61;2.502;20.17;8.043;6.977;14.79;4.468999999999999
ago;gdp_total_yearly_growth;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;0.4253;1.156;1.156;1.155;1.155;1.156;1.155;1.156;1.155;1.156;1.156;1.155;1.155;1.156;1.155;1.155;1.156;1.155;1.156;1.155;1.155;1.156;1.155;1.156;1.155;1.156;1.155;1.156;1.156;1.155;1.156;1.155;1.156;1.156;1.155;1.155;1.156;1.155;1.155;1.156;1.155;1.156;1.156;1.155;1.156;1.155;1.156;1.155;1.156;1.156;1.155;1.156;1.156;1.156;1.155;1.156;1.155;1.155;1.156;1.155;1.156;1.155;1.156;1.156;1.155;1.155;1.156;1.155;1.155;1.156;1.156;1.155;1.156;1.155;1.156;1.155;1.156;1.155;1.155;1.156;1.156;1.155;1.156;1.155;1.155;1.156;1.156;1.155;1.156;1.155;1.156;1.156;1.156;1.155;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;3.707;4.035;4.035;4.035;4.035;4.035;4.035;4.035;4.035;4.035;4.035;4.088;4.189;4.1339999999999995;-2.315;8.382;-1.5930000000000002;9.789;5.455;0.5278;4.095;13.46;-2.591;5.289;11.34;7.5760000000000005;5.817;5.797999999999999;-1.536;2.958;6.502999999999999;6.006;0.1686;8.113999999999999;3.145;-5.042;-5.246;0.7383;-5.296;0.3166;2.7319999999999998;-4.4;0.0;4.2;6.0;3.5;3.176;7.0;5.5729999999999995;0.3875;-0.4446;0.9914;-5.837999999999999;-23.98;1.339;15.0;20.0;5.5;0.0;3.24;3.012;3.14;14.53;3.3;11.2;20.5;18.6;23.19;13.82;2.39;3.45;3.873;4.957;3.7939999999999996
aia;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.406;1.3519999999999999;1.396;1.391;1.385;1.38;1.375;1.37;1.365;1.4069999999999998;1.355;1.396;1.391;1.386;1.38;1.375;1.37;1.409;1.36;1.399;1.35;1.3880000000000001;1.383;1.3780000000000001;1.415;1.368;1.3630000000000002;1.399;1.393;1.348;1.383;1.4180000000000001;1.3730000000000002;1.368;1.402;1.358;1.391;1.386;1.381;1.376;1.371;1.403;1.361;1.392;1.3869999999999998;1.382;1.3769999999999998;1.3719999999999999;1.402;1.3619999999999999;1.391;1.386;1.381;1.376;1.371;1.399;1.3940000000000001;1.3559999999999999;1.3840000000000001;1.379;1.406;1.368;1.395;1.358;1.385;1.38;1.406;1.369;1.395;1.359;1.385;1.38;1.374;1.399;1.364;1.389;1.383;1.3780000000000001;1.402;1.368;1.391;1.386;1.381;1.375;1.37;1.393;1.3869999999999998;1.382;1.3769999999999998;1.3719999999999999;1.393;1.3880000000000001;1.383;3.18;3.175;3.196;3.165;3.185;3.205;3.175;3.194;3.1639999999999997;3.1839999999999997;3.2030000000000003;3.173;3.1919999999999997;3.187;3.182;3.176;3.195;3.1889999999999996;3.1839999999999997;3.179;3.174;3.1910000000000003;3.1860000000000004;3.18;3.197;3.17;3.187;3.181;3.198;3.1710000000000003;3.187;3.182;3.197;3.1919999999999997;3.1660000000000004;3.202;3.176;5.972;5.178;4.542;4.039;3.5780000000000003;3.278;3.057;2.947;2.91;3.013;3.115;3.267;3.364;3.407;3.415;3.406;3.397;3.4210000000000003;3.38;3.355;-2.952;11.05;3.7880000000000003;-0.4203;3.2910000000000004;1.676;0.4003;7.6610000000000005;9.507;4.5089999999999995;2.8960000000000004;-2.21;-1.181;3.326;10.44;14.07;11.91;15.19;10.71;5.599;-1.2329999999999999;7.968999999999999;8.1;8.627;-1.8090000000000002;2.91;11.04;10.83;4.6419999999999995;2.781;4.7330000000000005;1.067;5.372999999999999;24.56;10.56;20.35;13.25;-1.258;-18.3;-3.742;3.9939999999999998;;
alb;gdp_total_yearly_growth;0.418;0.4182;0.4182;0.4179;0.4182;0.4181;0.4181;0.4183;0.4181;0.418;0.4182;0.4182;0.4181;0.4181;0.418;0.4182;0.4182;0.4181;0.418;0.4182;0.6637;0.6637;0.6637;0.6638;0.6638;0.6638;0.6635;0.6637;0.6637;0.6639;0.6636;0.6638;0.6637;0.6636;0.6638;0.6637;0.6638;0.6637;0.6636;0.6639;0.6635;0.6638;0.6637;0.6637;0.6637;0.6638;0.6636;0.6638;0.6636;0.6638;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;1.156;2.421;2.42;2.42;2.421;2.421;2.42;2.421;2.42;2.42;2.421;2.421;2.42;2.42;2.42;2.42;2.421;2.42;2.421;2.421;2.42;2.36;2.36;2.36;2.36;2.36;2.36;2.36;2.36;2.36;2.36;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2119999999999997;2.2;2.2;2.2;1.3730000000000002;1.374;1.3730000000000002;1.3730000000000002;1.3730000000000002;1.374;1.3730000000000002;1.3780000000000001;1.375;1.3719999999999999;1.369;1.26;1.47;1.361;1.358;1.355;0.8853;0.9849;0.8795;0.877;0.8745;0.972;0.8690000000000001;1.955;1.3459999999999999;3.267;2.06;1.479;1.923;0.5513;0.6407;1.8030000000000002;1.7830000000000001;2.198;1.824;1.8030000000000002;0.8699;6.46;2.53;6.768;5.836;8.52;4.113;9.756;7.83;7.437;8.398;3.998;6.507000000000001;6.553;6.502000000000001;6.662999999999999;6.693;6.632000000000001;6.397;6.105;6.334;6.581;6.43;7.461;2.6919999999999997;2.622;2.636;2.638;2.627;2.6210000000000004;2.8139999999999996;2.559;2.489;2.542;2.676;2.832;3.222;3.37;3.18;2.678;1.935;-28.9;-8.79;7.376;5.9270000000000005;11.21;7.66;-11.14;11.8;9.357999999999999;6.765;6.886;3.278;6.029;5.972;5.53;5.768;5.85;7.235;3.278;3.358;2.862;2.64;2.061
and;gdp_total_yearly_growth;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;0.1659;1.8219999999999998;1.8559999999999999;1.814;1.847;1.8419999999999999;1.838;1.834;1.829;1.825;1.857;1.817;1.848;1.844;1.839;1.835;1.831;1.8259999999999998;1.8559999999999999;1.818;1.848;1.8430000000000002;1.839;1.834;1.83;1.8259999999999998;1.854;1.817;1.845;1.841;1.8359999999999999;1.8319999999999999;1.828;1.824;1.85;1.8459999999999999;1.811;1.837;1.8630000000000002;1.828;1.824;1.849;1.8159999999999998;1.841;1.8359999999999999;1.8319999999999999;1.8559999999999999;1.8230000000000002;1.847;1.8430000000000002;1.811;1.8619999999999999;1.83;1.8259999999999998;1.848;1.817;1.84;1.835;1.831;1.8530000000000002;1.8219999999999998;1.844;1.84;1.835;1.831;1.827;1.848;1.8430000000000002;1.839;1.834;1.83;1.8259999999999998;1.8459999999999999;1.841;1.837;1.8330000000000002;1.828;1.847;1.82;1.839;1.834;1.8530000000000002;1.8259999999999998;1.844;1.839;1.835;1.831;1.827;1.844;1.84;1.835;1.831;1.827;1.8430000000000002;4.486000000000001;4.482;4.477;4.494;4.489;4.4639999999999995;4.501;4.476;4.4719999999999995;4.488;4.4830000000000005;4.499;4.474;4.49;4.485;4.481;4.476;4.4910000000000005;4.467;4.501;4.478;4.473;4.487;4.4830000000000005;4.479;4.492;4.488;4.4830000000000005;4.479;4.475;4.488;4.4830000000000005;4.479;4.492;4.487;4.4830000000000005;4.478;12.1;12.41;12.53;12.5;12.37;12.22;12.03;11.83;11.64;11.44;11.25;11.04;10.82;10.56;10.3;10.03;9.787;9.596;9.465;9.356;4.668;8.131;7.806;5.604;0.5591;3.2880000000000003;2.8360000000000003;1.4780000000000002;0.030910000000000003;2.207;-0.1351;1.245;1.768;1.786;2.322;3.241;5.54;5.075;4.833;3.825;2.677;1.112;-0.9053;2.3040000000000003;2.399;3.935;8.049;2.247;3.59;1.42;12.99;7.721;8.943;8.639;7.801;4.975;0.1614;-4.224;-5.058;-3.426;-2.8339999999999996;;
ant;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.411;1.412;1.409;1.413;1.41;1.411;1.412;1.411;1.41;1.411;1.412;1.411;1.412;1.411;1.412;1.41;1.411;1.412;1.41;1.411;1.411;1.412;1.41;1.411;1.411;1.412;1.412;1.41;1.412;1.411;1.411;1.411;1.411;1.413;1.411;1.411;1.411;1.411;1.412;1.412;1.41;1.411;1.411;1.412;1.41;1.411;1.412;1.41;1.411;1.411;1.412;1.411;1.41;1.413;1.41;1.411;1.412;1.411;1.411;1.41;1.411;1.411;1.41;1.412;1.411;1.411;1.41;1.412;1.411;1.412;1.411;1.411;1.411;1.412;1.411;1.411;1.412;1.412;1.411;1.411;1.411;1.412;1.411;1.411;1.412;1.411;1.41;1.411;1.412;1.411;1.412;1.411;1.411;4.454;4.456;4.455;4.455;4.454;4.456;4.455;4.456;4.455;4.455;4.456;4.455;4.456;4.454;4.455;4.456;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.456;4.455;4.454;4.456;4.455;4.455;4.455;4.456;4.455;4.456;4.455;4.455;4.455;4.456;5.806;5.667999999999999;5.606;5.599;5.621;5.651;5.672999999999999;5.667000000000001;5.627999999999999;5.559;5.476;5.406000000000001;5.377000000000001;5.403;5.456;5.532;5.57;5.522;5.357;5.122999999999999;6.442;4.707;4.0760000000000005;5.4639999999999995;2.5860000000000003;6.247000000000001;36.37;6.654;4.754;8.623;1.173;-1.83;-0.5173;-1.7919999999999998;-2.07;-5.476;1.227;1.5119999999999998;7.796;1.4869999999999999;1.77;3.1519999999999997;4.5280000000000005;5.386;1.521;1.3319999999999999;1.2409999999999999;-2.945;-1.8359999999999999;-2.718;1.298;0.3252;1.445;1.186;1.0170000000000001;2.1;3.2;2.4;-0.5;0.0;-0.019119999999999998;;
are;gdp_total_yearly_growth;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.0236;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;0.5822;1.143;1.143;1.1420000000000001;1.1440000000000001;1.143;1.143;1.1420000000000001;1.1440000000000001;1.143;1.1420000000000001;1.1440000000000001;1.143;1.1420000000000001;1.1440000000000001;1.143;1.1420000000000001;1.1440000000000001;1.143;1.1420000000000001;1.143;1.143;1.1420000000000001;1.143;1.1440000000000001;1.141;1.145;1.1420000000000001;1.143;1.1440000000000001;1.143;1.1420000000000001;1.143;1.1440000000000001;1.143;1.1420000000000001;1.143;1.1420000000000001;1.143;1.1440000000000001;1.143;1.1420000000000001;1.143;1.1440000000000001;3.6889999999999996;3.6889999999999996;3.69;3.6889999999999996;3.6889999999999996;3.69;3.688;3.69;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.69;3.688;3.6889999999999996;3.69;3.688;3.6889999999999996;3.69;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.6889999999999996;3.69;3.6889999999999996;3.6889999999999996;3.69;3.688;3.69;3.6889999999999996;0.2019;5.381;7.55;7.5;6.327000000000001;4.959;4.102;4.306;11.87;14.91;18.31;20.75;21.28;19.99;18.18;16.39;15.82;17.28;20.84;24.99;13.83;13.68;81.68;189.7;32.25;15.12;17.62;-2.296;24.57;25.68;1.89;-9.298;-6.112;3.407;-2.823;-19.0;6.528;-2.016;13.97;18.08;0.3894;2.9;-0.853;7.818;6.388;5.143;8.097000000000001;0.8892;3.58;11.24;1.864;0.8245;11.47;12.95;15.76;21.09;16.4;13.9;0.107;6.468999999999999;7.2829999999999995;4.085;2.986
arg;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.885;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;3.929;4.664;4.664;4.664;4.664;4.664;2.224;10.64;-5.167999999999999;4.522;-1.973;1.662;26.76;12.5;7.309;17.83;0.4179;7.018;16.56;10.01;-8.511000000000001;-5.398;20.23;6.2829999999999995;15.95;11.37;11.12;-19.26;8.995;18.49;-11.89;9.669;-1.199;15.75;11.96;14.67;4.238;1.214;9.184;4.138;6.565;1.547;8.165;0.7699;-11.76;-1.181;-2.7880000000000003;-8.206;18.61;3.7939999999999996;7.851;2.106;8.135;11.88;8.498;-0.5461;4.977;7.414;6.44;4.664;-4.439;-6.731;-3.3510000000000004;4.667;7.796;4.159;0.9072;7.511;0.4502;4.197;1.376;5.372999999999999;1.175;-0.643;11.57;-3.133;8.437000000000001;10.8;5.518;-1.077;1.3330000000000002;3.86;-5.18;5.394;4.205;7.183;2.807;5.252000000000001;6.185;-6.593;7.978;7.193;-1.624;-2.419;10.44;9.26;0.6187;2.6639999999999997;4.345;8.662;5.46;3.799;2.083;3.787;5.475;-0.6186;-0.01925;6.468;-3.295;7.016;1.5290000000000001;-5.534;-3.031;4.257;2.226;-6.949;7.473;2.758;-1.796;-7.019;-1.8519999999999999;10.8;10.01;6.037999999999999;6.122999999999999;-2.696;5.756;8.344;3.9930000000000003;-3.3760000000000003;-0.8075;-4.523;-11.12;8.756;8.882;9.08;8.205;8.388;6.495;0.5982;8.885;8.592;1.6380000000000001;3.9760000000000004
arm;gdp_total_yearly_growth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;1.291;-3.198;17.74;-3.139;-6.372999999999999;0.2762;-7.77;10.23;14.11;14.48;-6.824;10.9;-0.9946;3.3680000000000003;6.847;-1.473;3.2030000000000003;9.416;-6.257000000000001;11.35;-10.88;-3.765;-3.2460000000000004;9.962;4.54;7.441;-6.973;8.792;5.779;-3.8489999999999998;3.6289999999999996;-2.267;-15.91;-15.91;-15.91;-4.196000000000001;-4.196000000000001;9.446;9.447000000000001;9.446;9.446;9.446;9.446;9.446;9.447000000000001;5.236000000000001;1.6030000000000002;-0.8631;4.478;9.931000000000001;15.13;7.539;9.044;0.40700000000000003;4.769;-3.503;-1.199;-1.199;-1.199;-1.199;-1.199;-1.199;11.88;13.76;9.975;9.065;0.6713;7.215;5.4639999999999995;6.261;10.1;11.24;3.661;9.229;0.4493;11.17;7.582999999999999;4.583;-0.4628;15.03;7.635;6.718;6.19;7.601;3.0389999999999997;9.387;4.177;1.984;9.902000000000001;3.344;0.6076;4.935;2.515;2.6039999999999996;-0.4212;0.1434;0.8337;2.259;2.928;0.9695;0.708;4.083;1.358;2.004;1.056;-3.82;-14.06;-41.83;-6.857;6.375;6.667999999999999;4.407;2.23;6.763;2.738;5.577999999999999;9.773;15.45;14.34;10.96;14.45;13.21;13.72;6.8629999999999995;-14.84;1.421;3.937;7.222;3.2739999999999996
